# starting wavelength: 3585.459
# ending wavelength: 9076.289
# wav flux eflux
3.587162233387658489e+03 1.043518222243636773e+00 1.837690538320245204e-01
3.590749395621047370e+03 1.045740358549681170e+00 1.331331370600486730e-01
3.594340145016669794e+03 1.047475124965786097e+00 1.011877889123760921e-01
3.597934485161687462e+03 1.056589764616346017e+00 8.177482041792304146e-02
3.601532419646850485e+03 1.045062174727437787e+00 6.891710186089652912e-02
3.605133952066498296e+03 1.042561023193420588e+00 5.433801780050163954e-02
3.608739086018566013e+03 1.039641608323323529e+00 4.420284583744360507e-02
3.612347825104585809e+03 1.034816041115638630e+00 3.588886596608399648e-02
3.615960172929691907e+03 1.029377111287478330e+00 3.035422765729939298e-02
3.619576133102622407e+03 1.024565258187925654e+00 2.619076026986478373e-02
3.623195709235726554e+03 1.020240218351959216e+00 2.281719496039461698e-02
3.626818904944963379e+03 1.016669614088161477e+00 2.047719026297671260e-02
3.630445723849909427e+03 1.014808801173934238e+00 1.863209998369334472e-02
3.634076169573760581e+03 1.013630356848481462e+00 1.742120018179960442e-02
3.637710245743335690e+03 1.018930527651930262e+00 1.687224992307728016e-02
3.641347955989080219e+03 1.025689110936861326e+00 1.661956383756191258e-02
3.644989303945070333e+03 1.026973458995905197e+00 1.625296970280596179e-02
3.648634293249016537e+03 1.026373975243651815e+00 1.558663772228738829e-02
3.652282927542266862e+03 1.029104945644013558e+00 1.484210911661877803e-02
3.655935210469810499e+03 1.031918219301956263e+00 1.545644770486108432e-02
3.659591145680281443e+03 1.043691777848205993e+00 1.626447888238157988e-02
3.663250736825963031e+03 1.046828310326049394e+00 1.627515772709931322e-02
3.666913987562790226e+03 1.051660590402519135e+00 1.579066407492757743e-02
3.670580901550354156e+03 1.049997820397688741e+00 1.676130346034335541e-02
3.674251482451905758e+03 1.055583682218229180e+00 1.678440062746130307e-02
3.677925733934358959e+03 1.059660486668215995e+00 1.638725575810509594e-02
3.681603659668294313e+03 1.063794228591566027e+00 1.641139723014085894e-02
