# starting wavelength: 3424.316
# ending wavelength: 8687.890
# wav flux eflux
3.425969201965453522e+03 3.575918897968969556e+00 4.244160697827344397e-01
3.429395171167419903e+03 3.535227754764318053e+00 3.095117505706976302e-01
3.432824566338588284e+03 3.519151466007869544e+00 2.354845925711646915e-01
3.436257390904928343e+03 3.523656612893355966e+00 1.771733137962556992e-01
3.439693648295834464e+03 3.537110818288761838e+00 1.376451853283675864e-01
3.443133341944131189e+03 3.551992402432454732e+00 1.086165824372079397e-01
3.446576475286076402e+03 3.569171458807733455e+00 8.793594731254625319e-02
3.450023051761363604e+03 3.586457845865210103e+00 7.143137961858342377e-02
3.453473074813126004e+03 3.595230985463498286e+00 6.252373940800202978e-02
3.456926547887940615e+03 3.598589880248201922e+00 5.438612336201789632e-02
3.460383474435829612e+03 3.599057862107013062e+00 4.736389539205126259e-02
3.463843857910266706e+03 3.574948987832279101e+00 4.762553454523215518e-02
3.467307701768178049e+03 3.553321825994559813e+00 4.442162839001944502e-02
3.470775009469947236e+03 3.537170324176738490e+00 4.150047997647168113e-02
3.474245784479418489e+03 3.511162553493358374e+00 3.926480457994380169e-02
3.477720030263898934e+03 3.486333563309440109e+00 3.709083656503607551e-02
3.481197750294164052e+03 3.465261029616471422e+00 3.624297509353564123e-02
3.484678948044459503e+03 3.437951372529569394e+00 3.491859574848751868e-02
3.488163626992504760e+03 3.417526680051051979e+00 3.488962892341111038e-02
3.491651790619498570e+03 3.389791833095954221e+00 3.430531971953963005e-02
3.495143442410119405e+03 3.355646184778708019e+00 3.518540687437021752e-02
3.498638585852530468e+03 3.340502729814378569e+00 3.517000581767282252e-02
3.502137224438384237e+03 3.307623745556426798e+00 2.615432566121579303e-02
3.505639361662823831e+03 3.297484967225519092e+00 2.646579777757195745e-02
3.509145001024487556e+03 3.288912383102638337e+00 2.646839567267985846e-02
3.512654146025513455e+03 3.312628469485098925e+00 3.017973869438664303e-02
3.516166800171540217e+03 3.322191525326814165e+00 3.182411691128822495e-02
3.519682966971712631e+03 3.332925249689820735e+00 3.005187723586434309e-02
3.523202649938685681e+03 3.337533789709299814e+00 2.879310711449251797e-02
3.526725852588625457e+03 3.350403413716650292e+00 2.769967798835319683e-02
3.530252578441215064e+03 3.353290373750239528e+00 2.789698681108004549e-02
3.533782831019657806e+03 3.354944433942599336e+00 2.679403996681852668e-02
3.537316613850678550e+03 3.360723187245630683e+00 2.799493876663662270e-02
3.540853930464530094e+03 3.355054415474444607e+00 2.921794968662302580e-02
3.544394784394995895e+03 3.346286198074919671e+00 2.892412996885345561e-02
3.547939179179392340e+03 3.350129006236224782e+00 2.890480808172365274e-02
3.551487118358572843e+03 3.358265619919305500e+00 2.812927274830949453e-02
3.555038605476932389e+03 3.347265006611125582e+00 2.328146083848561462e-02
3.558593644082410719e+03 3.353617880810230822e+00 2.329672757727392629e-02
3.562152237726494150e+03 3.360139248932268341e+00 2.327794519830665362e-02
3.565714389964221937e+03 3.373422962895228583e+00 2.560589445880781176e-02
3.569280104354187188e+03 3.380982651579341969e+00 2.655078405097815314e-02
3.572849384458542772e+03 3.395963659413845370e+00 2.791394723400507719e-02
3.576422233843002232e+03 3.400956650162503703e+00 2.782117177786210330e-02
3.579998656076846601e+03 3.407935822701809947e+00 2.796402216269781166e-02
3.583578654732924406e+03 3.405989994856695180e+00 2.661952137238570923e-02
3.587162233387658489e+03 3.397352830157985171e+00 2.671395818218509979e-02
3.590749395621047370e+03 3.398972529135614096e+00 2.685149173401690792e-02
3.594340145016669794e+03 3.399087614746947317e+00 2.566887892123762352e-02
