# starting wavelength: 3361.746
# ending wavelength: 8537.676
# wav flux eflux
3.364883711873251741e+03 6.036111023225269046e-01 5.146435702791812838e-01
3.368248595585126168e+03 6.853324755846524896e-01 3.705533335078112223e-01
3.371616844180712633e+03 7.538731631546012890e-01 2.826520998360777526e-01
3.374988461024894150e+03 7.793251088598484033e-01 2.189414797405422886e-01
3.378363449485920228e+03 7.945615373770718026e-01 1.783806996463562222e-01
3.381741812935407324e+03 7.728689738046223834e-01 1.412006036150063593e-01
3.385123554748343849e+03 7.424939160303845043e-01 1.268123439176912781e-01
3.388508678303093347e+03 7.208481816934024788e-01 1.089414282184655441e-01
3.391897186981397681e+03 6.971946349874125204e-01 9.128157257728790330e-02
3.395289084168380214e+03 6.820794004545576161e-01 8.100976494611766832e-02
3.398684373252549449e+03 6.614758111646329430e-01 7.192285983949739392e-02
3.402083057625803121e+03 6.420576935776188821e-01 6.488869201410331355e-02
3.405485140683430018e+03 6.220291903962282820e-01 5.958955116544141506e-02
3.408890625824114522e+03 6.090545941341292124e-01 5.637275104486951655e-02
3.412299516449939802e+03 6.325850849256272612e-01 6.003553641904596505e-02
3.415711815966390986e+03 6.273960253014351229e-01 5.657486272010535389e-02
3.419127527782358356e+03 6.232030416353420144e-01 5.571819250125509271e-02
3.422546655310141887e+03 6.235092797999924885e-01 5.305396587022708638e-02
3.425969201965453522e+03 6.318424115759924131e-01 5.130705996245022577e-02
3.429395171167419903e+03 6.443778895747862556e-01 5.245511509989903703e-02
3.432824566338588284e+03 6.721825396694793842e-01 4.994823573915908171e-02
3.436257390904928343e+03 6.590371736040677719e-01 5.160749686894709060e-02
3.439693648295834464e+03 6.679965234025744270e-01 5.152791407671780677e-02
3.443133341944131189e+03 6.895172416602612930e-01 5.132084759772221477e-02
3.446576475286076402e+03 7.106072161761716188e-01 5.006090021229635256e-02
3.450023051761363604e+03 7.215378695690518596e-01 5.000987736870829425e-02
3.453473074813126004e+03 7.219655013872136040e-01 5.153944033063923014e-02
