# starting wavelength: 3076.964
# ending wavelength: 7806.617
# wav flux eflux
3.078485867717085512e+03 9.099547318017248143e-01 4.063299206226801963e-01
3.081564353584803939e+03 8.556063235940021272e-01 2.909634324508376113e-01
3.084645917938389630e+03 8.159509418330825881e-01 2.213682088899254496e-01
3.087730563856328899e+03 7.913406653066209495e-01 1.664714952133021786e-01
3.090818294420186248e+03 7.692780409163091360e-01 1.298759835334519219e-01
3.093909112714607545e+03 7.621387940101584935e-01 1.024908668389360872e-01
3.097003021827323209e+03 7.621585699277256820e-01 8.584266448968840002e-02
3.100100024849151396e+03 7.742403126324948204e-01 6.974334593000579285e-02
3.103200124874001631e+03 7.861267114465699812e-01 6.045082148737066646e-02
3.106303324998876633e+03 8.007726012916464020e-01 5.243772164691125337e-02
3.109409628323876859e+03 8.190428786707670827e-01 4.568435926035979006e-02
3.112519037952201415e+03 8.379317195567046461e-01 4.109480291327557988e-02
3.115631556990154877e+03 8.531683772192573123e-01 3.779300645646480744e-02
3.118747188547145925e+03 8.731374894767595096e-01 3.532051833999314688e-02
3.121865935735694165e+03 8.954366004666266532e-01 3.305216578869450000e-02
3.124987801671431043e+03 9.042728267373265627e-01 3.230432674579812591e-02
3.128112789473103476e+03 9.225446452878830472e-01 3.157333415206480670e-02
3.131240902262577492e+03 9.432591225766435716e-01 3.023254745142457331e-02
3.134372143164840963e+03 9.582538913731329933e-01 3.021310828887887115e-02
3.137506515308006783e+03 9.710978930110285567e-01 3.030884824282933585e-02
3.140644021823316052e+03 9.747479681383963701e-01 2.983060567097214899e-02
3.143784665845140353e+03 9.852367584332376582e-01 2.982314391153146824e-02
3.146928450510986750e+03 9.858721460623450783e-01 2.865085708792225808e-02
3.150075378961498700e+03 9.933782255781780091e-01 2.885365281619966735e-02
3.153225454340461056e+03 9.970659064309409514e-01 2.886192631178838286e-02
3.156378679794802792e+03 9.972744935540643896e-01 2.852027821561074067e-02
3.159535058474598372e+03 1.012024061594142266e+00 2.026976634955523354e-02
3.162694593533074112e+03 1.006826294277562095e+00 1.923118813948399702e-02
3.165857288126608182e+03 1.001659419251960115e+00 1.912193327000418289e-02
3.169023145414736064e+03 1.001585878989848855e+00 1.909450200958825311e-02
3.172192168560151458e+03 9.956219121772769132e-01 1.889672977234240631e-02
3.175364360728712654e+03 9.930366842371143310e-01 1.804264321272599017e-02
3.178539725089442527e+03 9.875864116105907975e-01 1.854330377742889960e-02
3.181718264814533086e+03 9.929024696765367253e-01 1.964679949276132431e-02
3.184899983079348658e+03 9.935662060599177448e-01 1.892473326685503374e-02
3.188084883062429071e+03 9.899220163229524028e-01 1.891605820798426471e-02
3.191272967945492383e+03 9.872125601550765239e-01 1.927012315489707445e-02
3.194464240913438971e+03 9.753512454557297096e-01 1.894537813676637830e-02
3.197658705154353811e+03 9.673544907577489305e-01 1.896179086825114379e-02
3.200856363859509202e+03 9.560957674220093017e-01 1.880122112196674911e-02
3.204057220223369768e+03 9.500288499841600398e-01 1.844944247838187223e-02
3.207261277443593826e+03 9.485296465410709699e-01 1.821452912932147034e-02
3.210468538721038840e+03 9.378241120258989927e-01 1.817796074245425428e-02
3.213679007259760965e+03 9.260452880119868224e-01 1.695601555608884647e-02
3.216892686267021418e+03 9.207971005405295450e-01 1.777072975586767994e-02
3.220109578953289656e+03 9.136249573755478304e-01 1.726159006284971181e-02
3.223329688532243836e+03 9.126081367832463709e-01 1.739573134547611061e-02
3.226553018220777176e+03 9.079460202980935701e-01 1.803817594290214529e-02
3.229779571238999324e+03 9.066388042737734132e-01 1.802529499215051872e-02
3.233009350810239084e+03 9.133632678570746677e-01 1.859588455459033549e-02
3.236242360161050783e+03 9.071219859311568934e-01 1.858552401667026843e-02
3.239478602521212906e+03 9.120679704475574967e-01 1.744866847539388796e-02
3.242718081123734919e+03 9.143445205154132616e-01 1.795021245822089537e-02
3.245960799204859995e+03 9.129535893447073835e-01 1.789098806646207546e-02
3.249206760004065927e+03 9.162866950852938119e-01 1.821959710835669571e-02
3.252455966764071036e+03 9.191941220705471816e-01 1.824491419959715921e-02
3.255708422730835991e+03 9.147860279288453356e-01 1.754015330169650735e-02
3.258964131153567905e+03 9.203440144239137810e-01 1.466507600773960841e-02
3.262223095284722604e+03 9.238472755380371382e-01 1.435310910378466594e-02
3.265485318380008266e+03 9.108949890323391196e-01 1.582316466739728394e-02
3.268750803698389518e+03 9.026217175033598439e-01 1.653154992896180980e-02
3.272019554502088795e+03 8.943220752214686708e-01 1.583080237972202264e-02
3.275291574056592253e+03 8.845422907682612967e-01 1.447068732814039277e-02
3.278566865630649772e+03 8.781973641021192378e-01 1.263090247007043684e-02
3.281845432496281319e+03 8.787321384337626329e-01 1.266025117771755332e-02
3.285127277928778767e+03 8.878874873920767907e-01 1.487921647476369950e-02
3.288412405206708627e+03 8.930986022301667937e-01 1.571488507810780630e-02
3.291700817611916591e+03 9.019435505648297768e-01 1.530288336553710035e-02
3.294992518429529355e+03 9.071807266387548196e-01 1.450252042733620600e-02
3.298287510947960072e+03 9.170523339355665104e-01 1.481201601673436466e-02
3.301585798458909267e+03 9.275522188700405790e-01 1.476674630397111464e-02
3.304887384257369376e+03 9.357660710776567470e-01 1.433567968055650572e-02
3.308192271641627485e+03 9.407651428431368368e-01 1.377999551206131323e-02
3.311500463913270323e+03 9.483557394903828763e-01 1.452465369424352920e-02
3.314811964377184722e+03 9.518176007164491637e-01 1.563074742902569383e-02
3.318126776341563072e+03 9.561046205400096643e-01 1.510528432451473980e-02
3.321444903117905596e+03 9.606444804271979665e-01 1.513667651518046074e-02
3.324766348021024896e+03 9.695084417233885699e-01 1.688765678766679379e-02
3.328091114369046863e+03 9.636107244023845997e-01 1.605737451791638265e-02
3.331419205483417045e+03 9.645595124927612840e-01 1.663253091778257517e-02
3.334750624688901553e+03 9.602670048114840817e-01 1.591703568012185072e-02
3.338085375313591612e+03 9.495259961984248154e-01 1.491648800263561253e-02
3.341423460688906289e+03 9.540773297728435409e-01 1.481316498511322383e-02
3.344764884149596128e+03 9.543397185813742301e-01 1.532176926801637716e-02
3.348109649033746791e+03 9.481436477167587418e-01 1.539087630486156433e-02
3.351457758682781787e+03 9.492153928006071828e-01 1.551882573915653631e-02
3.354809216441465651e+03 9.513911018297909195e-01 1.604764253104158656e-02
3.358164025657908041e+03 9.446205675839320914e-01 1.634560118372865162e-02
3.361522189683567376e+03 9.448730407658270103e-01 1.540498325826949490e-02
3.364883711873251741e+03 9.415672210282537424e-01 1.562434127207557380e-02
3.368248595585126168e+03 9.469830474921768770e-01 1.813319438822632093e-02
3.371616844180712633e+03 9.400494463039320570e-01 1.893748038493215172e-02
3.374988461024894150e+03 9.412541617640490799e-01 1.896192425449608199e-02
3.378363449485920228e+03 9.492040902865820362e-01 1.823080363267600562e-02
3.381741812935407324e+03 9.582173086822936003e-01 1.825908459693519406e-02
3.385123554748343849e+03 9.635809834368123106e-01 1.935662879942940534e-02
3.388508678303093347e+03 9.720513402532922065e-01 1.861587698479030828e-02
3.391897186981397681e+03 9.792466486335671405e-01 1.759546364539701577e-02
3.395289084168380214e+03 9.818931710735125939e-01 1.868465642207890742e-02
3.398684373252549449e+03 9.808659774031639467e-01 1.855737253811207133e-02
3.402083057625803121e+03 9.721020926909005322e-01 1.753207131287497569e-02
3.405485140683430018e+03 9.737518048640871893e-01 1.758458916704263089e-02
3.408890625824114522e+03 9.772064511383850016e-01 1.750253396293132563e-02
3.412299516449939802e+03 9.886210093632453733e-01 1.667908182381481336e-02
3.415711815966390986e+03 9.969313951719540601e-01 1.702589668402515466e-02
3.419127527782358356e+03 1.002513493388223154e+00 1.701917397434012102e-02
3.422546655310141887e+03 1.012102498935185668e+00 1.817348303923526850e-02
3.425969201965453522e+03 1.010369843601088835e+00 1.908571714833416991e-02
3.429395171167419903e+03 1.019233592684963163e+00 1.960767611384187092e-02
3.432824566338588284e+03 1.015595899091682464e+00 1.962555318879099717e-02
3.436257390904928343e+03 1.022830766014826143e+00 1.859519416522566540e-02
3.439693648295834464e+03 1.030176024988112227e+00 1.958487568515786953e-02
3.443133341944131189e+03 1.032576463818692503e+00 1.941304155194896464e-02
3.446576475286076402e+03 1.034625076249101383e+00 1.936649678012351827e-02
3.450023051761363604e+03 1.044478749768202652e+00 1.869471356028097955e-02
3.453473074813126004e+03 1.047065681565826800e+00 1.745191257766167542e-02
3.456926547887940615e+03 1.038919545792444943e+00 1.486618443760436004e-02
3.460383474435829612e+03 1.032835032696798772e+00 1.525784433569369117e-02
3.463843857910266706e+03 1.031353003887540698e+00 1.628055513894091644e-02
3.467307701768178049e+03 1.028800285824147398e+00 1.528562189897882638e-02
3.470775009469947236e+03 1.026843578772353549e+00 1.517878164102878964e-02
3.474245784479418489e+03 1.033294839626127226e+00 1.545818548718854400e-02
3.477720030263898934e+03 1.041535546114411126e+00 1.647957388807071502e-02
3.481197750294164052e+03 1.037491314250547747e+00 1.625410269492823245e-02
3.484678948044459503e+03 1.039666861832076350e+00 1.628901684454682475e-02
3.488163626992504760e+03 1.034881730362209096e+00 1.658736440406329005e-02
3.491651790619498570e+03 1.042190944903163663e+00 1.644837869157020349e-02
3.495143442410119405e+03 1.062727650195755214e+00 1.722235845370222868e-02
3.498638585852530468e+03 1.083515750849383785e+00 1.591151867483257126e-02
3.502137224438384237e+03 1.097451071961753177e+00 1.490113935742370249e-02
3.505639361662823831e+03 1.106314320104780480e+00 1.400666838286115760e-02
3.509145001024487556e+03 1.117269638187197600e+00 1.472096074323713498e-02
3.512654146025513455e+03 1.137159279029211989e+00 1.524357477890145654e-02
3.516166800171540217e+03 1.152519019137126843e+00 1.481696788877385866e-02
3.519682966971712631e+03 1.161775835013600711e+00 1.485422985839232254e-02
3.523202649938685681e+03 1.160452939184367649e+00 1.725905552784070748e-02
3.526725852588625457e+03 1.172712759375086344e+00 1.711882558110450550e-02
3.530252578441215064e+03 1.180799131740417396e+00 1.723626789107198312e-02
3.533782831019657806e+03 1.183951665080777982e+00 1.736031974317535018e-02
3.537316613850678550e+03 1.190925270475996056e+00 1.602358746192373770e-02
3.540853930464530094e+03 1.199248253881425086e+00 1.661377155816504830e-02
3.544394784394995895e+03 1.204425366453570456e+00 1.803054557075448039e-02
3.547939179179392340e+03 1.225719306098117967e+00 1.364043994423570945e-02
3.551487118358572843e+03 1.229324408327901574e+00 1.435036188433579975e-02
3.555038605476932389e+03 1.232796898550465148e+00 1.318190112303740252e-02
3.558593644082410719e+03 1.229620726949824272e+00 1.376560178369824576e-02
3.562152237726494150e+03 1.220025277942911268e+00 1.764794873125323516e-02
3.565714389964221937e+03 1.221318958164200108e+00 1.772509444922381466e-02
3.569280104354187188e+03 1.230343776567382141e+00 1.678102204635016637e-02
3.572849384458542772e+03 1.230236828022266860e+00 1.702626435420811699e-02
3.576422233843002232e+03 1.236243248396307948e+00 1.734122617366330721e-02
3.579998656076846601e+03 1.248839926651561294e+00 1.597194026816666640e-02
3.583578654732924406e+03 1.263933585800051773e+00 1.774855331487039736e-02
3.587162233387658489e+03 1.273059737554392168e+00 1.542254028092469517e-02
3.590749395621047370e+03 1.272054650340019633e+00 1.670259521316751553e-02
3.594340145016669794e+03 1.265321231453903295e+00 1.937870895319861522e-02
3.597934485161687462e+03 1.262750564462184366e+00 1.787762801535859591e-02
3.601532419646850485e+03 1.253012321750267555e+00 1.743710480469574942e-02
3.605133952066498296e+03 1.236931889563850362e+00 1.732059997035682863e-02
3.608739086018566013e+03 1.222869078174063207e+00 1.737169469383744586e-02
3.612347825104585809e+03 1.217063910426259721e+00 1.739446437906393833e-02
3.615960172929691907e+03 1.216059935756510946e+00 1.610919516213431268e-02
3.619576133102622407e+03 1.216856292133579265e+00 1.611414308650722244e-02
3.623195709235726554e+03 1.228162013344686665e+00 1.551231657789953373e-02
3.626818904944963379e+03 1.233287030327381295e+00 1.492907911947907902e-02
3.630445723849909427e+03 1.240829768726568361e+00 1.377473135153221145e-02
3.634076169573760581e+03 1.253627655712668432e+00 1.430771335027669275e-02
3.637710245743335690e+03 1.258112318166849430e+00 1.566267224638137265e-02
3.641347955989080219e+03 1.266550876804531711e+00 1.678471497093184800e-02
3.644989303945070333e+03 1.276202056014532848e+00 1.555279302335722293e-02
3.648634293249016537e+03 1.281743797536257334e+00 1.431542856671295938e-02
3.652282927542266862e+03 1.304256303681230689e+00 1.346372635059827488e-02
3.655935210469810499e+03 1.315209246580134828e+00 1.456075576066743690e-02
3.659591145680281443e+03 1.319062170497365738e+00 1.260302933654139888e-02
3.663250736825963031e+03 1.329326990912228501e+00 1.216587575038465679e-02
3.666913987562790226e+03 1.334731825279872330e+00 1.442483983774694133e-02
3.670580901550354156e+03 1.352933904533374587e+00 1.532728210112823362e-02
3.674251482451905758e+03 1.360641016147010163e+00 1.647992293219465235e-02
3.677925733934358959e+03 1.367191647127352194e+00 1.530144308090704806e-02
3.681603659668294313e+03 1.371231109283505445e+00 1.552509593429967673e-02
3.685285263327964003e+03 1.382213528165925132e+00 1.746360108973772293e-02
3.688970548591293209e+03 1.388014681300763664e+00 1.885553984969287958e-02
3.692659519139885560e+03 1.387092893679968908e+00 1.965955943634976541e-02
3.696352178659026777e+03 1.377091767423799906e+00 1.833446780976350984e-02
3.700048530837686940e+03 1.362221498766310379e+00 2.107901192869491430e-02
3.703748579368525952e+03 1.346860741388411720e+00 2.644507410079654716e-02
3.707452327947895355e+03 1.338036648402284978e+00 2.339201335535895029e-02
3.711159780275844696e+03 1.334803239475530479e+00 2.338195841382460088e-02
3.714870940056121526e+03 1.355190392365520857e+00 2.745017085808818674e-02
3.718585810996179134e+03 1.359059550253633342e+00 2.704059380358537004e-02
3.722304396807176545e+03 1.387786862269747346e+00 3.049456704548786021e-02
3.726026701203984885e+03 1.400440046791474602e+00 2.935693865898065039e-02
3.729752727905190113e+03 1.407466702778148449e+00 2.946550058686780299e-02
3.733482480633096657e+03 1.415536382599944742e+00 2.915381556239915115e-02
3.737215963113731050e+03 1.414751126655692248e+00 2.880748108651507919e-02
3.740953179076846027e+03 1.412903631426470463e+00 2.822596759364051286e-02
3.744694132255923705e+03 1.391703578306190403e+00 2.721959040899738641e-02
3.748438826388181042e+03 1.376441759474233972e+00 2.732866341322048864e-02
3.752187265214570289e+03 1.346642460248289819e+00 2.384741105664184291e-02
3.755939452479786269e+03 1.324799114974248404e+00 2.376754584627841296e-02
3.759695391932267285e+03 1.312370367680182115e+00 2.282401301287098616e-02
3.763455087324201031e+03 1.299190830495295712e+00 2.242285672721880396e-02
3.767218542411526414e+03 1.294735522684357321e+00 2.225765520487374763e-02
3.770985760953939007e+03 1.281718181271525259e+00 2.398643230387120795e-02
3.774756746714894234e+03 1.257485921709973198e+00 2.257153779704391613e-02
3.778531503461610555e+03 1.238377790459633587e+00 2.255042559774185842e-02
3.782310034965073100e+03 1.225889579748021374e+00 2.155999938964347357e-02
3.786092345000039586e+03 1.213532834771841262e+00 1.992740918774729003e-02
3.789878437345040766e+03 1.194270123685947427e+00 2.020564785753176801e-02
3.793668315782387253e+03 1.194138837353015514e+00 1.652071735132318656e-02
3.797461984098170888e+03 1.177558880090273208e+00 1.662214420502011736e-02
3.801259446082270188e+03 1.167911895857640436e+00 1.392573954488268359e-02
3.805060705528353537e+03 1.170574431853284691e+00 1.400089878641468111e-02
3.808865766233883278e+03 1.177748271271666924e+00 1.355373781719664515e-02
3.812674632000118436e+03 1.183158970103029617e+00 1.461775066073612780e-02
3.816487306632119726e+03 1.196296910952961090e+00 1.542031323265133889e-02
3.820303793938753188e+03 1.203975726913530275e+00 1.618511861614804759e-02
3.824124097732693372e+03 1.216974940531107441e+00 1.504467408377164160e-02
3.827948221830427428e+03 1.224273987895605265e+00 1.539422683679870889e-02
3.831776170052258749e+03 1.233276980794335120e+00 1.502448663850602072e-02
3.835607946222312421e+03 1.238415131990177054e+00 1.383017556258827815e-02
3.839443554168536139e+03 1.259722027013492784e+00 1.260345951146134465e-02
3.843282997722705659e+03 1.276150469902188389e+00 1.303889412410347629e-02
3.847126280720429804e+03 1.286881172706704879e+00 1.249495610204931322e-02
3.850973407001151372e+03 1.296273205455180433e+00 1.365851925130565081e-02
3.854824380408153957e+03 1.318533504790200928e+00 1.586426989753283306e-02
3.858679204788563311e+03 1.337318105200412610e+00 1.621173323504774416e-02
3.862537883993353262e+03 1.352264523876177016e+00 1.608440386086210094e-02
3.866400421877347981e+03 1.365058669394314528e+00 1.522528675569165095e-02
3.870266822299226533e+03 1.365312702093762764e+00 1.545323799415624505e-02
