# starting wavelength: 3452.178
# ending wavelength: 8755.666
# wav flux eflux
3.453473074813126004e+03 8.605018507361285041e-01 1.553658918151308854e-01
3.456926547887940615e+03 8.829611919119251251e-01 1.134598714249647755e-01
3.460383474435829612e+03 9.010807823869123601e-01 8.632270539626413219e-02
3.463843857910266706e+03 9.213701974250494420e-01 6.663768145527614040e-02
3.467307701768178049e+03 9.340313243848217262e-01 5.163180711394305816e-02
3.470775009469947236e+03 9.468272704978731857e-01 4.259551671575301235e-02
3.474245784479418489e+03 9.510936759876327251e-01 5.691097008612846370e-02
3.477720030263898934e+03 9.672620663143266517e-01 4.615050992899102228e-02
3.481197750294164052e+03 9.838844889565511176e-01 3.913852151022083337e-02
3.484678948044459503e+03 9.967317807351812053e-01 3.406996921969791814e-02
3.488163626992504760e+03 1.009224436881972053e+00 2.957304394356106286e-02
3.491651790619498570e+03 1.022032705458178370e+00 2.664115433292423701e-02
3.495143442410119405e+03 1.041670045483332752e+00 2.664717951746674654e-02
3.498638585852530468e+03 1.048628573779968542e+00 2.482029390669087190e-02
3.502137224438384237e+03 1.054182846825233000e+00 2.323429425681848570e-02
3.505639361662823831e+03 1.053512343214182190e+00 2.248136410800332871e-02
3.509145001024487556e+03 1.039484124341554683e+00 2.318502572519179697e-02
3.512654146025513455e+03 1.017200959520897063e+00 2.726303584362555973e-02
3.516166800171540217e+03 1.011621733157593850e+00 2.719888786537153977e-02
3.519682966971712631e+03 1.000831348016668620e+00 2.748078594242863923e-02
3.523202649938685681e+03 9.820698407969554733e-01 2.789672275867715462e-02
3.526725852588625457e+03 9.763316154930163915e-01 2.784244994772085494e-02
3.530252578441215064e+03 9.640183584692879615e-01 2.844082873423794608e-02
3.533782831019657806e+03 9.554328910454805701e-01 2.691072841791863207e-02
3.537316613850678550e+03 9.534450016203167566e-01 2.687320799993499210e-02
3.540853930464530094e+03 9.608007382481440484e-01 2.876710424713217404e-02
3.544394784394995895e+03 9.612010635321110996e-01 2.885779244410361516e-02
3.547939179179392340e+03 9.614525553040571548e-01 2.883766754280204375e-02
3.551487118358572843e+03 9.608391601677891414e-01 2.848074463715476526e-02
3.555038605476932389e+03 9.653151561192683250e-01 2.977848406807719756e-02
3.558593644082410719e+03 9.774801402107654580e-01 2.952254425345605948e-02
3.562152237726494150e+03 9.881828343993126484e-01 2.858956401336097686e-02
3.565714389964221937e+03 9.977289808149395478e-01 2.969783999856858911e-02
3.569280104354187188e+03 1.015335444665805831e+00 2.741861287424878293e-02
3.572849384458542772e+03 1.027404673553655279e+00 2.675178005359802810e-02
3.576422233843002232e+03 1.041685906394478778e+00 2.607707030508740059e-02
3.579998656076846601e+03 1.047569044994768772e+00 2.577426181007991257e-02
3.583578654732924406e+03 1.044866546810158559e+00 2.693535254781040389e-02
3.587162233387658489e+03 1.045482474351253188e+00 2.691160540916866586e-02
3.590749395621047370e+03 1.030846233286665470e+00 2.653855617741237433e-02
3.594340145016669794e+03 1.013336508596423213e+00 2.534728683840719796e-02
3.597934485161687462e+03 1.011270993723505374e+00 2.629538439406733236e-02
3.601532419646850485e+03 1.006009625137338714e+00 2.502408327935615531e-02
3.605133952066498296e+03 9.903806263257725062e-01 2.170448029826728062e-02
3.608739086018566013e+03 9.749972273188995953e-01 2.012041390884577313e-02
3.612347825104585809e+03 9.686370697366778471e-01 1.916289252775953827e-02
3.615960172929691907e+03 9.647114010226909286e-01 1.915843234056908984e-02
3.619576133102622407e+03 9.739522970836642646e-01 1.778377275918759451e-02
3.623195709235726554e+03 9.885600924205775186e-01 1.835151517515112157e-02
3.626818904944963379e+03 9.947535944449348300e-01 1.837446992400861706e-02
3.630445723849909427e+03 1.004132130301772730e+00 1.896973958145415154e-02
3.634076169573760581e+03 1.008288054133524403e+00 1.873918381143586248e-02
3.637710245743335690e+03 1.014395139287025627e+00 1.880622214565158545e-02
3.641347955989080219e+03 1.027141554422646097e+00 1.746272542361903754e-02
3.644989303945070333e+03 1.033085234484669490e+00 1.717963134141449119e-02
3.648634293249016537e+03 1.038730217519136190e+00 1.796543607553258148e-02
3.652282927542266862e+03 1.045554664334940709e+00 1.707262596361435597e-02
3.655935210469810499e+03 1.057210441097356179e+00 1.618281478842657078e-02
3.659591145680281443e+03 1.072900371707526723e+00 1.504390476776592059e-02
3.663250736825963031e+03 1.080606676969997793e+00 1.495015645376129507e-02
3.666913987562790226e+03 1.088151656631966668e+00 1.426248374770758449e-02
3.670580901550354156e+03 1.088640064194697610e+00 1.446666681138916721e-02
3.674251482451905758e+03 1.089233780929660389e+00 1.422483234640447951e-02
3.677925733934358959e+03 1.080786962948801611e+00 1.696652297393682479e-02
3.681603659668294313e+03 1.084294025088247571e+00 1.697369666889066500e-02
3.685285263327964003e+03 1.077203565034402732e+00 1.879046288488950278e-02
3.688970548591293209e+03 1.092430317815372254e+00 1.909742705029555607e-02
3.692659519139885560e+03 1.100770515722879317e+00 2.002491108878422243e-02
3.696352178659026777e+03 1.114907007438673103e+00 1.932492718944089916e-02
3.700048530837686940e+03 1.124360425680879461e+00 1.898328025326492113e-02
3.703748579368525952e+03 1.135722117888338323e+00 1.999768539928312508e-02
3.707452327947895355e+03 1.153733638361847280e+00 2.113391987325853941e-02
3.711159780275844696e+03 1.165677459730280585e+00 2.018951760172641927e-02
3.714870940056121526e+03 1.180439917663627103e+00 1.999733816062092620e-02
3.718585810996179134e+03 1.193204163368372761e+00 1.959672099921403593e-02
3.722304396807176545e+03 1.198928397076943986e+00 1.984527830412079544e-02
3.726026701203984885e+03 1.198250561946857085e+00 1.984710958028574126e-02
3.729752727905190113e+03 1.193794396027604066e+00 1.976235973820850839e-02
3.733482480633096657e+03 1.189192485272079880e+00 1.905123641457954695e-02
3.737215963113731050e+03 1.185489076197724589e+00 1.985568991171773878e-02
3.740953179076846027e+03 1.169478471129422825e+00 2.096259015363561434e-02
3.744694132255923705e+03 1.147045639843356390e+00 2.277103387558205433e-02
3.748438826388181042e+03 1.131522679152511701e+00 2.212350079792149704e-02
3.752187265214570289e+03 1.116639836077849113e+00 2.034508096325474136e-02
3.755939452479786269e+03 1.117004738599514324e+00 2.045916241794247872e-02
3.759695391932267285e+03 1.110470904429146755e+00 1.989099649723442137e-02
3.763455087324201031e+03 1.103071466613597673e+00 2.073991690964286511e-02
3.767218542411526414e+03 1.111311412811406996e+00 2.006675552510163094e-02
3.770985760953939007e+03 1.115781348444246035e+00 1.911377822571676960e-02
3.774756746714894234e+03 1.129652666092908930e+00 1.687873940048881249e-02
3.778531503461610555e+03 1.142113890840477763e+00 1.458118107049789780e-02
3.782310034965073100e+03 1.147737276836630071e+00 1.431950462780485350e-02
3.786092345000039586e+03 1.154174679172984330e+00 1.430887120457670011e-02
3.789878437345040766e+03 1.154508955010228100e+00 1.399427022331500327e-02
3.793668315782387253e+03 1.167025309459040150e+00 1.287468846056835821e-02
3.797461984098170888e+03 1.169074765067050992e+00 1.361629145475079863e-02
3.801259446082270188e+03 1.171240075557361981e+00 1.306454625490123880e-02
3.805060705528353537e+03 1.166414508364971292e+00 1.282069255838808736e-02
3.808865766233883278e+03 1.160409712617583189e+00 1.361674416453859289e-02
3.812674632000118436e+03 1.143690167416754333e+00 1.442355122496407488e-02
3.816487306632119726e+03 1.131996760381593914e+00 1.545686746197457058e-02
3.820303793938753188e+03 1.128693040734581654e+00 1.546979191113539466e-02
3.824124097732693372e+03 1.129614564871973093e+00 1.518574326531652550e-02
3.827948221830427428e+03 1.136876601617406335e+00 1.604012094308127426e-02
3.831776170052258749e+03 1.138571953422380156e+00 1.707887617900012700e-02
3.835607946222312421e+03 1.141290682949145152e+00 1.603356049818400672e-02
3.839443554168536139e+03 1.140320364029902445e+00 1.610624171811175787e-02
3.843282997722705659e+03 1.140493328162050402e+00 1.423549967089352518e-02
3.847126280720429804e+03 1.147198798253168617e+00 1.512800421514957049e-02
