# starting wavelength: 4212.300
# ending wavelength: 6552.467
# wav flux eflux
4.213446586125221984e+03 8.940207921232186106e-01 1.197907272746843305e-01
4.217660032711349231e+03 8.990020738433875946e-01 8.716854059866424587e-02
4.221877692744061278e+03 8.952300976601885729e-01 6.527705661683096128e-02
4.226099570436806971e+03 8.930440033626064755e-01 4.901062638276306588e-02
4.230325670007245208e+03 8.870061122409955701e-01 3.945998253324813770e-02
4.234555995677254032e+03 8.861316066089715004e-01 3.203813792176649078e-02
4.238790551672932452e+03 8.903083265734449414e-01 2.617790813210630826e-02
4.243029342224606808e+03 8.975210869959946436e-01 2.147704427739751190e-02
4.247272371566832589e+03 9.030896412879404478e-01 1.839344889600834018e-02
4.251519643938400804e+03 9.053196023841649787e-01 1.613982529646051933e-02
4.255771163582340705e+03 9.072460995662331440e-01 1.411337445981477971e-02
4.260026934745924336e+03 9.047292377868719759e-01 1.298627900792436937e-02
4.264286961680671993e+03 9.034034681006035683e-01 1.188064691509639961e-02
4.268551248642354039e+03 9.071030005100768623e-01 1.140373800991865624e-02
4.272819799890998183e+03 9.096444985080599510e-01 1.093213207544482812e-02
4.277092619690890388e+03 9.068590891910818241e-01 1.071521132915131957e-02
4.281369712310583054e+03 9.059765063647926553e-01 1.031718099229826137e-02
4.285651082022895025e+03 9.067207052752073171e-01 1.008214610171393605e-02
4.289936733104918858e+03 9.069080859467447686e-01 1.026246562278727154e-02
4.294226669838025373e+03 8.991631477936633532e-01 9.731448221544937091e-03
4.298520896507864563e+03 8.999583270156464865e-01 9.589034389585610052e-03
4.302819417404373780e+03 8.971901631326085758e-01 9.644086833904493700e-03
4.307122236821779552e+03 8.954927725559631568e-01 9.578575798359974247e-03
4.311429359058603040e+03 8.907328454867166068e-01 9.702459221755849877e-03
4.315740788417662770e+03 8.878453198662081824e-01 9.680845908452520229e-03
4.320056529206081905e+03 8.837384473648678407e-01 9.617800745013834612e-03
4.324376585735290064e+03 8.872026938289737652e-01 9.677267993889229411e-03
4.328700962321026054e+03 8.952294823144584246e-01 9.743955160176429736e-03
4.333029663283348782e+03 8.984867959084787969e-01 9.755402711889696321e-03
4.337362692946633615e+03 9.026259958368507696e-01 9.559891294891618985e-03
4.341700055639581478e+03 9.056144102706448207e-01 9.673989146309312781e-03
4.346041755695222491e+03 9.112725004041289933e-01 9.970601188779902244e-03
4.350387797450919606e+03 9.172538402279057923e-01 1.028062407285848696e-02
4.354738185248371337e+03 9.183394253955682318e-01 1.043650554350614330e-02
4.359092923433621763e+03 9.182447350537820130e-01 1.082510906269499966e-02
4.363452016357056891e+03 9.232863722785127347e-01 1.137676163414449992e-02
4.367815468373414660e+03 9.325500776218235144e-01 1.101656427196290658e-02
4.372183283841789489e+03 9.441226644640818844e-01 1.037982820753336616e-02
4.376555467125633186e+03 9.449201565360336730e-01 1.078188450537131450e-02
4.380932022592760404e+03 9.404773495391343108e-01 1.093294149793761286e-02
4.385312954615354101e+03 9.377382019099709254e-01 1.110642627210590982e-02
4.389698267569970994e+03 9.335346555708334826e-01 1.115344063459673685e-02
4.394087965837542470e+03 9.303151724628123675e-01 1.136824617511109602e-02
4.398482053803381859e+03 9.222293769846160449e-01 1.157278049767207148e-02
4.402880535857186260e+03 9.145086375688665781e-01 1.150961767938181619e-02
4.407283416393044718e+03 9.133219302338443368e-01 1.142758266276698575e-02
4.411690699809440048e+03 9.083612905120284076e-01 1.167315223044217316e-02
4.416102390509250654e+03 9.108269952550915871e-01 1.192480774109021778e-02
4.420518492899761441e+03 9.127284055324262901e-01 1.240549522655565000e-02
4.424939011392662906e+03 9.176452237489983732e-01 1.294191688054335820e-02
4.429363950404056595e+03 9.248014683737892927e-01 1.374819798000708436e-02
4.433793314354462382e+03 9.363422365653135682e-01 1.346705441986446872e-02
4.438227107668818462e+03 9.383856957884790795e-01 1.418863971449206909e-02
