# starting wavelength: 2849.076
# ending wavelength: 7045.688
# wav flux eflux
2.850448496440895724e+03 7.139358749407134219e-01 8.817780197029416733e-01
2.853298944937337637e+03 8.118450679555881955e-01 6.291059240772342021e-01
2.856152243882275798e+03 8.905524636059750643e-01 4.773796932964995965e-01
2.859008396126159369e+03 9.447789955042207310e-01 3.587262681629353467e-01
2.861867404522286051e+03 1.000288998712560051e+00 2.786959851877665595e-01
2.864729271926809361e+03 1.036129485276556572e+00 2.194766997107076845e-01
2.867594001198737260e+03 1.061067351208072385e+00 2.065093436510650193e-01
2.870461595199936710e+03 1.096833022194643847e+00 1.823224285665992761e-01
2.873332056795137760e+03 1.118453213122229783e+00 1.512041031712776373e-01
2.876205388851934003e+03 1.119107014895652119e+00 1.337442860048585203e-01
2.879081594240786671e+03 1.124892872962694357e+00 1.166875723782274665e-01
2.881960675835028724e+03 1.148532668361409659e+00 1.073270218880354454e-01
2.884842636510864395e+03 1.132793960620772644e+00 9.995972874690858823e-02
2.887727479147376471e+03 1.133908497624433132e+00 9.367188657716113420e-02
2.890615206626524468e+03 1.128098052641556936e+00 8.785453268142638661e-02
2.893505821833151913e+03 1.158884778239563040e+00 8.661785137106571553e-02
2.896399327654986337e+03 1.159926346970518551e+00 8.486535304078857145e-02
2.899295726982642009e+03 1.185825511314438030e+00 8.530909633120495328e-02
2.902195022709625846e+03 1.158898775170193129e+00 8.504576700916977039e-02
2.905097217732336503e+03 1.170071106138983019e+00 8.792299354262435307e-02
2.908002314950069831e+03 1.157916045346892409e+00 8.750393109338323872e-02
2.910910317265020694e+03 1.161134315496213265e+00 8.377413610334227823e-02
2.913821227582286610e+03 1.166931971709010085e+00 8.727164609053715549e-02
2.916735048809870023e+03 1.155945086401626520e+00 8.624131042564547878e-02
2.919651783858680574e+03 1.152548469850604995e+00 8.656119262678355075e-02
2.922571435642540564e+03 1.169458976164803321e+00 8.429457042926995214e-02
2.925494007078184040e+03 1.157235884174141249e+00 8.252570939688047558e-02
2.928419501085263164e+03 1.171281488114347624e+00 8.366602425451305503e-02
2.931347920586349119e+03 1.155853771554333553e+00 8.147373074898439649e-02
2.934279268506936660e+03 1.143536845779231204e+00 8.168979275284669883e-02
2.937213547775444567e+03 1.160123755961284697e+00 8.414059594498883576e-02
2.940150761323221104e+03 1.159151925481243017e+00 8.435660631514019236e-02
2.943090912084544925e+03 1.181497616268353035e+00 8.310292250780368373e-02
2.946034002996630534e+03 1.148406453291417328e+00 8.084390094861185205e-02
2.948980036999628283e+03 1.140261776231204616e+00 8.147040045511544371e-02
2.951929017036628920e+03 1.144052953015522789e+00 7.796948469489282940e-02
2.954880946053666321e+03 1.152905168914118539e+00 8.104600943739968810e-02
2.957835826999721121e+03 1.130074363352881139e+00 7.934574993310233859e-02
2.960793662826721629e+03 1.148617355270640905e+00 8.218084355537520758e-02
2.963754456489549284e+03 1.143277372171896955e+00 8.209797897986395587e-02
2.966718210946040017e+03 1.149666006686546949e+00 8.231655530111024743e-02
2.969684929156986982e+03 1.192456557367983283e+00 7.076118011641092942e-02
2.972654614086145102e+03 1.164043643070997058e+00 7.142127683377239022e-02
2.975627268700231980e+03 1.143260420132983235e+00 6.801877055657587490e-02
2.978602895968933353e+03 1.108862366894155516e+00 6.941635402330204041e-02
2.981581498864903097e+03 1.097257076950114207e+00 7.106443270694719205e-02
2.984563080363769132e+03 1.031610451482323887e+00 8.424480773450061799e-02
2.987547643444133882e+03 9.779175617399650244e-01 7.694368919688872321e-02
2.990535191087578823e+03 9.490001066252875539e-01 7.975467597458940627e-02
