# starting wavelength: 2755.044
# ending wavelength: 8190.584
# wav flux eflux
2.755209099051350222e+03 4.128987047442543634e+00 2.904620814183487276e-01
2.757964308150402758e+03 4.156161371198351162e+00 2.397446343940708435e-01
2.760722272458554016e+03 4.134070145101874871e+00 2.002780499177934659e-01
2.763482994731013605e+03 4.117899638538063734e+00 1.695618298111202238e-01
2.766246477725745535e+03 4.093932308503585915e+00 1.447037007763994909e-01
2.769012724203471862e+03 4.059880646327354015e+00 1.254383075187760765e-01
2.771781736927676320e+03 4.014824422376815249e+00 1.108721883027459776e-01
2.774553518664604780e+03 3.967531587929475023e+00 1.002338104509238603e-01
2.777328072183270706e+03 3.949785506219619879e+00 9.199184623148774775e-02
2.780105400255454697e+03 3.902500131121323879e+00 8.572068220974585206e-02
2.782885505655710858e+03 3.891513690503286327e+00 8.131645835323236815e-02
2.785668391161367708e+03 3.905996669146542200e+00 7.858984954034517467e-02
2.788454059552529998e+03 3.868286246500216130e+00 7.585074280147761916e-02
2.791242513612083258e+03 3.851385532040182191e+00 7.457564591017293298e-02
2.794033756125696527e+03 3.850223020498823701e+00 7.274142720721644972e-02
2.796827789881823264e+03 3.821310343097305218e+00 7.169787732952592751e-02
2.799624617671705892e+03 3.826989433374476945e+00 7.043990068688510409e-02
2.802424242289378526e+03 3.859883540090750742e+00 7.037348935654526294e-02
2.805226666531668798e+03 3.895582494771199222e+00 7.036723909757583439e-02
2.808031893198201487e+03 3.903084180892563371e+00 6.765021795250203418e-02
2.810839925091400346e+03 3.891858535033416722e+00 6.529915262438083789e-02
2.813650765016492642e+03 3.891949310821022134e+00 6.489987570061699074e-02
2.816464415781510070e+03 3.876679594226348780e+00 6.475252423494917697e-02
2.819280880197292845e+03 3.876311476446636650e+00 6.369720806520615120e-02
2.822100161077491066e+03 3.900378391117895749e+00 6.192866603509840362e-02
2.824922261238569263e+03 3.906707965802280746e+00 6.116323439038298670e-02
2.827747183499808671e+03 3.885444132864724676e+00 6.189550232355723464e-02
2.830574930683309503e+03 3.882259816908934180e+00 6.104128212989588798e-02
2.833405505613993682e+03 3.863503810061219124e+00 6.008602481202102163e-02
2.836238911119608929e+03 3.851292660005308122e+00 5.886221563390808820e-02
2.839075150030729219e+03 3.841244796878330536e+00 5.842060919857342688e-02
2.841914225180761150e+03 3.800363282064369574e+00 5.760407144999860757e-02
2.844756139405942577e+03 3.799483826602821690e+00 5.579372157329562376e-02
2.847600895545349431e+03 3.787131609496096285e+00 5.509268157475561561e-02
2.850448496440895724e+03 3.758023245339373375e+00 5.388230640186886938e-02
2.853298944937337637e+03 3.759372308995815537e+00 5.349938071530394024e-02
2.856152243882275798e+03 3.786090633060215982e+00 5.305533153216943076e-02
2.859008396126159369e+03 3.785433482147449347e+00 5.262290012091148245e-02
2.861867404522286051e+03 3.800755702530244751e+00 5.222493150309351351e-02
2.864729271926809361e+03 3.838000018343759034e+00 5.204700399186511922e-02
2.867594001198737260e+03 3.862099349368912193e+00 5.236904442063247678e-02
2.870461595199936710e+03 3.882678656688250296e+00 5.204199284920157237e-02
2.873332056795137760e+03 3.912575773786283850e+00 5.350186615587575190e-02
2.876205388851934003e+03 3.938816160152753376e+00 5.353738877616373570e-02
2.879081594240786671e+03 3.990773337263113341e+00 5.334345445488103410e-02
2.881960675835028724e+03 4.043969087207006652e+00 5.308733538866559909e-02
2.884842636510864395e+03 4.098456368474785450e+00 5.199168260827227717e-02
2.887727479147376471e+03 4.148936549632536774e+00 5.260484113242074045e-02
2.890615206626524468e+03 4.188759380429558199e+00 5.185916867968671379e-02
2.893505821833151913e+03 4.222637346150890814e+00 5.352423081145913503e-02
2.896399327654986337e+03 4.263750870269475080e+00 5.378140034357203891e-02
2.899295726982642009e+03 4.285506058799970930e+00 5.413965438194433266e-02
2.902195022709625846e+03 4.316318894978308229e+00 5.405354692156398577e-02
2.905097217732336503e+03 4.357958867684454951e+00 5.368207362799183591e-02
2.908002314950069831e+03 4.373381712397254262e+00 5.349419931780015347e-02
2.910910317265020694e+03 4.393861228103577155e+00 5.452283748751236142e-02
2.913821227582286610e+03 4.413399356720511868e+00 5.364276392108616870e-02
2.916735048809870023e+03 4.431487707566607703e+00 5.370630209412593364e-02
2.919651783858680574e+03 4.460510958253776082e+00 5.270356372120075378e-02
2.922571435642540564e+03 4.484478747390240549e+00 5.292277423628231892e-02
2.925494007078184040e+03 4.473543664669271003e+00 5.262539553967205547e-02
2.928419501085263164e+03 4.458740468807870450e+00 5.385746642333769096e-02
2.931347920586349119e+03 4.471078250049584035e+00 5.377119909363143463e-02
2.934279268506936660e+03 4.464932668412028072e+00 5.320714984333928255e-02
