# starting wavelength: 2745.669
# ending wavelength: 8200.632
# wav flux eflux
2.746959975497967207e+03 1.113882867692344680e+00 6.273701319984217317e-01
2.749706935473466274e+03 1.134958471639951672e+00 4.742980390781866840e-01
2.752456642408940297e+03 1.129887794105365550e+00 3.521510614032022368e-01
2.755209099051350222e+03 1.104323251159862407e+00 2.735369095347383039e-01
2.757964308150402758e+03 1.110737605500472069e+00 2.164524013797096968e-01
2.760722272458554016e+03 1.110701100335938829e+00 1.706808206196424593e-01
2.763482994731013605e+03 1.083706952628743503e+00 1.436487046008319557e-01
2.766246477725745535e+03 1.082822665270400719e+00 1.179520941438787496e-01
2.769012724203471862e+03 1.092413761423602470e+00 1.027839150334673296e-01
2.771781736927676320e+03 1.102547564226418197e+00 8.781041293691066452e-02
2.774553518664604780e+03 1.122068852653559379e+00 7.812477740588168185e-02
2.777328072183270706e+03 1.133819313872203693e+00 7.005126460006889932e-02
2.780105400255454697e+03 1.150903266191384500e+00 6.389144064777559084e-02
2.782885505655710858e+03 1.138996379976679130e+00 5.997183968078900751e-02
2.785668391161367708e+03 1.138947776389947819e+00 5.628445196142072005e-02
2.788454059552529998e+03 1.135700952994455282e+00 5.377475388144372509e-02
2.791242513612083258e+03 1.116622079576344850e+00 5.230135641097553856e-02
2.794033756125696527e+03 1.103459842293303295e+00 5.063690468021283392e-02
2.796827789881823264e+03 1.102192452560533775e+00 4.914224200338714044e-02
2.799624617671705892e+03 1.122202434351102118e+00 4.816036148576273435e-02
2.802424242289378526e+03 1.125638208782309801e+00 4.766698616260302973e-02
2.805226666531668798e+03 1.152721033768838943e+00 4.792039446666758462e-02
2.808031893198201487e+03 1.169658846692246623e+00 4.754542064044983696e-02
2.810839925091400346e+03 1.204511571758587252e+00 4.835228643702235013e-02
2.813650765016492642e+03 1.217186108772793318e+00 4.819255761098074908e-02
2.816464415781510070e+03 1.227221017415847326e+00 4.801588528231779535e-02
2.819280880197292845e+03 1.231142326729126379e+00 4.855367178530425876e-02
2.822100161077491066e+03 1.227642673398877005e+00 4.950825095159461231e-02
2.824922261238569263e+03 1.244279969129883368e+00 4.899533429883853181e-02
2.827747183499808671e+03 1.263454730516019309e+00 4.761214898893077752e-02
2.830574930683309503e+03 1.297464113661328078e+00 4.724105902122474610e-02
2.833405505613993682e+03 1.316305279088862079e+00 4.606450867052842846e-02
2.836238911119608929e+03 1.313239846345074957e+00 4.454798865360819204e-02
2.839075150030729219e+03 1.316761134405648237e+00 4.335200273692726980e-02
2.841914225180761150e+03 1.289571787762149757e+00 4.340124739716654662e-02
2.844756139405942577e+03 1.273229898694138829e+00 4.163156367082855580e-02
2.847600895545349431e+03 1.252597663104625170e+00 4.061940817390120168e-02
2.850448496440895724e+03 1.236909422242440160e+00 3.996853985552976940e-02
2.853298944937337637e+03 1.238848580858648463e+00 3.969296693758148781e-02
2.856152243882275798e+03 1.229307930145591365e+00 3.880055548239866314e-02
2.859008396126159369e+03 1.239346582964410581e+00 3.807428201624195319e-02
2.861867404522286051e+03 1.250652097708783161e+00 3.771629158182220054e-02
2.864729271926809361e+03 1.277123636940798335e+00 3.900090279998012777e-02
2.867594001198737260e+03 1.308941436021430427e+00 3.994083865363317470e-02
2.870461595199936710e+03 1.345784821295277212e+00 4.120311597577201723e-02
2.873332056795137760e+03 1.394121355978789945e+00 4.153949795888899066e-02
2.876205388851934003e+03 1.429553771666577155e+00 4.101190825665851358e-02
2.879081594240786671e+03 1.482574259379233261e+00 4.117242688902102848e-02
2.881960675835028724e+03 1.517157161542017629e+00 3.998011928871512966e-02
2.884842636510864395e+03 1.540613950287324840e+00 3.989262322996522947e-02
2.887727479147376471e+03 1.577371162985069963e+00 3.834186509847129637e-02
2.890615206626524468e+03 1.596606944527705352e+00 3.823969487442591131e-02
2.893505821833151913e+03 1.590429514405424349e+00 3.682306394651629899e-02
2.896399327654986337e+03 1.566951327730055299e+00 3.633191531350581788e-02
2.899295726982642009e+03 1.546182289506770946e+00 3.560459951284195707e-02
2.902195022709625846e+03 1.500399465149800715e+00 3.548027899356586551e-02
2.905097217732336503e+03 1.461961378232220721e+00 3.515058205446904005e-02
2.908002314950069831e+03 1.419643355871167856e+00 3.499157061354313952e-02
2.910910317265020694e+03 1.390866443071795633e+00 3.490810875483252307e-02
2.913821227582286610e+03 1.344332357390259691e+00 3.402534003703364812e-02
2.916735048809870023e+03 1.301501189590768215e+00 3.327910131184552006e-02
2.919651783858680574e+03 1.262920604999811625e+00 3.177969577232724746e-02
2.922571435642540564e+03 1.235921338892883581e+00 3.078829672253451111e-02
2.925494007078184040e+03 1.226943712844385193e+00 3.108350143340065166e-02
2.928419501085263164e+03 1.234022513017168698e+00 3.100462907194505638e-02
2.931347920586349119e+03 1.248411261298482122e+00 3.126667832132852543e-02
2.934279268506936660e+03 1.282124900564798331e+00 3.221351515891108380e-02
2.937213547775444567e+03 1.307509993945095372e+00 3.211705389064295479e-02
2.940150761323221104e+03 1.334987253297481802e+00 3.236365575630606450e-02
2.943090912084544925e+03 1.367954955425723318e+00 3.314212481344780414e-02
2.946034002996630534e+03 1.397927318942037811e+00 3.379879558248469196e-02
2.948980036999628283e+03 1.440318500706593730e+00 3.451852038679251861e-02
2.951929017036628920e+03 1.488378475724610794e+00 3.551619016550140728e-02
2.954880946053666321e+03 1.530310488112793799e+00 3.438068111725339771e-02
2.957835826999721121e+03 1.561821725860298438e+00 3.422901163363834681e-02
2.960793662826721629e+03 1.576535497557256527e+00 3.402418055980940131e-02
2.963754456489549284e+03 1.569769570628699817e+00 3.350354447058946639e-02
2.966718210946040017e+03 1.567867019721426836e+00 3.251767826272692480e-02
2.969684929156986982e+03 1.532041300574197518e+00 3.156461239679763525e-02
2.972654614086145102e+03 1.489068277274864016e+00 3.061804874117123390e-02
2.975627268700231980e+03 1.452095329879194985e+00 2.976527588709535974e-02
2.978602895968933353e+03 1.406154324277642642e+00 2.774395063381773427e-02
2.981581498864903097e+03 1.363002142133337813e+00 2.703718699917433479e-02
2.984563080363769132e+03 1.324511877074330712e+00 2.639348254484272932e-02
2.987547643444133882e+03 1.284724554596855972e+00 2.504541004706236154e-02
2.990535191087578823e+03 1.246489907506466377e+00 2.463428232298673498e-02
2.993525726278667662e+03 1.219876087485343374e+00 2.457862702228989088e-02
2.996519252004947248e+03 1.195831533587474738e+00 2.384859409757719706e-02
2.999515771256953030e+03 1.178820729310347426e+00 2.431180689359477981e-02
3.002515287028211333e+03 1.177913573121245339e+00 2.399929797677950727e-02
3.005517802315240260e+03 1.188817221925092982e+00 2.347141957664407308e-02
3.008523320117556523e+03 1.198273260354050906e+00 2.423131218572946791e-02
3.011531843437674979e+03 1.237116643995656906e+00 2.438273128767387554e-02
3.014543375281113640e+03 1.269609832849514008e+00 2.439740389333817580e-02
3.017557918656395941e+03 1.311217435385629626e+00 2.446458766594005949e-02
3.020575476575053472e+03 1.346777374131728822e+00 2.487358584168478451e-02
3.023596052051629158e+03 1.372278864694091549e+00 2.598730933178536665e-02
3.026619648103681811e+03 1.402265122782764495e+00 2.633097277138472803e-02
3.029646267751786581e+03 1.410729787923300949e+00 2.652811745020433251e-02
3.032675914019539505e+03 1.423010308220666875e+00 2.634816964362809988e-02
3.035708589933559779e+03 1.437140598275286951e+00 2.649504313698938449e-02
3.038744298523494763e+03 1.435541575792251612e+00 2.682034899618253310e-02
3.041783042822019070e+03 1.429792652708522738e+00 2.603618728926713338e-02
3.044824825864842296e+03 1.414011963500227509e+00 2.498816073098826529e-02
3.047869650690708113e+03 1.396438739856388889e+00 2.466129006018946690e-02
3.050917520341399722e+03 1.381883363774715434e+00 2.414640267420350636e-02
3.053968437861742132e+03 1.357172887320791110e+00 2.371402995579053458e-02
3.057022406299604881e+03 1.330518412845199894e+00 2.362790936074743789e-02
3.060079428705905229e+03 1.297820564283607814e+00 2.359434943879422028e-02
3.063139508134612242e+03 1.268731416470475715e+00 2.532780462729892351e-02
3.066202647642748161e+03 1.239218129120889245e+00 2.524560253582310010e-02
3.069268850290391583e+03 1.213255537635365311e+00 2.498216397636527156e-02
3.072338119140682920e+03 1.195007483360589484e+00 2.475140860896412470e-02
3.075410457259824852e+03 1.191158894759857256e+00 2.496506761268428576e-02
3.078485867717085512e+03 1.206374740075618845e+00 2.575940987524762138e-02
3.081564353584803939e+03 1.214941640116542487e+00 2.593691232603487565e-02
3.084645917938389630e+03 1.218284326776806648e+00 2.611870629385387027e-02
3.087730563856328899e+03 1.223828507359117967e+00 2.685710982667734517e-02
3.090818294420186248e+03 1.230579505044169464e+00 2.743271499290764193e-02
3.093909112714607545e+03 1.237168332588954867e+00 2.760155970946484225e-02
3.097003021827323209e+03 1.273848633134258890e+00 2.730560787980178261e-02
3.100100024849151396e+03 1.297920156758322285e+00 2.746780710951773202e-02
