# starting wavelength: 3331.610
# ending wavelength: 9993.720
# wav flux eflux
3.334750624688901553e+03 3.462564454880923126e+00 1.439570456426379416e-02
3.338085375313591612e+03 3.485281144400504516e+00 1.108970253267193597e-02
3.341423460688906289e+03 3.508956709618831216e+00 8.436999631368296768e-03
3.344764884149596128e+03 3.531894131444087481e+00 6.484631514227548812e-03
3.348109649033746791e+03 3.553294360703756816e+00 5.018988609742745279e-03
3.351457758682781787e+03 3.573164205151386330e+00 3.960687891726470504e-03
3.354809216441465651e+03 3.591471489084852031e+00 3.196504369414971021e-03
3.358164025657908041e+03 3.608176461609757357e+00 2.608111740405416427e-03
3.361522189683567376e+03 3.623465067597002154e+00 2.207508453174983603e-03
3.364883711873251741e+03 3.637832266352050148e+00 1.934911973077148035e-03
3.368248595585126168e+03 3.651239118080865431e+00 1.685501780394811546e-03
3.371616844180712633e+03 3.663643687886978473e+00 1.502532020610187601e-03
3.374988461024894150e+03 3.674991415094802871e+00 1.359721438580773845e-03
3.378363449485920228e+03 3.685206471805670958e+00 1.246420449008653862e-03
3.381741812935407324e+03 3.694285372112662280e+00 1.158819850678275603e-03
3.385123554748343849e+03 3.702125681127466983e+00 1.109978062515031092e-03
3.388508678303093347e+03 3.708961697141926805e+00 1.066688813190030602e-03
3.391897186981397681e+03 3.714810641595408303e+00 1.068133439552224886e-03
3.395289084168380214e+03 3.719467381133621409e+00 1.091191639707262675e-03
3.398684373252549449e+03 3.722677933915423676e+00 1.110467281181287853e-03
3.402083057625803121e+03 3.724655923775711308e+00 1.141994891342780309e-03
3.405485140683430018e+03 3.725256728558631547e+00 1.139935358369408708e-03
3.408890625824114522e+03 3.724591723266815091e+00 1.117678388800855431e-03
3.412299516449939802e+03 3.722707375327561685e+00 1.059598943898840736e-03
3.415711815966390986e+03 3.719942724076664042e+00 8.582210190732853178e-04
3.419127527782358356e+03 3.715423705183114933e+00 8.375566768406530116e-04
3.422546655310141887e+03 3.709471573739908656e+00 9.769935971307890446e-04
3.425969201965453522e+03 3.702043455160243468e+00 1.148367132651568730e-03
3.429395171167419903e+03 3.693333471870904106e+00 1.147125692310483171e-03
3.432824566338588284e+03 3.683967871341345734e+00 1.061078555805098148e-03
3.436257390904928343e+03 3.674224372163059193e+00 9.425716404839551638e-04
3.439693648295834464e+03 3.663875165681601320e+00 8.610474704315033067e-04
3.443133341944131189e+03 3.653048063941489065e+00 8.389136250219187112e-04
3.446576475286076402e+03 3.641676322035844571e+00 8.304011620399920270e-04
3.450023051761363604e+03 3.629635649709368472e+00 8.518839388818305733e-04
3.453473074813126004e+03 3.617431209535513226e+00 8.466383215430923169e-04
3.456926547887940615e+03 3.604907890809857296e+00 8.833077487548471373e-04
3.460383474435829612e+03 3.592372820485816298e+00 8.878425470010853924e-04
3.463843857910266706e+03 3.580020439686593114e+00 8.827749726039398927e-04
3.467307701768178049e+03 3.567829569425204017e+00 8.869341193484169212e-04
3.470775009469947236e+03 3.555792484251455665e+00 9.100391988234885626e-04
3.474245784479418489e+03 3.543876831044030062e+00 9.443087047266570614e-04
3.477720030263898934e+03 3.531898385616663916e+00 9.604268386523835514e-04
3.481197750294164052e+03 3.519920138420172595e+00 9.771429369381562542e-04
3.484678948044459503e+03 3.507940119597712680e+00 9.855188233262428005e-04
3.488163626992504760e+03 3.496152691164211124e+00 9.947016692639293941e-04
3.491651790619498570e+03 3.484352856532079379e+00 1.014749868806244081e-03
3.495143442410119405e+03 3.472883535306272584e+00 1.012891527677382397e-03
3.498638585852530468e+03 3.461604929248361273e+00 1.048763609918897371e-03
3.502137224438384237e+03 3.450481378464924642e+00 1.192995612015978124e-03
3.505639361662823831e+03 3.439145900101771236e+00 1.296145601323750625e-03
3.509145001024487556e+03 3.427628864735681180e+00 1.359066797604737168e-03
3.512654146025513455e+03 3.415934803421968979e+00 1.365884892550614082e-03
3.516166800171540217e+03 3.403859924116059421e+00 1.341235202937568092e-03
3.519682966971712631e+03 3.391305563048615745e+00 1.350381148856341857e-03
3.523202649938685681e+03 3.378648246063327143e+00 1.290757570158813624e-03
3.526725852588625457e+03 3.365386992729528348e+00 1.232345748583950828e-03
3.530252578441215064e+03 3.351604771158873675e+00 1.171918028840295261e-03
3.533782831019657806e+03 3.337237988959302015e+00 1.152701918416534996e-03
3.537316613850678550e+03 3.322132298830305697e+00 1.203245398398292794e-03
3.540853930464530094e+03 3.306288936071251960e+00 1.265094344768100815e-03
3.544394784394995895e+03 3.289815695243814009e+00 1.314329816490140187e-03
3.547939179179392340e+03 3.272459931138294920e+00 1.237845245003294133e-03
3.551487118358572843e+03 3.255656515361162739e+00 1.238383837064158241e-03
3.555038605476932389e+03 3.239086589787179005e+00 1.238569055881222304e-03
3.558593644082410719e+03 3.222352836177216684e+00 1.229027400545447011e-03
3.562152237726494150e+03 3.205477276617056503e+00 1.215264674128732408e-03
3.565714389964221937e+03 3.188636797594846417e+00 1.142658439419151628e-03
3.569280104354187188e+03 3.171761326719546581e+00 1.042625744506581534e-03
3.572849384458542772e+03 3.155174151417173167e+00 1.101474602383880914e-03
3.576422233843002232e+03 3.138773661392270320e+00 1.196323656773941009e-03
3.579998656076846601e+03 3.122700494889226075e+00 1.307700495256044907e-03
3.583578654732924406e+03 3.106620074755911620e+00 1.283892740406367529e-03
3.587162233387658489e+03 3.090162525545124161e+00 1.091363093628894059e-03
3.590749395621047370e+03 3.073883719359901789e+00 8.371203893599388299e-04
3.594340145016669794e+03 3.056890080661569531e+00 5.862532490721648155e-04
3.597934485161687462e+03 3.038740235752461771e+00 5.983525425934028454e-04
3.601532419646850485e+03 3.019946073439002010e+00 6.308605600926239874e-04
3.605133952066498296e+03 3.000784834445234139e+00 6.405997169284429870e-04
3.608739086018566013e+03 2.981140102256374824e+00 6.305462526190402190e-04
3.612347825104585809e+03 2.961346870769781425e+00 6.409053867350700652e-04
3.615960172929691907e+03 2.941165174719556852e+00 6.250106048579523064e-04
3.619576133102622407e+03 2.920355413160311553e+00 6.186899598674892690e-04
3.623195709235726554e+03 2.898935859385783242e+00 7.059861457268138893e-04
3.626818904944963379e+03 2.877506605498761694e+00 7.366732112882879444e-04
3.630445723849909427e+03 2.856394277529441084e+00 7.048857224829687806e-04
3.634076169573760581e+03 2.835820504053720104e+00 6.940372070024400332e-04
3.637710245743335690e+03 2.815614750767403862e+00 6.925307297356640517e-04
3.641347955989080219e+03 2.796190369822727728e+00 7.106326816410525170e-04
3.644989303945070333e+03 2.777815640537224073e+00 7.388148153204322256e-04
3.648634293249016537e+03 2.760599860613928147e+00 7.674803369073613475e-04
3.652282927542266862e+03 2.744795453379274885e+00 7.812562623956753128e-04
3.655935210469810499e+03 2.730633797732181733e+00 7.804282571627396735e-04
3.659591145680281443e+03 2.718259625670189639e+00 7.674001561274903897e-04
3.663250736825963031e+03 2.707972870587731506e+00 7.823641604050478792e-04
3.666913987562790226e+03 2.699804051336120558e+00 8.136567873076903457e-04
3.670580901550354156e+03 2.693252845457800415e+00 2.452501923604130402e-03
3.674251482451905758e+03 2.690081075394052057e+00 2.494279867753715525e-03
3.677925733934358959e+03 2.689238015883865796e+00 2.517707759297455310e-03
3.681603659668294313e+03 2.692118055391190978e+00 2.668920122004302467e-03
3.685285263327964003e+03 2.697416636903251508e+00 2.837864415222501185e-03
3.688970548591293209e+03 2.705255603216557336e+00 3.058806900531776604e-03
3.692659519139885560e+03 2.714910579795396295e+00 3.320961984124287149e-03
3.696352178659026777e+03 2.726183872211393133e+00 3.575294544867707071e-03
3.700048530837686940e+03 2.737954555794462674e+00 3.957301138449153925e-03
3.703748579368525952e+03 2.749317856497252688e+00 4.528118864126405227e-03
3.707452327947895355e+03 2.760819487766665414e+00 5.374605254807963972e-03
3.711159780275844696e+03 2.771734176928004167e+00 6.013398080887032843e-03
3.714870940056121526e+03 2.781886636713004179e+00 6.220212724710335282e-03
3.718585810996179134e+03 2.789963066623753818e+00 6.392450389539787621e-03
3.722304396807176545e+03 2.794603537681072059e+00 6.274812906344381762e-03
3.726026701203984885e+03 2.794526940157308292e+00 6.228037943699549564e-03
3.729752727905190113e+03 2.788588117719076553e+00 6.583003984610562818e-03
3.733482480633096657e+03 2.778632145796545050e+00 7.302211106429834855e-03
3.737215963113731050e+03 2.764785666272669751e+00 8.199874026617967604e-03
3.740953179076846027e+03 2.747438117386769907e+00 8.858562731333565268e-03
3.744694132255923705e+03 2.724626457919450129e+00 8.321493681834367731e-03
3.748438826388181042e+03 2.707663559525694819e+00 7.891448250209202875e-03
3.752187265214570289e+03 2.693580041381722356e+00 7.831131720398719701e-03
3.755939452479786269e+03 2.681919359771919087e+00 7.786602815529368969e-03
3.759695391932267285e+03 2.672786139268648498e+00 7.470103079169313105e-03
3.763455087324201031e+03 2.662609220329737347e+00 7.578297148120008778e-03
3.767218542411526414e+03 2.654272027487024399e+00 7.248764471422800525e-03
3.770985760953939007e+03 2.652381168400973710e+00 4.634393308941183939e-03
3.774756746714894234e+03 2.661616427662647943e+00 4.980425327865469279e-03
3.778531503461610555e+03 2.674194207106558974e+00 4.511026663967165548e-03
3.782310034965073100e+03 2.689211075003454798e+00 3.811823194035224294e-03
3.786092345000039586e+03 2.708042310806808128e+00 3.809026492124142731e-03
3.789878437345040766e+03 2.734623273983145086e+00 3.780955264486864607e-03
3.793668315782387253e+03 2.764160799017948200e+00 3.654421200581921009e-03
3.797461984098170888e+03 2.798128436664991447e+00 3.562818144445414111e-03
3.801259446082270188e+03 2.838607834012017772e+00 3.145634330461400882e-03
3.805060705528353537e+03 2.884305040036977630e+00 2.848974774997091886e-03
3.808865766233883278e+03 2.936408352574757963e+00 3.112509057896424916e-03
3.812674632000118436e+03 2.993040346171755406e+00 3.545677499723527866e-03
3.816487306632119726e+03 3.052400020739161057e+00 4.038742074396196348e-03
3.820303793938753188e+03 3.111897511717124143e+00 4.263238807947473605e-03
3.824124097732693372e+03 3.169381384049949624e+00 4.294904374060698644e-03
3.827948221830427428e+03 3.223469851661429963e+00 4.320779152375538688e-03
3.831776170052258749e+03 3.271392726436913811e+00 4.103079664353736014e-03
3.835607946222312421e+03 3.313582081978859506e+00 4.016606262036916293e-03
3.839443554168536139e+03 3.348043454201544922e+00 3.827526487561443841e-03
3.843282997722705659e+03 3.372371264019580650e+00 3.385425783713216785e-03
3.847126280720429804e+03 3.385654635657654676e+00 2.954264213734573725e-03
3.850973407001151372e+03 3.386458031839511662e+00 2.844851680373478280e-03
3.854824380408153957e+03 3.374843463047355385e+00 2.915360181870576411e-03
3.858679204788563311e+03 3.350658173254057903e+00 2.743998995184152197e-03
3.862537883993353262e+03 3.314266907095392511e+00 2.144624151426288965e-03
3.866400421877347981e+03 3.267927680348967634e+00 1.865095977025871222e-03
