# starting wavelength: 3467.510
# ending wavelength: 7367.620
# wav flux eflux
3.470775009469947236e+03 2.695440949358566929e+00 7.160364876003550740e-03
3.474245784479418489e+03 2.682537904240502424e+00 5.381814203647919230e-03
3.477720030263898934e+03 2.676770446693963024e+00 5.763639975258709816e-03
3.481197750294164052e+03 2.674121907576325174e+00 5.680388812935171193e-03
3.484678948044459503e+03 2.672845438493837378e+00 5.308337734795257404e-03
3.488163626992504760e+03 2.672021883182446267e+00 4.809560492515302030e-03
3.491651790619498570e+03 2.671161660059160781e+00 3.928962809100792694e-03
3.495143442410119405e+03 2.670707624525984869e+00 3.637856135045157424e-03
3.498638585852530468e+03 2.670630663551753159e+00 3.154887386232567512e-03
3.502137224438384237e+03 2.670563032614723831e+00 2.842353968543087465e-03
3.505639361662823831e+03 2.670700971885726638e+00 2.580293184888340745e-03
3.509145001024487556e+03 2.670847629143357160e+00 2.382216920457144900e-03
3.512654146025513455e+03 2.671829443607874222e+00 2.300365476740034564e-03
3.516166800171540217e+03 2.672311063877653492e+00 2.199614181690257367e-03
3.519682966971712631e+03 2.671857159882708554e+00 2.099683302370793959e-03
3.523202649938685681e+03 2.671129941670696617e+00 2.034361589439032461e-03
3.526725852588625457e+03 2.669326697653179981e+00 2.008501522176591673e-03
3.530252578441215064e+03 2.666729833303198571e+00 1.985954743151587421e-03
3.533782831019657806e+03 2.662700196041782874e+00 1.998083966967487742e-03
3.537316613850678550e+03 2.657986678830014604e+00 1.997192561269301066e-03
3.540853930464530094e+03 2.652402278530916924e+00 2.044440085403761553e-03
3.544394784394995895e+03 2.645386979223459001e+00 2.034199482698317938e-03
3.547939179179392340e+03 2.637556018404483282e+00 2.023955099236229068e-03
3.551487118358572843e+03 2.628578334671761496e+00 1.939824369999878541e-03
3.555038605476932389e+03 2.618152602831405940e+00 2.029329389044648348e-03
3.558593644082410719e+03 2.606745890706433588e+00 2.168179864878414225e-03
3.562152237726494150e+03 2.594753530256986185e+00 2.231766191149342493e-03
3.565714389964221937e+03 2.581313453205887232e+00 2.486242536191305384e-03
3.569280104354187188e+03 2.567036051032045130e+00 2.571080900038202281e-03
3.572849384458542772e+03 2.553066096745279179e+00 2.517579084214992442e-03
3.576422233843002232e+03 2.538047286653152046e+00 2.346192100654380212e-03
3.579998656076846601e+03 2.522906221028311968e+00 1.971908295900778787e-03
3.583578654732924406e+03 2.507939719286777613e+00 1.446678174020803913e-03
3.587162233387658489e+03 2.493817307740693323e+00 1.441793946739439907e-03
3.590749395621047370e+03 2.481401643697539683e+00 1.822741689158513360e-03
3.594340145016669794e+03 2.469055756550743386e+00 1.794119743200324035e-03
3.597934485161687462e+03 2.456917701310556090e+00 1.662168100748525300e-03
3.601532419646850485e+03 2.444372032457167609e+00 1.640543645782117617e-03
3.605133952066498296e+03 2.432014191376670631e+00 1.651679022518628536e-03
3.608739086018566013e+03 2.420217230043809398e+00 1.633977513033833080e-03
3.612347825104585809e+03 2.408768493165444724e+00 1.682905187661795773e-03
3.615960172929691907e+03 2.397500132635327574e+00 1.675582325024255236e-03
3.619576133102622407e+03 2.386787605161731829e+00 1.610743423298217859e-03
3.623195709235726554e+03 2.375614467054325551e+00 1.626585182269033470e-03
3.626818904944963379e+03 2.364770478832234346e+00 1.770183214125213046e-03
