# starting wavelength: 3519.890
# ending wavelength: 7668.160
# wav flux eflux
3.523202649938685681e+03 9.421821887703293319e-01 1.594612454337278606e-01
3.526725852588625457e+03 1.001680478137064068e+00 1.237902078604902617e-01
3.530252578441215064e+03 1.057215786239454225e+00 9.267420647719532001e-02
3.533782831019657806e+03 1.104902047284419320e+00 7.097890852311210252e-02
3.537316613850678550e+03 1.143244718097442991e+00 5.588406033518805022e-02
3.540853930464530094e+03 1.174816819491611319e+00 4.604054997471213051e-02
3.544394784394995895e+03 1.202608838850127704e+00 3.770656912541670014e-02
3.547939179179392340e+03 1.223663191959137642e+00 3.143729650001862025e-02
3.551487118358572843e+03 1.234012061989962383e+00 2.722873885651195050e-02
3.555038605476932389e+03 1.236072273110548903e+00 2.333860575354280292e-02
3.558593644082410719e+03 1.226016455151841766e+00 2.105804739090948174e-02
3.562152237726494150e+03 1.202686630066067242e+00 2.034217772482087294e-02
3.565714389964221937e+03 1.173229683510566002e+00 1.927298145693601833e-02
3.569280104354187188e+03 1.141251408769183184e+00 1.803904406563777013e-02
3.572849384458542772e+03 1.100353761664720320e+00 1.739479881740405021e-02
3.576422233843002232e+03 1.055825247438362258e+00 1.684806637204402588e-02
3.579998656076846601e+03 1.009896323108975702e+00 1.626607613368393282e-02
3.583578654732924406e+03 9.612559960159118289e-01 1.590321603551592827e-02
3.587162233387658489e+03 9.089169114032984442e-01 1.613893649016968218e-02
3.590749395621047370e+03 8.560769022622509716e-01 1.720167797300407517e-02
3.594340145016669794e+03 8.086325344624704092e-01 1.734841411542291725e-02
3.597934485161687462e+03 7.564592437527548618e-01 1.755404555453250054e-02
3.601532419646850485e+03 7.082015087859744318e-01 1.987225234251167871e-02
3.605133952066498296e+03 6.705724710211667938e-01 2.014674378380909223e-02
3.608739086018566013e+03 6.391685428382677392e-01 1.928310191080959829e-02
3.612347825104585809e+03 6.102560684595245144e-01 1.407300128239500660e-02
3.615960172929691907e+03 6.075721291249600586e-01 1.388741208759763403e-02
3.619576133102622407e+03 6.251359517569257118e-01 1.491009273686841677e-02
3.623195709235726554e+03 6.573070929528932460e-01 1.843789946708017033e-02
3.626818904944963379e+03 6.942182268762984165e-01 2.142683533079516034e-02
3.630445723849909427e+03 7.376111780020100372e-01 2.351187607682531100e-02
3.634076169573760581e+03 7.868230469448886932e-01 2.378680739954222578e-02
3.637710245743335690e+03 8.230124815072451527e-01 2.455083618935901407e-02
3.641347955989080219e+03 8.692140561514841712e-01 2.451845558617767734e-02
3.644989303945070333e+03 9.142759407331549903e-01 2.285678841842046088e-02
3.648634293249016537e+03 9.569078233229618702e-01 2.200877215102788748e-02
3.652282927542266862e+03 9.958982920609671385e-01 1.988620259528445927e-02
3.655935210469810499e+03 1.029104872644505786e+00 1.913508663734605000e-02
3.659591145680281443e+03 1.047042124620404469e+00 1.859265786981569718e-02
3.663250736825963031e+03 1.056221203753189286e+00 1.792449819921115850e-02
3.666913987562790226e+03 1.056046812976850324e+00 1.755132164859837113e-02
3.670580901550354156e+03 1.042765534767306379e+00 1.827339668140987028e-02
3.674251482451905758e+03 1.019756077990600973e+00 1.880219813040721194e-02
3.677925733934358959e+03 9.835011768544056343e-01 1.856409172327962154e-02
3.681603659668294313e+03 9.460844102980875414e-01 1.774526863530566378e-02
3.685285263327964003e+03 8.946139022660377638e-01 1.603885699768361692e-02
