# starting wavelength: 3464.040
# ending wavelength: 7360.260
# wav flux eflux
3.467307701768178049e+03 1.432943468569160661e+00 3.398355095924247837e-02
3.470775009469947236e+03 1.369395935801795083e+00 2.873296170089771617e-02
3.474245784479418489e+03 1.315114795343864440e+00 2.973334274851768128e-02
3.477720030263898934e+03 1.259053104892273733e+00 2.679311342981969407e-02
3.481197750294164052e+03 1.203868517943984973e+00 2.191685261726229392e-02
3.484678948044459503e+03 1.155145758876594986e+00 1.880738557368148711e-02
3.488163626992504760e+03 1.111614897966681781e+00 1.694703019001292735e-02
3.491651790619498570e+03 1.077173452584696767e+00 1.503988725939440704e-02
3.495143442410119405e+03 1.050703360098811157e+00 1.367109637086209514e-02
3.498638585852530468e+03 1.034821855258309942e+00 1.258459845852507447e-02
3.502137224438384237e+03 1.031237505558328271e+00 1.207070466728713334e-02
3.505639361662823831e+03 1.042358334676970255e+00 1.347876264361377169e-02
3.509145001024487556e+03 1.058851260156478791e+00 1.384406670722380592e-02
3.512654146025513455e+03 1.081566190735961497e+00 1.426967290881137225e-02
3.516166800171540217e+03 1.107581356553882568e+00 1.452842582114036163e-02
3.519682966971712631e+03 1.137656771039117887e+00 1.482239537816480886e-02
3.523202649938685681e+03 1.167078708969322420e+00 1.518368956208642102e-02
3.526725852588625457e+03 1.203399176923324099e+00 1.552162132243390183e-02
3.530252578441215064e+03 1.238393498671201964e+00 1.528986665594881007e-02
3.533782831019657806e+03 1.271208780731374111e+00 1.512755363307803462e-02
3.537316613850678550e+03 1.308853499234944096e+00 1.526476318834426270e-02
3.540853930464530094e+03 1.348205952414558872e+00 1.346805877291749019e-02
3.544394784394995895e+03 1.378471880837259578e+00 1.291344440473742548e-02
3.547939179179392340e+03 1.405292587426153483e+00 1.240375331314772130e-02
3.551487118358572843e+03 1.424938050445104132e+00 1.268783447536978547e-02
3.555038605476932389e+03 1.435957379814630785e+00 1.338289905134028811e-02
3.558593644082410719e+03 1.443760945992630385e+00 1.331207048892893430e-02
3.562152237726494150e+03 1.444289686297409725e+00 1.269895487194724198e-02
3.565714389964221937e+03 1.439367940568662796e+00 1.165707854166121715e-02
3.569280104354187188e+03 1.432590928040445855e+00 1.211757681473881430e-02
3.572849384458542772e+03 1.420279443768706296e+00 1.248520908145887495e-02
3.576422233843002232e+03 1.395377096726464039e+00 1.226374060140389063e-02
3.579998656076846601e+03 1.368771863915369646e+00 1.223677905287922328e-02
3.583578654732924406e+03 1.342397494127638424e+00 1.154496995897999652e-02
3.587162233387658489e+03 1.309665376288866367e+00 1.069386808310644060e-02
3.590749395621047370e+03 1.271683228797039211e+00 1.023375221117487320e-02
3.594340145016669794e+03 1.226545538933228041e+00 1.111172679742897934e-02
3.597934485161687462e+03 1.177052301836197801e+00 1.157595211925376011e-02
3.601532419646850485e+03 1.129792855315860045e+00 1.198034737258386363e-02
3.605133952066498296e+03 1.077970235294581025e+00 1.231083708074376913e-02
3.608739086018566013e+03 1.022636353753467953e+00 1.173169417272537304e-02
3.612347825104585809e+03 9.683974660511058818e-01 1.122842178783765160e-02
3.615960172929691907e+03 9.095277536994614831e-01 9.135514528941518150e-03
3.619576133102622407e+03 8.604875932000377592e-01 9.181161206440292127e-03
3.623195709235726554e+03 8.164532132085339233e-01 9.121210886050510128e-03
3.626818904944963379e+03 7.707428412039478705e-01 9.288620217231586054e-03
3.630445723849909427e+03 7.328481798397876723e-01 9.272594121689849492e-03
3.634076169573760581e+03 6.969390060361930761e-01 9.701673418302110899e-03
3.637710245743335690e+03 6.680875112797741711e-01 1.032485180398734492e-02
3.641347955989080219e+03 6.497212673644210401e-01 1.071298497441257498e-02
3.644989303945070333e+03 6.338434899635633224e-01 1.067290834251994822e-02
3.648634293249016537e+03 6.289788681146536442e-01 1.072038763160965483e-02
3.652282927542266862e+03 6.339224790609074844e-01 9.924432297020653257e-03
3.655935210469810499e+03 6.402543184182626357e-01 1.026080313258097114e-02
