# starting wavelength: 3460.580
# ending wavelength: 7360.260
# wav flux eflux
3.463843857910266706e+03 2.235126734400518234e-01 7.372779875833149199e-02
3.467307701768178049e+03 2.948398710659568822e-01 6.034013666368816253e-02
3.470775009469947236e+03 3.393561042150683438e-01 4.804628244378996577e-02
3.474245784479418489e+03 3.592756848968432504e-01 4.301463548014496097e-02
3.477720030263898934e+03 3.731469508714213013e-01 3.578021141057664140e-02
3.481197750294164052e+03 3.803808305273145840e-01 3.012843376102210952e-02
3.484678948044459503e+03 3.837834365472079234e-01 2.463414441253459347e-02
3.488163626992504760e+03 3.830043594843827726e-01 2.168986513825121171e-02
3.491651790619498570e+03 3.825976659767429400e-01 2.042383875713501759e-02
3.495143442410119405e+03 3.784128109470757950e-01 1.816426948285571052e-02
3.498638585852530468e+03 3.704806709285832778e-01 1.642905908428277106e-02
3.502137224438384237e+03 3.638861582760128388e-01 1.525407867135807061e-02
3.505639361662823831e+03 3.564549775226850126e-01 1.430538550464039577e-02
3.509145001024487556e+03 3.485135500356058569e-01 1.353592445935647946e-02
3.512654146025513455e+03 3.405411344349044689e-01 1.291899524406887531e-02
3.516166800171540217e+03 3.306260979774006681e-01 1.271699852132074544e-02
3.519682966971712631e+03 3.247333196426185342e-01 1.259794878456959102e-02
3.523202649938685681e+03 3.217340988454192585e-01 1.284753659077168299e-02
3.526725852588625457e+03 3.280822473761989544e-01 1.292471381859256266e-02
3.530252578441215064e+03 3.340838227576947705e-01 1.345751461424323989e-02
3.533782831019657806e+03 3.457071520361612582e-01 1.363911527282170126e-02
3.537316613850678550e+03 3.617945196790480766e-01 1.363843495263580667e-02
3.540853930464530094e+03 3.817576616765521180e-01 1.313884475851465061e-02
3.544394784394995895e+03 4.088615391787830955e-01 1.282239186170236987e-02
3.547939179179392340e+03 4.405970305703414969e-01 1.316066295188342283e-02
3.551487118358572843e+03 4.750486562613908670e-01 1.376382136550908554e-02
3.555038605476932389e+03 5.180533886671097044e-01 1.635358008710601635e-02
3.558593644082410719e+03 5.655557777967659128e-01 1.688379226802638050e-02
3.562152237726494150e+03 6.121504465957169350e-01 1.564097923333738344e-02
3.565714389964221937e+03 6.559406570140025039e-01 1.436375716596315945e-02
3.569280104354187188e+03 6.982378890050476850e-01 1.295230963306337468e-02
3.572849384458542772e+03 7.357549100856682900e-01 1.238243574330508481e-02
3.576422233843002232e+03 7.708427571821498958e-01 1.196166169420776609e-02
3.579998656076846601e+03 8.051542599859902172e-01 1.154076090649800226e-02
3.583578654732924406e+03 8.309678285777356566e-01 1.148561587733976097e-02
3.587162233387658489e+03 8.511853974574210557e-01 1.146635932683739284e-02
3.590749395621047370e+03 8.606963769812269183e-01 1.212932939648448533e-02
3.594340145016669794e+03 8.671171834848347970e-01 1.174775397988658994e-02
3.597934485161687462e+03 8.689046140123691808e-01 1.165193405454018061e-02
3.601532419646850485e+03 8.610377680280999479e-01 1.111728536238104983e-02
3.605133952066498296e+03 8.519161363867147063e-01 1.085242977750353055e-02
3.608739086018566013e+03 8.381284007906505407e-01 1.060956897592870568e-02
3.612347825104585809e+03 8.255325385046655695e-01 1.059427824656094044e-02
3.615960172929691907e+03 8.054280416660754005e-01 9.597739583077323500e-03
3.619576133102622407e+03 7.904793592336293306e-01 9.849467486862613363e-03
3.623195709235726554e+03 7.745986469850353329e-01 9.500582208784049548e-03
3.626818904944963379e+03 7.581005717565222346e-01 8.809926149390636188e-03
3.630445723849909427e+03 7.403020571350994450e-01 8.213917886072997360e-03
3.634076169573760581e+03 7.190087894783313560e-01 8.176278111957761136e-03
3.637710245743335690e+03 6.943329508878303136e-01 8.080858424196856252e-03
3.641347955989080219e+03 6.677376426602501525e-01 8.077586282423070488e-03
3.644989303945070333e+03 6.379830874381170469e-01 8.319632808877916452e-03
3.648634293249016537e+03 6.049452234604705270e-01 8.467787579656944896e-03
3.652282927542266862e+03 5.701255007996233193e-01 8.560751979046208812e-03
3.655935210469810499e+03 5.382391571027405064e-01 8.845847789233710068e-03
3.659591145680281443e+03 5.077791788443308807e-01 9.294796919956362091e-03
3.663250736825963031e+03 4.802211421438852823e-01 9.706995176496710856e-03
3.666913987562790226e+03 4.614209743991543600e-01 9.457223697357776404e-03
3.670580901550354156e+03 4.456717737963389880e-01 9.580986274943801770e-03
3.674251482451905758e+03 4.308946386718893740e-01 9.438865125809631218e-03
3.677925733934358959e+03 4.160824813132257827e-01 8.744598782894064809e-03
3.681603659668294313e+03 4.080744144555687458e-01 9.428929092440229906e-03
3.685285263327964003e+03 4.015160139826792762e-01 9.761822765111794961e-03
3.688970548591293209e+03 4.011563679398337801e-01 9.549662409972643068e-03
3.692659519139885560e+03 4.044526991458087251e-01 9.322496207057412443e-03
3.696352178659026777e+03 4.081799236383180096e-01 9.205529719548573991e-03
3.700048530837686940e+03 4.127335183268592833e-01 8.340233201619801431e-03
3.703748579368525952e+03 4.178538826841239340e-01 8.402976344212385526e-03
3.707452327947895355e+03 4.198335848157500050e-01 8.822181542688083827e-03
3.711159780275844696e+03 4.256473637658903519e-01 8.751721163413172383e-03
3.714870940056121526e+03 4.336241664826360198e-01 8.744610263829966437e-03
3.718585810996179134e+03 4.397967674844912023e-01 7.814115124706271301e-03
3.722304396807176545e+03 4.479548824227198023e-01 8.110698775399223515e-03
3.726026701203984885e+03 4.541900845235888329e-01 7.254047173907113115e-03
3.729752727905190113e+03 4.655225858012936313e-01 8.490461203664690509e-03
3.733482480633096657e+03 4.815402164617492153e-01 9.946632250442021678e-03
3.737215963113731050e+03 4.941418667529832165e-01 9.726294902924433050e-03
3.740953179076846027e+03 5.038444563084475414e-01 7.543126145458418572e-03
3.744694132255923705e+03 5.053570391332201650e-01 8.814078629763997391e-03
3.748438826388181042e+03 5.048152155581261402e-01 1.004327301583274150e-02
3.752187265214570289e+03 5.038211894486243070e-01 1.037667275049237309e-02
3.755939452479786269e+03 5.007163261839678858e-01 1.006015430820837372e-02
3.759695391932267285e+03 4.970373313306274965e-01 8.988340475016830602e-03
3.763455087324201031e+03 4.936471201789823238e-01 9.231901735574452733e-03
3.767218542411526414e+03 4.920502320117536854e-01 9.217120336611730330e-03
3.770985760953939007e+03 4.896328449148228956e-01 8.950482221165616259e-03
3.774756746714894234e+03 4.901621742680823957e-01 8.683473289225937183e-03
3.778531503461610555e+03 4.970786868873404152e-01 9.387968811279073442e-03
3.782310034965073100e+03 5.051128124888978332e-01 8.433857943487513276e-03
3.786092345000039586e+03 5.105873471493928006e-01 8.856438457387073859e-03
3.789878437345040766e+03 5.177735955100520870e-01 9.176261997252986580e-03
