# starting wavelength: 4184.350
# ending wavelength: 7157.120
# wav flux eflux
4.188254153563597356e+03 1.089554938192865485e+01 1.816259500577363850e+00
4.192442407717161586e+03 9.915935280103830962e+00 1.324763232110770073e+00
4.196634850124880359e+03 9.103311813929146012e+00 1.018531030295563022e+00
4.200831484975006788e+03 8.355278296097518265e+00 7.960587754558194895e-01
4.205032316459983122e+03 7.661060271107787756e+00 6.551440454731886076e-01
4.209237348776444378e+03 6.957897896105259328e+00 5.154766635129502950e-01
4.213446586125221984e+03 6.333513067128814455e+00 4.368803185635835584e-01
4.217660032711349231e+03 5.807342024591362062e+00 3.679866314539008698e-01
4.221877692744061278e+03 5.342284767207347684e+00 3.148187105594369983e-01
4.226099570436806971e+03 4.940599760352773373e+00 2.758267484341389020e-01
4.230325670007245208e+03 4.616764356199888120e+00 2.489371941513922881e-01
4.234555995677254032e+03 4.340089080081932948e+00 2.292416190963271483e-01
4.238790551672932452e+03 4.110834368652029447e+00 2.159023268317401545e-01
4.243029342224606808e+03 3.935475177908704936e+00 2.064233050266078562e-01
4.247272371566832589e+03 3.772597099222393169e+00 2.005222504678727258e-01
4.251519643938400804e+03 3.680338213781142009e+00 1.940989163434547748e-01
4.255771163582340705e+03 3.610900102331645822e+00 1.889969267976183143e-01
4.260026934745924336e+03 3.645050698708794279e+00 1.912625044961992204e-01
4.264286961680671993e+03 3.638109372040324363e+00 1.871895806827971465e-01
4.268551248642354039e+03 3.698629729540435118e+00 1.904082144191689141e-01
4.272819799890998183e+03 3.814165827064751380e+00 1.829107221601191657e-01
4.277092619690890388e+03 3.879519825834722546e+00 1.772435311856077056e-01
4.281369712310583054e+03 3.985515274843335565e+00 1.743434377476532626e-01
4.285651082022895025e+03 4.025566960239460812e+00 1.663546218395930143e-01
4.289936733104918858e+03 4.069324549402885793e+00 1.595424185168199394e-01
4.294226669838025373e+03 4.136337706508320444e+00 1.562894833826617980e-01
4.298520896507864563e+03 4.196081829935416785e+00 1.383481021544720746e-01
4.302819417404373780e+03 4.237009029829919449e+00 1.223503084066908941e-01
4.307122236821779552e+03 4.205533256314100576e+00 1.187738165423310038e-01
4.311429359058603040e+03 4.096616858433804076e+00 1.116962261857604860e-01
4.315740788417662770e+03 3.964272807131288712e+00 1.118239588455106764e-01
4.320056529206081905e+03 3.803566568670831316e+00 1.137449932125826485e-01
4.324376585735290064e+03 3.625340037804698490e+00 1.164018249064691229e-01
4.328700962321026054e+03 3.502503112833375898e+00 1.093321346445151748e-01
4.333029663283348782e+03 3.250741918543855302e+00 1.189826423499668329e-01
4.337362692946633615e+03 3.025268919036567805e+00 1.202752662758398428e-01
4.341700055639581478e+03 2.774903012603740393e+00 9.345952770102236573e-02
4.346041755695222491e+03 2.591375118484417595e+00 9.005809842936070286e-02
4.350387797450919606e+03 2.478728211404653603e+00 8.579883396959957220e-02
4.354738185248371337e+03 2.330783437392840884e+00 8.867045118016742000e-02
4.359092923433621763e+03 2.165395799981063352e+00 9.194461706926757016e-02
4.363452016357056891e+03 2.046768922655982870e+00 9.189817719899444348e-02
4.367815468373414660e+03 1.953792583079071443e+00 8.743747922769423697e-02
4.372183283841789489e+03 1.862284242046967186e+00 8.173666828445481924e-02
4.376555467125633186e+03 1.713567407982884871e+00 8.144852926134554805e-02
4.380932022592760404e+03 1.580594913154628633e+00 7.808823493694716511e-02
4.385312954615354101e+03 1.416202369348969148e+00 7.761566772682532145e-02
4.389698267569970994e+03 1.269822965529955550e+00 7.477162675653897805e-02
4.394087965837542470e+03 1.061971362786511941e+00 8.015718463708117192e-02
4.398482053803381859e+03 8.318303095713391881e-01 8.659034504458587578e-02
4.402880535857186260e+03 6.060501158311111247e-01 8.561745993888796036e-02
4.407283416393044718e+03 3.662479393936916017e-01 6.303237308286363527e-02
4.411690699809440048e+03 1.918255952771248940e-01 5.680091774826253465e-02
4.416102390509250654e+03 5.575742271564748664e-02 5.802458233774662744e-02
4.420518492899761441e+03 -6.944825186449515853e-02 6.015541082953423935e-02
4.424939011392662906e+03 -1.051480739418910182e-01 6.811149029467430949e-02
4.429363950404056595e+03 -1.103299393298362852e-01 5.651547554798586753e-02
4.433793314354462382e+03 -1.274217815070686488e-01 5.133322683417791688e-02
4.438227107668818462e+03 -2.019436977115919019e-01 6.873785084878740459e-02
4.442665334776488635e+03 -2.695324741667937118e-01 6.508567858844674370e-02
4.447108000111265937e+03 -2.723719781089221637e-01 6.795577240232958394e-02
4.451555108111379013e+03 -2.723178980757361423e-01 7.002775176517217481e-02
4.456006663219492111e+03 -2.542525754169141505e-01 7.568013965323198977e-02
4.460462669882713271e+03 -2.442838323607926798e-01 8.118841105673943459e-02
4.464923132552597053e+03 -2.906193989886380891e-01 8.174114695904342864e-02
4.469388055685150903e+03 -3.617880643246237926e-01 9.409093407552092392e-02
4.473857443740837880e+03 -3.941632764642908349e-01 9.256214325105784069e-02
4.478331301184580298e+03 -4.030835180665636175e-01 9.722959462176689049e-02
4.482809632485766087e+03 -3.633453043686943884e-01 9.597482623820867420e-02
4.487292442118253348e+03 -2.918838933213493414e-01 1.003540275870530296e-01
4.491779734560373072e+03 -2.531165605186055378e-01 9.965242183133671272e-02
4.496271514294934605e+03 -2.389426715129090995e-01 1.094817550954442914e-01
4.500767785809231100e+03 -1.786574960916706700e-01 1.075867014190401566e-01
4.505268553595042249e+03 -8.092568998910507072e-02 1.035036887241278514e-01
4.509773822148638828e+03 7.938432242357112978e-02 1.037057125117047257e-01
4.514283595970789065e+03 2.880504351227843318e-01 1.158334822740329784e-01
4.518797879566761367e+03 5.098542830865404607e-01 1.069547547417780547e-01
4.523316677446328868e+03 7.313235111366023222e-01 1.051603420729667338e-01
4.527839994123776705e+03 9.224593766599635813e-01 9.961566882849380578e-02
4.532367834117902021e+03 1.013093630401973977e+00 9.735706146366776559e-02
4.536900201952022144e+03 1.110009960159453524e+00 1.054214723237052592e-01
4.541437102153975502e+03 1.245403018932816241e+00 1.206623794042197551e-01
4.545978539256130716e+03 1.435929539482217132e+00 1.254800147096641616e-01
4.550524517795388419e+03 1.728079859585568645e+00 1.262518611142578462e-01
4.555075042313184895e+03 2.036452365743451232e+00 1.382912605313941778e-01
4.559630117355500261e+03 2.340806701340993445e+00 1.638866378188530426e-01
4.564189747472856652e+03 2.617315321482083235e+00 1.636156783659133696e-01
4.568753937220330954e+03 2.879851592334436994e+00 1.540489783903871701e-01
4.573322691157552981e+03 3.141274798596805251e+00 1.269170750283476756e-01
4.577896013848711846e+03 3.298625550375924753e+00 1.341338121290040486e-01
4.582473909862562323e+03 3.385314415089922147e+00 1.408110941161204999e-01
4.587056383772426670e+03 3.440186951984454566e+00 1.494503541420688364e-01
4.591643440156200086e+03 3.469209748294487028e+00 1.435860214295859860e-01
4.596235083596357981e+03 3.573480218023989963e+00 1.220992123533031770e-01
4.600831318679955984e+03 3.769324395348969237e+00 1.422316112699292256e-01
4.605432149998637215e+03 3.965728202306852523e+00 1.588960913739062286e-01
4.610037582148637739e+03 4.188425887987610174e+00 1.478048027499150874e-01
4.614647619730787483e+03 4.424021304141500188e+00 1.282980658709819421e-01
4.619262267350520233e+03 4.641840290165769822e+00 1.146863508050917635e-01
4.623881529617872729e+03 4.819089467731396681e+00 1.107582435599554216e-01
4.628505411147491941e+03 4.907344602394259070e+00 1.080345405534176018e-01
4.633133916558640522e+03 4.886859866884413428e+00 1.014578087472729206e-01
4.637767050475200449e+03 4.854965889189680972e+00 9.596167832981949974e-02
4.642404817525677572e+03 4.815677900962795022e+00 9.556232042939533100e-02
4.647047222343205249e+03 4.793616168872476102e+00 9.546423234749271125e-02
4.651694269565549803e+03 4.742763400832173737e+00 1.061116118921044821e-01
4.656345963835116891e+03 4.682235422190583307e+00 1.243816900002887860e-01
4.661002309798953320e+03 4.540523931980312788e+00 1.117888665535565762e-01
4.665663312108753416e+03 4.292115895608436205e+00 1.046882888604749734e-01
4.670328975420864481e+03 3.942041672304489097e+00 1.127714379379311238e-01
4.674999304396286789e+03 3.491553473901702453e+00 1.219763368519544422e-01
4.679674303700684504e+03 3.007414317530383574e+00 1.053530480909339317e-01
4.684353978004386590e+03 2.527230723199373585e+00 1.047990718611616912e-01
4.689038331982392265e+03 2.109194663019680061e+00 1.061203782322630851e-01
4.693727370314376458e+03 1.658756724883280409e+00 1.114236030404494315e-01
4.698421097684692540e+03 1.217308159056482486e+00 1.054619810435468014e-01
4.703119518782378691e+03 8.821979877207166698e-01 9.678936183626732359e-02
4.707822638301162442e+03 6.428722346046427116e-01 9.409725609793795353e-02
4.712530460939465229e+03 5.382682202706355890e-01 9.110220391496359760e-02
4.717242991400406027e+03 5.474301650186553791e-01 8.550362539018752095e-02
4.721960234391808626e+03 5.849768972219384633e-01 9.256751444600327949e-02
4.726682194626201635e+03 6.502076445274120875e-01 1.035771207548204093e-01
4.731408876820829391e+03 6.776257365896292129e-01 1.159559127661237560e-01
4.736140285697651962e+03 6.578633938555277227e-01 1.146486988663800027e-01
4.740876425983350600e+03 6.141789800606248795e-01 1.079650030135300975e-01
4.745617302409335934e+03 5.323071885577994600e-01 1.274850927545685408e-01
4.750362919711747054e+03 4.233797132578498434e-01 1.495682156198154256e-01
4.755113282631459697e+03 3.381304947723253185e-01 1.548976119810765995e-01
4.759868395914093526e+03 2.651648479993429230e-01 1.283890467011955805e-01
4.764628264310008490e+03 2.734571159370977611e-01 1.147295547121206100e-01
4.769392892574320285e+03 3.757387910575564760e-01 1.187457383604144517e-01
4.774162285466896719e+03 5.439169747982859349e-01 1.255525975943958261e-01
4.778936447752364984e+03 8.765222050744188032e-01 1.458774765904767012e-01
4.783715384200118933e+03 1.121652035261930580e+00 1.376232007666055024e-01
4.788499099584319993e+03 1.310270157483544695e+00 1.286018170567788943e-01
4.793287598683906253e+03 1.461838028565080494e+00 1.593795526273875385e-01
4.798080886282591564e+03 1.616467606432654636e+00 1.610265821206621206e-01
4.802878967168876443e+03 1.742295861729580286e+00 1.513477247993401942e-01
4.807681846136046261e+03 1.831124742383662962e+00 1.391228683787364417e-01
4.812489527982183972e+03 1.941283676227891553e+00 1.325032018004805023e-01
4.817302017510168298e+03 2.106598110631888510e+00 1.553701834095211343e-01
4.822119319527679181e+03 2.279484878141488036e+00 1.627206189201015063e-01
4.826941438847208701e+03 2.396817452939575599e+00 1.527166903865768699e-01
4.831768380286057436e+03 2.445351145308098051e+00 1.374936474835953271e-01
4.836600148666345376e+03 2.369510646983407298e+00 1.400834816855825171e-01
4.841436748815013743e+03 2.186778844711179559e+00 1.764420268749356535e-01
4.846278185563829538e+03 1.963460922178480894e+00 2.027362983953022724e-01
4.851124463749395545e+03 1.776833152065034227e+00 1.967207133108492267e-01
4.855975588213146693e+03 1.677323675454980290e+00 1.821696359300579160e-01
4.860831563801360971e+03 1.599573263029551606e+00 1.586484983975526841e-01
4.865692395365163975e+03 1.660033633482675519e+00 1.781987580120739101e-01
4.870558087760530725e+03 1.868504554202360612e+00 1.567503858036174147e-01
4.875428645848292945e+03 2.012766815335991222e+00 1.309581695731134865e-01
4.880304074494142696e+03 2.152147272627416452e+00 1.215693732613754297e-01
4.885184378568638749e+03 2.226080211132181130e+00 1.194525194021781311e-01
4.890069562947209306e+03 2.297962626224346661e+00 1.167528501191951729e-01
4.894959632510157462e+03 2.335244937982322799e+00 1.195649620393187673e-01
4.899854592142669389e+03 2.325180495570844830e+00 9.914969797317600697e-02
4.904754446734813428e+03 2.309135548454206432e+00 8.400669754007449030e-02
4.909659201181550088e+03 2.314022005489251743e+00 7.934559841689575732e-02
4.914568860382732964e+03 2.348006354305020693e+00 8.167275025987733028e-02
4.919483429243117826e+03 2.387036605386286592e+00 8.011639095420873546e-02
4.924402912672362618e+03 2.473965232575880968e+00 6.641048148310904620e-02
4.929327315585036558e+03 2.570277724264254271e+00 5.274039930680898131e-02
4.934256642900622865e+03 2.599748916436091406e+00 5.299162804680695310e-02
4.939190899543525120e+03 2.587479809245085693e+00 5.187595920497976160e-02
4.944130090443070912e+03 2.568976103304961178e+00 5.105605354445046096e-02
4.949074220533515472e+03 2.565068926242474845e+00 5.106370804356064053e-02
4.954023294754050767e+03 2.546987138577501142e+00 4.624827072251144061e-02
4.958977318048806410e+03 2.542338579024982614e+00 4.603674857139995746e-02
4.963936295366856939e+03 2.549389152721522223e+00 4.527514410591635535e-02
4.968900231662225451e+03 2.551306145794946634e+00 5.967945120626980821e-02
4.973869131893889062e+03 2.537963995336273815e+00 5.225547917168599232e-02
4.978843001025784361e+03 2.490821390470258745e+00 5.106948166206215500e-02
4.983821844026811959e+03 2.407021777763033832e+00 5.068785037403333166e-02
4.988805665870840130e+03 2.327121250190338220e+00 5.157613067289491121e-02
4.993794471536712990e+03 2.229088482616958800e+00 4.900468605812362266e-02
4.998788266008251412e+03 2.079979747708519788e+00 5.118834366075142306e-02
5.003787054274261209e+03 1.919665957189531813e+00 5.076546565726865884e-02
5.008790841328536771e+03 1.744356789135913965e+00 5.284189640643700836e-02
5.013799632169867436e+03 1.538483665325848682e+00 4.957890208984884473e-02
5.018813431802038394e+03 1.370997451037853754e+00 4.667391024529948113e-02
5.023832245233842514e+03 1.248429763198364961e+00 4.658644416041713560e-02
5.028856077479077612e+03 1.156671216256382362e+00 4.624815481213722518e-02
5.033884933556558281e+03 1.092515364761881269e+00 4.579724932958832706e-02
5.038918818490116792e+03 1.072897968147483505e+00 5.196255180628193970e-02
5.043957737308608557e+03 1.073369849308129620e+00 5.851290790968340788e-02
5.049001695045918495e+03 1.072393562375182352e+00 6.145190347549824017e-02
5.054050696740966487e+03 1.023705466007363896e+00 6.120329544414743889e-02
5.059104747437709193e+03 9.791236751674828875e-01 5.817193714235867341e-02
5.064163852185148244e+03 9.405783501962284854e-01 4.761971599344115569e-02
5.069228016037335692e+03 8.348352998905151923e-01 5.618540768428507970e-02
5.074297244053374015e+03 7.442369470737203452e-01 5.181221079076565178e-02
5.079371541297429758e+03 6.283514199984198134e-01 4.622171251627006650e-02
5.084450912838728073e+03 5.465478290673717598e-01 4.436543477988474926e-02
5.089535363751569093e+03 4.885389079067194440e-01 4.527301546123722181e-02
5.094624899115322478e+03 4.433534180168207106e-01 4.799949870504088140e-02
5.099719524014439230e+03 4.275985298619691122e-01 4.346567862993780396e-02
5.104819243538455339e+03 4.177220844906924802e-01 4.138627433471693540e-02
5.109924062781995417e+03 4.059419227035926947e-01 3.986289801161418955e-02
5.115033986844779065e+03 3.952017901833135838e-01 3.878475211317299748e-02
5.120149020831625421e+03 3.911761310402536718e-01 4.127233320408173201e-02
5.125269169852458617e+03 3.570724498772195332e-01 4.084657820892595437e-02
5.130394439022313236e+03 2.938214542536329854e-01 4.182171252498050051e-02
5.135524833461337039e+03 2.533886646474464710e-01 4.570643592935222377e-02
5.140660358294800062e+03 2.390013822629780127e-01 4.919716046016422289e-02
5.145801018653096435e+03 2.755242095197608099e-01 5.090558536121068955e-02
5.150946819671751655e+03 3.233446094564564333e-01 6.064226474594498068e-02
5.156097766491425318e+03 3.673298083027746741e-01 6.168237144404516842e-02
5.161253864257918394e+03 4.106692948512718488e-01 6.417897170886828484e-02
5.166415118122177773e+03 4.285995296232392726e-01 6.387928924439185974e-02
5.171581533240301724e+03 4.691382715649826673e-01 5.580662685034345344e-02
5.176753114773543530e+03 4.391171254169542459e-01 5.755518648175376312e-02
5.181929867888318768e+03 3.944431083392558879e-01 6.469287059689945996e-02
5.187111797756208944e+03 3.523528754758638026e-01 7.224396586795309161e-02
5.192298909553966951e+03 3.176443078875678117e-01 7.603549881322574366e-02
5.197491208463522526e+03 2.951216313752791365e-01 7.033526439243444062e-02
5.202688699671987706e+03 2.963672186382276252e-01 6.799483396738728591e-02
5.207891388371661378e+03 3.187236826671916434e-01 7.105587244690583781e-02
5.213099279760034733e+03 3.754598231552849774e-01 8.125849370871407462e-02
5.218312379039796724e+03 5.114444780894071840e-01 6.959864428103874900e-02
5.223530691418837705e+03 6.463791916412425786e-01 5.878560884705014838e-02
5.228754222110258524e+03 7.365944133346056244e-01 5.696393625395794469e-02
5.233982976332370527e+03 7.564740361356122600e-01 5.559970555333670905e-02
5.239216959308704645e+03 6.953661280408023337e-01 5.745654101494725857e-02
5.244456176268015042e+03 6.259001916515735120e-01 5.773960262696766627e-02
5.249700632444284565e+03 5.018010438747129154e-01 6.381863361151238201e-02
5.254950333076731113e+03 3.144323034775512449e-01 5.731985435431680154e-02
5.260205283409809454e+03 1.376860499783031933e-01 5.604157002810320615e-02
5.265465488693221232e+03 -2.270447026107183519e-02 5.805340139714419700e-02
5.270730954181915877e+03 -1.536623445062900162e-01 5.150574545604784393e-02
5.276001685136099695e+03 -3.040267178310631091e-01 6.137924888125066702e-02
5.281277686821237694e+03 -4.136105926965381041e-01 6.175077696548592759e-02
5.286558964508059944e+03 -4.654544002894943633e-01 5.779960239171915565e-02
5.291845523472569766e+03 -4.304814019783931855e-01 5.455728617670402292e-02
5.297137368996044643e+03 -3.076528891513358732e-01 5.633459127013553530e-02
5.302434506365042580e+03 -1.449152330897562901e-01 5.687995004755084377e-02
5.307736940871409388e+03 9.702924811622293255e-02 5.588551940345493074e-02
5.313044677812282316e+03 3.850236405689833608e-01 5.919618775029097252e-02
5.318357722490096421e+03 6.839128181853262323e-01 7.196449694687676035e-02
5.323676080212588204e+03 9.973945169111162468e-01 7.565023712841772996e-02
5.328999756292802886e+03 1.278468883463583339e+00 6.631773392427461888e-02
5.334328756049097137e+03 1.454590117637316382e+00 6.445482111747297127e-02
5.339663084805148173e+03 1.553513643523858789e+00 6.695189387767172540e-02
5.345002747889954662e+03 1.609231169192272937e+00 6.580316044710084189e-02
5.350347750637846730e+03 1.534312275423054039e+00 6.453899565574371111e-02
5.355698098388485960e+03 1.373369882218513638e+00 6.499881377013021211e-02
5.361053796486876308e+03 1.121194640404690190e+00 6.653615486176310545e-02
5.366414850283365013e+03 8.283050583889535190e-01 7.617013972832942237e-02
5.371781265133649867e+03 4.818748810732309540e-01 8.834196461286313029e-02
5.377153046398785591e+03 1.471171305553418129e-01 8.330435848289266532e-02
5.382530199445186554e+03 -1.524393699651367395e-01 8.880478308600928128e-02
5.387912729644633146e+03 -3.385568208005420576e-01 8.166593426227454489e-02
5.393300642374279960e+03 -4.073015961338675162e-01 8.240590784981906280e-02
5.398693943016655794e+03 -3.884105984899935970e-01 8.243863416386035259e-02
5.404092636959673655e+03 -2.917519414378009213e-01 8.197187813852171989e-02
5.409496729596635305e+03 -8.582836224404233327e-02 9.508701676502340217e-02
5.414906226326233991e+03 1.867630206666920922e-01 9.763293022305567781e-02
5.420321132552561721e+03 5.102230525718247645e-01 8.399538071128088979e-02
5.425741453685116539e+03 8.121427468428565888e-01 6.290545393770638483e-02
5.431167195138803436e+03 1.080267839718659584e+00 4.931559014652982242e-02
5.436598362333943442e+03 1.231987192502131956e+00 4.655817210523265776e-02
5.442034960696279086e+03 1.324986007743251371e+00 4.100496371573047333e-02
5.447476995656978033e+03 1.389117361055855815e+00 5.569878853691993814e-02
5.452924472652636723e+03 1.347976015496057833e+00 5.540609868548374700e-02
5.458377397125291282e+03 1.235863543000637055e+00 6.173569881844016838e-02
5.463835774522417523e+03 1.060256656040695189e+00 7.347905675164134731e-02
5.469299610296941864e+03 8.471798626861016812e-01 8.549412639530809543e-02
