# starting wavelength: 3378.560
# ending wavelength: 7164.280
# wav flux eflux
3.381741812935407324e+03 1.056840357329774660e+00 1.007136069486884271e-02
3.385123554748343849e+03 1.074621375214429353e+00 8.868577941826516833e-03
3.388508678303093347e+03 1.091498510343336337e+00 7.716503269213751542e-03
3.391897186981397681e+03 1.106905443903986708e+00 6.308697768224124335e-03
3.395289084168380214e+03 1.121961796096498487e+00 5.351703687762525939e-03
3.398684373252549449e+03 1.135187476508300763e+00 5.026932826923140654e-03
3.402083057625803121e+03 1.146278914941652793e+00 4.868741674261903470e-03
3.405485140683430018e+03 1.155848521967871800e+00 4.638834897647071791e-03
3.408890625824114522e+03 1.164078140405636619e+00 4.452900121259313442e-03
3.412299516449939802e+03 1.171717767036826618e+00 4.217926149057163628e-03
3.415711815966390986e+03 1.179388184150948593e+00 3.984535505866328847e-03
3.419127527782358356e+03 1.186410089764691200e+00 3.808997058231571205e-03
3.422546655310141887e+03 1.193020285041579198e+00 3.730017372586394431e-03
3.425969201965453522e+03 1.197190513879398344e+00 3.510942875401596667e-03
3.429395171167419903e+03 1.201452798566619240e+00 3.562586916655553076e-03
3.432824566338588284e+03 1.202917854884743232e+00 3.558141643605179042e-03
3.436257390904928343e+03 1.204386102549158011e+00 3.622634782570189216e-03
3.439693648295834464e+03 1.204786035643559350e+00 3.654172883273033509e-03
3.443133341944131189e+03 1.203510248232406710e+00 3.645325795248211941e-03
3.446576475286076402e+03 1.201625669607945257e+00 3.790006645202207477e-03
3.450023051761363604e+03 1.198393674873974746e+00 4.083659453587153848e-03
3.453473074813126004e+03 1.196218112861382021e+00 4.073100040244935494e-03
3.456926547887940615e+03 1.193650157134861001e+00 4.139434592830883337e-03
3.460383474435829612e+03 1.191597301384538454e+00 4.121782995705655997e-03
3.463843857910266706e+03 1.188000466664173915e+00 4.335870566508984170e-03
3.467307701768178049e+03 1.184502838205252040e+00 4.335659114130738234e-03
3.470775009469947236e+03 1.181373488495611968e+00 4.184832223431665839e-03
3.474245784479418489e+03 1.177875448234533939e+00 3.828170808780214339e-03
3.477720030263898934e+03 1.175875939606901843e+00 3.661183399242382355e-03
3.481197750294164052e+03 1.174632874844197428e+00 3.649356716250484137e-03
3.484678948044459503e+03 1.174188342070031199e+00 3.812673772129532117e-03
3.488163626992504760e+03 1.175477593984490143e+00 3.900034314359497340e-03
3.491651790619498570e+03 1.176099986572138212e+00 3.945934691785035406e-03
3.495143442410119405e+03 1.177387001383789267e+00 4.101827738848103956e-03
3.498638585852530468e+03 1.179517230869886690e+00 4.148518539397857453e-03
3.502137224438384237e+03 1.180264210349502463e+00 4.010284247711746325e-03
3.505639361662823831e+03 1.181528044373022279e+00 3.793046397034110888e-03
3.509145001024487556e+03 1.181450434124548643e+00 3.356872302575949433e-03
3.512654146025513455e+03 1.181579208833414052e+00 2.349340708100059166e-03
3.516166800171540217e+03 1.177085254041135398e+00 2.541025641343494946e-03
3.519682966971712631e+03 1.170958022411182409e+00 2.827746543501098633e-03
3.523202649938685681e+03 1.162093507148201921e+00 3.095567833358766133e-03
3.526725852588625457e+03 1.152592319923898323e+00 3.190291793453300072e-03
3.530252578441215064e+03 1.142656181145210947e+00 3.266264443892809722e-03
3.533782831019657806e+03 1.132468860749860751e+00 3.171934049576430586e-03
3.537316613850678550e+03 1.122622307075560100e+00 3.176018210340675069e-03
3.540853930464530094e+03 1.113979760756321546e+00 2.843821602021253444e-03
3.544394784394995895e+03 1.107804707972303904e+00 2.846823797313755011e-03
3.547939179179392340e+03 1.102410640277385445e+00 2.855412961096425416e-03
3.551487118358572843e+03 1.098410875496844685e+00 2.782571911192598547e-03
3.555038605476932389e+03 1.095963522570598592e+00 2.793321371961508121e-03
3.558593644082410719e+03 1.094934363322311421e+00 3.245481453725136602e-03
3.562152237726494150e+03 1.096919587203487367e+00 3.511402989092922422e-03
3.565714389964221937e+03 1.099579558567765680e+00 3.783969104505815768e-03
3.569280104354187188e+03 1.102611078617626195e+00 3.656763331841191185e-03
3.572849384458542772e+03 1.102990334852017806e+00 3.582376735656759865e-03
3.576422233843002232e+03 1.103720941268750755e+00 3.305475084698720686e-03
3.579998656076846601e+03 1.103210549321031575e+00 3.175371363074685517e-03
3.583578654732924406e+03 1.102023243685741116e+00 3.106435047482168643e-03
3.587162233387658489e+03 1.100723469532582488e+00 3.159234967606256318e-03
3.590749395621047370e+03 1.096590350424302640e+00 3.286190978036062325e-03
3.594340145016669794e+03 1.091641353452166729e+00 3.196767500810599252e-03
3.597934485161687462e+03 1.084626270348186594e+00 2.862125594503920571e-03
3.601532419646850485e+03 1.077612356289220141e+00 2.703706395903729236e-03
3.605133952066498296e+03 1.069941333173694886e+00 2.418987901413712383e-03
3.608739086018566013e+03 1.063482280311736083e+00 2.402829326026532149e-03
3.612347825104585809e+03 1.056390844910454208e+00 2.434800887221576140e-03
3.615960172929691907e+03 1.048669788075903941e+00 2.451229717130030787e-03
3.619576133102622407e+03 1.042247168437234084e+00 2.605913962054753636e-03
3.623195709235726554e+03 1.037803529272534053e+00 2.721435504706970140e-03
3.626818904944963379e+03 1.033894349901901100e+00 2.892817470264425275e-03
3.630445723849909427e+03 1.031550106630549468e+00 2.939013287177044600e-03
3.634076169573760581e+03 1.029387560138311342e+00 2.919856004049314023e-03
3.637710245743335690e+03 1.029676897939156399e+00 2.862000262489322773e-03
3.641347955989080219e+03 1.031359336811150218e+00 3.011725272600252086e-03
3.644989303945070333e+03 1.033857759541469079e+00 3.368228381525655707e-03
3.648634293249016537e+03 1.037672085247822062e+00 3.880026468021152176e-03
3.652282927542266862e+03 1.040354090735371884e+00 3.793756445493841160e-03
3.655935210469810499e+03 1.044098268904524840e+00 3.846636159795956047e-03
3.659591145680281443e+03 1.046847442843920506e+00 3.229170014628691011e-03
3.663250736825963031e+03 1.046326416086675870e+00 2.354340982640097668e-03
3.666913987562790226e+03 1.041513085778801528e+00 2.300311415406022710e-03
3.670580901550354156e+03 1.034040825287720899e+00 2.329940851372346716e-03
3.674251482451905758e+03 1.022112301057289452e+00 2.385711338584122106e-03
3.677925733934358959e+03 1.008288013219705404e+00 2.221069554183811683e-03
3.681603659668294313e+03 9.924770384555510194e-01 2.241119241009237491e-03
3.685285263327964003e+03 9.754174433446822778e-01 2.398621808970136191e-03
3.688970548591293209e+03 9.573648611542247000e-01 2.844150922987664747e-03
3.692659519139885560e+03 9.420036098585260476e-01 3.083797701672459819e-03
3.696352178659026777e+03 9.302293495619406993e-01 3.133847485858628438e-03
3.700048530837686940e+03 9.227868162928477558e-01 2.995007001459178749e-03
3.703748579368525952e+03 9.198654980013845073e-01 2.809425132174168255e-03
3.707452327947895355e+03 9.225842889613957709e-01 2.958304914742619900e-03
3.711159780275844696e+03 9.302575159314839803e-01 3.340672661934378229e-03
3.714870940056121526e+03 9.425217820167236527e-01 3.606619102706954197e-03
3.718585810996179134e+03 9.583967660089636187e-01 3.488636112376044054e-03
3.722304396807176545e+03 9.778929600825549961e-01 3.147520153748090219e-03
3.726026701203984885e+03 9.992286679746079647e-01 2.896163904766744807e-03
3.729752727905190113e+03 1.021307854250689706e+00 2.707386503542078254e-03
3.733482480633096657e+03 1.041453226194960946e+00 2.690455984412025870e-03
3.737215963113731050e+03 1.063787259471035362e+00 2.842648191426811171e-03
3.740953179076846027e+03 1.081887222818521899e+00 2.907524094010993741e-03
3.744694132255923705e+03 1.095465247088574845e+00 2.726911592011789683e-03
3.748438826388181042e+03 1.105834363914319551e+00 2.822310677600449458e-03
3.752187265214570289e+03 1.115338185562604334e+00 2.806367972206944873e-03
3.755939452479786269e+03 1.123464549543099933e+00 2.721791248381799384e-03
3.759695391932267285e+03 1.129510523854072357e+00 2.642982291199484982e-03
3.763455087324201031e+03 1.132636924841682546e+00 2.881636255440927878e-03
3.767218542411526414e+03 1.133230369106087210e+00 3.039135671074550630e-03
3.770985760953939007e+03 1.134413376334487911e+00 2.797548426897782711e-03
3.774756746714894234e+03 1.135807236698443301e+00 2.437893947259390289e-03
3.778531503461610555e+03 1.139131707669323257e+00 2.322967138171253519e-03
3.782310034965073100e+03 1.144579677464735656e+00 2.321169636294867587e-03
3.786092345000039586e+03 1.151519338374942913e+00 2.333169779893280119e-03
3.789878437345040766e+03 1.160285399524713990e+00 2.509433894625256404e-03
3.793668315782387253e+03 1.168093856744100600e+00 2.481437802970076680e-03
3.797461984098170888e+03 1.176527760374407539e+00 2.484465793003492236e-03
3.801259446082270188e+03 1.184445217825315089e+00 2.565032654088563336e-03
3.805060705528353537e+03 1.190303522834853522e+00 2.511035407809372212e-03
3.808865766233883278e+03 1.194396296380262790e+00 2.574546799549966205e-03
3.812674632000118436e+03 1.199384799129917800e+00 2.040267363611272724e-03
3.816487306632119726e+03 1.200206592217666124e+00 2.607748434475713230e-03
3.820303793938753188e+03 1.200509509868220581e+00 1.974918832792579241e-03
3.824124097732693372e+03 1.202067155466495896e+00 1.867211692947089380e-03
3.827948221830427428e+03 1.203678879791481471e+00 1.875960016468033618e-03
3.831776170052258749e+03 1.206104957532097233e+00 2.096528762372831377e-03
3.835607946222312421e+03 1.207067500453652631e+00 2.118020946221820921e-03
3.839443554168536139e+03 1.207654311966759098e+00 2.162588276730570327e-03
3.843282997722705659e+03 1.208170230430425374e+00 1.896538552575251745e-03
3.847126280720429804e+03 1.206475318516226025e+00 2.087438056988327739e-03
3.850973407001151372e+03 1.204267430512774961e+00 2.298606912056242076e-03
3.854824380408153957e+03 1.201613756605618422e+00 2.259413281442039425e-03
3.858679204788563311e+03 1.199095169867917532e+00 2.232745801623429050e-03
3.862537883993353262e+03 1.195877822126835133e+00 2.247087304065899672e-03
3.866400421877347981e+03 1.191977371505835936e+00 1.904789471019779001e-03
3.870266822299226533e+03 1.190501934963485109e+00 2.106423508957827768e-03
3.874137089121526969e+03 1.190076108655804710e+00 2.201670120768237614e-03
3.878011226210649966e+03 1.188829367506988310e+00 2.161543014153478014e-03
3.881889237436861549e+03 1.188282063225920115e+00 2.068551317127615904e-03
3.885771126674299921e+03 1.187902354028100405e+00 2.140240402057418025e-03
