# starting wavelength: 3109.580
# ending wavelength: 8133.980
# wav flux eflux
3.112519037952201415e+03 1.936239307536390952e-01 4.514867923520645906e-03
3.115631556990154877e+03 1.999388727671138621e-01 3.305061602221126028e-03
3.118747188547145925e+03 2.056474246404995099e-01 2.445802097776239321e-03
3.121865935735694165e+03 2.104463688249509079e-01 1.946696513255684845e-03
3.124987801671431043e+03 2.150866560552723294e-01 1.492104813166339125e-03
3.128112789473103476e+03 2.193694216067836322e-01 1.170550249136091984e-03
3.131240902262577492e+03 2.232058354585686466e-01 9.377168096297348963e-04
3.134372143164840963e+03 2.267362635461588338e-01 7.836394305543824398e-04
3.137506515308006783e+03 2.300863046806025103e-01 6.609651994018539813e-04
3.140644021823316052e+03 2.330747466475002194e-01 6.524023297321268622e-04
3.143784665845140353e+03 2.357685230169517809e-01 5.651336288535837877e-04
3.146928450510986750e+03 2.385730638311574781e-01 6.905220683500410675e-04
3.150075378961498700e+03 2.410099529358542547e-01 6.221677956646946882e-04
3.153225454340461056e+03 2.436468278093580631e-01 6.836161525288475798e-04
3.156378679794802792e+03 2.462660485420456458e-01 8.007267146147590544e-04
3.159535058474598372e+03 2.485087883725600744e-01 8.414004361829459508e-04
3.162694593533074112e+03 2.503934137946225436e-01 8.781885770913658122e-04
3.165857288126608182e+03 2.516211937415404054e-01 8.588850422908784685e-04
3.169023145414736064e+03 2.521850432751188142e-01 8.352273459619357666e-04
3.172192168560151458e+03 2.523852159349128654e-01 8.536139397111161325e-04
3.175364360728712654e+03 2.521078418514389741e-01 9.119208179352006729e-04
3.178539725089442527e+03 2.514988518358877712e-01 1.011067697317680420e-03
3.181718264814533086e+03 2.506633122041361794e-01 1.114364344942323035e-03
3.184899983079348658e+03 2.497423539979565232e-01 1.189344315172898361e-03
3.188084883062429071e+03 2.489160116783891152e-01 1.222563116827160437e-03
3.191272967945492383e+03 2.479440769918331011e-01 1.246866277534437826e-03
3.194464240913438971e+03 2.471178371813808894e-01 1.234123867920860563e-03
3.197658705154353811e+03 2.462822515332380724e-01 1.178557796128651067e-03
3.200856363859509202e+03 2.458612281772106778e-01 1.112813958777631763e-03
3.204057220223369768e+03 2.458262547937827558e-01 1.053993036585407477e-03
3.207261277443593826e+03 2.462722260366533578e-01 1.033567014058493078e-03
3.210468538721038840e+03 2.470961943228284496e-01 1.025020179929337239e-03
3.213679007259760965e+03 2.484317261608147698e-01 1.059559037903750299e-03
3.216892686267021418e+03 2.502438631869297048e-01 1.134409653456415132e-03
3.220109578953289656e+03 2.522498619784819818e-01 1.167807302366931929e-03
3.223329688532243836e+03 2.549722528991141268e-01 1.238044695385232246e-03
3.226553018220777176e+03 2.579950406602045110e-01 1.197048833754591878e-03
3.229779571238999324e+03 2.612041091150957839e-01 1.127014686771009603e-03
3.233009350810239084e+03 2.645667882657372072e-01 1.046008044929224801e-03
3.236242360161050783e+03 2.680042259622085754e-01 9.274383659936135012e-04
3.239478602521212906e+03 2.714263149529561603e-01 8.966882892649518126e-04
3.242718081123734919e+03 2.748842669710168107e-01 8.897604670692722210e-04
3.245960799204859995e+03 2.781762854578909150e-01 9.403474518941311788e-04
3.249206760004065927e+03 2.813972835458656840e-01 9.503165056898738592e-04
3.252455966764071036e+03 2.843841915984807178e-01 8.693613911966185286e-04
3.255708422730835991e+03 2.871060439507520656e-01 6.402937453205886703e-04
3.258964131153567905e+03 2.901238497248659898e-01 6.349575278600339077e-04
3.262223095284722604e+03 2.933246123074731981e-01 7.821975285828217106e-04
3.265485318380008266e+03 2.962725626774924126e-01 8.752458867964145938e-04
3.268750803698389518e+03 2.991019394363932382e-01 8.727096582357856975e-04
3.272019554502088795e+03 3.019175581822383103e-01 8.021926947274677939e-04
3.275291574056592253e+03 3.041679221107453923e-01 8.055419422982334782e-04
3.278566865630649772e+03 3.060947287927971994e-01 8.659761664724529738e-04
3.281845432496281319e+03 3.078149105596477697e-01 9.362674187464140214e-04
3.285127277928778767e+03 3.095563248921038291e-01 9.532191124379768392e-04
3.288412405206708627e+03 3.110491729234602931e-01 9.811191467384552858e-04
3.291700817611916591e+03 3.124686180264001911e-01 9.931731943677898477e-04
3.294992518429529355e+03 3.139525134567802689e-01 9.872655261269542605e-04
3.298287510947960072e+03 3.154236404248957903e-01 9.891759134108908842e-04
3.301585798458909267e+03 3.167148685938803720e-01 9.942426344683454823e-04
3.304887384257369376e+03 3.175662004884833856e-01 1.008556825475332916e-03
3.308192271641627485e+03 3.184488027548976197e-01 1.037301893224853479e-03
3.311500463913270323e+03 3.193316092991708155e-01 1.084823672108528722e-03
3.314811964377184722e+03 3.199965329059509256e-01 1.139809756194066440e-03
3.318126776341563072e+03 3.205168955626170324e-01 1.208917680294738835e-03
3.321444903117905596e+03 3.211313319217594109e-01 1.138552564882867185e-03
3.324766348021024896e+03 3.208850907166128086e-01 1.099192685576692342e-03
3.328091114369046863e+03 3.205067539460494386e-01 1.017651935354906435e-03
3.331419205483417045e+03 3.196180489302484218e-01 1.069591341296934452e-03
3.334750624688901553e+03 3.184885981934009180e-01 1.138924353852066498e-03
3.338085375313591612e+03 3.171016991052075795e-01 1.202291015839748647e-03
3.341423460688906289e+03 3.154436844757457781e-01 1.184505109312133540e-03
3.344764884149596128e+03 3.137538260825908920e-01 1.135592726912233036e-03
3.348109649033746791e+03 3.119551644465174411e-01 1.004714194186861771e-03
3.351457758682781787e+03 3.102583159522078193e-01 7.344044831227523320e-04
3.354809216441465651e+03 3.089262055702007848e-01 5.906130073628885428e-04
3.358164025657908041e+03 3.082286818555483032e-01 5.432291457440525679e-04
3.361522189683567376e+03 3.082263797393976490e-01 5.434609853499232411e-04
3.364883711873251741e+03 3.089516169335461138e-01 5.271350624455104330e-04
3.368248595585126168e+03 3.101238010617718421e-01 4.917872651213402863e-04
3.371616844180712633e+03 3.118185243862752754e-01 4.937347889423834412e-04
