# starting wavelength: 3667.140
# ending wavelength: 7426.770
# wav flux eflux
3.670580901550354156e+03 8.909250836283165720e-01 2.180673335252281131e-02
3.674251482451905758e+03 8.591238075216135472e-01 1.561274580510709636e-02
3.677925733934358959e+03 8.309546858219952759e-01 1.293365544664291239e-02
3.681603659668294313e+03 8.035832392650087419e-01 9.752837277117459500e-03
3.685285263327964003e+03 7.771268896804097714e-01 7.476270105471627229e-03
3.688970548591293209e+03 7.508727246412525425e-01 6.242339479387644559e-03
3.692659519139885560e+03 7.269262051123431823e-01 5.430669823668471050e-03
3.696352178659026777e+03 7.062979082898174221e-01 4.353245892381397454e-03
3.700048530837686940e+03 6.876801115733982561e-01 3.908510884884966972e-03
3.703748579368525952e+03 6.716236585117211222e-01 3.440131524487747422e-03
3.707452327947895355e+03 6.579419428585289165e-01 3.237902889296604639e-03
3.711159780275844696e+03 6.457189849606056464e-01 2.902583454675868816e-03
3.714870940056121526e+03 6.353817398097878488e-01 2.809698060131768718e-03
3.718585810996179134e+03 6.259794280851439519e-01 2.681968165613219171e-03
3.722304396807176545e+03 6.163249465517024461e-01 2.510130220959299208e-03
3.726026701203984885e+03 6.064335152547554175e-01 2.488179007306275461e-03
3.729752727905190113e+03 5.974745280061960484e-01 2.401729944925889721e-03
3.733482480633096657e+03 5.884736610509175847e-01 2.447087245457110066e-03
3.737215963113731050e+03 5.814188718811679202e-01 2.421333311167946350e-03
3.740953179076846027e+03 5.738826450988657735e-01 2.593965024314126826e-03
3.744694132255923705e+03 5.670070782547795840e-01 2.788808801053303810e-03
3.748438826388181042e+03 5.606421841766089376e-01 3.028127892743178676e-03
3.752187265214570289e+03 5.554923630736693374e-01 2.924892410862522073e-03
3.755939452479786269e+03 5.511353034132996376e-01 2.760527570401617031e-03
3.759695391932267285e+03 5.489204161569987139e-01 2.647792718660048946e-03
3.763455087324201031e+03 5.481880718815055342e-01 2.606068444198340450e-03
3.767218542411526414e+03 5.487686291651288073e-01 2.565440495113242500e-03
3.770985760953939007e+03 5.509030524842669641e-01 2.577187118145196632e-03
3.774756746714894234e+03 5.552276754172114082e-01 2.639450177231814510e-03
3.778531503461610555e+03 5.607014246729914442e-01 2.550004265682533078e-03
3.782310034965073100e+03 5.682329475457084111e-01 2.373790298512102378e-03
3.786092345000039586e+03 5.790813891871351426e-01 2.332794322334062666e-03
3.789878437345040766e+03 5.933200479663157667e-01 2.397475055585440371e-03
3.793668315782387253e+03 6.097945712131399576e-01 2.319863445794883780e-03
3.797461984098170888e+03 6.286676946439188063e-01 2.249922600667632940e-03
3.801259446082270188e+03 6.500820343871488438e-01 2.201446746642350943e-03
3.805060705528353537e+03 6.730374057970239798e-01 2.384175210934705129e-03
3.808865766233883278e+03 6.973740083319160954e-01 2.422723000247400515e-03
3.812674632000118436e+03 7.250914626875095692e-01 2.416840794490983813e-03
3.816487306632119726e+03 7.545131825814537230e-01 2.236297462798901570e-03
