# starting wavelength: 3667.140
# ending wavelength: 7426.770
# wav flux eflux
3.670580901550354156e+03 1.223737697948376724e+00 3.026742861623539851e-02
3.674251482451905758e+03 1.199176843085245636e+00 2.350773340331224412e-02
3.677925733934358959e+03 1.168011032230608759e+00 2.160281299539684730e-02
3.681603659668294313e+03 1.123186671429034611e+00 1.628695684406461161e-02
3.685285263327964003e+03 1.065594496491158338e+00 1.704711115502079849e-02
3.688970548591293209e+03 1.008624338990438796e+00 1.387880349063107775e-02
3.692659519139885560e+03 9.501352339915569711e-01 1.283056708331758999e-02
3.696352178659026777e+03 8.961134544307421956e-01 1.028442988080451211e-02
3.700048530837686940e+03 8.439290123110407826e-01 9.753121145247910934e-03
3.703748579368525952e+03 7.959968546492474095e-01 8.396829564929571624e-03
3.707452327947895355e+03 7.519596671141837163e-01 7.477692993799526372e-03
3.711159780275844696e+03 7.125952263185090230e-01 7.039167529445619978e-03
3.714870940056121526e+03 6.778442488740423766e-01 6.870616667564746934e-03
3.718585810996179134e+03 6.470342351600686381e-01 6.758493813684320409e-03
3.722304396807176545e+03 6.176684479653786752e-01 6.337816059307970450e-03
3.726026701203984885e+03 5.915466132984603664e-01 6.046749814301749862e-03
3.729752727905190113e+03 5.671591795195456420e-01 5.775886912956691190e-03
3.733482480633096657e+03 5.462096789325734392e-01 5.582648864551616880e-03
3.737215963113731050e+03 5.286154446792407091e-01 5.333931376855617981e-03
3.740953179076846027e+03 5.124157463285003988e-01 5.261448005500548968e-03
3.744694132255923705e+03 4.997172062726833452e-01 5.181745664653756266e-03
3.748438826388181042e+03 4.899408778725465874e-01 5.123921471127778314e-03
3.752187265214570289e+03 4.840441549799816556e-01 5.257942785192985975e-03
3.755939452479786269e+03 4.794671174434568806e-01 5.195157255948692522e-03
3.759695391932267285e+03 4.748990069226854960e-01 5.328244375483800511e-03
3.763455087324201031e+03 4.724648604630701798e-01 5.250885115911458657e-03
3.767218542411526414e+03 4.707666129550500123e-01 4.876414867282344821e-03
3.770985760953939007e+03 4.730230820522690616e-01 5.269838883935781988e-03
3.774756746714894234e+03 4.743649597599471912e-01 5.390972121502963024e-03
3.778531503461610555e+03 4.792749901419159908e-01 6.115257528505961028e-03
3.782310034965073100e+03 4.847072224505390436e-01 6.258752533256676034e-03
3.786092345000039586e+03 4.916481289597369186e-01 6.199772783243567321e-03
3.789878437345040766e+03 5.002972456496233011e-01 5.825404719304744412e-03
3.793668315782387253e+03 5.070271949285913848e-01 5.897688382084207044e-03
3.797461984098170888e+03 5.144950522050507624e-01 6.316399995575425370e-03
3.801259446082270188e+03 5.227743991429959491e-01 6.878467210421596902e-03
3.805060705528353537e+03 5.300445436107625863e-01 7.494487431594542420e-03
3.808865766233883278e+03 5.411297578758139659e-01 7.004981616753704933e-03
3.812674632000118436e+03 5.546144258781458003e-01 7.151633126517248189e-03
3.816487306632119726e+03 5.695821101373714779e-01 7.154147892287930632e-03
3.820303793938753188e+03 5.856545462479996189e-01 6.669038272269803454e-03
3.824124097732693372e+03 6.049015629592041643e-01 6.555479347744823729e-03
3.827948221830427428e+03 6.243213772548915630e-01 6.115729635218695656e-03
3.831776170052258749e+03 6.496983916036721540e-01 6.457470690705913348e-03
3.835607946222312421e+03 6.764868869408792174e-01 6.430277385230606831e-03
3.839443554168536139e+03 7.077330549370053348e-01 6.410337150149699424e-03
3.843282997722705659e+03 7.403786335038459177e-01 6.188843735518608120e-03
3.847126280720429804e+03 7.739458658973958904e-01 6.109282524126729598e-03
3.850973407001151372e+03 8.098058715563282162e-01 6.021437622175742493e-03
3.854824380408153957e+03 8.464580363317403267e-01 5.948482252176391476e-03
3.858679204788563311e+03 8.842891968735142605e-01 6.071975212298365808e-03
3.862537883993353262e+03 9.184882149960276188e-01 6.167475468623093843e-03
3.866400421877347981e+03 9.529998198201101722e-01 6.129756636106988357e-03
3.870266822299226533e+03 9.849945111179936319e-01 5.968243232801642359e-03
3.874137089121526969e+03 1.012007781342110668e+00 5.928817974028477086e-03
3.878011226210649966e+03 1.036242209547195481e+00 5.399664739161205533e-03
3.881889237436861549e+03 1.057910166905428051e+00 5.403484933133562672e-03
3.885771126674299921e+03 1.079164347301416083e+00 5.357618025202210733e-03
3.889656897800975457e+03 1.100925908604045045e+00 5.244824411571306910e-03
3.893546554698777527e+03 1.120041092599949772e+00 5.214175967594969138e-03
3.897440101253477678e+03 1.136049516302613194e+00 5.688695880673082760e-03
3.901337541354732366e+03 1.150584812744495533e+00 6.267030404465382017e-03
3.905238878896088409e+03 1.165901257341130925e+00 6.093372311604678369e-03
3.909144117774985716e+03 1.181142787360393465e+00 6.522312576289942578e-03
3.913053261892762293e+03 1.194548098130887581e+00 6.815959036251741966e-03
3.916966315154656058e+03 1.205170713804127436e+00 6.780157118660895543e-03
3.920883281469812118e+03 1.217262724859404788e+00 6.398531690985601039e-03
3.924804164751283224e+03 1.226117006640664364e+00 6.608034745209528243e-03
3.928728968916035683e+03 1.238208912087141789e+00 6.833379608308183008e-03
3.932657697884953450e+03 1.248264006973432982e+00 7.381433555728572279e-03
3.936590355582839493e+03 1.260180623916222764e+00 8.415393822613536495e-03
3.940526945938423523e+03 1.270323548617110943e+00 8.439611813013262256e-03
3.944467472884363360e+03 1.286136390623044745e+00 8.324800998147738329e-03
3.948411940357249023e+03 1.303716990278604992e+00 8.435666543571074955e-03
3.952360352297607733e+03 1.324023591903243924e+00 1.013019270665903131e-02
3.956312712649906643e+03 1.344453874895450651e+00 1.118050382925195839e-02
3.960269025362557841e+03 1.361789806358359556e+00 1.102210515568768055e-02
3.964229294387921527e+03 1.373754339869480701e+00 1.154005072461501344e-02
3.968193523682310570e+03 1.385177436453261857e+00 1.100159587038352337e-02
3.972161717205994591e+03 1.392778586609401348e+00 1.091892837438479362e-02
3.976133878923201792e+03 1.399699762640733702e+00 1.104689960573018541e-02
3.980110012802126221e+03 1.397848423737429124e+00 1.138700790577979946e-02
3.984090122814929600e+03 1.393843997230020948e+00 1.140356446792830519e-02
3.988074212937745870e+03 1.382074633505712358e+00 1.090263216313207793e-02
3.992062287150684824e+03 1.365392867461798110e+00 1.007951766910355693e-02
3.996054349437837118e+03 1.343017059624285636e+00 9.493982937140947945e-03
4.000050403787276082e+03 1.321882351015921220e+00 1.016218316700348567e-02
4.004050454191064546e+03 1.296757463498203533e+00 1.014268421662334677e-02
4.008054504645257111e+03 1.269038100858315365e+00 9.609571230740299175e-03
4.012062559149903791e+03 1.241723283100648834e+00 9.071329801330839729e-03
4.016074621709055009e+03 1.207547628427283248e+00 9.596425311918777706e-03
4.020090696330765240e+03 1.168447577914398572e+00 1.088495279416671312e-02
4.024110787027097558e+03 1.128337980778261418e+00 1.002911336254986782e-02
4.028134897814125907e+03 1.089829454224292338e+00 6.938793458161751984e-03
4.032163032711941469e+03 1.059874552709835882e+00 5.120308531037025615e-03
4.036195195744654484e+03 1.041674460185537443e+00 7.473780794926280363e-03
4.040231390940400615e+03 1.028567292292534852e+00 7.272496439385763706e-03
4.044271622331342314e+03 1.025893641582224847e+00 7.162119432614928033e-03
4.048315893953675186e+03 1.022453370270002937e+00 6.550406514691103910e-03
4.052364209847629809e+03 1.020650189526997265e+00 6.926121438537782837e-03
4.056416574057479011e+03 1.025199847009156118e+00 6.698942034517188851e-03
4.060472990631537868e+03 1.031227639847619226e+00 7.161791894562915747e-03
4.064533463622170530e+03 1.033262761123010742e+00 7.158410015676101509e-03
4.068597997085794304e+03 1.030616985932736984e+00 9.303170654473983184e-03
4.072666595082881486e+03 1.032457703408441896e+00 8.999425210755800097e-03
4.076739261677965715e+03 1.037552696097894467e+00 9.402154505081347646e-03
4.080816000939644709e+03 1.038982286382606146e+00 9.298960739998909583e-03
4.084896816940585722e+03 1.044563895320080649e+00 9.164049492769865343e-03
4.088981713757527814e+03 1.046208708243397068e+00 9.177814743928021032e-03
4.093070695471286854e+03 1.049379775496985356e+00 9.166863207818662374e-03
4.097163766166759160e+03 1.053560211328016694e+00 9.108844752991528126e-03
4.101260929932927866e+03 1.053479482016150159e+00 9.997978802545848601e-03
4.105362190862862008e+03 1.057691248233339154e+00 9.739671706678620228e-03
4.109467553053726078e+03 1.065429871784768334e+00 9.538814332910310057e-03
4.113577020606780934e+03 1.077054043516710635e+00 1.026709265227079143e-02
4.117690597627389252e+03 1.092347428474209625e+00 1.046878841393415402e-02
4.121808288225018259e+03 1.103766631244009533e+00 1.005550091954402966e-02
4.125930096513244280e+03 1.105466929285021882e+00 1.003031751180311765e-02
4.130056026609759101e+03 1.104336118971422476e+00 1.008295306397495594e-02
4.134186082636369974e+03 1.102694462259328434e+00 1.039110999952014280e-02
4.138320268719007800e+03 1.100679346536857395e+00 1.136799723239375823e-02
4.142458588987728035e+03 1.095366692139504661e+00 1.243279182769093001e-02
4.146601047576717065e+03 1.087927580962260610e+00 8.292291750507298914e-03
4.150747648624294925e+03 1.094679164063707466e+00 9.994962552359182295e-03
4.154898396272920763e+03 1.103624177871011414e+00 1.169364179758382305e-02
4.159053294669195566e+03 1.110151452514605452e+00 1.214684440114662672e-02
4.163212347963865795e+03 1.119847368472180360e+00 1.156568562681294619e-02
4.167375560311830668e+03 1.126194734077242243e+00 1.063240320698275593e-02
4.171542935872143971e+03 1.127894482685125821e+00 9.174366696144457822e-03
4.175714478808017702e+03 1.124975194043274174e+00 8.123675670501130652e-03
4.179890193286827525e+03 1.107752064824154781e+00 9.318092596167251024e-03
4.184070083480115500e+03 1.089788465942929996e+00 8.676709325593870772e-03
4.188254153563597356e+03 1.066713669551114574e+00 8.054627567159257026e-03
4.192442407717161586e+03 1.044137589299057201e+00 6.862042387731686656e-03
4.196634850124880359e+03 1.024518240781597367e+00 6.553763751570550362e-03
4.200831484975006788e+03 1.010128596170578152e+00 7.019926853433449028e-03
4.205032316459983122e+03 9.976720284397854188e-01 6.958384565616019916e-03
4.209237348776444378e+03 9.887805618145628639e-01 6.279870919672892425e-03
4.213446586125221984e+03 9.825468790184208601e-01 5.931689885664686961e-03
4.217660032711349231e+03 9.768998599237582736e-01 5.972955247881569715e-03
4.221877692744061278e+03 9.695670092600275902e-01 5.677972010371924554e-03
4.226099570436806971e+03 9.629825404142772216e-01 5.504344430688834847e-03
4.230325670007245208e+03 9.612999258567135330e-01 4.609115547022116406e-03
4.234555995677254032e+03 9.581707651982901419e-01 5.366204524190121283e-03
4.238790551672932452e+03 9.562205521628387439e-01 5.412522118959957676e-03
4.243029342224606808e+03 9.602192968462300859e-01 5.686115402482441739e-03
4.247272371566832589e+03 9.650656980161578247e-01 5.699929940759988420e-03
4.251519643938400804e+03 9.697235013160878658e-01 5.603558155425497796e-03
4.255771163582340705e+03 9.789212112699233748e-01 5.679183926816465562e-03
4.260026934745924336e+03 9.856658193885512453e-01 5.443623875161293126e-03
4.264286961680671993e+03 9.967786824875660701e-01 4.766289881596456370e-03
4.268551248642354039e+03 1.003344346642985219e+00 5.184833907923341347e-03
4.272819799890998183e+03 1.012750976246429513e+00 5.170883768458326736e-03
4.277092619690890388e+03 1.022735754360964755e+00 6.751619612980976244e-03
4.281369712310583054e+03 1.029916679844657068e+00 7.100402262659320958e-03
4.285651082022895025e+03 1.027890174478550023e+00 7.168243513726577261e-03
4.289936733104918858e+03 1.017120982771174464e+00 7.140480285185719922e-03
4.294226669838025373e+03 1.001542208981803794e+00 7.092148226508810348e-03
