# starting wavelength: 3502.340
# ending wavelength: 8732.210
# wav flux eflux
3.505639361662823831e+03 1.105832341306201227e+00 1.685092644971895523e-02
3.509145001024487556e+03 1.082984929611203517e+00 1.433790287617888425e-02
3.512654146025513455e+03 1.071722324626482425e+00 1.259335036655270280e-02
3.516166800171540217e+03 1.069170724221350621e+00 1.429974596813415010e-02
3.519682966971712631e+03 1.066022566052764242e+00 1.130314234847722143e-02
3.523202649938685681e+03 1.062063527010616237e+00 8.840600128708670999e-03
3.526725852588625457e+03 1.058225564747929281e+00 7.159487538101517307e-03
3.530252578441215064e+03 1.054806780548526834e+00 5.886279633477415826e-03
3.533782831019657806e+03 1.051095608972570927e+00 5.022588122949607665e-03
3.537316613850678550e+03 1.046594336804014702e+00 4.249838668695182266e-03
3.540853930464530094e+03 1.040074267638947170e+00 3.731709834464418292e-03
3.544394784394995895e+03 1.031482857198562364e+00 3.276489161440602257e-03
3.547939179179392340e+03 1.019025374162981112e+00 3.332971927854925381e-03
3.551487118358572843e+03 1.003147395001714015e+00 3.584239284474276949e-03
3.555038605476932389e+03 9.853619856749094019e-01 3.490874105146747793e-03
3.558593644082410719e+03 9.654714582105888843e-01 3.376648495768385435e-03
3.562152237726494150e+03 9.444098643142749827e-01 3.227049806375323349e-03
3.565714389964221937e+03 9.205469176082974325e-01 3.133319263505242227e-03
3.569280104354187188e+03 8.949713429176142654e-01 3.004279940695972397e-03
3.572849384458542772e+03 8.673030863703583559e-01 2.857960734514566024e-03
3.576422233843002232e+03 8.371616733392169829e-01 2.745411047805422500e-03
3.579998656076846601e+03 8.052227289584069636e-01 2.784972396614934613e-03
3.583578654732924406e+03 7.722365332502759694e-01 2.881759393842480560e-03
3.587162233387658489e+03 7.381444503290167658e-01 3.162376367679236612e-03
3.590749395621047370e+03 7.035870139022293301e-01 3.753516424867956499e-03
3.594340145016669794e+03 6.696905705165674405e-01 4.169899699034980423e-03
3.597934485161687462e+03 6.387638723624142756e-01 4.265812820666740196e-03
3.601532419646850485e+03 6.065428214526985551e-01 4.794214505341921721e-03
3.605133952066498296e+03 5.765699900112678522e-01 5.089122665542660656e-03
3.608739086018566013e+03 5.489587796600881031e-01 4.952850891271404730e-03
3.612347825104585809e+03 5.254776511524412719e-01 4.563831225749709689e-03
3.615960172929691907e+03 5.057608687766382838e-01 4.148891433576803837e-03
3.619576133102622407e+03 4.898207502434407390e-01 4.198533055439396949e-03
3.623195709235726554e+03 4.794856287785375093e-01 4.675412007640490988e-03
3.626818904944963379e+03 4.724878641590785078e-01 4.987266056283167111e-03
3.630445723849909427e+03 4.694107282836619266e-01 5.320326583049671265e-03
3.634076169573760581e+03 4.693745464067639039e-01 5.481960503818290170e-03
3.637710245743335690e+03 4.715594385986573434e-01 5.497671797027296574e-03
3.641347955989080219e+03 4.754763482562439636e-01 5.477897191339880373e-03
3.644989303945070333e+03 4.814824477793030466e-01 5.540755053934844944e-03
3.648634293249016537e+03 4.904476708596814394e-01 5.353936295853753066e-03
3.652282927542266862e+03 5.009128200382543250e-01 5.154027178071222959e-03
3.655935210469810499e+03 5.132976423513855302e-01 4.675206403377496663e-03
3.659591145680281443e+03 5.263902258417156865e-01 4.190523792940570660e-03
3.663250736825963031e+03 5.399637004346279356e-01 3.783164927410327671e-03
3.666913987562790226e+03 5.526750606451176218e-01 3.878010871540109924e-03
3.670580901550354156e+03 5.632497807593088712e-01 3.927964439975253214e-03
3.674251482451905758e+03 5.737984856487958751e-01 3.492612724178159253e-03
3.677925733934358959e+03 5.853542548259901279e-01 3.128068145933253236e-03
3.681603659668294313e+03 5.975915553358908117e-01 2.906664378529977538e-03
3.685285263327964003e+03 6.101586178181983566e-01 2.955720118391154741e-03
3.688970548591293209e+03 6.219598943358302101e-01 2.848497092165074799e-03
3.692659519139885560e+03 6.343644647560690020e-01 2.826035672865443230e-03
3.696352178659026777e+03 6.470437887171528457e-01 2.798691760663441809e-03
3.700048530837686940e+03 6.598272349251322888e-01 2.809507076190575266e-03
3.703748579368525952e+03 6.736489094859244853e-01 2.817311358031781166e-03
3.707452327947895355e+03 6.875252610086683980e-01 2.681756460719487284e-03
3.711159780275844696e+03 7.007050062917269395e-01 2.789626360070825931e-03
3.714870940056121526e+03 7.137064771876675540e-01 2.833637316859548110e-03
3.718585810996179134e+03 7.267320359088518256e-01 2.828281084334107170e-03
3.722304396807176545e+03 7.378478594922313061e-01 2.552126928790940039e-03
3.726026701203984885e+03 7.499088986354612851e-01 2.712820362905010631e-03
3.729752727905190113e+03 7.621419280917457462e-01 3.129139817455838229e-03
3.733482480633096657e+03 7.737698294108867891e-01 3.577721801813804874e-03
3.737215963113731050e+03 7.843997171020626880e-01 3.852192003730815512e-03
3.740953179076846027e+03 7.936802524930619551e-01 3.761982942649625111e-03
3.744694132255923705e+03 8.002293666733697464e-01 3.581065185365690275e-03
3.748438826388181042e+03 8.046093773117978243e-01 3.462707402249610121e-03
3.752187265214570289e+03 8.070647499497819455e-01 3.655984614587211561e-03
3.755939452479786269e+03 8.092970255830910231e-01 3.785704480289605375e-03
3.759695391932267285e+03 8.087126143546999879e-01 4.271344736470634312e-03
3.763455087324201031e+03 8.081331278588176348e-01 4.562275430193498196e-03
3.767218542411526414e+03 8.067351558582204207e-01 4.877240451043498258e-03
3.770985760953939007e+03 8.051454026483844117e-01 5.023771019490625052e-03
3.774756746714894234e+03 8.020380918056042585e-01 4.476332230664038618e-03
3.778531503461610555e+03 8.019786366995167448e-01 3.653079681665605521e-03
3.782310034965073100e+03 8.043851536393049617e-01 2.947931317624567695e-03
3.786092345000039586e+03 8.093144104612851608e-01 2.736385612005345740e-03
3.789878437345040766e+03 8.175641551590553391e-01 2.871719219801666893e-03
3.793668315782387253e+03 8.298023350335332893e-01 3.013992164270323532e-03
3.797461984098170888e+03 8.441186307463666161e-01 2.961894856105950526e-03
3.801259446082270188e+03 8.606307116854546857e-01 2.939676049247064334e-03
3.805060705528353537e+03 8.786857194581728647e-01 2.835875689200000743e-03
3.808865766233883278e+03 8.972583648172749449e-01 2.378009000112249124e-03
3.812674632000118436e+03 9.169530218109160913e-01 1.813450507498917544e-03
3.816487306632119726e+03 9.363092778909652969e-01 1.353668384135712534e-03
3.820303793938753188e+03 9.544119928548694398e-01 1.368385750790742901e-03
3.824124097732693372e+03 9.721263413223540928e-01 1.389387397691615707e-03
3.827948221830427428e+03 9.886204774617685098e-01 1.351255266536645827e-03
3.831776170052258749e+03 1.004484390872219191e+00 1.341153293988669873e-03
3.835607946222312421e+03 1.020855198024248622e+00 1.293810618941369566e-03
3.839443554168536139e+03 1.037199762779543732e+00 1.290757541761731412e-03
3.843282997722705659e+03 1.053181203372961727e+00 1.421775505805413300e-03
3.847126280720429804e+03 1.069114442419062838e+00 1.694011177082624647e-03
3.850973407001151372e+03 1.084953484557030112e+00 1.795912336176962339e-03
3.854824380408153957e+03 1.101074782911910077e+00 1.734715106360990066e-03
3.858679204788563311e+03 1.118163457456262000e+00 2.045151690165511807e-03
3.862537883993353262e+03 1.137546504612314990e+00 1.890043167694585753e-03
3.866400421877347981e+03 1.158582176764556548e+00 1.858173655362413065e-03
3.870266822299226533e+03 1.181496471931413161e+00 1.810254403883202780e-03
3.874137089121526969e+03 1.206109517589589286e+00 2.078766841572957276e-03
3.878011226210649966e+03 1.232597797271308693e+00 2.398110712412626459e-03
3.881889237436861549e+03 1.259989931871992930e+00 2.440604234334312669e-03
3.885771126674299921e+03 1.286489928677057026e+00 2.425562904430552183e-03
3.889656897800975457e+03 1.312604845807210596e+00 2.408130667264376211e-03
3.893546554698777527e+03 1.338828240749576182e+00 2.272326535665433744e-03
3.897440101253477678e+03 1.362935853478415060e+00 2.188737348088374158e-03
3.901337541354732366e+03 1.384820077842957353e+00 2.087667951361588982e-03
3.905238878896088409e+03 1.404340934191634860e+00 2.161591616594238374e-03
3.909144117774985716e+03 1.421531486204042904e+00 2.162193950133152031e-03
3.913053261892762293e+03 1.435738176824588042e+00 2.128333994820375431e-03
3.916966315154656058e+03 1.446383526375284445e+00 2.107576347419832814e-03
3.920883281469812118e+03 1.454648079964070195e+00 2.362385786304984931e-03
3.924804164751283224e+03 1.459635935206859747e+00 2.905882223718815431e-03
3.928728968916035683e+03 1.461749990411791433e+00 2.962215911021216178e-03
3.932657697884953450e+03 1.458878070927142723e+00 2.813684178632529665e-03
3.936590355582839493e+03 1.451720044149413136e+00 3.180740988483245820e-03
3.940526945938423523e+03 1.441896620764267611e+00 3.513564072453865227e-03
3.944467472884363360e+03 1.429602003273674926e+00 3.811909671889461212e-03
3.948411940357249023e+03 1.414568789966540452e+00 3.975094713015248603e-03
3.952360352297607733e+03 1.398143196206977024e+00 3.390384978530142524e-03
3.956312712649906643e+03 1.382702435323639012e+00 2.966698318999414375e-03
3.960269025362557841e+03 1.369034940386828048e+00 3.057932084237608393e-03
3.964229294387921527e+03 1.356661020879295743e+00 3.469568428581670718e-03
3.968193523682310570e+03 1.343910624011910304e+00 3.669089157761586291e-03
3.972161717205994591e+03 1.333792050845582944e+00 3.910134494344409163e-03
3.976133878923201792e+03 1.323483106304749191e+00 3.834529135165771520e-03
3.980110012802126221e+03 1.316206987750703217e+00 3.276042364013243436e-03
3.984090122814929600e+03 1.306330984940259121e+00 4.317445874940865035e-03
3.988074212937745870e+03 1.297300598989759024e+00 4.505909401607125810e-03
3.992062287150684824e+03 1.290769253356752744e+00 4.290154815553621180e-03
3.996054349437837118e+03 1.285409031469430641e+00 4.699990545848472569e-03
4.000050403787276082e+03 1.279435184933090053e+00 5.119508077000464209e-03
4.004050454191064546e+03 1.273643186074805644e+00 5.333277930800425434e-03
4.008054504645257111e+03 1.267211781997298781e+00 4.956293389740022877e-03
4.012062559149903791e+03 1.258091678691574566e+00 4.590176836075160124e-03
4.016074621709055009e+03 1.245918652069811561e+00 4.899197662794896324e-03
4.020090696330765240e+03 1.233621877627889551e+00 5.196491471642393674e-03
4.024110787027097558e+03 1.218734391580071907e+00 5.389874923146561157e-03
4.028134897814125907e+03 1.202251035405962121e+00 5.390355771328897774e-03
4.032163032711941469e+03 1.183824583104145622e+00 4.967052807373207798e-03
4.036195195744654484e+03 1.164457374387583899e+00 4.305432450847037316e-03
4.040231390940400615e+03 1.147265910015841106e+00 3.674965277576265014e-03
4.044271622331342314e+03 1.134472421151737853e+00 4.186582267175761873e-03
4.048315893953675186e+03 1.124702608925785219e+00 4.399290912612141384e-03
4.052364209847629809e+03 1.116641173607683113e+00 3.606151517315847859e-03
4.056416574057479011e+03 1.107822666856664418e+00 2.940990142597574471e-03
4.060472990631537868e+03 1.097660880153719321e+00 3.380038417661865736e-03
4.064533463622170530e+03 1.085656700878760095e+00 3.563669444535170604e-03
4.068597997085794304e+03 1.076742768342247469e+00 3.037035901382606137e-03
4.072666595082881486e+03 1.070966069387036201e+00 3.517190339612756220e-03
4.076739261677965715e+03 1.066054053653030742e+00 3.803833275401360525e-03
4.080816000939644709e+03 1.061179969635084541e+00 3.786721462178764281e-03
4.084896816940585722e+03 1.056867811706122762e+00 3.858655019246555202e-03
4.088981713757527814e+03 1.054029474154173140e+00 3.977429745087133692e-03
4.093070695471286854e+03 1.052322032318142364e+00 3.954723462157836572e-03
4.097163766166759160e+03 1.052337019146571073e+00 3.841856040782347381e-03
