# starting wavelength: 3470.980
# ending wavelength: 7367.620
# wav flux eflux
3.474245784479418489e+03 2.708076907517127929e-01 1.533547400642239558e-02
3.477720030263898934e+03 2.653194177286721800e-01 1.242645489165922039e-02
3.481197750294164052e+03 2.638265740475473908e-01 9.696480143532125798e-03
3.484678948044459503e+03 2.637243713268808687e-01 8.138699389836443615e-03
3.488163626992504760e+03 2.635060271916660479e-01 6.989236988516919595e-03
3.491651790619498570e+03 2.623498388266414239e-01 5.685785197221128809e-03
3.495143442410119405e+03 2.620837015650124835e-01 4.650822138668200822e-03
3.498638585852530468e+03 2.629798136528863073e-01 3.996622649389333128e-03
3.502137224438384237e+03 2.648208392013671753e-01 3.474058817434293785e-03
3.505639361662823831e+03 2.678950173643388499e-01 3.082609072986302809e-03
3.509145001024487556e+03 2.723708480862883641e-01 2.813532270274029818e-03
3.512654146025513455e+03 2.778364093380549793e-01 2.596293945820505201e-03
3.516166800171540217e+03 2.843493363471465418e-01 2.434689395941496901e-03
3.519682966971712631e+03 2.923909467754265967e-01 2.423369167057080713e-03
3.523202649938685681e+03 3.021220333591590479e-01 2.799062985156048917e-03
3.526725852588625457e+03 3.114887248475171622e-01 2.887372052850846558e-03
3.530252578441215064e+03 3.204223967887787072e-01 2.859506679980023183e-03
3.533782831019657806e+03 3.288638177626775350e-01 2.884712467429958668e-03
3.537316613850678550e+03 3.375990087377020998e-01 2.823433572166840141e-03
3.540853930464530094e+03 3.466569301096450451e-01 2.899362481117065404e-03
3.544394784394995895e+03 3.544285918749289777e-01 2.835468482515389899e-03
3.547939179179392340e+03 3.606702595350781970e-01 2.690473038930973112e-03
3.551487118358572843e+03 3.656714572745021763e-01 2.681842775187780973e-03
3.555038605476932389e+03 3.690107986875068580e-01 2.664339138596156630e-03
3.558593644082410719e+03 3.715739274905776601e-01 2.727799764644121393e-03
3.562152237726494150e+03 3.721023051881937604e-01 2.655365864996885993e-03
3.565714389964221937e+03 3.708422562820520296e-01 2.536034350977659207e-03
3.569280104354187188e+03 3.675837787901848341e-01 2.505500563271922075e-03
3.572849384458542772e+03 3.608974717282104616e-01 3.270969645772851733e-03
3.576422233843002232e+03 3.550055882452608502e-01 3.351901810923321560e-03
3.579998656076846601e+03 3.457433788280527831e-01 3.706944759527609420e-03
3.583578654732924406e+03 3.364995679360714420e-01 3.620569765150663012e-03
3.587162233387658489e+03 3.267767453925898291e-01 3.373907315285291138e-03
3.590749395621047370e+03 3.158725333325030915e-01 2.716236170140250757e-03
3.594340145016669794e+03 3.076745667068265244e-01 2.699794244983475498e-03
3.597934485161687462e+03 3.004674056795524351e-01 2.706418881860336422e-03
3.601532419646850485e+03 2.942389596581364009e-01 2.689042931431498331e-03
3.605133952066498296e+03 2.880885505772692312e-01 2.530246155933669073e-03
3.608739086018566013e+03 2.840562908378111984e-01 2.401727624447662617e-03
3.612347825104585809e+03 2.816895410271170186e-01 2.398582058329813433e-03
3.615960172929691907e+03 2.810360970991356844e-01 2.447610110153902729e-03
3.619576133102622407e+03 2.821704219655042367e-01 2.460500762957142790e-03
3.623195709235726554e+03 2.842235207996186563e-01 2.503278277648489543e-03
3.626818904944963379e+03 2.873576853488631899e-01 2.473755557209762496e-03
3.630445723849909427e+03 2.916539815292681359e-01 2.531830026727515705e-03
3.634076169573760581e+03 2.969996440579704688e-01 2.535935650281714773e-03
3.637710245743335690e+03 3.037412697647765003e-01 2.457802155897809235e-03
3.641347955989080219e+03 3.109621375449251324e-01 2.247908278114882537e-03
3.644989303945070333e+03 3.168576496523411445e-01 2.316466926159801726e-03
3.648634293249016537e+03 3.223781311958877627e-01 2.697549223264997242e-03
3.652282927542266862e+03 3.272018385492695414e-01 3.109653654812333679e-03
3.655935210469810499e+03 3.291741399397427603e-01 3.012597453221701593e-03
3.659591145680281443e+03 3.292091110323508985e-01 3.129510508948823901e-03
3.663250736825963031e+03 3.260647975500372553e-01 3.120577828476278279e-03
3.666913987562790226e+03 3.223099366152515910e-01 2.956785796009287100e-03
3.670580901550354156e+03 3.157031066381492113e-01 2.425541455795013519e-03
3.674251482451905758e+03 3.050683361959389828e-01 2.757671939555928885e-03
3.677925733934358959e+03 2.916145394891130338e-01 3.405322386095839884e-03
3.681603659668294313e+03 2.758168941181260991e-01 3.624795953454690300e-03
3.685285263327964003e+03 2.586208133757100236e-01 3.152733062170004832e-03
3.688970548591293209e+03 2.403995064147999572e-01 2.982235151432834335e-03
3.692659519139885560e+03 2.225334256243390874e-01 3.006681883176343887e-03
3.696352178659026777e+03 2.035737015953804074e-01 2.877290912950944673e-03
3.700048530837686940e+03 1.852732445540230810e-01 2.730156506756458920e-03
3.703748579368525952e+03 1.682276979498468217e-01 2.458047779282730456e-03
3.707452327947895355e+03 1.522466605295381692e-01 2.195984625584337154e-03
3.711159780275844696e+03 1.393258756336281934e-01 2.063231416778106824e-03
3.714870940056121526e+03 1.305881321438208120e-01 2.135972204200657556e-03
3.718585810996179134e+03 1.239670256667357584e-01 2.082497415008730500e-03
3.722304396807176545e+03 1.202359287496377049e-01 2.024184130618197301e-03
3.726026701203984885e+03 1.187630778341322579e-01 2.011283094740599041e-03
3.729752727905190113e+03 1.185367017203924067e-01 2.149809579149282706e-03
3.733482480633096657e+03 1.190899670636333951e-01 2.199175255524252626e-03
3.737215963113731050e+03 1.209993047819955120e-01 2.167225344356926275e-03
3.740953179076846027e+03 1.234689415113850997e-01 2.157646840496410794e-03
3.744694132255923705e+03 1.262031415412196433e-01 2.248618794123625336e-03
3.748438826388181042e+03 1.306839573491345718e-01 2.141429687585328333e-03
3.752187265214570289e+03 1.364792652204958323e-01 2.198108984123068026e-03
3.755939452479786269e+03 1.412974040964051214e-01 2.236361393514043911e-03
3.759695391932267285e+03 1.453580920031533885e-01 2.244092389800611542e-03
3.763455087324201031e+03 1.490860480966805512e-01 2.087618332875686069e-03
3.767218542411526414e+03 1.513088312782085165e-01 2.159426093696376059e-03
3.770985760953939007e+03 1.518677500756371868e-01 2.073370905907049189e-03
3.774756746714894234e+03 1.525961576203678782e-01 1.968962270028789142e-03
3.778531503461610555e+03 1.535313703709593192e-01 2.008358343045902033e-03
3.782310034965073100e+03 1.556550628948251414e-01 1.996177713843512534e-03
3.786092345000039586e+03 1.564377257814935640e-01 2.214964560202528718e-03
3.789878437345040766e+03 1.579899037622176650e-01 2.293498069154647438e-03
3.793668315782387253e+03 1.605390846567876229e-01 2.268067381631872284e-03
3.797461984098170888e+03 1.649398694861749504e-01 2.312151309778437847e-03
3.801259446082270188e+03 1.710182806574053471e-01 3.060133689777999946e-03
3.805060705528353537e+03 1.778059601862778671e-01 3.408279004225015906e-03
3.808865766233883278e+03 1.837343227720568406e-01 3.428498748643896317e-03
3.812674632000118436e+03 1.902286326542232120e-01 3.331291340041967787e-03
3.816487306632119726e+03 1.971296135166537289e-01 2.920182611843912240e-03
3.820303793938753188e+03 2.031008407661136217e-01 3.457738022285953595e-03
3.824124097732693372e+03 2.077387555056332546e-01 4.103041723992117105e-03
3.827948221830427428e+03 2.136334231283399943e-01 3.784655207862572257e-03
3.831776170052258749e+03 2.220033897760487485e-01 3.431556966570056735e-03
3.835607946222312421e+03 2.338223633499662280e-01 3.914414296531813602e-03
3.839443554168536139e+03 2.461908270232857077e-01 4.116324069316655912e-03
3.843282997722705659e+03 2.596351957947278799e-01 4.156178450216031946e-03
3.847126280720429804e+03 2.738123096145534952e-01 4.095200851695340351e-03
3.850973407001151372e+03 2.895046100451350579e-01 4.255384263155507010e-03
3.854824380408153957e+03 3.063888902559728233e-01 4.090410458032389847e-03
3.858679204788563311e+03 3.236054221386136520e-01 3.936724317698102153e-03
3.862537883993353262e+03 3.414155719315626336e-01 3.814983707087014030e-03
3.866400421877347981e+03 3.575252004249097615e-01 3.721359054289554661e-03
3.870266822299226533e+03 3.724965823898966355e-01 3.519226460015367677e-03
3.874137089121526969e+03 3.888369828856357846e-01 2.631450492114683227e-03
3.878011226210649966e+03 4.069966410281334324e-01 2.472555858543118521e-03
