# starting wavelength: 3464.040
# ending wavelength: 7360.260
# wav flux eflux
3.467307701768178049e+03 9.170632884802970564e-01 1.012331454269413053e-02
3.470775009469947236e+03 9.293670498105540689e-01 8.137527984874463535e-03
3.474245784479418489e+03 9.388870636066366515e-01 5.979670153935749861e-03
3.477720030263898934e+03 9.464656860931245363e-01 4.472450740588987915e-03
3.481197750294164052e+03 9.519437747413401762e-01 3.623394931602049243e-03
3.484678948044459503e+03 9.565608678392771846e-01 2.991384487149956369e-03
3.488163626992504760e+03 9.607833555651341673e-01 2.487807051181168544e-03
3.491651790619498570e+03 9.649755796713943568e-01 2.018664978395796113e-03
3.495143442410119405e+03 9.688004950119672998e-01 1.646363118174303105e-03
3.498638585852530468e+03 9.724323811967634512e-01 1.436631738769894280e-03
3.502137224438384237e+03 9.762362690916882579e-01 1.423987717878350554e-03
3.505639361662823831e+03 9.802421872387424573e-01 1.444290933434266714e-03
3.509145001024487556e+03 9.840232053577376847e-01 1.347580816830348501e-03
3.512654146025513455e+03 9.874535099914859559e-01 1.247356382240070354e-03
3.516166800171540217e+03 9.899879378128011442e-01 1.221983480813852328e-03
3.519682966971712631e+03 9.921766462192619374e-01 1.215352602477862793e-03
3.523202649938685681e+03 9.942515414837856946e-01 1.193878450277606864e-03
3.526725852588625457e+03 9.962972359062611805e-01 1.164605491497547503e-03
3.530252578441215064e+03 9.986328067491134775e-01 1.137087863191184930e-03
3.533782831019657806e+03 1.000735601793402152e+00 1.166468583053624193e-03
3.537316613850678550e+03 1.003019589960133739e+00 1.174631948891252230e-03
3.540853930464530094e+03 1.004883776068977053e+00 1.165591254875209806e-03
3.544394784394995895e+03 1.006520255129382369e+00 1.169567544451949933e-03
3.547939179179392340e+03 1.008051969660465952e+00 1.171566007725780923e-03
3.551487118358572843e+03 1.009714449126384306e+00 1.201524293798432669e-03
3.555038605476932389e+03 1.011016869083370961e+00 1.176434448633514526e-03
3.558593644082410719e+03 1.011880803110397631e+00 1.073846962538550862e-03
3.562152237726494150e+03 1.012969405170033754e+00 1.010990917353913774e-03
3.565714389964221937e+03 1.014365680449927920e+00 1.005985942725321674e-03
3.569280104354187188e+03 1.015443525806166258e+00 1.037632763995106682e-03
3.572849384458542772e+03 1.016660975281152401e+00 1.037229255782134811e-03
3.576422233843002232e+03 1.018048866279641418e+00 1.071048925949796881e-03
3.579998656076846601e+03 1.019526111246922273e+00 1.064240773967058346e-03
3.583578654732924406e+03 1.020804229203761793e+00 1.101063058251215048e-03
3.587162233387658489e+03 1.021980307134218613e+00 1.135128194757056407e-03
3.590749395621047370e+03 1.023073913886150432e+00 1.178311972031827670e-03
3.594340145016669794e+03 1.024232087201661257e+00 1.204470213679068383e-03
3.597934485161687462e+03 1.024771373664393526e+00 1.142724838511899365e-03
3.601532419646850485e+03 1.025472873547280006e+00 1.094773675242754563e-03
3.605133952066498296e+03 1.025954137256791299e+00 1.076305388770230258e-03
3.608739086018566013e+03 1.025985764287787427e+00 1.043820542409690721e-03
3.612347825104585809e+03 1.026004189450658410e+00 1.295613148492148845e-03
3.615960172929691907e+03 1.024377721734972324e+00 1.318037344507456835e-03
3.619576133102622407e+03 1.023151088557228361e+00 1.686391289161488132e-03
3.623195709235726554e+03 1.021115184579454160e+00 1.923759333799733443e-03
3.626818904944963379e+03 1.017347887699465714e+00 1.874644253552436605e-03
3.630445723849909427e+03 1.012144710557112193e+00 1.641474311404848277e-03
3.634076169573760581e+03 1.003236437673623582e+00 1.627061444476175442e-03
3.637710245743335690e+03 9.918234282741507091e-01 1.546364947669050813e-03
3.641347955989080219e+03 9.776633803570081716e-01 1.436867354779907367e-03
3.644989303945070333e+03 9.605747985847343795e-01 1.298972352215897524e-03
3.648634293249016537e+03 9.408076029522399741e-01 1.089212057548511955e-03
3.652282927542266862e+03 9.175670740688374183e-01 1.026299592228319384e-03
3.655935210469810499e+03 8.913306192082868229e-01 1.065476163984110892e-03
3.659591145680281443e+03 8.619368925214833110e-01 1.125665312094202564e-03
3.663250736825963031e+03 8.298686019084704490e-01 1.255537865480683361e-03
3.666913987562790226e+03 7.952064790578944331e-01 1.288645984072067695e-03
3.670580901550354156e+03 7.588149571853070041e-01 1.305213467964020562e-03
3.674251482451905758e+03 7.210708796691295275e-01 1.627513661378910759e-03
3.677925733934358959e+03 6.827136015670892677e-01 1.739178307893350000e-03
3.681603659668294313e+03 6.447661965179564136e-01 1.507944907708911285e-03
3.685285263327964003e+03 6.080635188367941035e-01 1.456667913263999178e-03
3.688970548591293209e+03 5.728074537654588294e-01 1.378835260043259842e-03
3.692659519139885560e+03 5.395954126648561111e-01 1.267408269383976964e-03
3.696352178659026777e+03 5.087112529795846383e-01 1.236609426143691357e-03
3.700048530837686940e+03 4.808742615077716276e-01 1.210175512654768646e-03
3.703748579368525952e+03 4.560943672556180273e-01 1.195059734449061082e-03
3.707452327947895355e+03 4.345727779336038821e-01 1.309393931704932665e-03
3.711159780275844696e+03 4.165515097812919620e-01 1.463083328028720077e-03
3.714870940056121526e+03 4.017547727426319382e-01 1.522150740644130336e-03
3.718585810996179134e+03 3.912711997667864261e-01 1.536992658288761871e-03
3.722304396807176545e+03 3.835745219549536733e-01 1.327304712993822907e-03
3.726026701203984885e+03 3.787549690124246138e-01 1.021634131979573968e-03
3.729752727905190113e+03 3.767180304314726724e-01 9.116011278862380055e-04
3.733482480633096657e+03 3.774816021613801031e-01 8.908159390873398881e-04
3.737215963113731050e+03 3.804538135922039821e-01 9.018488588636363679e-04
3.740953179076846027e+03 3.859244211891179055e-01 9.003105216935356793e-04
3.744694132255923705e+03 3.936750534801790047e-01 1.004098264650682155e-03
3.748438826388181042e+03 4.041309197549973753e-01 1.183802224955894482e-03
3.752187265214570289e+03 4.158356530481847613e-01 1.180526201728552584e-03
3.755939452479786269e+03 4.295989506789766876e-01 1.189446330030313010e-03
3.759695391932267285e+03 4.452974358964229551e-01 1.257155917869315961e-03
3.763455087324201031e+03 4.632713271932745180e-01 1.314059577535322968e-03
3.767218542411526414e+03 4.828201480475588503e-01 1.541208962846720614e-03
3.770985760953939007e+03 5.048085096622570989e-01 1.505573763364217174e-03
3.774756746714894234e+03 5.288564345563078195e-01 1.476871724033011974e-03
3.778531503461610555e+03 5.554552465581205078e-01 1.478567846452405856e-03
3.782310034965073100e+03 5.837480675603824443e-01 1.442066045162834287e-03
3.786092345000039586e+03 6.146628455230537247e-01 1.525775710348449814e-03
3.789878437345040766e+03 6.473675261342747289e-01 1.599255947076921825e-03
3.793668315782387253e+03 6.818986203013931435e-01 1.696186713030378148e-03
3.797461984098170888e+03 7.178244015554002821e-01 1.671377853938047593e-03
3.801259446082270188e+03 7.549922497468420923e-01 1.590101666339319673e-03
3.805060705528353537e+03 7.920468461557037543e-01 1.451424458714218940e-03
3.808865766233883278e+03 8.295582991153706010e-01 1.028094080800073459e-03
3.812674632000118436e+03 8.664838668710106440e-01 1.072266655725476626e-03
3.816487306632119726e+03 9.018596604023495500e-01 1.368664673243966557e-03
3.820303793938753188e+03 9.365202166392520011e-01 1.050040579034565436e-03
3.824124097732693372e+03 9.714556534143884425e-01 8.910626676774886833e-04
3.827948221830427428e+03 1.006604091888930519e+00 1.005526314625876643e-03
3.831776170052258749e+03 1.041603541207084316e+00 1.022355118349243348e-03
3.835607946222312421e+03 1.075057454909351451e+00 1.089610541685711014e-03
3.839443554168536139e+03 1.108129846937349949e+00 1.144775000958945599e-03
3.843282997722705659e+03 1.140806266611342767e+00 1.189081131577410895e-03
3.847126280720429804e+03 1.173210058812860002e+00 1.188595546663880585e-03
3.850973407001151372e+03 1.204548034944372681e+00 1.199113797727946332e-03
3.854824380408153957e+03 1.235574198199130391e+00 1.209542125113667339e-03
3.858679204788563311e+03 1.265415528768486064e+00 1.180483208457711129e-03
3.862537883993353262e+03 1.294454353720252637e+00 1.171361747658993414e-03
3.866400421877347981e+03 1.322881156927721902e+00 1.167510474723111591e-03
3.870266822299226533e+03 1.349805761880957578e+00 1.151188167054803839e-03
3.874137089121526969e+03 1.375518041393671398e+00 1.150334825000595002e-03
3.878011226210649966e+03 1.400212627749581218e+00 1.218315087493331353e-03
3.881889237436861549e+03 1.423327102579113657e+00 1.042091350468901494e-03
3.885771126674299921e+03 1.444023999511298895e+00 1.305595992350625607e-03
3.889656897800975457e+03 1.461279386688645987e+00 1.267036016397083808e-03
3.893546554698777527e+03 1.474783801524684801e+00 1.280423154059106118e-03
3.897440101253477678e+03 1.486337219340808868e+00 1.285947166349019804e-03
3.901337541354732366e+03 1.495088359215317464e+00 1.421543647246257614e-03
3.905238878896088409e+03 1.502109817063938646e+00 1.519289771957254035e-03
3.909144117774985716e+03 1.507198943270482205e+00 1.728065604360706862e-03
3.913053261892762293e+03 1.510352910213919264e+00 1.558296286033655775e-03
3.916966315154656058e+03 1.513215434987838170e+00 1.279375562276324372e-03
3.920883281469812118e+03 1.515849803081300351e+00 1.326519337282695225e-03
3.924804164751283224e+03 1.518193739823008093e+00 1.450159143032835052e-03
3.928728968916035683e+03 1.520354817543603465e+00 1.636507512355103592e-03
3.932657697884953450e+03 1.521134210177844448e+00 1.514674256984036840e-03
3.936590355582839493e+03 1.520925490285900183e+00 1.378843226930480306e-03
3.940526945938423523e+03 1.519491977472142263e+00 1.267822401003059147e-03
3.944467472884363360e+03 1.516352380244239351e+00 1.266684951112041031e-03
3.948411940357249023e+03 1.511135012906002162e+00 1.153079104527362023e-03
3.952360352297607733e+03 1.504681681669726823e+00 1.142172381428003224e-03
3.956312712649906643e+03 1.496309470380253748e+00 1.070454361811217035e-03
3.960269025362557841e+03 1.487900433325821670e+00 1.157302451873169335e-03
3.964229294387921527e+03 1.477092854334973282e+00 1.139608169961698432e-03
3.968193523682310570e+03 1.464716894811943559e+00 1.296715093471148290e-03
3.972161717205994591e+03 1.452332855451670124e+00 1.264010214800569132e-03
3.976133878923201792e+03 1.438891983670443020e+00 1.332281753134755345e-03
3.980110012802126221e+03 1.425106692909743122e+00 1.418914122236881493e-03
3.984090122814929600e+03 1.410858982572865017e+00 1.316052982271056441e-03
3.988074212937745870e+03 1.397215279316314840e+00 1.070055041226409967e-03
3.992062287150684824e+03 1.384655179292571869e+00 1.242827549870751964e-03
3.996054349437837118e+03 1.372648299400192284e+00 1.315760859582274086e-03
4.000050403787276082e+03 1.360788356654430986e+00 1.285804341292405562e-03
4.004050454191064546e+03 1.349791919390332273e+00 1.015186143155885319e-03
4.008054504645257111e+03 1.337856639381925339e+00 1.025971789614131546e-03
4.012062559149903791e+03 1.326219413893095167e+00 1.007582973185564175e-03
4.016074621709055009e+03 1.314188511360695921e+00 1.001298894084829685e-03
4.020090696330765240e+03 1.301928013625776481e+00 1.000224310232927967e-03
4.024110787027097558e+03 1.289235990345609650e+00 1.002381075901896635e-03
4.028134897814125907e+03 1.276229832350679105e+00 1.082199271814482866e-03
4.032163032711941469e+03 1.263496053249601347e+00 1.007362420015090344e-03
4.036195195744654484e+03 1.252282131324773395e+00 1.018199047384877503e-03
4.040231390940400615e+03 1.241598603378163634e+00 9.682528409890131960e-04
4.044271622331342314e+03 1.232197493920091036e+00 8.606396528696560804e-04
