# starting wavelength: 3470.980
# ending wavelength: 7360.260
# wav flux eflux
3.474245784479418489e+03 1.852642055704157575e-01 4.258805219085091964e-02
3.477720030263898934e+03 2.021414775369176353e-01 3.488851551413058028e-02
3.481197750294164052e+03 2.061294535478813139e-01 2.869849064247376180e-02
3.484678948044459503e+03 2.069810270515934358e-01 2.241426915938338552e-02
3.488163626992504760e+03 2.047959090834264584e-01 1.859255408250141961e-02
3.491651790619498570e+03 1.932780452082359102e-01 1.588658410710788380e-02
3.495143442410119405e+03 1.823697024644095055e-01 1.295788154874347696e-02
3.498638585852530468e+03 1.720833417471967497e-01 1.248655137074964304e-02
3.502137224438384237e+03 1.642831551633425202e-01 1.117761342936917333e-02
3.505639361662823831e+03 1.589566010646566441e-01 1.021784206294176073e-02
3.509145001024487556e+03 1.518905609569283499e-01 9.496767200468705580e-03
3.512654146025513455e+03 1.480141525525055513e-01 8.728828795854376432e-03
3.516166800171540217e+03 1.486870298357734765e-01 8.189217786972216931e-03
3.519682966971712631e+03 1.512105615684017912e-01 7.730544953130425931e-03
3.523202649938685681e+03 1.565125765768551613e-01 7.433944285345736244e-03
3.526725852588625457e+03 1.655262071934884838e-01 7.255694877396785467e-03
3.530252578441215064e+03 1.815576334283746929e-01 7.252639337905569805e-03
3.533782831019657806e+03 2.005753766411216832e-01 7.436357340559068135e-03
3.537316613850678550e+03 2.252419857867501707e-01 7.439021459009120298e-03
3.540853930464530094e+03 2.550567269085198263e-01 7.909659878003932887e-03
3.544394784394995895e+03 2.867082623412695042e-01 7.897421566973655480e-03
3.547939179179392340e+03 3.221114610996054783e-01 7.939104573883158655e-03
3.551487118358572843e+03 3.600119041049720248e-01 7.918961114538112037e-03
3.555038605476932389e+03 3.962074616884110889e-01 8.019457814378750868e-03
3.558593644082410719e+03 4.293300785879390347e-01 7.858628165422295100e-03
3.562152237726494150e+03 4.665441729488258860e-01 8.797445914804774558e-03
3.565714389964221937e+03 5.044162595089655143e-01 9.521580037787505738e-03
3.569280104354187188e+03 5.394056783603313754e-01 9.911710141724061965e-03
3.572849384458542772e+03 5.678354568086154686e-01 9.793646949807907273e-03
3.576422233843002232e+03 5.904972040949741929e-01 9.737513117340289986e-03
3.579998656076846601e+03 6.087182079259110257e-01 9.155747376526043521e-03
3.583578654732924406e+03 6.235313301748233172e-01 8.658635048668499382e-03
3.587162233387658489e+03 6.312354100253696476e-01 7.995982817018574759e-03
3.590749395621047370e+03 6.316661351106709343e-01 7.723178415300600147e-03
3.594340145016669794e+03 6.211981246453885941e-01 7.724888364527065718e-03
3.597934485161687462e+03 6.008204594792848630e-01 8.008517157078485355e-03
3.601532419646850485e+03 5.765972532545413642e-01 8.449213256777301367e-03
3.605133952066498296e+03 5.427975684866914730e-01 9.590490528169487439e-03
3.608739086018566013e+03 5.035558817890576355e-01 9.119103052934410258e-03
3.612347825104585809e+03 4.614528429489251349e-01 7.961525946011561300e-03
3.615960172929691907e+03 4.229245188431560720e-01 8.181783130318795449e-03
3.619576133102622407e+03 3.830008811479064801e-01 8.170146708958360426e-03
3.623195709235726554e+03 3.407070799817396023e-01 8.306689146794388190e-03
3.626818904944963379e+03 2.987763877123160716e-01 9.104173619708827783e-03
3.630445723849909427e+03 2.593231125950551386e-01 7.833807332894517431e-03
3.634076169573760581e+03 2.291017209118936804e-01 7.743613477418346928e-03
3.637710245743335690e+03 2.008805158716911454e-01 7.241389988714813999e-03
3.641347955989080219e+03 1.775838577961016407e-01 6.779787958456034817e-03
3.644989303945070333e+03 1.612958825851247835e-01 6.551541112332308521e-03
3.648634293249016537e+03 1.571689102311029373e-01 6.872872805126697439e-03
3.652282927542266862e+03 1.610241949100629233e-01 7.813931059222976871e-03
3.655935210469810499e+03 1.684266283258427088e-01 7.754128763099941632e-03
3.659591145680281443e+03 1.814660449460082092e-01 8.076248019546946808e-03
3.663250736825963031e+03 2.005059044963010961e-01 8.557545913457408407e-03
3.666913987562790226e+03 2.209507880685687431e-01 9.109600326005799428e-03
3.670580901550354156e+03 2.421215264958326285e-01 9.932987430695736780e-03
3.674251482451905758e+03 2.677384082168336454e-01 9.598283388746515002e-03
3.677925733934358959e+03 2.906131686795474511e-01 9.949840746739211858e-03
3.681603659668294313e+03 3.051111820174201572e-01 9.233469181630067982e-03
3.685285263327964003e+03 3.081043226552852565e-01 9.420101021148210088e-03
3.688970548591293209e+03 3.073668439899350235e-01 9.341979439471613869e-03
3.692659519139885560e+03 3.038042815697605259e-01 8.800284762170991482e-03
3.696352178659026777e+03 2.907465820381900379e-01 8.914760744001742898e-03
3.700048530837686940e+03 2.689312982685769238e-01 1.052692990567915578e-02
3.703748579368525952e+03 2.421140560616074633e-01 1.254031537907349982e-02
3.707452327947895355e+03 2.063107977083171729e-01 1.259453575904504082e-02
3.711159780275844696e+03 1.731934061168828587e-01 1.112751371447187956e-02
3.714870940056121526e+03 1.460935356079605674e-01 1.006128460410517234e-02
3.718585810996179134e+03 1.222487926014060033e-01 9.367132031632700168e-03
3.722304396807176545e+03 1.031123159033366099e-01 9.109340640505910955e-03
3.726026701203984885e+03 9.169590411925002127e-02 8.230065172936890452e-03
3.729752727905190113e+03 8.896406654624008925e-02 8.238917162221937388e-03
3.733482480633096657e+03 9.661967654368430747e-02 7.983531448920484427e-03
3.737215963113731050e+03 1.132169665098275435e-01 7.743690785000444110e-03
3.740953179076846027e+03 1.347483535325388060e-01 7.724764276557649460e-03
3.744694132255923705e+03 1.622300753963927811e-01 7.910610371216581990e-03
3.748438826388181042e+03 1.987029291908021522e-01 7.322630030131596982e-03
3.752187265214570289e+03 2.364583935208658672e-01 6.916452240526547481e-03
3.755939452479786269e+03 2.706399374867722307e-01 6.924972788587723492e-03
3.759695391932267285e+03 3.034912903861965439e-01 6.890373116006823055e-03
3.763455087324201031e+03 3.327021487885338802e-01 6.875370474590330148e-03
3.767218542411526414e+03 3.603214451477482205e-01 7.005789122633823349e-03
