# starting wavelength: 3419.320
# ending wavelength: 7257.980
# wav flux eflux
3.422546655310141887e+03 -1.004396755226601851e-01 7.990960617695520851e-02
3.425969201965453522e+03 -1.799100294006824308e-01 6.368573214025993745e-02
3.429395171167419903e+03 -2.529803134661302577e-01 6.002514062978335507e-02
3.432824566338588284e+03 -2.961431811272557391e-01 4.505743635373166134e-02
3.436257390904928343e+03 -3.111226686863578506e-01 3.601658927306333746e-02
3.439693648295834464e+03 -3.074689448761583899e-01 3.226173385627577328e-02
3.443133341944131189e+03 -2.968438965799931051e-01 2.829727306042870150e-02
3.446576475286076402e+03 -2.817168458546421284e-01 2.506589473299465631e-02
3.450023051761363604e+03 -2.643877939242021968e-01 2.049144758631594315e-02
3.453473074813126004e+03 -2.424675832360536354e-01 1.846251916886352748e-02
3.456926547887940615e+03 -2.159303495546453233e-01 1.606302270225789738e-02
3.460383474435829612e+03 -1.811660404734335150e-01 1.477176218888108516e-02
3.463843857910266706e+03 -1.379003215058544340e-01 1.508056339189076285e-02
3.467307701768178049e+03 -8.912961050655873740e-02 1.591812740508895610e-02
3.470775009469947236e+03 -4.371275342262710001e-02 1.520436766214021927e-02
3.474245784479418489e+03 -3.060357753613372755e-03 1.436879646061771550e-02
3.477720030263898934e+03 3.524727633754848322e-02 1.372494693640151711e-02
3.481197750294164052e+03 6.806319135631359873e-02 1.327303781254886815e-02
3.484678948044459503e+03 9.459463878922216851e-02 1.367544545309455455e-02
3.488163626992504760e+03 1.220685665722328062e-01 1.398445156105399337e-02
3.491651790619498570e+03 1.413512278556676161e-01 1.435801623122971715e-02
3.495143442410119405e+03 1.557959474137402545e-01 1.477797958610288336e-02
3.498638585852530468e+03 1.666527463855979885e-01 1.493549476815602545e-02
3.502137224438384237e+03 1.734110573366760555e-01 1.472099868493217598e-02
3.505639361662823831e+03 1.766091922532104508e-01 1.465861760436329951e-02
3.509145001024487556e+03 1.802451191866499269e-01 1.481739149677172018e-02
3.512654146025513455e+03 1.790524946016345542e-01 1.471391739626287144e-02
3.516166800171540217e+03 1.705813630219603638e-01 1.489099758454982825e-02
3.519682966971712631e+03 1.576109991291597123e-01 1.538542531521099564e-02
3.523202649938685681e+03 1.418348401762367095e-01 1.588057336073396900e-02
3.526725852588625457e+03 1.220542045669927855e-01 1.641041663247057303e-02
3.530252578441215064e+03 1.060181268203778115e-01 1.656023777193612115e-02
3.533782831019657806e+03 8.552943068059763732e-02 1.601321134230561730e-02
3.537316613850678550e+03 6.800218748428228654e-02 1.510820434650956938e-02
3.540853930464530094e+03 5.536880542825579898e-02 1.527178139098742983e-02
3.544394784394995895e+03 4.507454085387434251e-02 1.639122115519459078e-02
3.547939179179392340e+03 4.170345517382523237e-02 1.636372067024548238e-02
3.551487118358572843e+03 3.983985136798753185e-02 1.454268339665260729e-02
3.555038605476932389e+03 3.175374549106874111e-02 1.427907973218047952e-02
3.558593644082410719e+03 2.433483722344290806e-02 1.424641918540106057e-02
3.562152237726494150e+03 1.541499305120725555e-02 1.433348868990109992e-02
3.565714389964221937e+03 7.642707997907866903e-03 1.421759498656109330e-02
3.569280104354187188e+03 -3.766604767698635350e-03 1.412916886581254416e-02
3.572849384458542772e+03 -1.337520788246055609e-02 1.395691502752179937e-02
3.576422233843002232e+03 -2.130495159072078384e-02 1.418353556861620679e-02
3.579998656076846601e+03 -2.782792247021433421e-02 1.389611719779351023e-02
3.583578654732924406e+03 -2.526468780112922988e-02 1.244239406196993337e-02
3.587162233387658489e+03 -3.395759694120927680e-02 1.280770327171078769e-02
3.590749395621047370e+03 -4.274905350862207021e-02 1.320693664790897025e-02
3.594340145016669794e+03 -5.015365282617068043e-02 1.344639431636527119e-02
3.597934485161687462e+03 -6.011562100643753903e-02 1.345282965211253880e-02
3.601532419646850485e+03 -7.055223092843611321e-02 1.244343112567642198e-02
3.605133952066498296e+03 -7.810347116711521820e-02 1.205618796481866539e-02
3.608739086018566013e+03 -8.562141339477188917e-02 1.101485488826840255e-02
3.612347825104585809e+03 -8.461559576008066685e-02 1.133631914078944529e-02
3.615960172929691907e+03 -7.710172341620000203e-02 1.259023076797758690e-02
3.619576133102622407e+03 -5.640184023602545782e-02 1.298928566826405145e-02
3.623195709235726554e+03 -4.746508288074454546e-02 1.234631697399412621e-02
3.626818904944963379e+03 -4.254607062097900960e-02 1.279481616279843671e-02
