# starting wavelength: 3460.580
# ending wavelength: 7272.510
# wav flux eflux
3.463843857910266706e+03 1.318287439062881816e+00 1.648808025351143278e-02
3.467307701768178049e+03 1.319502289431560005e+00 1.209394992942062000e-02
3.470775009469947236e+03 1.321291429276345131e+00 9.500889154652148935e-03
3.474245784479418489e+03 1.321972429623861078e+00 7.375896711598355603e-03
3.477720030263898934e+03 1.321829612181725011e+00 6.299439348206147503e-03
3.481197750294164052e+03 1.319395563759307555e+00 5.019766613174518263e-03
3.484678948044459503e+03 1.315810016449719511e+00 4.408298715327091562e-03
3.488163626992504760e+03 1.310624718809228595e+00 3.664433350558633264e-03
3.491651790619498570e+03 1.304489543076328362e+00 3.054704785371054748e-03
3.495143442410119405e+03 1.297395496389811331e+00 2.672682753223845284e-03
3.498638585852530468e+03 1.289789217700795243e+00 2.375728460223646647e-03
3.502137224438384237e+03 1.281393286740523774e+00 2.202606080312826016e-03
3.505639361662823831e+03 1.272637081668973158e+00 2.097805266491968145e-03
3.509145001024487556e+03 1.264130757947269146e+00 1.980351272320381509e-03
3.512654146025513455e+03 1.256340953577781638e+00 1.881436261896175539e-03
3.516166800171540217e+03 1.248552013334675470e+00 1.798840709382222135e-03
3.519682966971712631e+03 1.241230122448004902e+00 1.731938548122810952e-03
3.523202649938685681e+03 1.234621318225319175e+00 1.675848749196558055e-03
3.526725852588625457e+03 1.228972043394147784e+00 1.844727488390474329e-03
3.530252578441215064e+03 1.222657711361865962e+00 1.782067982041953642e-03
3.533782831019657806e+03 1.217778401514092890e+00 1.859735100080811207e-03
3.537316613850678550e+03 1.214050491859377745e+00 1.776954706206531698e-03
3.540853930464530094e+03 1.210602227066945202e+00 1.739352120489709788e-03
3.544394784394995895e+03 1.208393162712752877e+00 1.835634186198865404e-03
3.547939179179392340e+03 1.207083373834215045e+00 1.667756452212206105e-03
3.551487118358572843e+03 1.205780181355513792e+00 1.592107540960340699e-03
3.555038605476932389e+03 1.204604645698025722e+00 1.597314875784095704e-03
3.558593644082410719e+03 1.203971858854443910e+00 1.595726543412088333e-03
3.562152237726494150e+03 1.203907149813677302e+00 1.578289232519140091e-03
3.565714389964221937e+03 1.204768854573156078e+00 1.693398786670036009e-03
3.569280104354187188e+03 1.204977161022640297e+00 1.749119656931171721e-03
3.572849384458542772e+03 1.205699073032731938e+00 2.044413145574978420e-03
3.576422233843002232e+03 1.206100897915666437e+00 2.039817835798487904e-03
3.579998656076846601e+03 1.206153390783064161e+00 2.100932996118596262e-03
3.583578654732924406e+03 1.206140101175493973e+00 2.128574920595616496e-03
3.587162233387658489e+03 1.206070269707338660e+00 2.169084531490518206e-03
3.590749395621047370e+03 1.206390804784077675e+00 2.198425791105928975e-03
3.594340145016669794e+03 1.206930006506138575e+00 2.182472405281031362e-03
3.597934485161687462e+03 1.207976682925126832e+00 2.211212433735872031e-03
3.601532419646850485e+03 1.208122388801978975e+00 2.213895080930197018e-03
3.605133952066498296e+03 1.209672064330301611e+00 2.268223561305768125e-03
3.608739086018566013e+03 1.210183072542452498e+00 2.326639970293182744e-03
3.612347825104585809e+03 1.211419322607474758e+00 2.293729891232732573e-03
3.615960172929691907e+03 1.212498441840160979e+00 2.291635136591849142e-03
3.619576133102622407e+03 1.214111594610909339e+00 2.386447437898461289e-03
3.623195709235726554e+03 1.214714276966139206e+00 2.462609889320760415e-03
3.626818904944963379e+03 1.215858051595007261e+00 2.486062985339254454e-03
3.630445723849909427e+03 1.217224208936029672e+00 2.511917715467131516e-03
3.634076169573760581e+03 1.217693845268464692e+00 2.510013169381073144e-03
