# starting wavelength: 3429.590
# ending wavelength: 7272.510
# wav flux eflux
3.432824566338588284e+03 1.449909386141422285e+00 1.385694086245768675e-02
3.436257390904928343e+03 1.476233462349225478e+00 1.031932636197331957e-02
3.439693648295834464e+03 1.498505823224748346e+00 7.801928265203927036e-03
3.443133341944131189e+03 1.517442834757526837e+00 6.403087895687432224e-03
3.446576475286076402e+03 1.532089415702293733e+00 5.353029555512380487e-03
3.450023051761363604e+03 1.542281628755536094e+00 4.358960881575629602e-03
3.453473074813126004e+03 1.548709278485058682e+00 3.562797123241378833e-03
3.456926547887940615e+03 1.552672923961476492e+00 2.913647571359654145e-03
3.460383474435829612e+03 1.554565318043662492e+00 2.500084012863131640e-03
3.463843857910266706e+03 1.554829970667736871e+00 2.186238584997008804e-03
3.467307701768178049e+03 1.554117422544282201e+00 2.063164904605779750e-03
3.470775009469947236e+03 1.552641449121382689e+00 2.041992162949994496e-03
3.474245784479418489e+03 1.550071297923424352e+00 1.946029000581609141e-03
3.477720030263898934e+03 1.547425548309122156e+00 2.122405039517761844e-03
3.481197750294164052e+03 1.543359947700744694e+00 2.063685312040469417e-03
3.484678948044459503e+03 1.538354059650893557e+00 1.993693091861318406e-03
3.488163626992504760e+03 1.532632786684756887e+00 1.934161289697037839e-03
3.491651790619498570e+03 1.526541471933611449e+00 1.949412747126925841e-03
3.495143442410119405e+03 1.519771382227879775e+00 1.984592030872406494e-03
3.498638585852530468e+03 1.512641836316130695e+00 1.940156575574178551e-03
3.502137224438384237e+03 1.505395626250439545e+00 1.946392437814063346e-03
3.505639361662823831e+03 1.498459756303828661e+00 1.927032446289035205e-03
3.509145001024487556e+03 1.491848487961447978e+00 1.904172599301455883e-03
3.512654146025513455e+03 1.484603904600631630e+00 1.963155729169003671e-03
3.516166800171540217e+03 1.477883092823062849e+00 1.959114767226199320e-03
3.519682966971712631e+03 1.471889759828349131e+00 1.942327834571702964e-03
3.523202649938685681e+03 1.466760214227445180e+00 1.930601916171542382e-03
3.526725852588625457e+03 1.461862328960942925e+00 1.916709320387334882e-03
3.530252578441215064e+03 1.457097679678131863e+00 1.858709993045242446e-03
3.533782831019657806e+03 1.453024295869127291e+00 1.650908718407554559e-03
3.537316613850678550e+03 1.449477779902407448e+00 1.591829703029638745e-03
3.540853930464530094e+03 1.447725251542139713e+00 1.848005445894060393e-03
3.544394784394995895e+03 1.447043316741154495e+00 2.182188051546158671e-03
3.547939179179392340e+03 1.446266688005479972e+00 2.230565425816088878e-03
3.551487118358572843e+03 1.446673924345215578e+00 2.183074013552880731e-03
3.555038605476932389e+03 1.447730089166007650e+00 1.803905512142699088e-03
3.558593644082410719e+03 1.447861611525258496e+00 1.651073626432742782e-03
3.562152237726494150e+03 1.448175958756331649e+00 1.535225885360780220e-03
3.565714389964221937e+03 1.447623948805625504e+00 1.841573082534599158e-03
3.569280104354187188e+03 1.447108305819282847e+00 2.034314491394745381e-03
3.572849384458542772e+03 1.446745792603906233e+00 2.130566420808219837e-03
3.576422233843002232e+03 1.447084547348634676e+00 2.161861943572314631e-03
3.579998656076846601e+03 1.446678958356430789e+00 2.065991829195078580e-03
3.583578654732924406e+03 1.446677615280849372e+00 1.841493997614336228e-03
3.587162233387658489e+03 1.447521535186481856e+00 1.866843709432245129e-03
3.590749395621047370e+03 1.448142264259448808e+00 1.985809239951449607e-03
3.594340145016669794e+03 1.449517182831223217e+00 2.006679065975962035e-03
3.597934485161687462e+03 1.450414106347154064e+00 2.059983847598446331e-03
3.601532419646850485e+03 1.451834914658152620e+00 2.222750322327811476e-03
3.605133952066498296e+03 1.453040140981028072e+00 2.268227420226210864e-03
3.608739086018566013e+03 1.453731360983313126e+00 2.239431209717008143e-03
3.612347825104585809e+03 1.452322370915666960e+00 2.291977166801412256e-03
3.615960172929691907e+03 1.450937454754540168e+00 2.298243205940082856e-03
3.619576133102622407e+03 1.448478615617101006e+00 2.060488213659209759e-03
3.623195709235726554e+03 1.444406007481642495e+00 1.728831700205908347e-03
3.626818904944963379e+03 1.438395598192748315e+00 1.814401454576521381e-03
3.630445723849909427e+03 1.430209181057604084e+00 2.189951575401164093e-03
3.634076169573760581e+03 1.420371365584036649e+00 2.643662847826632866e-03
3.637710245743335690e+03 1.409900349390963425e+00 2.634604112786765630e-03
3.641347955989080219e+03 1.399046361640670755e+00 2.319085110781897788e-03
3.644989303945070333e+03 1.388892037475799590e+00 2.256106876829181655e-03
3.648634293249016537e+03 1.380313001720468780e+00 2.223073255868600936e-03
3.652282927542266862e+03 1.373873525930099371e+00 2.111390281419362955e-03
3.655935210469810499e+03 1.368257397664331743e+00 1.812837806842122279e-03
3.659591145680281443e+03 1.366032608281888994e+00 1.707896215948059761e-03
3.663250736825963031e+03 1.366369878095973878e+00 1.548221479403142200e-03
3.666913987562790226e+03 1.370024817645546067e+00 1.523432774765428807e-03
3.670580901550354156e+03 1.376287498165784662e+00 1.433688438109037566e-03
3.674251482451905758e+03 1.385617816882130260e+00 1.472218071407749686e-03
3.677925733934358959e+03 1.397482722145967138e+00 1.525723928211603813e-03
3.681603659668294313e+03 1.411936144217921463e+00 1.746614116516206905e-03
3.685285263327964003e+03 1.428371405876255107e+00 1.872360129854525350e-03
3.688970548591293209e+03 1.445356328962793535e+00 1.643698507575069509e-03
3.692659519139885560e+03 1.460669467019646950e+00 1.492796505974130225e-03
3.696352178659026777e+03 1.475065899881513598e+00 1.842472025722714487e-03
3.700048530837686940e+03 1.487698375197823886e+00 2.636029124019439920e-03
3.703748579368525952e+03 1.497786033315992249e+00 2.783010059247507766e-03
3.707452327947895355e+03 1.501974910525401219e+00 2.547978278458963575e-03
3.711159780275844696e+03 1.501191082833944757e+00 2.123861064428950781e-03
3.714870940056121526e+03 1.494526356289096025e+00 1.674818508051508425e-03
3.718585810996179134e+03 1.480896119472693062e+00 1.708736902367422733e-03
3.722304396807176545e+03 1.460217051258286158e+00 2.099235489088085646e-03
3.726026701203984885e+03 1.433325151501558148e+00 2.535785081314086142e-03
3.729752727905190113e+03 1.402062402247302053e+00 2.475907081823215151e-03
3.733482480633096657e+03 1.364941916932012278e+00 2.965461877960664204e-03
3.737215963113731050e+03 1.324224217396225756e+00 2.941395600718612301e-03
3.740953179076846027e+03 1.279735141022831479e+00 2.039507446861209793e-03
3.744694132255923705e+03 1.235459131328702220e+00 1.492391040349972525e-03
3.748438826388181042e+03 1.191412593823124588e+00 1.711636302501483168e-03
3.752187265214570289e+03 1.147430208211458025e+00 1.842418809654071182e-03
3.755939452479786269e+03 1.103527821212821225e+00 1.888085439255845956e-03
3.759695391932267285e+03 1.060297123515508755e+00 1.727599977660881523e-03
3.763455087324201031e+03 1.017140967715103761e+00 1.639637233091886066e-03
3.767218542411526414e+03 9.754257091927321932e-01 1.570038897747085601e-03
3.770985760953939007e+03 9.352577715578218598e-01 1.548742238563771689e-03
3.774756746714894234e+03 8.961063439440913880e-01 1.567631294146845655e-03
3.778531503461610555e+03 8.579680621327684387e-01 1.472568036820800152e-03
3.782310034965073100e+03 8.231032791044370356e-01 1.467778724246904731e-03
3.786092345000039586e+03 7.906560161735680659e-01 1.399010163904704706e-03
3.789878437345040766e+03 7.609930447398939313e-01 1.141033768707101293e-03
3.793668315782387253e+03 7.356389566458816365e-01 1.165380227006463905e-03
3.797461984098170888e+03 7.147980816380563596e-01 1.285847268820410928e-03
3.801259446082270188e+03 6.989939907418021292e-01 1.297823898220192484e-03
3.805060705528353537e+03 6.882205981340903111e-01 1.330050263497162830e-03
3.808865766233883278e+03 6.824780041651445917e-01 1.401254704015781217e-03
3.812674632000118436e+03 6.807681623224127732e-01 1.140356282053826831e-03
3.816487306632119726e+03 6.846073043635331201e-01 1.152880259662160053e-03
3.820303793938753188e+03 6.937911077964092899e-01 1.989004051898007538e-03
3.824124097732693372e+03 7.067100273648739828e-01 2.589125273303254874e-03
3.827948221830427428e+03 7.223443202120223283e-01 2.484376987971667530e-03
3.831776170052258749e+03 7.388772957557588894e-01 2.065707200332628484e-03
3.835607946222312421e+03 7.563432079771507111e-01 1.736238977343033518e-03
3.839443554168536139e+03 7.743725057222288211e-01 1.784739926889798451e-03
3.843282997722705659e+03 7.920084360912121868e-01 2.299807823812245917e-03
3.847126280720429804e+03 8.121892202119721516e-01 2.343500881167504945e-03
3.850973407001151372e+03 8.340002133989062871e-01 2.210713386501242904e-03
3.854824380408153957e+03 8.591024670594218371e-01 1.926662315883045191e-03
3.858679204788563311e+03 8.882597801059248788e-01 1.529321053874321389e-03
3.862537883993353262e+03 9.219206777517812146e-01 1.534535890892202957e-03
3.866400421877347981e+03 9.598503750139112389e-01 1.565418692208663063e-03
3.870266822299226533e+03 1.001934613709613231e+00 1.513435123913386537e-03
3.874137089121526969e+03 1.047761024349749714e+00 1.603539181075543411e-03
3.878011226210649966e+03 1.098270638534790455e+00 1.455908008495382898e-03
3.881889237436861549e+03 1.151121847304731105e+00 1.451441790489532918e-03
3.885771126674299921e+03 1.205687331657971706e+00 1.338169666975654341e-03
3.889656897800975457e+03 1.262230655522956324e+00 1.457130376327527574e-03
3.893546554698777527e+03 1.319879498536444817e+00 1.513196044020439493e-03
3.897440101253477678e+03 1.377628908385381434e+00 1.514051082793170522e-03
3.901337541354732366e+03 1.434297290261438818e+00 1.524494292081271865e-03
3.905238878896088409e+03 1.488161403536172767e+00 1.515368549043239052e-03
3.909144117774985716e+03 1.538726710892256655e+00 1.395556798410468652e-03
3.913053261892762293e+03 1.584537453014538855e+00 1.050177733606419547e-03
3.916966315154656058e+03 1.624207407578435625e+00 1.075524729508968002e-03
3.920883281469812118e+03 1.658746192650045748e+00 1.055850170210345705e-03
3.924804164751283224e+03 1.686671745800550681e+00 1.155865370968802612e-03
3.928728968916035683e+03 1.709541913985721751e+00 1.025734258780250418e-03
3.932657697884953450e+03 1.728264271232046623e+00 1.008169231206055769e-03
3.936590355582839493e+03 1.742246665092902713e+00 1.063607546468137719e-03
3.940526945938423523e+03 1.752294331741712785e+00 1.173579518180289808e-03
3.944467472884363360e+03 1.758876221702655007e+00 1.158232947823501901e-03
3.948411940357249023e+03 1.762813863897906508e+00 7.607611510193940281e-04
3.952360352297607733e+03 1.766332163784857912e+00 8.002820742324856431e-04
3.956312712649906643e+03 1.768126410004375648e+00 8.084665227827826477e-04
3.960269025362557841e+03 1.769063711574895503e+00 9.349196094203810056e-04
3.964229294387921527e+03 1.770366937718334199e+00 9.351855184158454608e-04
3.968193523682310570e+03 1.771088727163872001e+00 8.809658486961791362e-04
3.972161717205994591e+03 1.772091846979132690e+00 1.022788072594982712e-03
3.976133878923201792e+03 1.773415489660625788e+00 1.527209639766990545e-03
3.980110012802126221e+03 1.773781884531055120e+00 1.596933782994714021e-03
3.984090122814929600e+03 1.773207373484869676e+00 1.354391130100170365e-03
3.988074212937745870e+03 1.770963561525091823e+00 1.398436570148934655e-03
3.992062287150684824e+03 1.767572199909490438e+00 1.594346397109164303e-03
3.996054349437837118e+03 1.763068575763988122e+00 1.903305942522761545e-03
4.000050403787276082e+03 1.758101777156127143e+00 1.696471397106452065e-03
4.004050454191064546e+03 1.752687722385838143e+00 1.585660980387376120e-03
4.008054504645257111e+03 1.747392681423471705e+00 1.662223559890996195e-03
4.012062559149903791e+03 1.741107044886231803e+00 1.821037960514659956e-03
4.016074621709055009e+03 1.733551058453339566e+00 1.937630605662286464e-03
4.020090696330765240e+03 1.724447659001569599e+00 1.990531749656986472e-03
4.024110787027097558e+03 1.713573044638627696e+00 1.904099634145191679e-03
4.028134897814125907e+03 1.700339310915906843e+00 1.244238348433319248e-03
4.032163032711941469e+03 1.683078845701636572e+00 1.153342702549159382e-03
4.036195195744654484e+03 1.662343627227541809e+00 1.163155452305480965e-03
4.040231390940400615e+03 1.638442581214331062e+00 1.155540722837731333e-03
4.044271622331342314e+03 1.610772302845145054e+00 9.020109534314777215e-04
4.048315893953675186e+03 1.581355027210793684e+00 7.488891312676754187e-04
4.052364209847629809e+03 1.550681324998936850e+00 7.398000721969187838e-04
4.056416574057479011e+03 1.518252266409929829e+00 1.196437389555048440e-03
4.060472990631537868e+03 1.485983742270113428e+00 1.435687266247079232e-03
4.064533463622170530e+03 1.454038939547608988e+00 1.818410912838821147e-03
4.068597997085794304e+03 1.424263654648215249e+00 1.806631189468341139e-03
4.072666595082881486e+03 1.397241881991639012e+00 1.448285818716424193e-03
4.076739261677965715e+03 1.373969409961661281e+00 1.384297432930104137e-03
4.080816000939644709e+03 1.354009107248918209e+00 1.299472339962018039e-03
4.084896816940585722e+03 1.338241844572644723e+00 1.416833832320943658e-03
4.088981713757527814e+03 1.326318975548061996e+00 1.725473684051136635e-03
4.093070695471286854e+03 1.317003532919810205e+00 1.791323259082527181e-03
4.097163766166759160e+03 1.310007857589909230e+00 1.704607011227033536e-03
4.101260929932927866e+03 1.304109892851756491e+00 1.186309809467570638e-03
4.105362190862862008e+03 1.298379339083173489e+00 9.638321134153102080e-04
4.109467553053726078e+03 1.292773329674554716e+00 9.581150182612778498e-04
4.113577020606780934e+03 1.286847181352685832e+00 1.450474049392440432e-03
4.117690597627389252e+03 1.281630737620881755e+00 1.476070297254160422e-03
4.121808288225018259e+03 1.277538145180129758e+00 1.194967439405644153e-03
4.125930096513244280e+03 1.275093922034572502e+00 1.209462555234000394e-03
4.130056026609759101e+03 1.273587020726959951e+00 1.252595166907594310e-03
4.134186082636369974e+03 1.273046030948501439e+00 1.309274628681831882e-03
4.138320268719007800e+03 1.275040855085322944e+00 1.331457213334124971e-03
4.142458588987728035e+03 1.278547049817622350e+00 1.305493852696699075e-03
4.146601047576717065e+03 1.284836193706363705e+00 1.294028475025057719e-03
4.150747648624294925e+03 1.293747441901908601e+00 1.340472510992240162e-03
4.154898396272920763e+03 1.304328086957072141e+00 1.619922872314930344e-03
4.159053294669195566e+03 1.315662532265026163e+00 1.882147145149398824e-03
4.163212347963865795e+03 1.326728936131093439e+00 1.948853777469726359e-03
4.167375560311830668e+03 1.337743108108291779e+00 1.923954398675888165e-03
4.171542935872143971e+03 1.347159939788926675e+00 1.799429129257689147e-03
4.175714478808017702e+03 1.354814426212228362e+00 1.526482602214418970e-03
4.179890193286827525e+03 1.359630017414171999e+00 1.665505686740251755e-03
4.184070083480115500e+03 1.362594465902122298e+00 1.655893335176528971e-03
4.188254153563597356e+03 1.363319946817774353e+00 1.664275324513703235e-03
4.192442407717161586e+03 1.360019382235384100e+00 1.309407048621149487e-03
4.196634850124880359e+03 1.355372223912689300e+00 1.170460204852613291e-03
4.200831484975006788e+03 1.350220811088032047e+00 1.251156078715395109e-03
4.205032316459983122e+03 1.344592234276539955e+00 1.406413102185808230e-03
4.209237348776444378e+03 1.339037865182273190e+00 1.436267729573142754e-03
4.213446586125221984e+03 1.334052841374128384e+00 1.462656371832403088e-03
4.217660032711349231e+03 1.330540715893163917e+00 1.445531070638932970e-03
4.221877692744061278e+03 1.327766894098361350e+00 1.311807886159797138e-03
4.226099570436806971e+03 1.326406321174270042e+00 1.339681441117639713e-03
4.230325670007245208e+03 1.326440786153028739e+00 1.477032045652006999e-03
4.234555995677254032e+03 1.327807002635613687e+00 1.590176900818220801e-03
4.238790551672932452e+03 1.329290247759704835e+00 1.456908135969522998e-03
4.243029342224606808e+03 1.330430463405146924e+00 1.323538701429604909e-03
4.247272371566832589e+03 1.331054698175107021e+00 9.646695422576908197e-04
4.251519643938400804e+03 1.330433554114585304e+00 8.997194614603682859e-04
4.255771163582340705e+03 1.328292065774477670e+00 8.911722336705529303e-04
4.260026934745924336e+03 1.324519501509070496e+00 4.833615699789373891e-04
4.264286961680671993e+03 1.320949840361658412e+00 5.218321029235713183e-04
4.268551248642354039e+03 1.316527525557694478e+00 6.996010090640533263e-04
4.272819799890998183e+03 1.311264683638637907e+00 8.887358006644123553e-04
4.277092619690890388e+03 1.306289974086241479e+00 1.252957535261103091e-03
4.281369712310583054e+03 1.302580484483763845e+00 1.170154823158761929e-03
4.285651082022895025e+03 1.299997670235586877e+00 1.107519129789847658e-03
4.289936733104918858e+03 1.298426204892209723e+00 1.178218616331528105e-03
4.294226669838025373e+03 1.297375823200563660e+00 1.268050481005789402e-03
4.298520896507864563e+03 1.296886314897444992e+00 1.305377247275342273e-03
4.302819417404373780e+03 1.296165299097575607e+00 1.278551645041429291e-03
4.307122236821779552e+03 1.295088486209806877e+00 1.211977276409918324e-03
4.311429359058603040e+03 1.292893658083630326e+00 1.137225437544041318e-03
4.315740788417662770e+03 1.289729050789364839e+00 1.030313302575403683e-03
4.320056529206081905e+03 1.284198337966407699e+00 1.008055957443603021e-03
4.324376585735290064e+03 1.276159649211868086e+00 9.997229442429095368e-04
4.328700962321026054e+03 1.265308802628684059e+00 1.000441224363791352e-03
4.333029663283348782e+03 1.251820577946929802e+00 1.159616219324703396e-03
4.337362692946633615e+03 1.235215865860912920e+00 1.213438814263580016e-03
4.341700055639581478e+03 1.215347929864884158e+00 1.173840814649803992e-03
4.346041755695222491e+03 1.193198978166828406e+00 8.619068688876927635e-04
4.350387797450919606e+03 1.167734863809133383e+00 9.520859335350012305e-04
4.354738185248371337e+03 1.139630141402996344e+00 1.133716755548316727e-03
4.359092923433621763e+03 1.109485275579934704e+00 9.512053057697695277e-04
4.363452016357056891e+03 1.079257022872824212e+00 7.895432981640471354e-04
4.367815468373414660e+03 1.049125708042482508e+00 6.885894764618625619e-04
4.372183283841789489e+03 1.019794020124237699e+00 6.939648256885988043e-04
4.376555467125633186e+03 9.924162920474742799e-01 7.278658637250129100e-04
4.380932022592760404e+03 9.678371105607526115e-01 7.156112696683163263e-04
4.385312954615354101e+03 9.464898241158313796e-01 6.774111329670798884e-04
