# starting wavelength: 3436.450
# ending wavelength: 7272.510
# wav flux eflux
3.439693648295834464e+03 4.922341878857642850e-01 2.431097942320196298e-02
3.443133341944131189e+03 4.770343785821695159e-01 1.978449778656617142e-02
3.446576475286076402e+03 4.712653733025420899e-01 1.557572223017383330e-02
3.450023051761363604e+03 4.772432833087156823e-01 1.472365772097181634e-02
3.453473074813126004e+03 4.871492891392319446e-01 1.274845410224063544e-02
3.456926547887940615e+03 5.010114206629902034e-01 1.042658557234765054e-02
3.460383474435829612e+03 5.193140066494836837e-01 9.144100432059057426e-03
3.463843857910266706e+03 5.405124803593636118e-01 8.228648413966426975e-03
3.467307701768178049e+03 5.661000642865379184e-01 7.320112646121287696e-03
3.470775009469947236e+03 5.943876679047086498e-01 6.630178162947960273e-03
3.474245784479418489e+03 6.247462193566464261e-01 6.123971593801930992e-03
3.477720030263898934e+03 6.597027700359805458e-01 6.751208344306658567e-03
3.481197750294164052e+03 6.956720914314969972e-01 7.643119915544077485e-03
3.484678948044459503e+03 7.270962968109412339e-01 7.475349094757402502e-03
3.488163626992504760e+03 7.560512214085597371e-01 7.397140503903230739e-03
3.491651790619498570e+03 7.770882428585418333e-01 7.686466707823775592e-03
3.495143442410119405e+03 7.977268283885091682e-01 7.859448365204281528e-03
3.498638585852530468e+03 8.107619300319597322e-01 8.546167932029504269e-03
3.502137224438384237e+03 8.241112909467209757e-01 8.529447412907387865e-03
3.505639361662823831e+03 8.355665388063193699e-01 8.937762888620030127e-03
3.509145001024487556e+03 8.406805518994457938e-01 8.798334407839702651e-03
3.512654146025513455e+03 8.367781684184030233e-01 9.260443979907686390e-03
3.516166800171540217e+03 8.278438659370574992e-01 9.839051200899600474e-03
3.519682966971712631e+03 8.154934410346382778e-01 1.031100661705531239e-02
3.523202649938685681e+03 7.973247813128416794e-01 1.063174163626378482e-02
3.526725852588625457e+03 7.785528307025714190e-01 1.066391641576523719e-02
3.530252578441215064e+03 7.585175579954130942e-01 1.067336534293656866e-02
3.533782831019657806e+03 7.350986083584112318e-01 1.056792153273209897e-02
3.537316613850678550e+03 7.102048090950715542e-01 1.055803405849832337e-02
3.540853930464530094e+03 6.828324224934229081e-01 1.014477070720564908e-02
3.544394784394995895e+03 6.551887018607536195e-01 9.313026995146777773e-03
3.547939179179392340e+03 6.279561833291901207e-01 8.848072853644282226e-03
3.551487118358572843e+03 6.005831049454246617e-01 8.935186666866663796e-03
3.555038605476932389e+03 5.797263475444077718e-01 8.897963283969226658e-03
3.558593644082410719e+03 5.635306328002032128e-01 8.756362725404269812e-03
3.562152237726494150e+03 5.500215029442881987e-01 8.762173052551816901e-03
3.565714389964221937e+03 5.381047996494192631e-01 8.657121235971251480e-03
3.569280104354187188e+03 5.298795455988781766e-01 8.464682995276803096e-03
3.572849384458542772e+03 5.225751615761873303e-01 8.446850232691739679e-03
3.576422233843002232e+03 5.176822306984897315e-01 8.738678690872279248e-03
3.579998656076846601e+03 5.141948919044487809e-01 8.697456344584422738e-03
3.583578654732924406e+03 5.137530353282031559e-01 8.788418702337446112e-03
3.587162233387658489e+03 5.165330006093667992e-01 9.097423460334139178e-03
3.590749395621047370e+03 5.198600349187093572e-01 9.367582237697453032e-03
3.594340145016669794e+03 5.319188171199726867e-01 9.903455220658385905e-03
3.597934485161687462e+03 5.397452569792317023e-01 9.181087754338778176e-03
3.601532419646850485e+03 5.422672564852045740e-01 9.535248090155202388e-03
3.605133952066498296e+03 5.408459411051702581e-01 1.178791862728797643e-02
3.608739086018566013e+03 5.390993919034029469e-01 1.178926918715741089e-02
3.612347825104585809e+03 5.449127621316652847e-01 1.197474228672237330e-02
3.615960172929691907e+03 5.573410704114543091e-01 1.166366731361436100e-02
3.619576133102622407e+03 5.694165377475669532e-01 1.169005181692690624e-02
3.623195709235726554e+03 5.804205425400477125e-01 1.157508007674328508e-02
3.626818904944963379e+03 5.880924863628407273e-01 1.052690262978560852e-02
3.630445723849909427e+03 6.043127142293186482e-01 1.074255874052587253e-02
3.634076169573760581e+03 6.255163275377988441e-01 1.312644972893725094e-02
3.637710245743335690e+03 6.476603080463370077e-01 1.450013468496545548e-02
3.641347955989080219e+03 6.691761923865044981e-01 1.528238052017565594e-02
3.644989303945070333e+03 6.859197192016808220e-01 1.482638160608532214e-02
3.648634293249016537e+03 7.002886338591213233e-01 1.396973682598039689e-02
3.652282927542266862e+03 7.126891133475024009e-01 1.326798926630735204e-02
3.655935210469810499e+03 7.162591753764571134e-01 1.397387333465155423e-02
3.659591145680281443e+03 7.152268188101297275e-01 1.568599821988668486e-02
3.663250736825963031e+03 7.138193388810665230e-01 1.790038037119491901e-02
3.666913987562790226e+03 7.137414901357977959e-01 1.796564248657746971e-02
