# starting wavelength: 3412.490
# ending wavelength: 7250.730
# wav flux eflux
3.415711815966390986e+03 1.210741898702436981e+00 1.873071105306805401e-02
3.419127527782358356e+03 1.204249077111879673e+00 1.446484593940925573e-02
3.422546655310141887e+03 1.199341677168098919e+00 1.130629921547309132e-02
3.425969201965453522e+03 1.194606184051278497e+00 8.952594833056312651e-03
3.429395171167419903e+03 1.186789146298650621e+00 7.960490520455398150e-03
3.432824566338588284e+03 1.180843447058034235e+00 6.874911641492772139e-03
3.436257390904928343e+03 1.176866154539426113e+00 5.753601834791077091e-03
3.439693648295834464e+03 1.174200785530380875e+00 4.699463853846666192e-03
3.443133341944131189e+03 1.171881225956733275e+00 3.979840559111823793e-03
3.446576475286076402e+03 1.169320746609091355e+00 3.565333523996608214e-03
3.450023051761363604e+03 1.165811332613623685e+00 3.620025653999223072e-03
3.453473074813126004e+03 1.162362519417743600e+00 3.461452730764694261e-03
3.456926547887940615e+03 1.160060148942018809e+00 3.183732328511510844e-03
3.460383474435829612e+03 1.157607075451944745e+00 3.051425279924350597e-03
3.463843857910266706e+03 1.156511777855120160e+00 2.882242618767268463e-03
3.467307701768178049e+03 1.156639900435177726e+00 2.773513113219418669e-03
3.470775009469947236e+03 1.156858208076104066e+00 2.672833132203306788e-03
3.474245784479418489e+03 1.157152400700222517e+00 2.762498672325641724e-03
3.477720030263898934e+03 1.158445861443267333e+00 2.768284947304285124e-03
3.481197750294164052e+03 1.160779022227775403e+00 2.746086619850532460e-03
3.484678948044459503e+03 1.164045700973711295e+00 2.643545953102791751e-03
3.488163626992504760e+03 1.168660537301330571e+00 2.773022492413506224e-03
3.491651790619498570e+03 1.174321183939920799e+00 3.064588250330324212e-03
3.495143442410119405e+03 1.180449076730518465e+00 3.077418273297496780e-03
3.498638585852530468e+03 1.186702427755588429e+00 2.990623376468569839e-03
3.502137224438384237e+03 1.193027385645599958e+00 2.943121183250952105e-03
3.505639361662823831e+03 1.198703058519811071e+00 2.953695155768109454e-03
3.509145001024487556e+03 1.205255759704860541e+00 2.971955455593072899e-03
3.512654146025513455e+03 1.211787001226844129e+00 2.897463531183956924e-03
3.516166800171540217e+03 1.218291680657399123e+00 2.865470195006963438e-03
3.519682966971712631e+03 1.224004020546116456e+00 2.953228026419564469e-03
3.523202649938685681e+03 1.228967608648583010e+00 2.953346399317650483e-03
3.526725852588625457e+03 1.234628858851014588e+00 2.847719768534100800e-03
3.530252578441215064e+03 1.239296432409102033e+00 2.788692852104644824e-03
3.533782831019657806e+03 1.242792120341454032e+00 2.833798133332367502e-03
3.537316613850678550e+03 1.243996713287216727e+00 2.978892298706666952e-03
3.540853930464530094e+03 1.244373385459843995e+00 2.789803123881514843e-03
3.544394784394995895e+03 1.244130128839365579e+00 2.532752054485948832e-03
3.547939179179392340e+03 1.244632601268074401e+00 2.519644265366786408e-03
3.551487118358572843e+03 1.246064445781668972e+00 2.550675164706522804e-03
3.555038605476932389e+03 1.246769722588138452e+00 2.617360973302442981e-03
3.558593644082410719e+03 1.246021284057730272e+00 2.621290335899974146e-03
3.562152237726494150e+03 1.244562684966901589e+00 2.625260125483045749e-03
3.565714389964221937e+03 1.241437256167994274e+00 2.630405365149343210e-03
3.569280104354187188e+03 1.237664605127502648e+00 2.621271526035000386e-03
3.572849384458542772e+03 1.234427541426226238e+00 2.569125739564724793e-03
3.576422233843002232e+03 1.228317971465595848e+00 2.894120542496234592e-03
3.579998656076846601e+03 1.223304795466054085e+00 2.861319817749571372e-03
3.583578654732924406e+03 1.216257284345829248e+00 3.473317549460721784e-03
3.587162233387658489e+03 1.208642107430245805e+00 3.581164372478541896e-03
3.590749395621047370e+03 1.201420709113077745e+00 3.184093033724778431e-03
3.594340145016669794e+03 1.195686891750162184e+00 2.999422703447129392e-03
3.597934485161687462e+03 1.191056829924296512e+00 3.094022764829131543e-03
3.601532419646850485e+03 1.187839658638177642e+00 3.143545840451174994e-03
3.605133952066498296e+03 1.184906115363742130e+00 3.179286419989782887e-03
3.608739086018566013e+03 1.181434102697159094e+00 3.262679810514341073e-03
3.612347825104585809e+03 1.179332939454508455e+00 3.461338200150826036e-03
3.615960172929691907e+03 1.176900669935117216e+00 3.546796976768653437e-03
3.619576133102622407e+03 1.174729456244193893e+00 3.425331328029480090e-03
3.623195709235726554e+03 1.171897307875024108e+00 3.383571736172397062e-03
3.626818904944963379e+03 1.169739459948699434e+00 3.254881752327927653e-03
3.630445723849909427e+03 1.166682571354352937e+00 3.175771226725062745e-03
3.634076169573760581e+03 1.162381664942528259e+00 2.810377431307195008e-03
3.637710245743335690e+03 1.156407115624839665e+00 2.602431777911113232e-03
3.641347955989080219e+03 1.146812763077289743e+00 2.592550190580467095e-03
3.644989303945070333e+03 1.133528984417766949e+00 2.526515128487427739e-03
3.648634293249016537e+03 1.117503759106488026e+00 2.450465734968670754e-03
3.652282927542266862e+03 1.100651374231651713e+00 2.456833468106444512e-03
3.655935210469810499e+03 1.081528610213638553e+00 2.487131736595762747e-03
3.659591145680281443e+03 1.059688373861294330e+00 2.486047189889168101e-03
3.663250736825963031e+03 1.035560255658742657e+00 2.474447755383395002e-03
3.666913987562790226e+03 1.009970102144631454e+00 2.510358064824859316e-03
3.670580901550354156e+03 9.833785268874132290e-01 2.296314104862912011e-03
3.674251482451905758e+03 9.545870649933968499e-01 2.267257354965722133e-03
