# starting wavelength: 3526.930
# ending wavelength: 8174.730
# wav flux eflux
3.530252578441215064e+03 9.587947114733458287e-01 7.880698916786066377e-02
3.533782831019657806e+03 9.593477128180138980e-01 5.640720292501669175e-02
3.537316613850678550e+03 9.567952059191214831e-01 4.126354650655711387e-02
3.540853930464530094e+03 9.492276299652335769e-01 3.174576832693749850e-02
3.544394784394995895e+03 9.343105760519634373e-01 3.174926789629219787e-02
3.547939179179392340e+03 9.251442486908475482e-01 2.835053968879112582e-02
3.551487118358572843e+03 9.232629395115338200e-01 2.384405437525311325e-02
3.555038605476932389e+03 9.267575827184957316e-01 1.942931731682709731e-02
3.558593644082410719e+03 9.299156887531845328e-01 1.678961025944221766e-02
3.562152237726494150e+03 9.294856629952624738e-01 1.464805028493454397e-02
3.565714389964221937e+03 9.265240133129704070e-01 1.257178948073652859e-02
3.569280104354187188e+03 9.210194422788473556e-01 1.121034370416816410e-02
3.572849384458542772e+03 9.109174247884600506e-01 1.030031410255977282e-02
3.576422233843002232e+03 8.911145555979115285e-01 1.177960648280120676e-02
3.579998656076846601e+03 8.690630627172803990e-01 1.225857307160263185e-02
3.583578654732924406e+03 8.438522238038755896e-01 1.307262976724437968e-02
3.587162233387658489e+03 8.211995666509470659e-01 1.291906464538269440e-02
3.590749395621047370e+03 8.009805095104695072e-01 1.253790402614062688e-02
3.594340145016669794e+03 7.770135664208711601e-01 1.275616724407205652e-02
3.597934485161687462e+03 7.548403986752025840e-01 1.311947982966267350e-02
3.601532419646850485e+03 7.356820489507714944e-01 1.323089316223404616e-02
3.605133952066498296e+03 7.192528173674148650e-01 1.309177802318346566e-02
3.608739086018566013e+03 7.085190360492217287e-01 1.267993263102774187e-02
3.612347825104585809e+03 6.995075078137666935e-01 1.223359039968977512e-02
3.615960172929691907e+03 6.944332078407917663e-01 1.129980199875259446e-02
3.619576133102622407e+03 6.942394042288626554e-01 1.097995799994054382e-02
3.623195709235726554e+03 7.001969210258506271e-01 1.220087610437711224e-02
3.626818904944963379e+03 7.117058797410246163e-01 1.312319792330619156e-02
3.630445723849909427e+03 7.290357385874552953e-01 1.365510841853035361e-02
3.634076169573760581e+03 7.445910426656763281e-01 1.360894068438058858e-02
3.637710245743335690e+03 7.648097861391742747e-01 1.333113411636286348e-02
3.641347955989080219e+03 7.831442147018287114e-01 1.259185015464045661e-02
3.644989303945070333e+03 7.988507880652043758e-01 1.166496240353885258e-02
3.648634293249016537e+03 8.118720633061605740e-01 9.696107301386267321e-03
3.652282927542266862e+03 8.187918070138955340e-01 7.675057009420075717e-03
3.655935210469810499e+03 8.174096963535011362e-01 7.463043124099475421e-03
3.659591145680281443e+03 8.123400205299320387e-01 7.557872937776397536e-03
3.663250736825963031e+03 7.967795955182064294e-01 7.822041041961493371e-03
3.666913987562790226e+03 7.754687034396939849e-01 8.127801412551200269e-03
3.670580901550354156e+03 7.485260557038173612e-01 9.605383269349863917e-03
3.674251482451905758e+03 7.190219027055758660e-01 1.225890921727838465e-02
3.677925733934358959e+03 6.854070335527113755e-01 1.257273634594815830e-02
3.681603659668294313e+03 6.526859696403385369e-01 1.176775324864697166e-02
3.685285263327964003e+03 6.224985299033026775e-01 1.037722478316116873e-02
3.688970548591293209e+03 5.972373912923828465e-01 9.859232386522191749e-03
3.692659519139885560e+03 5.751608825527652069e-01 9.803304045696875635e-03
3.696352178659026777e+03 5.563991152094156512e-01 9.191214057623142003e-03
3.700048530837686940e+03 5.423821971027531497e-01 8.711844972049001892e-03
3.703748579368525952e+03 5.364919683431251807e-01 1.044689960879724260e-02
3.707452327947895355e+03 5.291608416561025541e-01 1.079482276184508781e-02
3.711159780275844696e+03 5.322685469133547898e-01 1.039163450951820916e-02
3.714870940056121526e+03 5.376581846262408204e-01 9.459976775368078919e-03
3.718585810996179134e+03 5.425830443724350971e-01 9.385024531996888006e-03
3.722304396807176545e+03 5.527984746732694799e-01 8.954646695508787849e-03
3.726026701203984885e+03 5.628874246289294891e-01 8.887832009334626845e-03
3.729752727905190113e+03 5.723561565758967795e-01 7.999394198781711526e-03
3.733482480633096657e+03 5.823027679260781575e-01 7.616158491266209613e-03
3.737215963113731050e+03 5.874834527850339994e-01 7.270289708702415421e-03
3.740953179076846027e+03 5.897013066511376245e-01 7.626912633496935913e-03
3.744694132255923705e+03 5.866427730564064413e-01 8.576018429588268960e-03
3.748438826388181042e+03 5.835627754501820919e-01 8.259277518315006131e-03
3.752187265214570289e+03 5.804994977299071657e-01 7.621868074917345290e-03
3.755939452479786269e+03 5.768759534481601170e-01 7.780422895080504019e-03
3.759695391932267285e+03 5.723515360582740463e-01 7.514548615369887226e-03
3.763455087324201031e+03 5.718905229123862899e-01 7.077671401699648160e-03
3.767218542411526414e+03 5.738520142056479090e-01 6.822315658922107652e-03
3.770985760953939007e+03 5.782036506345651361e-01 6.807328304060581044e-03
3.774756746714894234e+03 5.902031534810081581e-01 7.147750527799931822e-03
