# starting wavelength: 3429.590
# ending wavelength: 7301.640
# wav flux eflux
3.432824566338588284e+03 1.202844993049832834e+00 1.607989564735601284e-02
3.436257390904928343e+03 1.204260518888357501e+00 1.467308072062354155e-02
3.439693648295834464e+03 1.204680858126590204e+00 1.099258863117119275e-02
3.443133341944131189e+03 1.204555665356743299e+00 8.395473807399231325e-03
3.446576475286076402e+03 1.203649249683209854e+00 6.614741318241445719e-03
3.450023051761363604e+03 1.202488835490189922e+00 5.572004218273923434e-03
3.453473074813126004e+03 1.202037785770785350e+00 4.932137669514488620e-03
3.456926547887940615e+03 1.202844405278026274e+00 4.024120280524905342e-03
3.460383474435829612e+03 1.203708089171328766e+00 3.405637555798156618e-03
3.463843857910266706e+03 1.204383236707313509e+00 2.959631250480907177e-03
3.467307701768178049e+03 1.204389229656541938e+00 2.746167613895641232e-03
3.470775009469947236e+03 1.204284809175267812e+00 2.511283334487742630e-03
3.474245784479418489e+03 1.204110786580305348e+00 2.325365666752022328e-03
3.477720030263898934e+03 1.203062870555584807e+00 2.394103644056957796e-03
3.481197750294164052e+03 1.202488229847207712e+00 2.344398819197510749e-03
3.484678948044459503e+03 1.202204459703134942e+00 2.313790033629450384e-03
3.488163626992504760e+03 1.203371335911107787e+00 2.241547538700331722e-03
3.491651790619498570e+03 1.204649120189029254e+00 2.203590237625247233e-03
3.495143442410119405e+03 1.206475344081776147e+00 2.202435296363772482e-03
3.498638585852530468e+03 1.207976290529658048e+00 2.234610926156513615e-03
3.502137224438384237e+03 1.210215303713131574e+00 2.245426945506483456e-03
3.505639361662823831e+03 1.212862653944110081e+00 2.286791686794329131e-03
3.509145001024487556e+03 1.215916906519756591e+00 2.344308351338020551e-03
3.512654146025513455e+03 1.219926041614318057e+00 2.328015251920342778e-03
3.516166800171540217e+03 1.222844630715063552e+00 2.299833042593114191e-03
3.519682966971712631e+03 1.225500195095170275e+00 2.366080862812347183e-03
3.523202649938685681e+03 1.228372057401001083e+00 2.392301345610142824e-03
3.526725852588625457e+03 1.230972065639218904e+00 2.417373708872286829e-03
3.530252578441215064e+03 1.233711643479061593e+00 2.355893649968964464e-03
3.533782831019657806e+03 1.236853921277461188e+00 2.337898046441065549e-03
3.537316613850678550e+03 1.240101401347939447e+00 2.413320221509470537e-03
3.540853930464530094e+03 1.243995709473443512e+00 2.429452897569614033e-03
3.544394784394995895e+03 1.247837950680193764e+00 2.422296132171179815e-03
3.547939179179392340e+03 1.251017584231643998e+00 2.380302415325956725e-03
3.551487118358572843e+03 1.253550085580549478e+00 2.389685362040795680e-03
3.555038605476932389e+03 1.254442359475723689e+00 2.293974900822104684e-03
3.558593644082410719e+03 1.255211902518083678e+00 2.350575662583902822e-03
3.562152237726494150e+03 1.255735298173507486e+00 2.548006638834666819e-03
3.565714389964221937e+03 1.255140577493367049e+00 2.677418712126834483e-03
3.569280104354187188e+03 1.254126254374046567e+00 2.740579107972720540e-03
3.572849384458542772e+03 1.251727948545625191e+00 2.474264984076310781e-03
3.576422233843002232e+03 1.248868572456413029e+00 2.199048065562166261e-03
3.579998656076846601e+03 1.244191866908775701e+00 2.160257862212178019e-03
3.583578654732924406e+03 1.238507990768466183e+00 2.213291137265593466e-03
3.587162233387658489e+03 1.231424033363013093e+00 2.541815809868795944e-03
3.590749395621047370e+03 1.222918728878523265e+00 3.187031711588959957e-03
3.594340145016669794e+03 1.213831381781656837e+00 2.990516261260097244e-03
3.597934485161687462e+03 1.205512407921383478e+00 2.708797424595910282e-03
3.601532419646850485e+03 1.197625113214256576e+00 2.281967558537273053e-03
3.605133952066498296e+03 1.191798473923924684e+00 2.255399450983295358e-03
3.608739086018566013e+03 1.186423071624663761e+00 2.117532943524702907e-03
3.612347825104585809e+03 1.182574494652081754e+00 2.154911999562930495e-03
3.615960172929691907e+03 1.179574878442691155e+00 2.225708465084671583e-03
3.619576133102622407e+03 1.178622172611643482e+00 2.202690456968679680e-03
3.623195709235726554e+03 1.179281681196289400e+00 2.161293202483498179e-03
3.626818904944963379e+03 1.181170128915897122e+00 2.321260402862879678e-03
3.630445723849909427e+03 1.183849828762115308e+00 2.630610171896515491e-03
3.634076169573760581e+03 1.189211863488496057e+00 2.691797005749956180e-03
3.637710245743335690e+03 1.196264639290317788e+00 2.667845374779174127e-03
3.641347955989080219e+03 1.205144035507832001e+00 2.659227921446869446e-03
3.644989303945070333e+03 1.216142243374164877e+00 2.795167326846943918e-03
3.648634293249016537e+03 1.228873007919282445e+00 3.338004156902409352e-03
3.652282927542266862e+03 1.241098003273272132e+00 3.651151554371467184e-03
3.655935210469810499e+03 1.251028673098497856e+00 3.799856147594444806e-03
3.659591145680281443e+03 1.261217819710148236e+00 4.123146696775548993e-03
3.663250736825963031e+03 1.270104033914726038e+00 4.466237550024131781e-03
3.666913987562790226e+03 1.278900554767860243e+00 4.173177996106075364e-03
3.670580901550354156e+03 1.282850909977147014e+00 3.709961761627899104e-03
3.674251482451905758e+03 1.283004437139048104e+00 3.113810581277273552e-03
3.677925733934358959e+03 1.278017662254192777e+00 3.065067994609731259e-03
3.681603659668294313e+03 1.269078442274657936e+00 2.971468537896614949e-03
3.685285263327964003e+03 1.255112930887702483e+00 3.033591358697503536e-03
3.688970548591293209e+03 1.235654386197404975e+00 2.959345351706718381e-03
3.692659519139885560e+03 1.211204989845964919e+00 2.598764469687612523e-03
3.696352178659026777e+03 1.182926253734351230e+00 2.321256827305026409e-03
3.700048530837686940e+03 1.150448859618256048e+00 2.036376545026365517e-03
3.703748579368525952e+03 1.115096712458123251e+00 1.907113115344014499e-03
3.707452327947895355e+03 1.079254380071734243e+00 1.916776879508290876e-03
3.711159780275844696e+03 1.042555828496274595e+00 1.952232141514215853e-03
3.714870940056121526e+03 1.004768706198795769e+00 2.222374094662646262e-03
3.718585810996179134e+03 9.671543215502383939e-01 2.504151789148042085e-03
3.722304396807176545e+03 9.305876441190578108e-01 2.539904032094889193e-03
3.726026701203984885e+03 8.954850274265321319e-01 2.299590780569695913e-03
3.729752727905190113e+03 8.631834090645609248e-01 2.292965889707609343e-03
3.733482480633096657e+03 8.321797316484996765e-01 2.216922038711916128e-03
3.737215963113731050e+03 8.046458170508554719e-01 2.476883009050914568e-03
3.740953179076846027e+03 7.803991770751962376e-01 2.569839644352438137e-03
3.744694132255923705e+03 7.596930303305976517e-01 2.458732276374559454e-03
3.748438826388181042e+03 7.413416653206960083e-01 2.328789873318486917e-03
3.752187265214570289e+03 7.266206182488986753e-01 2.040264266508512708e-03
3.755939452479786269e+03 7.143045000264890421e-01 1.969543032773333341e-03
3.759695391932267285e+03 7.044157806420527912e-01 1.972138517447212698e-03
3.763455087324201031e+03 6.966922825023629251e-01 1.916526044006633183e-03
3.767218542411526414e+03 6.907355048418865051e-01 1.734807754759158703e-03
3.770985760953939007e+03 6.877783440449818375e-01 1.772278246074297185e-03
3.774756746714894234e+03 6.875148563675206326e-01 1.734214897481952886e-03
3.778531503461610555e+03 6.903981346314387313e-01 1.759500678117987974e-03
3.782310034965073100e+03 6.958210576462418029e-01 1.767245134704502731e-03
3.786092345000039586e+03 7.027954170604995277e-01 1.828683384662520370e-03
3.789878437345040766e+03 7.137068655098725012e-01 1.785655032364286523e-03
3.793668315782387253e+03 7.260214709835226543e-01 1.867271985424295540e-03
3.797461984098170888e+03 7.382624103514612290e-01 1.915774528374136407e-03
3.801259446082270188e+03 7.504495256519435609e-01 1.907150407973859591e-03
3.805060705528353537e+03 7.624730950512308425e-01 2.079207349284673684e-03
3.808865766233883278e+03 7.754563124597330104e-01 2.246677023313008951e-03
3.812674632000118436e+03 7.908246228343064343e-01 2.381222559570702821e-03
3.816487306632119726e+03 8.076783525918810325e-01 2.321616358818287887e-03
3.820303793938753188e+03 8.245418403660073059e-01 2.415553769849511367e-03
3.824124097732693372e+03 8.423283528332377035e-01 2.427371301309895219e-03
3.827948221830427428e+03 8.630121592046618995e-01 2.188127492867932445e-03
3.831776170052258749e+03 8.861554841369219115e-01 2.361280160099900674e-03
3.835607946222312421e+03 9.111635656251533266e-01 2.784041919575338305e-03
3.839443554168536139e+03 9.375585227370076824e-01 2.790037111026647063e-03
3.843282997722705659e+03 9.642805998476760010e-01 2.487496275855935815e-03
3.847126280720429804e+03 9.907214771259313935e-01 2.350423265681738250e-03
3.850973407001151372e+03 1.017067917507122887e+00 2.364291742200705978e-03
3.854824380408153957e+03 1.043213661498143097e+00 2.449246171421240459e-03
3.858679204788563311e+03 1.068383299261278285e+00 2.402344979374350549e-03
3.862537883993353262e+03 1.093030302470820780e+00 1.587953270495105935e-03
3.866400421877347981e+03 1.119534740461077371e+00 1.531829300246073406e-03
3.870266822299226533e+03 1.146256245413721064e+00 1.604830355008372757e-03
3.874137089121526969e+03 1.174475185673462763e+00 1.606744946333050561e-03
3.878011226210649966e+03 1.203574299234615896e+00 1.696389952446413591e-03
3.881889237436861549e+03 1.232554343935888808e+00 1.929921719681714203e-03
3.885771126674299921e+03 1.261717755243309647e+00 2.303674464138893898e-03
3.889656897800975457e+03 1.289510834749139079e+00 1.711531997866784288e-03
3.893546554698777527e+03 1.313540080492482831e+00 1.623965266167195056e-03
3.897440101253477678e+03 1.334346674028548119e+00 1.676951129535230942e-03
3.901337541354732366e+03 1.353310517082595199e+00 1.967252025923523807e-03
3.905238878896088409e+03 1.370479078838046316e+00 2.117770818571331967e-03
3.909144117774985716e+03 1.386575754319297360e+00 2.260271281671339793e-03
3.913053261892762293e+03 1.401449803202029720e+00 2.309492179624841272e-03
