# starting wavelength: 3291.880
# ending wavelength: 8389.960
# wav flux eflux
3.294992518429529355e+03 6.046998969051334827e-01 1.534499689532217367e-02
3.298287510947960072e+03 5.972922028133290651e-01 1.103681820257255627e-02
3.301585798458909267e+03 5.969066965200696684e-01 8.722254312665524145e-03
3.304887384257369376e+03 6.008155093442609784e-01 6.830339574195055594e-03
3.308192271641627485e+03 6.072048455192526895e-01 5.393794308154424219e-03
3.311500463913270323e+03 6.147010749807249042e-01 4.246318673976207103e-03
3.314811964377184722e+03 6.241271572035662629e-01 4.780197497450978765e-03
3.318126776341563072e+03 6.327621968708456723e-01 5.808841798393891281e-03
3.321444903117905596e+03 6.389730265987263458e-01 5.218003392797853843e-03
3.324766348021024896e+03 6.440150782506215421e-01 4.471933242842924573e-03
3.328091114369046863e+03 6.483668531257568146e-01 3.940763184374192034e-03
3.331419205483417045e+03 6.525640173898217267e-01 3.458551369178023468e-03
3.334750624688901553e+03 6.571164498837476220e-01 3.174004095539961594e-03
3.338085375313591612e+03 6.614834119824549719e-01 2.946638112666976998e-03
3.341423460688906289e+03 6.660457615790309482e-01 2.849233054925782299e-03
3.344764884149596128e+03 6.703419293783473565e-01 2.801232747712553619e-03
3.348109649033746791e+03 6.743532739308538693e-01 2.841601157116501256e-03
3.351457758682781787e+03 6.769898568735477351e-01 2.769749351347115633e-03
3.354809216441465651e+03 6.788500019437777588e-01 2.726718992369416613e-03
3.358164025657908041e+03 6.791561285884379906e-01 2.757891697595397842e-03
3.361522189683567376e+03 6.783783949121300338e-01 2.773254550255255593e-03
3.364883711873251741e+03 6.767929634847420495e-01 2.818506387709839196e-03
3.368248595585126168e+03 6.746159719738983318e-01 2.873677087161513512e-03
3.371616844180712633e+03 6.719055971596880061e-01 2.952580076503838642e-03
3.374988461024894150e+03 6.694982890836702616e-01 2.958109489634430656e-03
3.378363449485920228e+03 6.667955905336686584e-01 2.994346963844400720e-03
3.381741812935407324e+03 6.638532976109171591e-01 3.044612964430429541e-03
3.385123554748343849e+03 6.614340014971162862e-01 3.135773163631762773e-03
3.388508678303093347e+03 6.587570364627253205e-01 3.209612462824642902e-03
3.391897186981397681e+03 6.561373982903146995e-01 3.235969691010335755e-03
3.395289084168380214e+03 6.537673267844307246e-01 3.228650885573649577e-03
3.398684373252549449e+03 6.510282073462568819e-01 3.197913471049508138e-03
3.402083057625803121e+03 6.484696075205250709e-01 2.922972093387894883e-03
3.405485140683430018e+03 6.465010079950662680e-01 2.474009831549555880e-03
3.408890625824114522e+03 6.474884090240031753e-01 2.533076055605295966e-03
3.412299516449939802e+03 6.499741144466841813e-01 2.847691685255949925e-03
3.415711815966390986e+03 6.531646748346241482e-01 3.061313586929914794e-03
3.419127527782358356e+03 6.574546684102382521e-01 3.175864890981202910e-03
3.422546655310141887e+03 6.626624573874269064e-01 3.182648530685195168e-03
3.425969201965453522e+03 6.685995104690520829e-01 2.835341488625099052e-03
3.429395171167419903e+03 6.748270838781703640e-01 2.227805673704355127e-03
3.432824566338588284e+03 6.804322498822766851e-01 1.659413944780533745e-03
3.436257390904928343e+03 6.851907358048376917e-01 1.691862228381773052e-03
3.439693648295834464e+03 6.884214609647630878e-01 1.886317230642403382e-03
3.443133341944131189e+03 6.919461572605349886e-01 1.961369568455936102e-03
3.446576475286076402e+03 6.950164578410619187e-01 1.957313780732683819e-03
3.450023051761363604e+03 6.975119545596073500e-01 1.866683306013187721e-03
3.453473074813126004e+03 7.000319980428085787e-01 1.888061110113338926e-03
3.456926547887940615e+03 7.014154733419604160e-01 1.910885475577407070e-03
3.460383474435829612e+03 7.029752377834304067e-01 1.964244993978711377e-03
3.463843857910266706e+03 7.037774296425992615e-01 1.932142669415776908e-03
3.467307701768178049e+03 7.030663457949095640e-01 1.992651768479104368e-03
3.470775009469947236e+03 7.021118539720863083e-01 2.017999946217051681e-03
3.474245784479418489e+03 6.999487844944619619e-01 2.061150437267141641e-03
3.477720030263898934e+03 6.974713274318121714e-01 2.007313238055480863e-03
3.481197750294164052e+03 6.951441416888837210e-01 1.984831266260640107e-03
3.484678948044459503e+03 6.927674051309177239e-01 2.032843234109748404e-03
3.488163626992504760e+03 6.897802064514633180e-01 2.105910327553780007e-03
3.491651790619498570e+03 6.873359453527767560e-01 2.051261635126174713e-03
3.495143442410119405e+03 6.840112954339266915e-01 2.041994298853373139e-03
3.498638585852530468e+03 6.804665879152358432e-01 2.042801474452350576e-03
3.502137224438384237e+03 6.765952138751875067e-01 2.102196136041832933e-03
3.505639361662823831e+03 6.726329841469138593e-01 2.156963924022516077e-03
3.509145001024487556e+03 6.673968418239110134e-01 1.921314411535106912e-03
3.512654146025513455e+03 6.629460309999228862e-01 1.677000391580638679e-03
3.516166800171540217e+03 6.600811625745155453e-01 1.857770731472826661e-03
3.519682966971712631e+03 6.578606602607500742e-01 2.026470506405826395e-03
3.523202649938685681e+03 6.555812499221462808e-01 1.989341868684113297e-03
3.526725852588625457e+03 6.531052205272308564e-01 1.984601737142561301e-03
3.530252578441215064e+03 6.514739006769215690e-01 1.933308943421376729e-03
3.533782831019657806e+03 6.503527634585222206e-01 1.843033052516457977e-03
3.537316613850678550e+03 6.490954105301306454e-01 1.916844929476322745e-03
3.540853930464530094e+03 6.487338680603463859e-01 1.991532159301583060e-03
3.544394784394995895e+03 6.476269461230990121e-01 2.031524948852916641e-03
3.547939179179392340e+03 6.470045033730480455e-01 1.946035013413977000e-03
3.551487118358572843e+03 6.481969008528786214e-01 1.874443241045134750e-03
3.555038605476932389e+03 6.505987726723143627e-01 1.852443215074736941e-03
3.558593644082410719e+03 6.539077717661574418e-01 1.930435423798897761e-03
