# starting wavelength: 3457.130
# ending wavelength: 7360.260
# wav flux eflux
3.460383474435829612e+03 6.030006745461390372e-01 3.755674936424489851e-02
3.463843857910266706e+03 6.013548992395424397e-01 3.008003973677422088e-02
3.467307701768178049e+03 5.981058921142963225e-01 2.247498183926739321e-02
3.470775009469947236e+03 5.962072297416977085e-01 1.750076602230797931e-02
3.474245784479418489e+03 5.930140279884960064e-01 1.379819629037603093e-02
3.477720030263898934e+03 5.895214362133505137e-01 1.139754935460379412e-02
3.481197750294164052e+03 5.839175467632713445e-01 9.239619911108937558e-03
3.484678948044459503e+03 5.787317711111800156e-01 7.536135247837902340e-03
3.488163626992504760e+03 5.742401437203531467e-01 6.384179470936108929e-03
3.491651790619498570e+03 5.720240851140632188e-01 6.068321679148385751e-03
3.495143442410119405e+03 5.725945209223822774e-01 5.998246104845643065e-03
3.498638585852530468e+03 5.757886150127066172e-01 6.167315197794091472e-03
3.502137224438384237e+03 5.802108689377687423e-01 6.134594029420068970e-03
3.505639361662823831e+03 5.844651271792857816e-01 5.885169644593065547e-03
3.509145001024487556e+03 5.883385079940708362e-01 5.635694169120675050e-03
3.512654146025513455e+03 5.906457644310850741e-01 5.371755690071653225e-03
3.516166800171540217e+03 5.927558172200136921e-01 5.170964215757196947e-03
3.519682966971712631e+03 5.929948150092024806e-01 5.209565580621114758e-03
3.523202649938685681e+03 5.932314622351751998e-01 5.203979918538490131e-03
3.526725852588625457e+03 5.939368824732983443e-01 5.324515259171263594e-03
3.530252578441215064e+03 5.940529286931995889e-01 5.265644280550753516e-03
3.533782831019657806e+03 5.932598764553715931e-01 5.253121631789837813e-03
3.537316613850678550e+03 5.914434350843349453e-01 5.383502871409828923e-03
3.540853930464530094e+03 5.898580519829701441e-01 5.577095494711539758e-03
3.544394784394995895e+03 5.880250771217342409e-01 5.588890587442032522e-03
3.547939179179392340e+03 5.851908734545164803e-01 5.648638352605021666e-03
3.551487118358572843e+03 5.826627206573832263e-01 5.612143965877408429e-03
3.555038605476932389e+03 5.787174816523705800e-01 5.490446168116150730e-03
3.558593644082410719e+03 5.738763026336699546e-01 4.455691666823484789e-03
3.562152237726494150e+03 5.713433117362456404e-01 4.276306024567331360e-03
3.565714389964221937e+03 5.684040291681800028e-01 4.377354330979867612e-03
3.569280104354187188e+03 5.679620532233695673e-01 4.714348394979905703e-03
3.572849384458542772e+03 5.683058929114452873e-01 4.644432042977640965e-03
3.576422233843002232e+03 5.675208651224455947e-01 4.697818574303307473e-03
3.579998656076846601e+03 5.695162050329986014e-01 4.605981757489872354e-03
3.583578654732924406e+03 5.701406822922551187e-01 4.921958421674753857e-03
3.587162233387658489e+03 5.724968894052351320e-01 5.068583211630443841e-03
3.590749395621047370e+03 5.771911691715034820e-01 4.977246380998960086e-03
3.594340145016669794e+03 5.811594049814600149e-01 5.053242842368576258e-03
3.597934485161687462e+03 5.857726470236023220e-01 4.954679098436054474e-03
3.601532419646850485e+03 5.913209827002297025e-01 4.541011633052518572e-03
3.605133952066498296e+03 5.967048322788862658e-01 4.356400299571413538e-03
3.608739086018566013e+03 6.025026024932352842e-01 3.827158077248899327e-03
3.612347825104585809e+03 6.120482715657777906e-01 4.371745653757934738e-03
3.615960172929691907e+03 6.216285390511676612e-01 4.648191194972031877e-03
3.619576133102622407e+03 6.325893773137205578e-01 4.598578939957690542e-03
3.623195709235726554e+03 6.423663648855340025e-01 4.510172888420174026e-03
3.626818904944963379e+03 6.520047973479043968e-01 4.385540690031917294e-03
3.630445723849909427e+03 6.597609006341005333e-01 4.273298599768878686e-03
3.634076169573760581e+03 6.670632872636801380e-01 4.101156711985644819e-03
3.637710245743335690e+03 6.704858022716331245e-01 4.068901768325238269e-03
3.641347955989080219e+03 6.744755373741438964e-01 4.096070737857770809e-03
3.644989303945070333e+03 6.743581072509468033e-01 3.891241825252291561e-03
3.648634293249016537e+03 6.706221961656833042e-01 3.870083158290626556e-03
3.652282927542266862e+03 6.628071792869961731e-01 3.888781328717267390e-03
3.655935210469810499e+03 6.518364814657919837e-01 4.084958501309860456e-03
3.659591145680281443e+03 6.359667423753762039e-01 4.431196573563040905e-03
3.663250736825963031e+03 6.201053891468585322e-01 4.300976908730028483e-03
3.666913987562790226e+03 6.017712335407496838e-01 3.969032323739819616e-03
3.670580901550354156e+03 5.836274350670159761e-01 4.267942273015282520e-03
3.674251482451905758e+03 5.672221591869305302e-01 4.505046576710710834e-03
3.677925733934358959e+03 5.511547602744045760e-01 4.720993622052127407e-03
3.681603659668294313e+03 5.362643892899235931e-01 4.664354701210331015e-03
3.685285263327964003e+03 5.232916883824256793e-01 4.275383139622008187e-03
3.688970548591293209e+03 5.133517653264132452e-01 4.177575464996088721e-03
3.692659519139885560e+03 5.043562477570380231e-01 3.673266184330843676e-03
3.696352178659026777e+03 5.004536695192097762e-01 3.472113283101394519e-03
