# starting wavelength: 3512.860
# ending wavelength: 7367.620
# wav flux eflux
3.516166800171540217e+03 5.061599356482526790e-01 1.974357675846266993e-02
3.519682966971712631e+03 5.092555717172438934e-01 1.650935759603827657e-02
3.523202649938685681e+03 5.148720099292067864e-01 1.318622502153900949e-02
3.526725852588625457e+03 5.206168113443571110e-01 1.052932891074908651e-02
3.530252578441215064e+03 5.253631305720029010e-01 8.419383275179459850e-03
3.533782831019657806e+03 5.289315631152777808e-01 6.957102249377664083e-03
3.537316613850678550e+03 5.309186877109737246e-01 6.544526342339373158e-03
3.540853930464530094e+03 5.308019749175637569e-01 5.673161925608088789e-03
3.544394784394995895e+03 5.296535330664700059e-01 4.740651178660532789e-03
3.547939179179392340e+03 5.270542253513142983e-01 4.250443133784986144e-03
3.551487118358572843e+03 5.237267073498355074e-01 3.854599116214146599e-03
3.555038605476932389e+03 5.200086263316799906e-01 3.544033242196171791e-03
3.558593644082410719e+03 5.162699020357772728e-01 3.291666139581308700e-03
3.562152237726494150e+03 5.139777374607932270e-01 3.199896128710351655e-03
3.565714389964221937e+03 5.122480510236497864e-01 3.280343183363580196e-03
3.569280104354187188e+03 5.097460714782888758e-01 3.193633799992162767e-03
3.572849384458542772e+03 5.075579810123166391e-01 3.226718393757675718e-03
3.576422233843002232e+03 5.049444298042523593e-01 3.225232407146532820e-03
3.579998656076846601e+03 5.015768316629530821e-01 3.259112583537726593e-03
3.583578654732924406e+03 4.977592255235468999e-01 3.357591557807368485e-03
3.587162233387658489e+03 4.941265027399149301e-01 3.376278086997511977e-03
3.590749395621047370e+03 4.911375138201904411e-01 3.373968566987690498e-03
3.594340145016669794e+03 4.875826926654107663e-01 3.362607282237733280e-03
3.597934485161687462e+03 4.839338544511723184e-01 3.312709087558747198e-03
3.601532419646850485e+03 4.812155801965123381e-01 3.356617898501107825e-03
3.605133952066498296e+03 4.775270354514319915e-01 3.690615392065201006e-03
3.608739086018566013e+03 4.744226187306583853e-01 3.754135578572565315e-03
3.612347825104585809e+03 4.713236289169793203e-01 3.731603082990325553e-03
3.615960172929691907e+03 4.679704349498102212e-01 3.414981828262102660e-03
3.619576133102622407e+03 4.655376237298965991e-01 3.248507707252674265e-03
3.623195709235726554e+03 4.630900647261195213e-01 3.251683803501465887e-03
3.626818904944963379e+03 4.614316931619652506e-01 3.210359516800384040e-03
3.630445723849909427e+03 4.607674359025169530e-01 3.355379412775882399e-03
3.634076169573760581e+03 4.600183462727195360e-01 3.480076385247080680e-03
3.637710245743335690e+03 4.600516658436359374e-01 3.671333593905500015e-03
3.641347955989080219e+03 4.608191561064687303e-01 3.657368923630056369e-03
3.644989303945070333e+03 4.608981214892052258e-01 3.640608477037518033e-03
3.648634293249016537e+03 4.611301710378745700e-01 3.435212799252647126e-03
3.652282927542266862e+03 4.611729961502584740e-01 3.267563901863057996e-03
3.655935210469810499e+03 4.617940013521997789e-01 3.026768412653741899e-03
3.659591145680281443e+03 4.619087101198687262e-01 2.945872128357419732e-03
3.663250736825963031e+03 4.612394262330520300e-01 3.049083814138600895e-03
3.666913987562790226e+03 4.598607461193272572e-01 3.080292645734855877e-03
3.670580901550354156e+03 4.578094044829306153e-01 3.037992638986040939e-03
3.674251482451905758e+03 4.546848052892578096e-01 2.900164436909605063e-03
3.677925733934358959e+03 4.496736462683816327e-01 2.555678163765863747e-03
3.681603659668294313e+03 4.461253360520618938e-01 2.550125480616210333e-03
3.685285263327964003e+03 4.426864907175217523e-01 2.582947765418776905e-03
3.688970548591293209e+03 4.386434680190870461e-01 2.551838927832327745e-03
3.692659519139885560e+03 4.350938363397162112e-01 2.518537409214481257e-03
3.696352178659026777e+03 4.313949569725132882e-01 2.499513577582043473e-03
3.700048530837686940e+03 4.283988824883470659e-01 2.531375264093647329e-03
3.703748579368525952e+03 4.251831475374618363e-01 2.641333975005990056e-03
3.707452327947895355e+03 4.228778614263829505e-01 2.657455235864527535e-03
3.711159780275844696e+03 4.204530182863642218e-01 2.799402750337785708e-03
3.714870940056121526e+03 4.161732713792460903e-01 2.459390535011427188e-03
3.718585810996179134e+03 4.139870791603489364e-01 2.145749885674095876e-03
3.722304396807176545e+03 4.138598956784702021e-01 2.199136045847538846e-03
3.726026701203984885e+03 4.146263663179996506e-01 2.478300332583041523e-03
3.729752727905190113e+03 4.166840240565654607e-01 3.209773992070542870e-03
3.733482480633096657e+03 4.190306474514967627e-01 3.697701160700972347e-03
3.737215963113731050e+03 4.208906078798066996e-01 3.904733054978713931e-03
3.740953179076846027e+03 4.224713760929829087e-01 3.603732001506009409e-03
3.744694132255923705e+03 4.239025728133590243e-01 3.190043154407804296e-03
3.748438826388181042e+03 4.239420263159331959e-01 3.017455064257684727e-03
3.752187265214570289e+03 4.239901087401156121e-01 3.019837242036223137e-03
3.755939452479786269e+03 4.211074604576707792e-01 3.431864310622529616e-03
3.759695391932267285e+03 4.170601589210725657e-01 3.887845761075628750e-03
3.763455087324201031e+03 4.140917727539093485e-01 4.006949976079773532e-03
3.767218542411526414e+03 4.115440961272925913e-01 3.810023646769498690e-03
3.770985760953939007e+03 4.100566152905877337e-01 3.414809867373508074e-03
3.774756746714894234e+03 4.102682826675679850e-01 3.375322643900652460e-03
3.778531503461610555e+03 4.101205138904829850e-01 3.303694466385397564e-03
3.782310034965073100e+03 4.125002357066868686e-01 3.801816727623671781e-03
3.786092345000039586e+03 4.157272752793598203e-01 4.059291702480554223e-03
3.789878437345040766e+03 4.221875656105849584e-01 3.884943708000322508e-03
3.793668315782387253e+03 4.275119130036846293e-01 3.376485112217305143e-03
3.797461984098170888e+03 4.323817255262520920e-01 2.879146423297274798e-03
3.801259446082270188e+03 4.353654336519673929e-01 3.205402519386748444e-03
3.805060705528353537e+03 4.391091868506640239e-01 3.176868841179377682e-03
3.808865766233883278e+03 4.424667666401018717e-01 3.189171502029309810e-03
3.812674632000118436e+03 4.443997153156321600e-01 3.107092707681481658e-03
3.816487306632119726e+03 4.444875951832870098e-01 3.032350845210726991e-03
3.820303793938753188e+03 4.441272112836510133e-01 2.854983147227263107e-03
3.824124097732693372e+03 4.442213412643826742e-01 2.823914670277915488e-03
3.827948221830427428e+03 4.454268802069833444e-01 3.228439641589764871e-03
3.831776170052258749e+03 4.483732488550132289e-01 3.477546009243592633e-03
3.835607946222312421e+03 4.537181639348085160e-01 3.534183116275722326e-03
3.839443554168536139e+03 4.613574038643706854e-01 3.595398102687808860e-03
3.843282997722705659e+03 4.724637426421984809e-01 3.617058268262909534e-03
3.847126280720429804e+03 4.869592521567269183e-01 3.637307818328193183e-03
3.850973407001151372e+03 5.037366217698842075e-01 3.750491852747294547e-03
3.854824380408153957e+03 5.231127983334987741e-01 4.077926501206493790e-03
3.858679204788563311e+03 5.425399820503558068e-01 4.301445490818549093e-03
3.862537883993353262e+03 5.647374394144347720e-01 4.392051132040506248e-03
3.866400421877347981e+03 5.896558287996536141e-01 3.696304876585365575e-03
3.870266822299226533e+03 6.117810356292224805e-01 3.342079081162057947e-03
3.874137089121526969e+03 6.327086148458143100e-01 2.933932827104858768e-03
3.878011226210649966e+03 6.505020803247366645e-01 3.010637577120772214e-03
3.881889237436861549e+03 6.648912699123042946e-01 2.951337649183088854e-03
3.885771126674299921e+03 6.764611599972510936e-01 1.882941436813241349e-03
3.889656897800975457e+03 6.864565525856265449e-01 1.889965356365846732e-03
3.893546554698777527e+03 6.938613469465992889e-01 2.075063400092310665e-03
3.897440101253477678e+03 7.014340236383156402e-01 2.096358289005393390e-03
3.901337541354732366e+03 7.057635132604933581e-01 3.319655833182115663e-03
3.905238878896088409e+03 7.112640601530917372e-01 3.736909475986568367e-03
3.909144117774985716e+03 7.185110852242084789e-01 3.544252250161506433e-03
3.913053261892762293e+03 7.272984042831481810e-01 3.669214605443025211e-03
3.916966315154656058e+03 7.374235136410272062e-01 4.366522614754984183e-03
3.920883281469812118e+03 7.458373607792875282e-01 4.539134986663563576e-03
3.924804164751283224e+03 7.533146401909698309e-01 4.523916098266561776e-03
3.928728968916035683e+03 7.608850485095770555e-01 4.256996516495571009e-03
3.932657697884953450e+03 7.672371228580380231e-01 4.007520038714971859e-03
3.936590355582839493e+03 7.720766544244527241e-01 3.971882389553524351e-03
3.940526945938423523e+03 7.750633646380864494e-01 4.164740245253480827e-03
3.944467472884363360e+03 7.772731937956793846e-01 4.129437232243934712e-03
3.948411940357249023e+03 7.787650851890675074e-01 3.902316425649267860e-03
3.952360352297607733e+03 7.794501939352151965e-01 3.603223238943577180e-03
3.956312712649906643e+03 7.808259667913614033e-01 3.353532956959482791e-03
3.960269025362557841e+03 7.839533907485278785e-01 3.421424115775717305e-03
3.964229294387921527e+03 7.897709065710856180e-01 2.876703098209508654e-03
3.968193523682310570e+03 7.967905030245491238e-01 2.429205019605209636e-03
3.972161717205994591e+03 8.030374706878227187e-01 3.720359139218525069e-03
3.976133878923201792e+03 8.106520380459152353e-01 3.515570364642064353e-03
3.980110012802126221e+03 8.217815929847065437e-01 2.886467142691384082e-03
3.984090122814929600e+03 8.362571823332738408e-01 3.641747718344830534e-03
3.988074212937745870e+03 8.521352068417232806e-01 4.703766501442989412e-03
3.992062287150684824e+03 8.679977936275066197e-01 4.659428100385165639e-03
3.996054349437837118e+03 8.808568943612384849e-01 4.316868351988154516e-03
4.000050403787276082e+03 8.906644308047504399e-01 3.966927930235095850e-03
4.004050454191064546e+03 8.972877197655101389e-01 3.667464126832310333e-03
4.008054504645257111e+03 8.994541644047744366e-01 3.673288603268414203e-03
4.012062559149903791e+03 8.966910250305782926e-01 3.768380667896397036e-03
4.016074621709055009e+03 8.895042672757583757e-01 3.538535185758927108e-03
4.020090696330765240e+03 8.791376686338874258e-01 3.272230937941669748e-03
4.024110787027097558e+03 8.664267651715494845e-01 3.027465809980939542e-03
4.028134897814125907e+03 8.514760155563185773e-01 2.673148121693917287e-03
4.032163032711941469e+03 8.371166446043736276e-01 2.661686791655949475e-03
4.036195195744654484e+03 8.232489510667897470e-01 2.492975854856485218e-03
4.040231390940400615e+03 8.097238147140428666e-01 2.280952926498130105e-03
