# starting wavelength: 3412.490
# ending wavelength: 7265.240
# wav flux eflux
3.415711815966390986e+03 6.155135369271033108e-01 4.154143334436158352e-02
3.419127527782358356e+03 5.661609184916878146e-01 3.169456430172122585e-02
3.422546655310141887e+03 5.398058640631213656e-01 2.654561387370284881e-02
3.425969201965453522e+03 5.246188547931575075e-01 1.996758082946154672e-02
3.429395171167419903e+03 5.179152861986228151e-01 1.535328593988467827e-02
3.432824566338588284e+03 5.232431227678014940e-01 1.394395092237616339e-02
3.436257390904928343e+03 5.337391058212744843e-01 1.465588844052850490e-02
3.439693648295834464e+03 5.434364477610879041e-01 1.242235945609929462e-02
3.443133341944131189e+03 5.547123169011600741e-01 1.015735695080631669e-02
3.446576475286076402e+03 5.689050396183050751e-01 8.625617758662953993e-03
3.450023051761363604e+03 5.858779699867882051e-01 7.556526343041248227e-03
3.453473074813126004e+03 6.047096790098560604e-01 6.739411330697196029e-03
3.456926547887940615e+03 6.244611244074427248e-01 6.112073846030602331e-03
3.460383474435829612e+03 6.459069529378866914e-01 5.872270650368380425e-03
3.463843857910266706e+03 6.684268722406819796e-01 6.125076904913629404e-03
3.467307701768178049e+03 6.874057491361713623e-01 5.835445118113976801e-03
3.470775009469947236e+03 7.025249646474213128e-01 5.618398050846551937e-03
3.474245784479418489e+03 7.167472990180832060e-01 5.454522263742021988e-03
3.477720030263898934e+03 7.280675500445888959e-01 5.459039773235870897e-03
3.481197750294164052e+03 7.344986347013044981e-01 5.436471979014516169e-03
3.484678948044459503e+03 7.377322693455491409e-01 5.582985006643064081e-03
3.488163626992504760e+03 7.371660788300106182e-01 5.561767793456905661e-03
3.491651790619498570e+03 7.326649415707492397e-01 5.541672207038238207e-03
3.495143442410119405e+03 7.234783942651146216e-01 5.525600147800559421e-03
3.498638585852530468e+03 7.101232358214797369e-01 5.765672583665146927e-03
3.502137224438384237e+03 6.923597297076782286e-01 5.916625387716182953e-03
3.505639361662823831e+03 6.713861860234600076e-01 5.979295617171334794e-03
3.509145001024487556e+03 6.475626643835551421e-01 5.977519627111896848e-03
3.512654146025513455e+03 6.196886270915605843e-01 6.162908573161117454e-03
3.516166800171540217e+03 5.876394768341368646e-01 6.575422598077437439e-03
3.519682966971712631e+03 5.535423054320619540e-01 6.036967272129937362e-03
3.523202649938685681e+03 5.179359180541460717e-01 5.687946415162733332e-03
3.526725852588625457e+03 4.807395105034339977e-01 4.995532375889561241e-03
3.530252578441215064e+03 4.438058418621352308e-01 4.556809702320301948e-03
3.533782831019657806e+03 4.076770160071968574e-01 4.574795417459839690e-03
3.537316613850678550e+03 3.728401788175458864e-01 5.079356415244049364e-03
3.540853930464530094e+03 3.386300208301309955e-01 5.727096593601532608e-03
3.544394784394995895e+03 3.084843724579671154e-01 6.169053284717188924e-03
3.547939179179392340e+03 2.843348137470104176e-01 6.279663602581494683e-03
3.551487118358572843e+03 2.625516582331990922e-01 6.875611686219937867e-03
3.555038605476932389e+03 2.429434474210239170e-01 6.699680987683909010e-03
3.558593644082410719e+03 2.307927214554363338e-01 5.665194000063561268e-03
3.562152237726494150e+03 2.241653707556091890e-01 5.567640937646175549e-03
3.565714389964221937e+03 2.255357502237013978e-01 6.252505439990793147e-03
3.569280104354187188e+03 2.317703315041129419e-01 7.233878883517523041e-03
3.572849384458542772e+03 2.438094760225028579e-01 9.432925119311427048e-03
3.576422233843002232e+03 2.626010534066469670e-01 1.072525541124745747e-02
3.579998656076846601e+03 2.805328692407850766e-01 1.032720425208603909e-02
3.583578654732924406e+03 2.953814657465820281e-01 1.008690039289992374e-02
3.587162233387658489e+03 3.096658880268148284e-01 9.999105645624504698e-03
3.590749395621047370e+03 3.263361027971513062e-01 9.413164476208739015e-03
3.594340145016669794e+03 3.417664765532046900e-01 9.297889469307181812e-03
3.597934485161687462e+03 3.568027297014492727e-01 9.247034860895902639e-03
3.601532419646850485e+03 3.715123096137654124e-01 9.440215564187507541e-03
3.605133952066498296e+03 3.820932265168628383e-01 9.524803359049139467e-03
3.608739086018566013e+03 3.887336953719301436e-01 9.500236687246489328e-03
3.612347825104585809e+03 3.915573901197555440e-01 9.320080914679814213e-03
3.615960172929691907e+03 3.961701644721924986e-01 9.423792737592221955e-03
3.619576133102622407e+03 3.972932073652312712e-01 9.340351390378530058e-03
3.623195709235726554e+03 3.951754032435134123e-01 8.995005428851822471e-03
3.626818904944963379e+03 3.930112731187447861e-01 9.019353304415521355e-03
3.630445723849909427e+03 3.914925365292174497e-01 8.805110089616834460e-03
3.634076169573760581e+03 3.872316753466601980e-01 9.217262700998683084e-03
3.637710245743335690e+03 3.874740214180955045e-01 9.327069032548603034e-03
