# starting wavelength: 3678.150
# ending wavelength: 9993.720
# wav flux eflux
3.681603659668294313e+03 6.045991923503513110e-01 5.665559334864430502e-02
3.685285263327964003e+03 5.753915917875698227e-01 4.258310812837005216e-02
3.688970548591293209e+03 5.305887908805109188e-01 4.468808060746282812e-02
3.692659519139885560e+03 4.877532863250015893e-01 3.622220633454462796e-02
3.696352178659026777e+03 4.514727385931767145e-01 2.896909994698318100e-02
3.700048530837686940e+03 4.237710177045341808e-01 2.283520435357321021e-02
3.703748579368525952e+03 4.032665393486969396e-01 1.823909133752725162e-02
3.707452327947895355e+03 3.866400084450944963e-01 1.567213584192457196e-02
3.711159780275844696e+03 3.701127407523794322e-01 1.491695318745506552e-02
3.714870940056121526e+03 3.519430512960297630e-01 1.320846320585569895e-02
3.718585810996179134e+03 3.338791070781187420e-01 1.166358288580097297e-02
3.722304396807176545e+03 3.181157997899168310e-01 1.028569492024645690e-02
3.726026701203984885e+03 3.053679766668479512e-01 9.369784376689945654e-03
3.729752727905190113e+03 2.933892423098208857e-01 8.631318746629703179e-03
3.733482480633096657e+03 2.844100152770666634e-01 8.140742984111437597e-03
3.737215963113731050e+03 2.751780525447157233e-01 7.690234486937677465e-03
3.740953179076846027e+03 2.673529245238294161e-01 7.337158317228305998e-03
3.744694132255923705e+03 2.599162666296870317e-01 7.105919378267027547e-03
3.748438826388181042e+03 2.545093452221245389e-01 6.888636966267755977e-03
3.752187265214570289e+03 2.506516074093928514e-01 6.799748192030697323e-03
3.755939452479786269e+03 2.482386935572086784e-01 6.735189163928043815e-03
3.759695391932267285e+03 2.455055366658582816e-01 6.916514589457546484e-03
3.763455087324201031e+03 2.428435663562987235e-01 6.884808796882640677e-03
3.767218542411526414e+03 2.418923499602331495e-01 6.610428202945939358e-03
3.770985760953939007e+03 2.427355754660762144e-01 6.295761033385349585e-03
3.774756746714894234e+03 2.457127336330104939e-01 6.284641244602358866e-03
3.778531503461610555e+03 2.517610741921844086e-01 6.875196280876556473e-03
3.782310034965073100e+03 2.602119414516402829e-01 7.276694757527082079e-03
3.786092345000039586e+03 2.689461077391673283e-01 7.107640998181236590e-03
3.789878437345040766e+03 2.762226916715530556e-01 6.695527428664871557e-03
3.793668315782387253e+03 2.838255599040204191e-01 6.547750501493056034e-03
3.797461984098170888e+03 2.902207036544285357e-01 6.464948316720077123e-03
3.801259446082270188e+03 2.953573711411767166e-01 6.761667947810722987e-03
3.805060705528353537e+03 3.003470908563813380e-01 7.205312569662336575e-03
3.808865766233883278e+03 3.050513513847863956e-01 7.377998947440251448e-03
3.812674632000118436e+03 3.103306980917479030e-01 7.370088944729069613e-03
3.816487306632119726e+03 3.161692949756968463e-01 7.052221321518940822e-03
3.820303793938753188e+03 3.215691106346691419e-01 6.635764116500213715e-03
3.824124097732693372e+03 3.328654896418472009e-01 6.592831575454141321e-03
3.827948221830427428e+03 3.438222135698517645e-01 6.585686809202169999e-03
3.831776170052258749e+03 3.560590976413463005e-01 6.451150808393183236e-03
3.835607946222312421e+03 3.686862764008797533e-01 6.398735293422897104e-03
3.839443554168536139e+03 3.811912233727569044e-01 6.386436006720690520e-03
3.843282997722705659e+03 3.924040580585599347e-01 6.169018174908310129e-03
3.847126280720429804e+03 4.042550429524081612e-01 5.595210165515699871e-03
3.850973407001151372e+03 4.188474735900418189e-01 5.498112345268723646e-03
3.854824380408153957e+03 4.355244814880771531e-01 5.590666303511446222e-03
3.858679204788563311e+03 4.538145659263067566e-01 5.606226516185707637e-03
3.862537883993353262e+03 4.744539596851150565e-01 5.434831210869632730e-03
3.866400421877347981e+03 4.944803994991288643e-01 5.279436565597725971e-03
3.870266822299226533e+03 5.145454494223223874e-01 5.249078818199475957e-03
3.874137089121526969e+03 5.350146777488049565e-01 5.141509111793419844e-03
3.878011226210649966e+03 5.550333889086070949e-01 5.132751544869153769e-03
3.881889237436861549e+03 5.763596076445878236e-01 5.184574805934575974e-03
3.885771126674299921e+03 5.953922071563497731e-01 5.166307590714244204e-03
3.889656897800975457e+03 6.118809779908804813e-01 4.754752494830011278e-03
3.893546554698777527e+03 6.277085528578636442e-01 4.273840559471649668e-03
3.897440101253477678e+03 6.445248083515620063e-01 4.425584961661055243e-03
3.901337541354732366e+03 6.611319871289017547e-01 4.716794293293055489e-03
3.905238878896088409e+03 6.772960669809761081e-01 4.659010404763075375e-03
3.909144117774985716e+03 6.938555235137696675e-01 4.007575561598791976e-03
3.913053261892762293e+03 7.084430418875219404e-01 2.967305274076027875e-03
3.916966315154656058e+03 7.201217171683456097e-01 2.365013970448028805e-03
3.920883281469812118e+03 7.288930179771870854e-01 2.388218576632778097e-03
3.924804164751283224e+03 7.339554665078880102e-01 2.832185919141254511e-03
3.928728968916035683e+03 7.365874898486979294e-01 3.134839837083121944e-03
3.932657697884953450e+03 7.376303443636698098e-01 3.095300209290505113e-03
3.936590355582839493e+03 7.377942957287995096e-01 3.186540219317912214e-03
3.940526945938423523e+03 7.376153897681397842e-01 3.130319832077033473e-03
3.944467472884363360e+03 7.372743490348391271e-01 3.368308370643020161e-03
3.948411940357249023e+03 7.375623411256818640e-01 3.472965375885177751e-03
3.952360352297607733e+03 7.376286166596566218e-01 3.495260462069648636e-03
3.956312712649906643e+03 7.387735983849985644e-01 3.366682827249924560e-03
3.960269025362557841e+03 7.417360019442744701e-01 3.113227319102003596e-03
3.964229294387921527e+03 7.462975024286259140e-01 2.799354997380776484e-03
3.968193523682310570e+03 7.525721671404000945e-01 2.296736957548109557e-03
3.972161717205994591e+03 7.618913799455593328e-01 2.550676979306583728e-03
3.976133878923201792e+03 7.738494703836974464e-01 2.923734388318884742e-03
3.980110012802126221e+03 7.876847225625265292e-01 2.956302530320944772e-03
3.984090122814929600e+03 8.015422845720037159e-01 2.801874275233378828e-03
3.988074212937745870e+03 8.163074707904708349e-01 2.806690961763899129e-03
3.992062287150684824e+03 8.316895701969543309e-01 2.431911938902743021e-03
3.996054349437837118e+03 8.464943690293402767e-01 2.344608406041471475e-03
4.000050403787276082e+03 8.607975892462845779e-01 2.166271902378190395e-03
4.004050454191064546e+03 8.739974839066986245e-01 1.667793819718901577e-03
4.008054504645257111e+03 8.842139733620655306e-01 1.891470315290446225e-03
4.012062559149903791e+03 8.918630309928944344e-01 2.112888175441588173e-03
4.016074621709055009e+03 8.968608178630391725e-01 2.009189075334799363e-03
4.020090696330765240e+03 8.983997190598461691e-01 2.128963242649462798e-03
4.024110787027097558e+03 8.956068672478879611e-01 2.073238023317303200e-03
4.028134897814125907e+03 8.889664936311993948e-01 1.988270702296563667e-03
4.032163032711941469e+03 8.783493200652061628e-01 2.265578752833922668e-03
4.036195195744654484e+03 8.642285500204467397e-01 2.558631749883305204e-03
4.040231390940400615e+03 8.456545176872440894e-01 2.904147442298191280e-03
4.044271622331342314e+03 8.254739227831847659e-01 3.139111702789353173e-03
4.048315893953675186e+03 8.051059231560510066e-01 3.160381362582136491e-03
4.052364209847629809e+03 7.823617829924364164e-01 3.176038471492260984e-03
4.056416574057479011e+03 7.592830156221324067e-01 3.342172455866431868e-03
4.060472990631537868e+03 7.363230815660525286e-01 3.182909379867762505e-03
4.064533463622170530e+03 7.146514497391647236e-01 2.886378674117294311e-03
4.068597997085794304e+03 6.933423266554193942e-01 2.096295113834957275e-03
4.072666595082881486e+03 6.761182352905553694e-01 2.277082209091554552e-03
4.076739261677965715e+03 6.616694508834906063e-01 3.010020414111035363e-03
4.080816000939644709e+03 6.487564912385866966e-01 3.069264611249232586e-03
4.084896816940585722e+03 6.382812704445470775e-01 2.991848609844860452e-03
4.088981713757527814e+03 6.292988109045968281e-01 2.530911802020526218e-03
4.093070695471286854e+03 6.204209856920953614e-01 1.939275830955487214e-03
4.097163766166759160e+03 6.113170523357740471e-01 1.620262492389853634e-03
4.101260929932927866e+03 6.016915411841444739e-01 1.593398758711078332e-03
4.105362190862862008e+03 5.921185247441841382e-01 1.595971195926124131e-03
4.109467553053726078e+03 5.815671660830690204e-01 1.889312261768257657e-03
4.113577020606780934e+03 5.715271934755334904e-01 1.879771758157132693e-03
4.117690597627389252e+03 5.607511643005692603e-01 2.021113990830266521e-03
4.121808288225018259e+03 5.506831837914776262e-01 1.873808268296820118e-03
4.125930096513244280e+03 5.411055489331798585e-01 1.726214325790083716e-03
4.130056026609759101e+03 5.329761054766513073e-01 1.731729446391180307e-03
4.134186082636369974e+03 5.244987638499659655e-01 1.639472334485022036e-03
4.138320268719007800e+03 5.174987725616044809e-01 1.642124149479285734e-03
4.142458588987728035e+03 5.117556211066294214e-01 1.638915223999366051e-03
4.146601047576717065e+03 5.061524496580279697e-01 1.653142595685127766e-03
4.150747648624294925e+03 5.015765892599041154e-01 1.397657741335394830e-03
4.154898396272920763e+03 4.974551358322925609e-01 1.170116805643473716e-03
4.159053294669195566e+03 4.922452951054858139e-01 1.168756886032988910e-03
4.163212347963865795e+03 4.868935124332516295e-01 1.167536250042982247e-03
4.167375560311830668e+03 4.810588972728018775e-01 1.183071631736979518e-03
4.171542935872143971e+03 4.753655675721069618e-01 1.188425774366997940e-03
4.175714478808017702e+03 4.692900641067430656e-01 1.247449624269091582e-03
4.179890193286827525e+03 4.634841989139504848e-01 1.227585023043462975e-03
4.184070083480115500e+03 4.562012380552254998e-01 9.858202658908246478e-04
4.188254153563597356e+03 4.496696822549787198e-01 1.166071272586030431e-03
4.192442407717161586e+03 4.437845251327022789e-01 1.198377717150796900e-03
4.196634850124880359e+03 4.386555125631801388e-01 1.205013880097967815e-03
4.200831484975006788e+03 4.340532592176540860e-01 1.283353491542442914e-03
4.205032316459983122e+03 4.307734798626114969e-01 1.314331122755978522e-03
4.209237348776444378e+03 4.279359720953341273e-01 1.190204134319416745e-03
4.213446586125221984e+03 4.266737707586566453e-01 1.047129942151731356e-03
4.217660032711349231e+03 4.274795734316662044e-01 1.053066809875569240e-03
