# starting wavelength: 3419.320
# ending wavelength: 7279.780
# wav flux eflux
3.422546655310141887e+03 1.279611632146267608e+00 2.424015626456245409e-02
3.425969201965453522e+03 1.346377036008187922e+00 2.281205531932074121e-02
3.429395171167419903e+03 1.404955398280264944e+00 1.735000085814602730e-02
3.432824566338588284e+03 1.453853676199616141e+00 1.336810042504018442e-02
3.436257390904928343e+03 1.496709051257248069e+00 1.044059640096943811e-02
3.439693648295834464e+03 1.533250047714101338e+00 8.395033433172511411e-03
3.443133341944131189e+03 1.565025747997033978e+00 6.833137820623711757e-03
3.446576475286076402e+03 1.592289781816777383e+00 5.577282668270351629e-03
3.450023051761363604e+03 1.615250584405451661e+00 4.729668325812046853e-03
3.453473074813126004e+03 1.634638519809921364e+00 4.157745177340285703e-03
3.456926547887940615e+03 1.651497975374984550e+00 4.046449849485129514e-03
3.460383474435829612e+03 1.666137156543169073e+00 4.221142676402727875e-03
3.463843857910266706e+03 1.676267485229168352e+00 3.889359974545825768e-03
3.467307701768178049e+03 1.682729577292522816e+00 3.626911627127462831e-03
3.470775009469947236e+03 1.685568044898215323e+00 3.475412404522739730e-03
3.474245784479418489e+03 1.685988647437867138e+00 3.334012185638044780e-03
3.477720030263898934e+03 1.683929941191048663e+00 3.246268437634152945e-03
3.481197750294164052e+03 1.680487487166233862e+00 3.210028635909076018e-03
3.484678948044459503e+03 1.675319164732208321e+00 3.168469548208849990e-03
3.488163626992504760e+03 1.668779197237368894e+00 3.248592173561602823e-03
3.491651790619498570e+03 1.661169885500086041e+00 3.205847141797872873e-03
3.495143442410119405e+03 1.652741475986923891e+00 3.221379592419761594e-03
3.498638585852530468e+03 1.642307694811617536e+00 4.013557133903966102e-03
3.502137224438384237e+03 1.632393401970462010e+00 4.268596063057991490e-03
3.505639361662823831e+03 1.623603270132079501e+00 4.269087258175951506e-03
3.509145001024487556e+03 1.615400191990167489e+00 4.354516556359152440e-03
3.512654146025513455e+03 1.608080254557685329e+00 4.434663733237143024e-03
3.516166800171540217e+03 1.602483711026151170e+00 4.208466921132267800e-03
3.519682966971712631e+03 1.599506524318513145e+00 3.764530745831296769e-03
3.523202649938685681e+03 1.599467260083672571e+00 3.443169086835433639e-03
3.526725852588625457e+03 1.600847807481569296e+00 3.140660816617064748e-03
3.530252578441215064e+03 1.607385101303593578e+00 3.975843205730945906e-03
3.533782831019657806e+03 1.617780160000918732e+00 5.239614381252855752e-03
3.537316613850678550e+03 1.630088940755326288e+00 5.639814077161958185e-03
3.540853930464530094e+03 1.643810982722681890e+00 5.136103701266262443e-03
3.544394784394995895e+03 1.655735024045776882e+00 5.093682064418323524e-03
3.547939179179392340e+03 1.668457554378512286e+00 5.016821417373671516e-03
3.551487118358572843e+03 1.681739945074908871e+00 4.656587381100799582e-03
3.555038605476932389e+03 1.693779823761310865e+00 4.339725817007439139e-03
3.558593644082410719e+03 1.703505830706119717e+00 4.581823691982957539e-03
3.562152237726494150e+03 1.712817289377605245e+00 4.696459229044237620e-03
3.565714389964221937e+03 1.721528075642872357e+00 4.851860207995026091e-03
3.569280104354187188e+03 1.728891720188571846e+00 4.836969547394939263e-03
3.572849384458542772e+03 1.734892771194906258e+00 4.834611359302793190e-03
3.576422233843002232e+03 1.740106986527155453e+00 4.839065302763573793e-03
3.579998656076846601e+03 1.741348534109584900e+00 4.802361005735241925e-03
3.583578654732924406e+03 1.739833187787444890e+00 4.651271394278237888e-03
3.587162233387658489e+03 1.737607129814348506e+00 4.529385674783246128e-03
3.590749395621047370e+03 1.734132311934858839e+00 4.601198610218399168e-03
3.594340145016669794e+03 1.728928153836962300e+00 4.637798235496409099e-03
3.597934485161687462e+03 1.723107938269235362e+00 4.512535063788970444e-03
3.601532419646850485e+03 1.715553574494191436e+00 4.301144114300763967e-03
3.605133952066498296e+03 1.706566724763551424e+00 4.336362222525861308e-03
3.608739086018566013e+03 1.695674787600325972e+00 4.283755063059319253e-03
3.612347825104585809e+03 1.681853590609440730e+00 4.577306989789100243e-03
3.615960172929691907e+03 1.668806000658472843e+00 4.960561165436089791e-03
