# starting wavelength: 3464.040
# ending wavelength: 7287.060
# wav flux eflux
3.467307701768178049e+03 9.630032202139231501e-01 5.003708054935879224e-02
3.470775009469947236e+03 9.827741712128477136e-01 4.431714550807322461e-02
3.474245784479418489e+03 1.000515770210014921e+00 3.967776601045679141e-02
3.477720030263898934e+03 1.008470890625402516e+00 3.357952678833639459e-02
3.481197750294164052e+03 1.003277260203858212e+00 2.641077192847975444e-02
3.484678948044459503e+03 9.904361906939234128e-01 2.154952123812070922e-02
3.488163626992504760e+03 9.704584706256265125e-01 1.757470595526850615e-02
3.491651790619498570e+03 9.466854193660161343e-01 1.461649472071944143e-02
3.495143442410119405e+03 9.210405104291676803e-01 1.220629499910159087e-02
3.498638585852530468e+03 8.953342010021499986e-01 1.062664527418278118e-02
3.502137224438384237e+03 8.707856808441188923e-01 9.466461632884479865e-03
3.505639361662823831e+03 8.495352628679069262e-01 8.767889780600390814e-03
3.509145001024487556e+03 8.316794690768057885e-01 8.346851011765703612e-03
3.512654146025513455e+03 8.177631703649510531e-01 8.208816484825820839e-03
3.516166800171540217e+03 8.083091446610258801e-01 8.479012927467527438e-03
3.519682966971712631e+03 8.015362067540384716e-01 8.627108217896892889e-03
3.523202649938685681e+03 7.979359851070335630e-01 8.933349350895724086e-03
3.526725852588625457e+03 7.967835867660636451e-01 9.294457961594998832e-03
3.530252578441215064e+03 7.979780556675957204e-01 9.968840195381136263e-03
3.533782831019657806e+03 7.986490926117654210e-01 1.019247001639382935e-02
3.537316613850678550e+03 8.062334864038573912e-01 1.048624588774334926e-02
3.540853930464530094e+03 8.151135923122374560e-01 1.003552798078323309e-02
3.544394784394995895e+03 8.261710066134019259e-01 8.533013424439047159e-03
3.547939179179392340e+03 8.361564196333682863e-01 7.115403949250520381e-03
3.551487118358572843e+03 8.474140845274382716e-01 5.206889229397907055e-03
3.555038605476932389e+03 8.534848170045339355e-01 4.449298587986339273e-03
3.558593644082410719e+03 8.572638842663934389e-01 4.158017846477795806e-03
3.562152237726494150e+03 8.570416128595840233e-01 4.243520800849964227e-03
3.565714389964221937e+03 8.529911575823646563e-01 3.925364414233288059e-03
3.569280104354187188e+03 8.466392530861971411e-01 3.531860617680608865e-03
3.572849384458542772e+03 8.389072383125187882e-01 2.946023079929389801e-03
3.576422233843002232e+03 8.298024319059931209e-01 2.622882988236379873e-03
3.579998656076846601e+03 8.184481055902165236e-01 3.231558767065993449e-03
3.583578654732924406e+03 8.069477507907627523e-01 4.335439850334325482e-03
3.587162233387658489e+03 7.954462088398177588e-01 5.479464842936246707e-03
3.590749395621047370e+03 7.853498173682389449e-01 5.918321341096701056e-03
3.594340145016669794e+03 7.783957713333342632e-01 5.635532583352247105e-03
3.597934485161687462e+03 7.739962366383248416e-01 4.985591761658211482e-03
3.601532419646850485e+03 7.732237026675286007e-01 4.786671983657006697e-03
3.605133952066498296e+03 7.755955655263900850e-01 4.805041286734455970e-03
3.608739086018566013e+03 7.796507774272273261e-01 4.644383240498404369e-03
3.612347825104585809e+03 7.866927418891889179e-01 4.806492082125585728e-03
3.615960172929691907e+03 7.971553028476686675e-01 4.908709059153511765e-03
3.619576133102622407e+03 8.097737299031919633e-01 5.062692021396960305e-03
3.623195709235726554e+03 8.250561320991744996e-01 5.509099950817237384e-03
