# starting wavelength: 3278.750
# ending wavelength: 8339.800
# wav flux eflux
3.281845432496281319e+03 1.077584288382474442e+00 2.982738590183408624e-03
3.285127277928778767e+03 1.075299836595480674e+00 2.399791456690254267e-03
3.288412405206708627e+03 1.073947771533347195e+00 2.111298112895678650e-03
3.291700817611916591e+03 1.073271497301982347e+00 1.856365956147023764e-03
3.294992518429529355e+03 1.072826281886574140e+00 1.629957500578147096e-03
3.298287510947960072e+03 1.072163304837150610e+00 1.294648843684722585e-03
3.301585798458909267e+03 1.071411104045282281e+00 1.035615943267385137e-03
3.304887384257369376e+03 1.070834519760339276e+00 8.418871425847001622e-04
3.308192271641627485e+03 1.070373945696073470e+00 7.027874777554892144e-04
3.311500463913270323e+03 1.070085378071174542e+00 6.025041111069664177e-04
3.314811964377184722e+03 1.070000135902997140e+00 5.546717748376532022e-04
3.318126776341563072e+03 1.069981924837161813e+00 4.870019049736550227e-04
3.321444903117905596e+03 1.070249200027837855e+00 5.054770639392314581e-04
3.324766348021024896e+03 1.070690506704398359e+00 5.708986159449970683e-04
3.328091114369046863e+03 1.071087125357346626e+00 6.095027665778239437e-04
3.331419205483417045e+03 1.071428911923344440e+00 6.753389363825036988e-04
3.334750624688901553e+03 1.071343186778039192e+00 6.752845583403206545e-04
3.338085375313591612e+03 1.070928166274729421e+00 6.824847598846640016e-04
3.341423460688906289e+03 1.070140972202628271e+00 7.041636609314041702e-04
3.344764884149596128e+03 1.068864665674150949e+00 6.591953015586617289e-04
3.348109649033746791e+03 1.066908857273852096e+00 6.485585706275905690e-04
3.351457758682781787e+03 1.064535546533597277e+00 6.507258868195572431e-04
3.354809216441465651e+03 1.061703359865581620e+00 6.692031645649414769e-04
3.358164025657908041e+03 1.058379247693870040e+00 7.110013919429233799e-04
3.361522189683567376e+03 1.054614568139183417e+00 7.655663687736064546e-04
3.364883711873251741e+03 1.050457205999710819e+00 8.128321178173715132e-04
3.368248595585126168e+03 1.046026241387632671e+00 8.414149246510686754e-04
3.371616844180712633e+03 1.041499740437455079e+00 8.499398426139710781e-04
3.374988461024894150e+03 1.036611593142697574e+00 8.342657527614354834e-04
3.378363449485920228e+03 1.031462085873844359e+00 7.899239217850411929e-04
3.381741812935407324e+03 1.026320572975084611e+00 7.579517717224190220e-04
3.385123554748343849e+03 1.021175257230412692e+00 7.185594613936934502e-04
3.388508678303093347e+03 1.015943909023487635e+00 6.184293166521584711e-04
3.391897186981397681e+03 1.010678638216131242e+00 5.059427152075786013e-04
3.395289084168380214e+03 1.006073882263669228e+00 4.886252825439350985e-04
3.398684373252549449e+03 1.001922120685990514e+00 4.951422700747674108e-04
3.402083057625803121e+03 9.983338888431193547e-01 4.898353041025622391e-04
3.405485140683430018e+03 9.952569860899979082e-01 4.821349672543522990e-04
3.408890625824114522e+03 9.926611082843322942e-01 4.811706836352524141e-04
3.412299516449939802e+03 9.906967403397708427e-01 4.839304572359694472e-04
3.415711815966390986e+03 9.891745643547439348e-01 4.844832446529883144e-04
3.419127527782358356e+03 9.883322877722273692e-01 4.835154148425397768e-04
3.422546655310141887e+03 9.879475888360472746e-01 4.983679150964666956e-04
3.425969201965453522e+03 9.878680166490509951e-01 5.051123256865388796e-04
3.429395171167419903e+03 9.883897460291546366e-01 4.879901031415467307e-04
3.432824566338588284e+03 9.893769543055145332e-01 4.561685952186843589e-04
3.436257390904928343e+03 9.912050766976706617e-01 6.034441289998145920e-04
3.439693648295834464e+03 9.935321376482154632e-01 7.568817437889533263e-04
3.443133341944131189e+03 9.962581819537377203e-01 7.837668625832686781e-04
3.446576475286076402e+03 9.993034819535437929e-01 7.674979376172693215e-04
3.450023051761363604e+03 1.002451616117313815e+00 7.384676244370326015e-04
3.453473074813126004e+03 1.005889326936219685e+00 6.374372170015470780e-04
3.456926547887940615e+03 1.009289038453261345e+00 5.134871661452652686e-04
3.460383474435829612e+03 1.012301922518498154e+00 5.369627097119268003e-04
3.463843857910266706e+03 1.015374736903138952e+00 5.372826805199470718e-04
3.467307701768178049e+03 1.018389544988408391e+00 5.380494929466260890e-04
3.470775009469947236e+03 1.021061178332638208e+00 6.198275983935867296e-04
3.474245784479418489e+03 1.023834422982060621e+00 6.257633109647944879e-04
3.477720030263898934e+03 1.026281527003267913e+00 6.279842637214277760e-04
3.481197750294164052e+03 1.028784024924061180e+00 5.951412891372434306e-04
3.484678948044459503e+03 1.031437440994475985e+00 5.758666263634536903e-04
3.488163626992504760e+03 1.034132598933968916e+00 5.713498845530073054e-04
3.491651790619498570e+03 1.036634971661694715e+00 5.868419655392141752e-04
3.495143442410119405e+03 1.039410166599375795e+00 5.843372033836155988e-04
3.498638585852530468e+03 1.042149732302744658e+00 5.899412842623120079e-04
3.502137224438384237e+03 1.044948704166753339e+00 6.123128097289759833e-04
3.505639361662823831e+03 1.047959386364734513e+00 6.396431838171489628e-04
3.509145001024487556e+03 1.051354031109205778e+00 6.236021138255405834e-04
3.512654146025513455e+03 1.055193707857107865e+00 6.405475291603199370e-04
3.516166800171540217e+03 1.059472760721793305e+00 7.651735691172049285e-04
3.519682966971712631e+03 1.064020524108696630e+00 8.582708518573539235e-04
3.523202649938685681e+03 1.068220954976931925e+00 8.245926259412087725e-04
3.526725852588625457e+03 1.072249539921262151e+00 8.478801959321823371e-04
3.530252578441215064e+03 1.076154843971096398e+00 8.416762638222592555e-04
3.533782831019657806e+03 1.079598417457892090e+00 8.385464759226205584e-04
3.537316613850678550e+03 1.083184798057944542e+00 8.456808310792953559e-04
3.540853930464530094e+03 1.086825056345784191e+00 8.039844146860050363e-04
3.544394784394995895e+03 1.090046928226446665e+00 7.921871814201176133e-04
3.547939179179392340e+03 1.092669968371524192e+00 7.909976591226932632e-04
3.551487118358572843e+03 1.095230693910685726e+00 8.061373291358378979e-04
3.555038605476932389e+03 1.097298504687045817e+00 8.361922780015828335e-04
3.558593644082410719e+03 1.098887595061747380e+00 8.619065115318141511e-04
3.562152237726494150e+03 1.099646309269165068e+00 8.745019588253201068e-04
3.565714389964221937e+03 1.099529911654388625e+00 8.747391441387810176e-04
3.569280104354187188e+03 1.098747204305136282e+00 8.795048149979712649e-04
