# starting wavelength: 3405.680
# ending wavelength: 8585.080
# wav flux eflux
3.408890625824114522e+03 8.039119396889507496e-02 2.103383250371058857e-03
3.412299516449939802e+03 8.050398276380271723e-02 1.507180956715451544e-03
3.415711815966390986e+03 8.076066276487432749e-02 1.229123349634387782e-03
3.419127527782358356e+03 8.099046344543507636e-02 9.482457294479227587e-04
3.422546655310141887e+03 8.087746591571634558e-02 8.504800153740766071e-04
3.425969201965453522e+03 8.089769260453509581e-02 7.252867328659863295e-04
3.429395171167419903e+03 8.094492369686484556e-02 8.116296654949526745e-04
3.432824566338588284e+03 8.141116435329451284e-02 6.660659310130332420e-04
3.436257390904928343e+03 8.198594400751987865e-02 5.562640021147481541e-04
3.439693648295834464e+03 8.264814471122257367e-02 5.001724921490580600e-04
3.443133341944131189e+03 8.334691538565480728e-02 4.328664179298356081e-04
3.446576475286076402e+03 8.400917590468558183e-02 3.796745299310852169e-04
3.450023051761363604e+03 8.464325392459086383e-02 3.449897833155999107e-04
3.453473074813126004e+03 8.506496433507036714e-02 3.312463355129245646e-04
3.456926547887940615e+03 8.526614933567656929e-02 3.601612134546357583e-04
3.460383474435829612e+03 8.524108247658358783e-02 4.449868333708290220e-04
3.463843857910266706e+03 8.533263747166733304e-02 4.477737953112772814e-04
3.467307701768178049e+03 8.548222129568264216e-02 4.375431121097793949e-04
3.470775009469947236e+03 8.563436762246612322e-02 4.322435719610300399e-04
3.474245784479418489e+03 8.581482160774793477e-02 4.293456432294098161e-04
3.477720030263898934e+03 8.598435686030023173e-02 4.260244846330094493e-04
3.481197750294164052e+03 8.624933685913133141e-02 4.426032681424316162e-04
3.484678948044459503e+03 8.642984163625606897e-02 4.469902530573297852e-04
3.488163626992504760e+03 8.648019390424820096e-02 4.448894632965127690e-04
3.491651790619498570e+03 8.656376308283587895e-02 4.441857994265892067e-04
3.495143442410119405e+03 8.670103340278668969e-02 4.521886971084903054e-04
3.498638585852530468e+03 8.675080579742867892e-02 4.659129170921322369e-04
3.502137224438384237e+03 8.685540076063551218e-02 4.685331309917043895e-04
3.505639361662823831e+03 8.689696991621970179e-02 4.723843580983555566e-04
3.509145001024487556e+03 8.696825248442821565e-02 4.919234996951356515e-04
3.512654146025513455e+03 8.725743254893489342e-02 4.922520020155352971e-04
3.516166800171540217e+03 8.763960397578209049e-02 4.938014919461618506e-04
3.519682966971712631e+03 8.809724367683827162e-02 5.018488669342313765e-04
3.523202649938685681e+03 8.849952844899619531e-02 5.660421230481716944e-04
3.526725852588625457e+03 8.914727256853094417e-02 5.844390296228725882e-04
3.530252578441215064e+03 8.995854849439141598e-02 5.999551284254333716e-04
