# starting wavelength: 3439.890
# ending wavelength: 7308.940
# wav flux eflux
3.443133341944131189e+03 1.649149419842332209e+00 5.075436473753326509e-03
3.446576475286076402e+03 1.653569224673329341e+00 4.125540815350964285e-03
3.450023051761363604e+03 1.658581612108492864e+00 3.366944432790453835e-03
3.453473074813126004e+03 1.663644489983799435e+00 2.854619136469629948e-03
3.456926547887940615e+03 1.667606645968445989e+00 2.803106032731646474e-03
3.460383474435829612e+03 1.668992031097616069e+00 3.741653528518238021e-03
3.463843857910266706e+03 1.668798059708191506e+00 3.991939290477843072e-03
3.467307701768178049e+03 1.666828852042435472e+00 4.358633574170643100e-03
3.470775009469947236e+03 1.664400345125372382e+00 4.434803311385897284e-03
3.474245784479418489e+03 1.661250878022779487e+00 4.617832051848189470e-03
3.477720030263898934e+03 1.658070931675202475e+00 4.815276186931146188e-03
3.481197750294164052e+03 1.655396575502717127e+00 4.996939639089449485e-03
3.484678948044459503e+03 1.655206288602262044e+00 4.764313554627668500e-03
3.488163626992504760e+03 1.656279382971231229e+00 4.590927147527633194e-03
3.491651790619498570e+03 1.656118355473283454e+00 4.478183187331773521e-03
3.495143442410119405e+03 1.658133019090974658e+00 4.639064882146556358e-03
3.498638585852530468e+03 1.661263791328132511e+00 5.185729641807607093e-03
3.502137224438384237e+03 1.664042133764451314e+00 5.490104762080694548e-03
3.505639361662823831e+03 1.666531098890217555e+00 5.618082496754154241e-03
3.509145001024487556e+03 1.668523955041543383e+00 5.765213487224345873e-03
3.512654146025513455e+03 1.671035453404435156e+00 5.608861104655554763e-03
3.516166800171540217e+03 1.673701830434713100e+00 5.310504977788210387e-03
3.519682966971712631e+03 1.674946056548590967e+00 5.212768960530905250e-03
3.523202649938685681e+03 1.676387223734597143e+00 4.984601868736355385e-03
3.526725852588625457e+03 1.676713014919901212e+00 4.852070509018245950e-03
3.530252578441215064e+03 1.677430783640523115e+00 4.848096162989076752e-03
3.533782831019657806e+03 1.675912097352546981e+00 4.959290485913591361e-03
3.537316613850678550e+03 1.673190451834511538e+00 5.181953647367268725e-03
3.540853930464530094e+03 1.668555364811924902e+00 5.383845421648771404e-03
3.544394784394995895e+03 1.662313343707618074e+00 5.011858786482669033e-03
3.547939179179392340e+03 1.657817623140012575e+00 4.784087594038794085e-03
3.551487118358572843e+03 1.653371366679060372e+00 4.877784217730839894e-03
3.555038605476932389e+03 1.647970676076675023e+00 4.967077798473076150e-03
3.558593644082410719e+03 1.641902895487008962e+00 5.070098255974984577e-03
3.562152237726494150e+03 1.635757444490244961e+00 5.193190307637948408e-03
3.565714389964221937e+03 1.630997743378246323e+00 5.262637153891095744e-03
3.569280104354187188e+03 1.624640185254824898e+00 5.128931293403787145e-03
3.572849384458542772e+03 1.618451033738120381e+00 4.558442847608399490e-03
3.576422233843002232e+03 1.610383257259364376e+00 4.655193697080493333e-03
3.579998656076846601e+03 1.601864473999398797e+00 4.914978976595220025e-03
3.583578654732924406e+03 1.593796124247196522e+00 5.278961805935766458e-03
3.587162233387658489e+03 1.582816356277222836e+00 6.268747057235833121e-03
3.590749395621047370e+03 1.571949127381415900e+00 6.259490845129488459e-03
3.594340145016669794e+03 1.562355883026223857e+00 5.379952129556958389e-03
3.597934485161687462e+03 1.556201604164641150e+00 4.651373547562529485e-03
3.601532419646850485e+03 1.551913406493709235e+00 4.582223345719630726e-03
3.605133952066498296e+03 1.550111521852882257e+00 4.902454477715936787e-03
3.608739086018566013e+03 1.547978897672925847e+00 5.074278456966548577e-03
3.612347825104585809e+03 1.549401811317871580e+00 5.357705732935000818e-03
3.615960172929691907e+03 1.550931939614933475e+00 5.503177758001989023e-03
3.619576133102622407e+03 1.553568926572437281e+00 5.762687105642688885e-03
3.623195709235726554e+03 1.557469609285907719e+00 5.463333440727245402e-03
3.626818904944963379e+03 1.560372435416523818e+00 4.956813853214278760e-03
3.630445723849909427e+03 1.561897783661214012e+00 4.440986535953220238e-03
3.634076169573760581e+03 1.559800094865394726e+00 3.931373133782907654e-03
3.637710245743335690e+03 1.554565180293126181e+00 3.936885775768541630e-03
3.641347955989080219e+03 1.545294747509643241e+00 4.308573543301240372e-03
3.644989303945070333e+03 1.532392011547713206e+00 4.326377650525986551e-03
3.648634293249016537e+03 1.516987061956083238e+00 3.979404137805795175e-03
3.652282927542266862e+03 1.498618627538693238e+00 3.796259169586941890e-03
3.655935210469810499e+03 1.478762546880495021e+00 3.657753922413713686e-03
3.659591145680281443e+03 1.455800611923022903e+00 3.533143695578497886e-03
3.663250736825963031e+03 1.432523197592108666e+00 3.891769922612363462e-03
3.666913987562790226e+03 1.407404245501943318e+00 4.001035159291792438e-03
3.670580901550354156e+03 1.381633784500582385e+00 3.829046436099382746e-03
3.674251482451905758e+03 1.351168948455044649e+00 3.772221648959617896e-03
3.677925733934358959e+03 1.316880173020342992e+00 3.742820303437341661e-03
3.681603659668294313e+03 1.280796799855506540e+00 3.614449894128571143e-03
3.685285263327964003e+03 1.240479574091129855e+00 4.705628473043267646e-03
3.688970548591293209e+03 1.199478531856480235e+00 4.466044549899021027e-03
3.692659519139885560e+03 1.156622254914643655e+00 4.673683799690524394e-03
3.696352178659026777e+03 1.114977475763254677e+00 4.603189136225063934e-03
3.700048530837686940e+03 1.072995898601297515e+00 4.317781970084593086e-03
3.703748579368525952e+03 1.033786248036444810e+00 4.341573481602560396e-03
