# starting wavelength: 4196.920
# ending wavelength: 7308.940
# wav flux eflux
4.200831484975006788e+03 1.687267187040037308e+00 1.343543763745219145e-02
4.205032316459983122e+03 1.702675231444710224e+00 1.481564104446809332e-02
4.209237348776444378e+03 1.711328397671884272e+00 1.364531429518635493e-02
4.213446586125221984e+03 1.711531791858757368e+00 1.121632467353503478e-02
4.217660032711349231e+03 1.704998797699386559e+00 8.451608575937753429e-03
4.221877692744061278e+03 1.684603055326734822e+00 7.899794110099587346e-03
4.226099570436806971e+03 1.648195820263406830e+00 1.045368490579885387e-02
4.230325670007245208e+03 1.597386087073866534e+00 1.299372535077529360e-02
4.234555995677254032e+03 1.542099809880083328e+00 1.375504808897734868e-02
4.238790551672932452e+03 1.490749147958061904e+00 1.338349812456128551e-02
4.243029342224606808e+03 1.445892306569000807e+00 1.193586307767365018e-02
4.247272371566832589e+03 1.409356651848004072e+00 1.023881178863859757e-02
4.251519643938400804e+03 1.376522001159754538e+00 8.823153927000448871e-03
4.255771163582340705e+03 1.358478248063416105e+00 8.922591272041147104e-03
4.260026934745924336e+03 1.354531889105880849e+00 9.921518104786190839e-03
4.264286961680671993e+03 1.363261942972915364e+00 1.133356201877620123e-02
4.268551248642354039e+03 1.374943464278845395e+00 9.843127533576991745e-03
4.272819799890998183e+03 1.386714766812321864e+00 7.102622162746437262e-03
4.277092619690890388e+03 1.394767776789156200e+00 6.895560855893191621e-03
4.281369712310583054e+03 1.401130380478015081e+00 6.420840273276663158e-03
4.285651082022895025e+03 1.403520274262082479e+00 6.725571024117575625e-03
4.289936733104918858e+03 1.395717145030566764e+00 7.161334554175501597e-03
4.294226669838025373e+03 1.383390553168275527e+00 5.435918351301715669e-03
4.298520896507864563e+03 1.371304350482702050e+00 6.191893023995699054e-03
4.302819417404373780e+03 1.351141459523095500e+00 6.147287499844581067e-03
4.307122236821779552e+03 1.324379191398467714e+00 6.676235919585393058e-03
4.311429359058603040e+03 1.296697953242527568e+00 7.116888535849596499e-03
4.315740788417662770e+03 1.265497579793192218e+00 8.526028545580181459e-03
4.320056529206081905e+03 1.236299150978650285e+00 7.966216615107882953e-03
4.324376585735290064e+03 1.209012084372271589e+00 7.401277702254419055e-03
4.328700962321026054e+03 1.183556004652362326e+00 7.364496573388297669e-03
4.333029663283348782e+03 1.161504201748426945e+00 8.765703693023183668e-03
4.337362692946633615e+03 1.137982781902085350e+00 9.787682311482479372e-03
4.341700055639581478e+03 1.107262480822153616e+00 1.016576262784138658e-02
4.346041755695222491e+03 1.072315359992613182e+00 9.389238157051000080e-03
4.350387797450919606e+03 1.032854514643868127e+00 6.907016152739362154e-03
4.354738185248371337e+03 9.802361495100678779e-01 7.535527940373849300e-03
4.359092923433621763e+03 9.214249265108621634e-01 8.679179869931925514e-03
4.363452016357056891e+03 8.585377409037269203e-01 1.004930729359336528e-02
4.367815468373414660e+03 7.964574892438427423e-01 9.775146007784433003e-03
4.372183283841789489e+03 7.380907943003376381e-01 7.222882294249875247e-03
4.376555467125633186e+03 6.967885556950461634e-01 4.467141874877143815e-03
4.380932022592760404e+03 6.722669127781940590e-01 3.814129979190251322e-03
4.385312954615354101e+03 6.690006336074751925e-01 5.032945711906156895e-03
4.389698267569970994e+03 6.808408676845758567e-01 5.545829891191907980e-03
4.394087965837542470e+03 7.114714234944730098e-01 7.272275539883716645e-03
4.398482053803381859e+03 7.514204264928079358e-01 7.390037803704598007e-03
4.402880535857186260e+03 7.992690698297797436e-01 5.732344078894036597e-03
4.407283416393044718e+03 8.519576050654823485e-01 4.659628101530820937e-03
4.411690699809440048e+03 9.049836368579355916e-01 4.290537973731143109e-03
4.416102390509250654e+03 9.569872284652897187e-01 4.030970446967103993e-03
4.420518492899761441e+03 1.005266841532182598e+00 4.010157527484008166e-03
4.424939011392662906e+03 1.048683861482809565e+00 3.704920644054224017e-03
4.429363950404056595e+03 1.088846891856899646e+00 5.973347593824077963e-03
4.433793314354462382e+03 1.120816376951917936e+00 7.967735666432629663e-03
4.438227107668818462e+03 1.134204798324459862e+00 7.641515793439863057e-03
4.442665334776488635e+03 1.133597802035147595e+00 7.799938732671316162e-03
4.447108000111265937e+03 1.122454494163255267e+00 8.008898174794686076e-03
4.451555108111379013e+03 1.099022363320152795e+00 9.556962545518216112e-03
4.456006663219492111e+03 1.066364574715807478e+00 1.083054737195919721e-02
4.460462669882713271e+03 1.036130911479646866e+00 9.893211310564682323e-03
4.464923132552597053e+03 1.003371977449926344e+00 8.164273050650825217e-03
4.469388055685150903e+03 9.764116499644585057e-01 8.640607441942886602e-03
4.473857443740837880e+03 9.507111006247551677e-01 9.107296841012956293e-03
4.478331301184580298e+03 9.293688234293966399e-01 8.846575930922064013e-03
4.482809632485766087e+03 9.068119972837919152e-01 8.619569872090813295e-03
4.487292442118253348e+03 8.888051940506654924e-01 9.318365246980955113e-03
4.491779734560373072e+03 8.816353855691756447e-01 9.067777662480428977e-03
4.496271514294934605e+03 8.794166819307218663e-01 9.600574979333132558e-03
4.500767785809231100e+03 8.875236953655440963e-01 8.769210046446944753e-03
4.505268553595042249e+03 9.068447823813315933e-01 7.132466850962134591e-03
4.509773822148638828e+03 9.381408668276716156e-01 6.722847753170607156e-03
4.514283595970789065e+03 9.841770658236510538e-01 9.586215587517708456e-03
4.518797879566761367e+03 1.035308454952550417e+00 9.575413429239390192e-03
4.523316677446328868e+03 1.091355149238614652e+00 1.069824446260487019e-02
4.527839994123776705e+03 1.137632157796155008e+00 8.451280545130333485e-03
4.532367834117902021e+03 1.175502308092606585e+00 7.735341521847099999e-03
4.536900201952022144e+03 1.204481908747121466e+00 1.014042052278616053e-02
4.541437102153975502e+03 1.232892068256172369e+00 9.470520544659920964e-03
4.545978539256130716e+03 1.252855303037402113e+00 1.052993948804997054e-02
4.550524517795388419e+03 1.276202258174820692e+00 8.324428146355403527e-03
4.555075042313184895e+03 1.306927567089600117e+00 7.419874107562251554e-03
4.559630117355500261e+03 1.340344380541174552e+00 7.915697472243724345e-03
4.564189747472856652e+03 1.375570647311094241e+00 8.844438336821101865e-03
4.568753937220330954e+03 1.407955105642043625e+00 8.916490063855652543e-03
4.573322691157552981e+03 1.436063717625134295e+00 7.927740517755656885e-03
4.577896013848711846e+03 1.455424489018425582e+00 5.798567287794209602e-03
4.582473909862562323e+03 1.465724940836981682e+00 5.504257963976432778e-03
4.587056383772426670e+03 1.468883954335595377e+00 5.495986237007574604e-03
4.591643440156200086e+03 1.464629694957360728e+00 5.178966557640824267e-03
4.596235083596357981e+03 1.451680065802976483e+00 4.582871735711303157e-03
4.600831318679955984e+03 1.433788321074523475e+00 3.828398133660498252e-03
4.605432149998637215e+03 1.411952477960783492e+00 2.927084215577397015e-03
4.610037582148637739e+03 1.390868824780492785e+00 3.106128780397939080e-03
4.614647619730787483e+03 1.367446296181127341e+00 3.023350957553763013e-03
4.619262267350520233e+03 1.345098241188265487e+00 2.970180430856716840e-03
4.623881529617872729e+03 1.323759329763845471e+00 3.241623458919786621e-03
4.628505411147491941e+03 1.306462940091697833e+00 3.985555408569020630e-03
4.633133916558640522e+03 1.291535118150995753e+00 4.613455056451234125e-03
4.637767050475200449e+03 1.285177554674117095e+00 4.103113020994482441e-03
4.642404817525677572e+03 1.288241860607770128e+00 3.910689218904941228e-03
4.647047222343205249e+03 1.298560473920430169e+00 4.031848580016109997e-03
