# starting wavelength: 3464.040
# ending wavelength: 7352.910
# wav flux eflux
3.467307701768178049e+03 7.811966599416247936e-01 1.183943688118488206e-02
3.470775009469947236e+03 7.694232674782574000e-01 8.607508505000728560e-03
3.474245784479418489e+03 7.605286335883928439e-01 6.419759487304827275e-03
3.477720030263898934e+03 7.539342244715885322e-01 4.906558987858600576e-03
3.481197750294164052e+03 7.486975869270879880e-01 3.786529259369463690e-03
3.484678948044459503e+03 7.442902965193139986e-01 2.963131154216293306e-03
3.488163626992504760e+03 7.405042945048310177e-01 2.396046232349253752e-03
3.491651790619498570e+03 7.376125763934692214e-01 2.023141859083774172e-03
3.495143442410119405e+03 7.347524554415200138e-01 1.654340764409681841e-03
3.498638585852530468e+03 7.321450794507200488e-01 1.446618080011161751e-03
3.502137224438384237e+03 7.290745089624809383e-01 1.525547959486091201e-03
3.505639361662823831e+03 7.253728002706385514e-01 1.702967384453655652e-03
3.509145001024487556e+03 7.212021564941715202e-01 1.874100787528717007e-03
3.512654146025513455e+03 7.167315653177923629e-01 2.074759497137081739e-03
3.516166800171540217e+03 7.119997609830809315e-01 2.432493670851050040e-03
3.519682966971712631e+03 7.078828042040886670e-01 2.657364498433986526e-03
3.523202649938685681e+03 7.047845702450854510e-01 2.810071549013182495e-03
3.526725852588625457e+03 7.031088388392273680e-01 2.899843039561229331e-03
3.530252578441215064e+03 7.027398019550492592e-01 2.892664829459741863e-03
3.533782831019657806e+03 7.044371612640383251e-01 2.816935767329983419e-03
3.537316613850678550e+03 7.073491544053627234e-01 2.588292387495630485e-03
3.540853930464530094e+03 7.119294468560785072e-01 2.363605759992755753e-03
3.544394784394995895e+03 7.184539089898134279e-01 2.393353765078667927e-03
3.547939179179392340e+03 7.265295694480120581e-01 2.626480269221205272e-03
3.551487118358572843e+03 7.363868299607497780e-01 3.141922042052193009e-03
3.555038605476932389e+03 7.476043432108973041e-01 3.355908330193097151e-03
3.558593644082410719e+03 7.598588229998072263e-01 3.444305983022539173e-03
3.562152237726494150e+03 7.722850392526029450e-01 3.379972911617542489e-03
3.565714389964221937e+03 7.846770541101533158e-01 3.236121259178985788e-03
3.569280104354187188e+03 7.970948223508665942e-01 3.023892841656367243e-03
3.572849384458542772e+03 8.092030475912059817e-01 2.769064023788138894e-03
3.576422233843002232e+03 8.201137053246815301e-01 2.517636862634966676e-03
3.579998656076846601e+03 8.301035543776903447e-01 2.263007709434112190e-03
3.583578654732924406e+03 8.382993544807690878e-01 2.066059404180052139e-03
3.587162233387658489e+03 8.448023825433460532e-01 1.924499688997906993e-03
3.590749395621047370e+03 8.496663232546487476e-01 1.844859128074885892e-03
3.594340145016669794e+03 8.513661680683503041e-01 1.842719474738149224e-03
3.597934485161687462e+03 8.505375923094644630e-01 1.767725916229348623e-03
3.601532419646850485e+03 8.475648394822307141e-01 1.668546753288300145e-03
3.605133952066498296e+03 8.423996449845726486e-01 1.588304034731209680e-03
3.608739086018566013e+03 8.354266876886193849e-01 1.642456790665320797e-03
3.612347825104585809e+03 8.271276404027140261e-01 1.871508169454423392e-03
3.615960172929691907e+03 8.189178513417175731e-01 1.923586629572396735e-03
3.619576133102622407e+03 8.095194751634928743e-01 2.541352904470561141e-03
3.623195709235726554e+03 7.994273315093971544e-01 3.240938241038950583e-03
3.626818904944963379e+03 7.903412722639001631e-01 3.831196019964208492e-03
3.630445723849909427e+03 7.811911155658016748e-01 4.396432853590399349e-03
3.634076169573760581e+03 7.743087247446325261e-01 4.501639642736981681e-03
3.637710245743335690e+03 7.704357523967866328e-01 4.224644489776292061e-03
3.641347955989080219e+03 7.696675425535476345e-01 3.644993322290709329e-03
3.644989303945070333e+03 7.725829801838630662e-01 2.987615539873928437e-03
3.648634293249016537e+03 7.796806565349025941e-01 2.865803360944421153e-03
3.652282927542266862e+03 7.890162307288092203e-01 2.849935189699479270e-03
3.655935210469810499e+03 8.031014843292060279e-01 3.387293754232632067e-03
3.659591145680281443e+03 8.207090097394591499e-01 4.064620988485797247e-03
3.663250736825963031e+03 8.405058362845148068e-01 4.519383088544721115e-03
3.666913987562790226e+03 8.634882333467523985e-01 4.240109120054190266e-03
3.670580901550354156e+03 8.845817655736296636e-01 3.869006035925720653e-03
3.674251482451905758e+03 9.038839847419823936e-01 3.470511467317343151e-03
3.677925733934358959e+03 9.202096979389660092e-01 2.888292313244693842e-03
3.681603659668294313e+03 9.331659966927522420e-01 2.217357676916042845e-03
3.685285263327964003e+03 9.409871053138576524e-01 1.418704208985510119e-03
3.688970548591293209e+03 9.428775288596007442e-01 9.301757036685432377e-04
3.692659519139885560e+03 9.386080240765036775e-01 8.519174790352989452e-04
3.696352178659026777e+03 9.279199826185897670e-01 8.769875822863490997e-04
3.700048530837686940e+03 9.106674954421625223e-01 9.596216471239075400e-04
3.703748579368525952e+03 8.865388243350291742e-01 9.928183929789747945e-04
3.707452327947895355e+03 8.574206691027422833e-01 1.263459210850675007e-03
3.711159780275844696e+03 8.231829071056265823e-01 1.629023410877930480e-03
3.714870940056121526e+03 7.849013773221203971e-01 2.027883588292169175e-03
3.718585810996179134e+03 7.434026060642088263e-01 2.484225623692812301e-03
3.722304396807176545e+03 6.996364014322477010e-01 2.670725420490540920e-03
3.726026701203984885e+03 6.551755034379773690e-01 2.665527549244888286e-03
3.729752727905190113e+03 6.112079039793278934e-01 2.464988072281981170e-03
3.733482480633096657e+03 5.683600934834334151e-01 2.014504284938476754e-03
3.737215963113731050e+03 5.272900543325527156e-01 1.485242673253267922e-03
3.740953179076846027e+03 4.894644421126635447e-01 1.212351193880036992e-03
3.744694132255923705e+03 4.551721238087612642e-01 1.124914526859553243e-03
3.748438826388181042e+03 4.257921745029453753e-01 1.150634921764479186e-03
3.752187265214570289e+03 4.005602042275631103e-01 1.200983947018030703e-03
3.755939452479786269e+03 3.802676129509898750e-01 1.117322850864628341e-03
3.759695391932267285e+03 3.641869440360571142e-01 9.928403028767480293e-04
3.763455087324201031e+03 3.523392983369498799e-01 9.693967393381008055e-04
3.767218542411526414e+03 3.441929151656296093e-01 8.209781256157169240e-04
3.770985760953939007e+03 3.392960899523539964e-01 7.478196411739774542e-04
3.774756746714894234e+03 3.377746866418638860e-01 8.296225097576252370e-04
3.778531503461610555e+03 3.395856476605712548e-01 7.763074951975398267e-04
3.782310034965073100e+03 3.437925250485072692e-01 9.459798771076633047e-04
3.786092345000039586e+03 3.502574246467574648e-01 9.471942020425856224e-04
3.789878437345040766e+03 3.586101158140715395e-01 8.792646437273290809e-04
3.793668315782387253e+03 3.690872453598899594e-01 8.361061602298876065e-04
3.797461984098170888e+03 3.815308043698577567e-01 7.971246341417655406e-04
3.801259446082270188e+03 3.958719647925906804e-01 7.915449336326252404e-04
3.805060705528353537e+03 4.115311930160278631e-01 9.915597368619318615e-04
3.808865766233883278e+03 4.292751681933481556e-01 8.763818818401501341e-04
3.812674632000118436e+03 4.492991230942465775e-01 7.264202234744843341e-04
3.816487306632119726e+03 4.716624041760422159e-01 6.722095488781085464e-04
3.820303793938753188e+03 4.970375076531430292e-01 7.726119615045056593e-04
3.824124097732693372e+03 5.260265709341362950e-01 7.533013750207655842e-04
3.827948221830427428e+03 5.583365523170343847e-01 8.214605219624584835e-04
3.831776170052258749e+03 5.945884600519135699e-01 7.863612518018020265e-04
3.835607946222312421e+03 6.344841823483515775e-01 7.925673880694600196e-04
3.839443554168536139e+03 6.777912497908462619e-01 8.041697266691084358e-04
3.843282997722705659e+03 7.245795662355746236e-01 8.007909377627769453e-04
3.847126280720429804e+03 7.745871428196466901e-01 8.116335102363322158e-04
3.850973407001151372e+03 8.273546620312867139e-01 8.271881732098956136e-04
3.854824380408153957e+03 8.827937271090517957e-01 8.304524390458203941e-04
3.858679204788563311e+03 9.406953056686180314e-01 9.483681895685944349e-04
3.862537883993353262e+03 1.000332182529594327e+00 1.386532582526394091e-03
3.866400421877347981e+03 1.059590990822330436e+00 1.480034387132289847e-03
3.870266822299226533e+03 1.117285712425962974e+00 1.464889183796152378e-03
3.874137089121526969e+03 1.173874531607855598e+00 1.412535818941642717e-03
