# starting wavelength: 3464.040
# ending wavelength: 7352.910
# wav flux eflux
3.467307701768178049e+03 3.841133779339000465e-01 3.616709548072884195e-02
3.470775009469947236e+03 3.664124345533175675e-01 2.588872648415671898e-02
3.474245784479418489e+03 3.605676531728737033e-01 2.268164656475148491e-02
3.477720030263898934e+03 3.599932965170296595e-01 1.803161281653684750e-02
3.481197750294164052e+03 3.624413537059933965e-01 1.484308374101403830e-02
3.484678948044459503e+03 3.641584144018750746e-01 1.171238971942022318e-02
3.488163626992504760e+03 3.656362972604762507e-01 9.405132625939241486e-03
3.491651790619498570e+03 3.688874153706522829e-01 7.727761979129337162e-03
3.495143442410119405e+03 3.722943088948754142e-01 6.308568755356234667e-03
3.498638585852530468e+03 3.766347745621115295e-01 5.507045470289732847e-03
3.502137224438384237e+03 3.809872018889131073e-01 4.824922331987360931e-03
3.505639361662823831e+03 3.854374281380104073e-01 4.299751532661444560e-03
3.509145001024487556e+03 3.900251751525911637e-01 3.903571515581946705e-03
3.512654146025513455e+03 3.948375061856900237e-01 3.612193658673395428e-03
3.516166800171540217e+03 3.991330426408116194e-01 3.387839470803335681e-03
3.519682966971712631e+03 4.032625062262895077e-01 3.213630841788979106e-03
3.523202649938685681e+03 4.063870921113735823e-01 3.126801635804706860e-03
3.526725852588625457e+03 4.092558576819349536e-01 3.062067363026510242e-03
3.530252578441215064e+03 4.126955047812976840e-01 3.040857577113132999e-03
3.533782831019657806e+03 4.152941512556720394e-01 3.106640100633265966e-03
3.537316613850678550e+03 4.177223198880867239e-01 3.087666966903150189e-03
3.540853930464530094e+03 4.192610892895395347e-01 3.017177646504143416e-03
3.544394784394995895e+03 4.209262134762503660e-01 3.139063702255953138e-03
3.547939179179392340e+03 4.214536424876834109e-01 3.127986905362468723e-03
3.551487118358572843e+03 4.228757173577916140e-01 2.770675228308467405e-03
3.555038605476932389e+03 4.228448037878636545e-01 2.826390761509870592e-03
3.558593644082410719e+03 4.212456110872265791e-01 3.414115643386926319e-03
3.562152237726494150e+03 4.197769794898662532e-01 3.739390828885569978e-03
3.565714389964221937e+03 4.192100327074094746e-01 3.732326474682858778e-03
3.569280104354187188e+03 4.190226284047472438e-01 3.619814329092928967e-03
3.572849384458542772e+03 4.200769243900321359e-01 3.478862539325365284e-03
3.576422233843002232e+03 4.211417408673156504e-01 3.354087443464424424e-03
