# starting wavelength: 3681.830
# ending wavelength: 7449.070
# wav flux eflux
3.685285263327964003e+03 6.433308455887779553e-01 1.269303215124096933e-02
3.688970548591293209e+03 6.245094432293482045e-01 9.074445696802355826e-03
3.692659519139885560e+03 6.111347075157113062e-01 6.711218917774687542e-03
3.696352178659026777e+03 6.029116800870293336e-01 5.057132781676390056e-03
3.700048530837686940e+03 5.989004787329134105e-01 4.031997501208750556e-03
3.703748579368525952e+03 5.977903631645394844e-01 3.388034400881581674e-03
3.707452327947895355e+03 5.985944983528203034e-01 3.040452791410474392e-03
3.711159780275844696e+03 6.000697192256700951e-01 2.437980163112917018e-03
3.714870940056121526e+03 6.026275848236949395e-01 2.044218572423074209e-03
3.718585810996179134e+03 6.056986237971637710e-01 1.883754157481232769e-03
3.722304396807176545e+03 6.086152278470557953e-01 1.823368020934408628e-03
3.726026701203984885e+03 6.115272773053990196e-01 1.657135922035661048e-03
3.729752727905190113e+03 6.142526866513916550e-01 1.525865378495823823e-03
3.733482480633096657e+03 6.161619358779658606e-01 1.572516613962685527e-03
3.737215963113731050e+03 6.177178450335130133e-01 1.577717293658287973e-03
3.740953179076846027e+03 6.186426617723769228e-01 1.660147334344054667e-03
3.744694132255923705e+03 6.198786030807178493e-01 1.592108069859592785e-03
3.748438826388181042e+03 6.210783783576065975e-01 1.544540954016370956e-03
3.752187265214570289e+03 6.214240328362485855e-01 1.569262666381254301e-03
3.755939452479786269e+03 6.214090904384979019e-01 1.551269201630405816e-03
3.759695391932267285e+03 6.205947276021409609e-01 1.516140118068046464e-03
3.763455087324201031e+03 6.190232344115071950e-01 1.492148786845741556e-03
3.767218542411526414e+03 6.169533595876588450e-01 1.526136474932983551e-03
3.770985760953939007e+03 6.144461946751818004e-01 1.538347073842490087e-03
3.774756746714894234e+03 6.116090022533900994e-01 1.494231164087679586e-03
3.778531503461610555e+03 6.076652572962979448e-01 1.663474389410074137e-03
3.782310034965073100e+03 6.033114704905266912e-01 1.986826012955431129e-03
3.786092345000039586e+03 5.987391390354355192e-01 2.324818909108959750e-03
3.789878437345040766e+03 5.956133032560175788e-01 2.384204066213002973e-03
3.793668315782387253e+03 5.921301665599099096e-01 2.618909069163542509e-03
3.797461984098170888e+03 5.891867233297238826e-01 2.912439810192235523e-03
3.801259446082270188e+03 5.870121180253088378e-01 3.058308979492067783e-03
3.805060705528353537e+03 5.846013672176529896e-01 2.783775462560158197e-03
3.808865766233883278e+03 5.855603764366674735e-01 2.530384407062931211e-03
3.812674632000118436e+03 5.887018032144504254e-01 2.535274719275733713e-03
3.816487306632119726e+03 5.935801026986190498e-01 2.711913489989509728e-03
3.820303793938753188e+03 5.995524160239295020e-01 2.796792931334010548e-03
3.824124097732693372e+03 6.074005985544623787e-01 2.954132621140324443e-03
3.827948221830427428e+03 6.156705170251061121e-01 3.054601481099658480e-03
3.831776170052258749e+03 6.259020092387029832e-01 3.111253300424675610e-03
3.835607946222312421e+03 6.371599632762052767e-01 3.085950164652528655e-03
3.839443554168536139e+03 6.495383756491753813e-01 2.990750408644092008e-03
3.843282997722705659e+03 6.633074971798263997e-01 2.511501842677538177e-03
3.847126280720429804e+03 6.759414436216356625e-01 2.314526545717284639e-03
3.850973407001151372e+03 6.895362903605023464e-01 2.178649807871907776e-03
3.854824380408153957e+03 7.017789122879287689e-01 2.105598033472192224e-03
3.858679204788563311e+03 7.127319976031720739e-01 2.271245377017412810e-03
3.862537883993353262e+03 7.215392352626561756e-01 2.284339894554226081e-03
3.866400421877347981e+03 7.282019552034024734e-01 2.336754611862358871e-03
3.870266822299226533e+03 7.338548431446384468e-01 2.341755224735043127e-03
3.874137089121526969e+03 7.372412210071312977e-01 2.447246052942022437e-03
3.878011226210649966e+03 7.389940743330459805e-01 2.649063434156829957e-03
3.881889237436861549e+03 7.401338764384660651e-01 2.683714384089432806e-03
3.885771126674299921e+03 7.404924337480182084e-01 2.740319877309320418e-03
3.889656897800975457e+03 7.401292015774666444e-01 2.812713825879877179e-03
3.893546554698777527e+03 7.389484382642088622e-01 2.947297737275605348e-03
3.897440101253477678e+03 7.368389849894828592e-01 2.949240260282294090e-03
3.901337541354732366e+03 7.352020032943112904e-01 2.895298775225554466e-03
3.905238878896088409e+03 7.335813655312829473e-01 2.939124005821642637e-03
3.909144117774985716e+03 7.322417869917398070e-01 2.875601270895520624e-03
3.913053261892762293e+03 7.305785163244713498e-01 2.663995218878537422e-03
3.916966315154656058e+03 7.296251252867160808e-01 2.845248159732693960e-03
3.920883281469812118e+03 7.308090382205878477e-01 2.913538811932578701e-03
3.924804164751283224e+03 7.322653243509102960e-01 2.699327193290764967e-03
3.928728968916035683e+03 7.344076541656940904e-01 2.407953906788315879e-03
3.932657697884953450e+03 7.365561726046040425e-01 2.346705676026232101e-03
3.936590355582839493e+03 7.393260126450016401e-01 2.304755774170272505e-03
3.940526945938423523e+03 7.427794916187681062e-01 2.400632387412611306e-03
3.944467472884363360e+03 7.458449424085794588e-01 2.437780010859637910e-03
3.948411940357249023e+03 7.488701210758815785e-01 2.408911086746643414e-03
3.952360352297607733e+03 7.502914647089974354e-01 1.430083425661711786e-03
3.956312712649906643e+03 7.559269804365549295e-01 1.634143452295678785e-03
3.960269025362557841e+03 7.620352835570500805e-01 1.796994739214351731e-03
