# starting wavelength: 3242.900
# ending wavelength: 9993.720
# wav flux eflux
3.245960799204859995e+03 1.530801116258966310e-01 1.617953037957482743e-02
3.249206760004065927e+03 1.427514969446457838e-01 1.153417128540283436e-02
3.252455966764071036e+03 1.353991632459907446e-01 8.435849050695621784e-03
3.255708422730835991e+03 1.287196614549035445e-01 7.433148574333795465e-03
3.258964131153567905e+03 1.254555944908442022e-01 5.796095143137539388e-03
3.262223095284722604e+03 1.257601792312139088e-01 4.821365787826248014e-03
3.265485318380008266e+03 1.272059417436546269e-01 4.262444843494334057e-03
3.268750803698389518e+03 1.284467090740246675e-01 3.477524666417102124e-03
3.272019554502088795e+03 1.301571912163604072e-01 3.029918627845970460e-03
3.275291574056592253e+03 1.316066607347944617e-01 3.025809805700347983e-03
3.278566865630649772e+03 1.325550508203027222e-01 2.812354100296476402e-03
3.281845432496281319e+03 1.335663792529550864e-01 2.487863069220638216e-03
3.285127277928778767e+03 1.347147565631736932e-01 2.233821389949511033e-03
3.288412405206708627e+03 1.359437530093470237e-01 2.040503548279346338e-03
3.291700817611916591e+03 1.376844556647902340e-01 1.921898425669822316e-03
3.294992518429529355e+03 1.390825567311837763e-01 1.839658225510223651e-03
3.298287510947960072e+03 1.411321653365585627e-01 1.846816684084726622e-03
3.301585798458909267e+03 1.424623334322219770e-01 1.782069124600492958e-03
3.304887384257369376e+03 1.439704695118145528e-01 1.800819452515578772e-03
3.308192271641627485e+03 1.445055317013368146e-01 1.782661735046593525e-03
3.311500463913270323e+03 1.447984220328178417e-01 1.767889261504129901e-03
3.314811964377184722e+03 1.446406582964843146e-01 1.754310655853667843e-03
3.318126776341563072e+03 1.439496689782360228e-01 1.747406799298259266e-03
3.321444903117905596e+03 1.430233355659883132e-01 1.720739254215917623e-03
3.324766348021024896e+03 1.420499153715995277e-01 1.711050226478807263e-03
3.328091114369046863e+03 1.407331385409684721e-01 1.785084226064922574e-03
3.331419205483417045e+03 1.394620349669984660e-01 1.849110254865058475e-03
3.334750624688901553e+03 1.386002607265661435e-01 1.868498604956745409e-03
3.338085375313591612e+03 1.372309026719327196e-01 2.067718386159054459e-03
3.341423460688906289e+03 1.362708128538999697e-01 2.119524243073972209e-03
3.344764884149596128e+03 1.359099437911818198e-01 2.070385370535506898e-03
3.348109649033746791e+03 1.364192346827850788e-01 2.049898449501073600e-03
3.351457758682781787e+03 1.372634874485577083e-01 2.034283643450469567e-03
3.354809216441465651e+03 1.382313533434100516e-01 1.961807409912781977e-03
3.358164025657908041e+03 1.396172856213202806e-01 1.816881994132692191e-03
3.361522189683567376e+03 1.419100208779630612e-01 1.682346160149329707e-03
3.364883711873251741e+03 1.447601364455584905e-01 1.658809374435636164e-03
3.368248595585126168e+03 1.488336897732546460e-01 1.673487041160634341e-03
3.371616844180712633e+03 1.535150391861986041e-01 1.687389913538430526e-03
3.374988461024894150e+03 1.595168288114893751e-01 1.773430629207289454e-03
3.378363449485920228e+03 1.670945133139985217e-01 1.711414699382185056e-03
3.381741812935407324e+03 1.743300126086922419e-01 1.584696494376788660e-03
3.385123554748343849e+03 1.816166674878527953e-01 1.516543789507685761e-03
3.388508678303093347e+03 1.889854115605272000e-01 1.357130424894717729e-03
3.391897186981397681e+03 1.966347712962779881e-01 1.091157634025103186e-03
3.395289084168380214e+03 2.031518601058424078e-01 1.178424513692197901e-03
3.398684373252549449e+03 2.099055140782126461e-01 1.174774083378364500e-03
3.402083057625803121e+03 2.169993708237291374e-01 1.249034138898742329e-03
3.405485140683430018e+03 2.235549316955388610e-01 1.316461386319327329e-03
3.408890625824114522e+03 2.298377081803389121e-01 1.459761377374159006e-03
3.412299516449939802e+03 2.360112259566951309e-01 1.631101591158063292e-03
3.415711815966390986e+03 2.411831184902336056e-01 1.645219515553797201e-03
3.419127527782358356e+03 2.449560012012485521e-01 1.638281277046508460e-03
3.422546655310141887e+03 2.480443947334375898e-01 1.592503335629531216e-03
3.425969201965453522e+03 2.500346534040447377e-01 1.597359437195304066e-03
3.429395171167419903e+03 2.513750113543593012e-01 1.646280585771367575e-03
3.432824566338588284e+03 2.525027143897314863e-01 1.695116506259777790e-03
3.436257390904928343e+03 2.523645703293128095e-01 1.875231930763839906e-03
3.439693648295834464e+03 2.519404118089250133e-01 2.057442109788787041e-03
3.443133341944131189e+03 2.510517159044349245e-01 2.269175360525437640e-03
3.446576475286076402e+03 2.499544882016882796e-01 2.290465962595405504e-03
3.450023051761363604e+03 2.490305758883366305e-01 2.202846576055217040e-03
3.453473074813126004e+03 2.482490615544312440e-01 2.074653053551331425e-03
3.456926547887940615e+03 2.479550604702737970e-01 1.940818494437966885e-03
3.460383474435829612e+03 2.482717845914933219e-01 2.032941101373766067e-03
3.463843857910266706e+03 2.490243782456856292e-01 2.043482963668759485e-03
3.467307701768178049e+03 2.497219015526507824e-01 2.019057621723094331e-03
3.470775009469947236e+03 2.508175182153615790e-01 1.995987440584417322e-03
3.474245784479418489e+03 2.526434334774650403e-01 1.988975647042067092e-03
3.477720030263898934e+03 2.554249433209289100e-01 1.984552246839424439e-03
3.481197750294164052e+03 2.586287325827379413e-01 1.977002006913054603e-03
3.484678948044459503e+03 2.628839638947370605e-01 1.938907474733431082e-03
3.488163626992504760e+03 2.678455709662184714e-01 1.794795257442365240e-03
3.491651790619498570e+03 2.732969408326879623e-01 1.589822568446025560e-03
3.495143442410119405e+03 2.784417447065670737e-01 1.580351615207837819e-03
3.498638585852530468e+03 2.841047999258715095e-01 1.622571435101334471e-03
3.502137224438384237e+03 2.888343786232569488e-01 1.653591263278608595e-03
3.505639361662823831e+03 2.934657040139244111e-01 1.637291832402785292e-03
3.509145001024487556e+03 2.978374810942250872e-01 1.721780633828917315e-03
3.512654146025513455e+03 3.022796994511008362e-01 1.963137120215973242e-03
3.516166800171540217e+03 3.063762738922337636e-01 2.117052052144334767e-03
3.519682966971712631e+03 3.092932387572501218e-01 2.093883923309178188e-03
3.523202649938685681e+03 3.116256498669597308e-01 1.946718547514199619e-03
3.526725852588625457e+03 3.136010697956111426e-01 1.773550163060864980e-03
3.530252578441215064e+03 3.137332877560846667e-01 1.888869715594313457e-03
3.533782831019657806e+03 3.132894878792914506e-01 1.982194703448104077e-03
3.537316613850678550e+03 3.123511185411698143e-01 2.053049143261549258e-03
3.540853930464530094e+03 3.103279907709510788e-01 2.125255740451556779e-03
3.544394784394995895e+03 3.076780258245608302e-01 2.043170790440037177e-03
3.547939179179392340e+03 3.045629344939045913e-01 1.866568153441809262e-03
3.551487118358572843e+03 3.010789442684313477e-01 1.552830596071695527e-03
3.555038605476932389e+03 2.984573852819822903e-01 1.277642743518542364e-03
3.558593644082410719e+03 2.966131710646465747e-01 1.134516179416756535e-03
3.562152237726494150e+03 2.953809978379973722e-01 1.082176233410644560e-03
3.565714389964221937e+03 2.954789216409020591e-01 1.062176191033955761e-03
3.569280104354187188e+03 2.961016648559079978e-01 1.099615735878286225e-03
3.572849384458542772e+03 2.971735567050209914e-01 1.179673963764815356e-03
3.576422233843002232e+03 2.995216358221435282e-01 1.178498007711132993e-03
3.579998656076846601e+03 3.029804948850541857e-01 1.183988358684254357e-03
3.583578654732924406e+03 3.075435805887737906e-01 1.248519154201736684e-03
3.587162233387658489e+03 3.126000153163128181e-01 1.247282677271119343e-03
3.590749395621047370e+03 3.178989847563415405e-01 1.333461151857910122e-03
3.594340145016669794e+03 3.236810838566207549e-01 1.454454803690192729e-03
3.597934485161687462e+03 3.287306146530969975e-01 1.558242757377485428e-03
3.601532419646850485e+03 3.333556503496544199e-01 1.638584819003798161e-03
3.605133952066498296e+03 3.377301258831291730e-01 1.646943103304285803e-03
3.608739086018566013e+03 3.408584429430305818e-01 1.627527418939197926e-03
3.612347825104585809e+03 3.434307362808418085e-01 1.442492432681888228e-03
3.615960172929691907e+03 3.451095232184669404e-01 1.312718519099780349e-03
3.619576133102622407e+03 3.454153958099435151e-01 1.511637617168175209e-03
3.623195709235726554e+03 3.441747540771498137e-01 1.923211721351126809e-03
3.626818904944963379e+03 3.425609812779442653e-01 2.005272128985533843e-03
3.630445723849909427e+03 3.407509572561606692e-01 1.836914799824920091e-03
3.634076169573760581e+03 3.391345544389962052e-01 1.862594696400412348e-03
3.637710245743335690e+03 3.364033042957493835e-01 1.882874226029566684e-03
3.641347955989080219e+03 3.341362234561215394e-01 2.062299536365091741e-03
3.644989303945070333e+03 3.312683088359477113e-01 2.113887100509093727e-03
3.648634293249016537e+03 3.282163560654920431e-01 2.117055712162618872e-03
3.652282927542266862e+03 3.246344533569802127e-01 2.177787389296490048e-03
3.655935210469810499e+03 3.214678393805713852e-01 2.238877462292450209e-03
3.659591145680281443e+03 3.197180217260466861e-01 2.326408819937465008e-03
3.663250736825963031e+03 3.177562352974777071e-01 2.513300369921294981e-03
3.666913987562790226e+03 3.162977291468171970e-01 2.761544586625776492e-03
3.670580901550354156e+03 3.157448793320088432e-01 2.611546117706807155e-03
3.674251482451905758e+03 3.172585734427674220e-01 2.527336607264803799e-03
3.677925733934358959e+03 3.203000339075037228e-01 2.558214878297912324e-03
3.681603659668294313e+03 3.247388715194685083e-01 2.778681021639761457e-03
3.685285263327964003e+03 3.297061620011462746e-01 2.916880786493080031e-03
3.688970548591293209e+03 3.357278228222574934e-01 3.077620254147824842e-03
3.692659519139885560e+03 3.423213773635894186e-01 3.103854200500977441e-03
3.696352178659026777e+03 3.491329168646749026e-01 3.002351711550267383e-03
3.700048530837686940e+03 3.561436221360083088e-01 2.765148784530408778e-03
3.703748579368525952e+03 3.631353079172643938e-01 2.404202689144588866e-03
3.707452327947895355e+03 3.695397362617428572e-01 2.254972922629832829e-03
3.711159780275844696e+03 3.746735386604502227e-01 2.143491990432157268e-03
3.714870940056121526e+03 3.782757750051892742e-01 2.211750824583456811e-03
3.718585810996179134e+03 3.794163279937024513e-01 2.362998443661753004e-03
3.722304396807176545e+03 3.796455169979078281e-01 1.811458334727804017e-03
3.726026701203984885e+03 3.795235733024671099e-01 1.495249082100517934e-03
3.729752727905190113e+03 3.807241668235608612e-01 1.846130337788598605e-03
3.733482480633096657e+03 3.810471613818443570e-01 1.906211972088137519e-03
3.737215963113731050e+03 3.805130036150927153e-01 1.834165329779715485e-03
3.740953179076846027e+03 3.792693237100497883e-01 1.827139420305937166e-03
3.744694132255923705e+03 3.770794721244295489e-01 2.251441725561078092e-03
3.748438826388181042e+03 3.753880750229476870e-01 2.617581623434953736e-03
3.752187265214570289e+03 3.744071553042064848e-01 2.748474381619321529e-03
3.755939452479786269e+03 3.741481723356339661e-01 2.638007998874826975e-03
3.759695391932267285e+03 3.746718440781961479e-01 2.275692138709678892e-03
3.763455087324201031e+03 3.767952133908166190e-01 2.141546691595868929e-03
3.767218542411526414e+03 3.808286083726780680e-01 2.345593545436694925e-03
3.770985760953939007e+03 3.862669000151495169e-01 2.558962686503830040e-03
3.774756746714894234e+03 3.920307319445291983e-01 2.642459395486524386e-03
3.778531503461610555e+03 3.991961373391352264e-01 2.691160301480789285e-03
3.782310034965073100e+03 4.070151475919500661e-01 2.556669266377509155e-03
3.786092345000039586e+03 4.149944387396928835e-01 2.408648680811968645e-03
3.789878437345040766e+03 4.226827755411687315e-01 2.238608257897649854e-03
3.793668315782387253e+03 4.307955104605522001e-01 1.973337518860308372e-03
3.797461984098170888e+03 4.367526788069572841e-01 2.032185786993114494e-03
3.801259446082270188e+03 4.406542990300606477e-01 2.324003463144085416e-03
3.805060705528353537e+03 4.434852580204928230e-01 1.648515940553057450e-03
3.808865766233883278e+03 4.476604245747846655e-01 1.124825441638708980e-03
3.812674632000118436e+03 4.533491800524567794e-01 1.244741559558209176e-03
3.816487306632119726e+03 4.598164047600832305e-01 1.368977345542669519e-03
3.820303793938753188e+03 4.669140485187913137e-01 1.374783081777381172e-03
