# starting wavelength: 5931.000
# ending wavelength: 9115.700
# wav flux eflux
5.936439800821719473e+03 3.455444440141453466e+00 4.127534806459325946e-03
5.942376240622543264e+03 3.444979248360778179e+00 3.034630584720502885e-03
5.948318616863167335e+03 3.432273516380026646e+00 2.395179640612100577e-03
5.954266935480032771e+03 3.417884428359341698e+00 1.953927244201595411e-03
5.960221202415515108e+03 3.402592689250807378e+00 1.497725222420521335e-03
5.966181423617932523e+03 3.385935766237632372e+00 1.328132230913151111e-03
5.972147605041552197e+03 3.368603205979276982e+00 1.154646856958505517e-03
5.978119752646595771e+03 3.350608036088992936e+00 1.114055398203566772e-03
5.984097872399243897e+03 3.332105027293365218e+00 9.247756601766180928e-04
5.990081970271645332e+03 3.312783688488605272e+00 7.755056820693379763e-04
5.996072052241918755e+03 3.292540845524280169e+00 7.089742516428961016e-04
6.002068124294162772e+03 3.271440364317657057e+00 6.704072287446331867e-04
6.008070192418459555e+03 3.249621056564194088e+00 6.362769801527899498e-04
6.014078262610879392e+03 3.227176637231860212e+00 6.092697232490439443e-04
6.020092340873492503e+03 3.204374763458036401e+00 5.878854267912342032e-04
6.026112433214368139e+03 3.180939709857991904e+00 5.787104190080592271e-04
6.032138545647584579e+03 3.157113376601001331e+00 5.782452550757908021e-04
6.038170684193233683e+03 3.133090573912084675e+00 5.889876906767790247e-04
6.044208854877429076e+03 3.108840390395075204e+00 5.829208251401055575e-04
6.050253063732308874e+03 3.084350587307151059e+00 5.756008578649129005e-04
6.056303316796042964e+03 3.059585452986489429e+00 5.851068867034628839e-04
6.062359620112841185e+03 3.034726897175086258e+00 5.847522767035128735e-04
6.068421979732956061e+03 3.009290026473260937e+00 5.378683738897572023e-04
6.074490401712690982e+03 2.983951324401974414e+00 5.252537615927515852e-04
6.080564892114405666e+03 2.958440068921935229e+00 5.441557825245400088e-04
6.086645457006521610e+03 2.933124287659160334e+00 5.605341050168607779e-04
6.092732102463530282e+03 2.907893051369586424e+00 5.540129891710931197e-04
6.098824834565995843e+03 2.882712062620039095e+00 5.679063536227085558e-04
6.104923659400564247e+03 2.857618643849760165e+00 5.695874130915588775e-04
6.111028583059966877e+03 2.832434962468656003e+00 5.820408023393104733e-04
6.117139611643028729e+03 2.806895634914182924e+00 6.048803765352834443e-04
6.123256751254673873e+03 2.781399155420575919e+00 6.794544531839727874e-04
6.129380008005929994e+03 2.755716294933590049e+00 8.348225544541721744e-04
6.135509388013938405e+03 2.729280064431250263e+00 9.221598123379428757e-04
6.141644897401954040e+03 2.702288640872847036e+00 1.014051920178341698e-03
6.147786542299358189e+03 2.674619730676731866e+00 1.080848583589536860e-03
6.153934328841659408e+03 2.645840137052289265e+00 1.042079978053208093e-03
6.160088263170503524e+03 2.617071932887447883e+00 6.756012903138823751e-04
6.166248351433675452e+03 2.586133967042088866e+00 7.705055273259161109e-04
6.172414599785111022e+03 2.554373227818207415e+00 8.242526172689471466e-04
6.178587014384898794e+03 2.521656954092675207e+00 9.133349943591269598e-04
6.184765601399285515e+03 2.488563357916581342e+00 9.445453927787090566e-04
6.190950367000687038e+03 2.454075971230806896e+00 8.940956905600858096e-04
6.197141317367689226e+03 2.419601691510073760e+00 7.531198716621212907e-04
6.203338458685059777e+03 2.385661143135571205e+00 5.692074276754054661e-04
6.209541797143746408e+03 2.352494094424455895e+00 4.347383010925970868e-04
6.215751338940892310e+03 2.320542801014099155e+00 4.093290076517378559e-04
6.221967090279835247e+03 2.290063765346423974e+00 4.073379062358884893e-04
6.228189057370116643e+03 2.260869107945072454e+00 4.497663627001425332e-04
6.234417246427488863e+03 2.233203495534369587e+00 5.364572051417133532e-04
6.240651663673918847e+03 2.207728046518845133e+00 5.330966459686810452e-04
6.246892315337594482e+03 2.183879261574146469e+00 5.354186397006602434e-04
6.253139207652934601e+03 2.162044901647707906e+00 6.397825796134542185e-04
6.259392346860589896e+03 2.141528645674815490e+00 7.687905932961373607e-04
6.265651739207452010e+03 2.122252942983242185e+00 9.078730424855263950e-04
6.271917390946661726e+03 2.103738280594904531e+00 9.995862676679275437e-04
6.278189308337610782e+03 2.085205803520174150e+00 9.926389542354134565e-04
6.284467497645950061e+03 2.066510468013895263e+00 8.230554583408142494e-04
6.290751965143597772e+03 2.047349820692155653e+00 6.453187444633396927e-04
6.297042717108744000e+03 2.027301260212371226e+00 7.515198784399159402e-04
6.303339759825854344e+03 2.006353028437377173e+00 7.951304824035105960e-04
6.309643099585682648e+03 1.985304970893575049e+00 8.466893380671108426e-04
6.315952742685270096e+03 1.963936976806311963e+00 8.315621596818007595e-04
6.322268695427957937e+03 1.942963471626134364e+00 6.229538124815320148e-04
6.328590964123387494e+03 1.922390723147409330e+00 3.842235965930115892e-04
6.334919555087512890e+03 1.902800716340031117e+00 5.021666373112832447e-04
6.341254474642602872e+03 1.883832009844183863e+00 5.713613066493058220e-04
6.347595729117247174e+03 1.865267680175972442e+00 4.300927514241955187e-04
6.353943324846366522e+03 1.846883919951392228e+00 3.447303135487242171e-04
6.360297268171215364e+03 1.828559695618082293e+00 3.645522926682751149e-04
6.366657565439388236e+03 1.810275851063728014e+00 3.307322393666258355e-04
6.373024223004829764e+03 1.791782333944929029e+00 2.859936339500537047e-04
6.379397247227837397e+03 1.772862695827856827e+00 2.873626558885757011e-04
6.385776644475066860e+03 1.753709950383716354e+00 2.994552019342146417e-04
6.392162421119543978e+03 1.734449162661182875e+00 3.419589436863356802e-04
6.398554583540665590e+03 1.715121061828544402e+00 3.871347197079736346e-04
6.404953138124208635e+03 1.695985471157843039e+00 3.773784022783078780e-04
6.411358091262334710e+03 1.677289320258112504e+00 3.516703236063161678e-04
6.417769449353599157e+03 1.658951394081854103e+00 3.369835246767941537e-04
6.424187218802954703e+03 1.641230421746534773e+00 3.303598199408294927e-04
6.430611406021760558e+03 1.624167317686688872e+00 3.236732093964076731e-04
6.437042017427784231e+03 1.607665200395534955e+00 3.049458898132342594e-04
6.443479059445214261e+03 1.591936907424461367e+00 3.043511990150274535e-04
6.449922538504661134e+03 1.576754438572103734e+00 3.166743861556918114e-04
6.456372461043168187e+03 1.562262579828765707e+00 2.164964631887260306e-04
6.462828833504213435e+03 1.547962353817992298e+00 1.585683218986864344e-04
6.469291662337719572e+03 1.533769903217111485e+00 1.641276606160116240e-04
6.475760954000059428e+03 1.519857132120319365e+00 1.492741476526610067e-04
6.482236714954061426e+03 1.506365724845321052e+00 3.473328756986470605e-04
6.488718951669017770e+03 1.492770247442957610e+00 3.924892205004961061e-04
6.495207670620688987e+03 1.479051894750768703e+00 3.919517802941215544e-04
6.501702878291312118e+03 1.464993524907871159e+00 3.718324092955545886e-04
6.508204581169605262e+03 1.450806690715155334e+00 3.673618695804372475e-04
6.514712785750777584e+03 1.436424668459800102e+00 4.221189500184668072e-04
6.521227498536530220e+03 1.422064230843582466e+00 4.573574749497983814e-04
6.527748726035069012e+03 1.407954363297437617e+00 4.918695865413757204e-04
6.534276474761106329e+03 1.394364558421339995e+00 5.111305358934287472e-04
6.540810751235869247e+03 1.381312781895536856e+00 4.649790453410722812e-04
6.547351561987107743e+03 1.369263346646204527e+00 3.641184077096536078e-04
6.553898913549096505e+03 1.358410037726371700e+00 3.236174874509823037e-04
6.560452812462647671e+03 1.348742197027964052e+00 3.590780092010155801e-04
6.567013265275112644e+03 1.340110725251490775e+00 3.684881163269302794e-04
6.573580278540390282e+03 1.332659860772535731e+00 3.982244207588522670e-04
6.580153858818932349e+03 1.325965016438488631e+00 3.352401964301257413e-04
6.586734012677753526e+03 1.319520102992819188e+00 3.004997801399242026e-04
6.593320746690433225e+03 1.313226039760195141e+00 2.904787958897808850e-04
6.599914067437126505e+03 1.307065252631042229e+00 2.887092953714791776e-04
6.606513981504565891e+03 1.301116048165226857e+00 2.229857214917985500e-04
6.613120495486072286e+03 1.294882474032604591e+00 2.121750569001275614e-04
6.619733615981560433e+03 1.288357163121552906e+00 2.311617491671005798e-04
6.626353349597544366e+03 1.281460577380445054e+00 2.400107123963558830e-04
6.632979702947143778e+03 1.274407852250069917e+00 3.106148649158309771e-04
6.639612682650093120e+03 1.267280302188072971e+00 3.034963241562132065e-04
6.646252295332745234e+03 1.260153166680938464e+00 3.458075301777494719e-04
6.652898547628080451e+03 1.253124500888659565e+00 3.533862690119594311e-04
6.659551446175711135e+03 1.246285658808056418e+00 3.217549583235671451e-04
6.666210997621888964e+03 1.239570133864337009e+00 2.694871922201746224e-04
6.672877208619513112e+03 1.232977636625893769e+00 3.624829552044122206e-04
6.679550085828134797e+03 1.226263332160836050e+00 5.086230984455149089e-04
6.686229635913964557e+03 1.219291451952948968e+00 9.914844525191872111e-04
6.692915865549881346e+03 1.210627018330698856e+00 9.310307511516620381e-04
6.699608781415433441e+03 1.201065280474448604e+00 8.273464758319045483e-04
6.706308390196851178e+03 1.189934865900660776e+00 7.399668039466403757e-04
6.713014698587049679e+03 1.176503785300038629e+00 6.751038051971800132e-04
6.719727713285638856e+03 1.161034919225403250e+00 8.195725706471694572e-04
6.726447440998927050e+03 1.143979306383620997e+00 1.020301350048102417e-03
6.733173888439928305e+03 1.125910482920148503e+00 1.174464560792687741e-03
6.739907062328370557e+03 1.107469409476748323e+00 1.181149132643529234e-03
6.746646969390701088e+03 1.089430453983163405e+00 9.898212964228377680e-04
6.753393616360093802e+03 1.072145607954221314e+00 8.333691673096480521e-04
6.760147009976456502e+03 1.056502379384704149e+00 7.169028246444034917e-04
6.766907156986434529e+03 1.042540479809495046e+00 7.529542577874772519e-04
6.773674064143423493e+03 1.030271919356578358e+00 8.717754520245777966e-04
6.780447738207569273e+03 1.019389667869177174e+00 8.982353409477188914e-04
6.787228185945778932e+03 1.009601321959949338e+00 8.548423451687562876e-04
6.794015414131727084e+03 1.000370736682875350e+00 7.420533249807879450e-04
6.800809429545861349e+03 9.914177697748912665e-01 6.835307039982334168e-04
6.807610238975408720e+03 9.827223038782559872e-01 6.521405217834453901e-04
6.814417849214386479e+03 9.743315671464529704e-01 5.845326784542925497e-04
6.821232267063603103e+03 9.646646015294177978e-01 4.324517534152684159e-04
6.828053499330669183e+03 9.553425137957444191e-01 5.092203281235635915e-04
6.834881552830001965e+03 9.455638585031513887e-01 5.093105143173211682e-04
6.841716434382834450e+03 9.347858167980908073e-01 5.081020218220486931e-04
6.848558150817219939e+03 9.232726059223965720e-01 5.200958870466371392e-04
6.855406708968039311e+03 9.111381692754144668e-01 5.164049726798079385e-04
6.862262115677009206e+03 8.982375139008922371e-01 5.138905950720203336e-04
6.869124377792688392e+03 8.846092749741624184e-01 5.112041594058311118e-04
6.875993502170483225e+03 8.703324131519790674e-01 5.027392213760037767e-04
6.882869495672656740e+03 8.551120415504674943e-01 4.640599850389601861e-04
6.889752365168331380e+03 8.397457942319660473e-01 4.702490654835587373e-04
6.896642117533501732e+03 8.239212335111135710e-01 4.630689567443865883e-04
6.903538759651037253e+03 8.082628983573176829e-01 4.637129606880906782e-04
6.910442298410691365e+03 7.928023216978175025e-01 5.312428714274594014e-04
6.917352740709104182e+03 7.779695251645696308e-01 6.781945983181733454e-04
6.924270093449815249e+03 7.640443744516197677e-01 7.585039456106484846e-04
6.931194363543267173e+03 7.515078264039657396e-01 7.107343444980694777e-04
6.938125557906812901e+03 7.410192027241327972e-01 6.082006158258367609e-04
6.945063683464722089e+03 7.328417996263739687e-01 5.694979622835576053e-04
6.952008747148189286e+03 7.266410203453599337e-01 4.785288815109247848e-04
6.958960755895339389e+03 7.231065510320038303e-01 5.657284561936780365e-04
6.965919716651237650e+03 7.214057125535141557e-01 5.680645292849708467e-04
6.972885636367890584e+03 7.212204221635442059e-01 5.664826315614071095e-04
6.979858522004260521e+03 7.223053959357034204e-01 5.849730716899571642e-04
6.986838380526267429e+03 7.242384631520606408e-01 4.662839333381319407e-04
6.993825218906796181e+03 7.264925088456358759e-01 3.584156462393116326e-04
7.000819044125705659e+03 7.286408223914653259e-01 2.382444956501488041e-04
7.007819863169833297e+03 7.304100414803560426e-01 2.911596917564594419e-04
7.014827683033005087e+03 7.317886384595688742e-01 3.718338743808168988e-04
7.021842510716041033e+03 7.331600337458112904e-01 4.054110839112352177e-04
7.028864353226758794e+03 7.344480986915522536e-01 3.441967109746296564e-04
7.035893217579988232e+03 7.358501783708477628e-01 3.517748430982915492e-04
7.042929110797570502e+03 7.373554811305405021e-01 3.545598730328728874e-04
7.049972039908370789e+03 7.390971601073689223e-01 3.966742790253170834e-04
7.057022011948281033e+03 7.413195069139084659e-01 4.598499948580820045e-04
7.064079033960231754e+03 7.443738766759387948e-01 3.817623256782687585e-04
7.071143112994193871e+03 7.483166601452579947e-01 3.546549627081764522e-04
7.078214256107190522e+03 7.532023053044387684e-01 4.576639765241006489e-04
7.085292470363300708e+03 7.587688837067826375e-01 5.725324256212534647e-04
7.092377762833665656e+03 7.646916568139694448e-01 6.626619702806340944e-04
7.099470140596501551e+03 7.704164001831702580e-01 6.476275456734962004e-04
7.106569610737100447e+03 7.760601846174022267e-01 6.476147552329549742e-04
7.113676180347840273e+03 7.813281040653944354e-01 5.741895269510608173e-04
7.120789856528190285e+03 7.861118191819161938e-01 5.434183426165419559e-04
7.127910646384721076e+03 7.904703029837479855e-01 5.662055010508712212e-04
7.135038557031108212e+03 7.942437214293640579e-01 7.087627660489929449e-04
7.142173595588141325e+03 7.976185290221536883e-01 7.515994381585787941e-04
7.149315769183732300e+03 8.011332830353119494e-01 5.642062299494458085e-04
7.156465084952918005e+03 8.052344942715952136e-01 3.999706725984284307e-04
7.163621550037873021e+03 8.099692358276053827e-01 4.159972671113443092e-04
7.170785171587913283e+03 8.152127705859899542e-01 4.219486905273590405e-04
7.177955956759504261e+03 8.210615139595497380e-01 3.856470606237538765e-04
