# starting wavelength: 3371.810
# ending wavelength: 8917.430
# wav flux eflux
3.374988461024894150e+03 3.626305960366393299e-01 3.420813943136934848e-02
3.378363449485920228e+03 3.793522464965305430e-01 2.529718094919690061e-02
3.381741812935407324e+03 3.914182255033037405e-01 1.918265654484718752e-02
3.385123554748343849e+03 4.006028652921768130e-01 1.474336350431391246e-02
3.388508678303093347e+03 4.079013219386639633e-01 1.175341855928371121e-02
3.391897186981397681e+03 4.118766429099144366e-01 9.791164679149191516e-03
3.395289084168380214e+03 4.121943965416663413e-01 8.165275651068731530e-03
3.398684373252549449e+03 4.094524056007562418e-01 6.971118029291118248e-03
3.402083057625803121e+03 4.039284583664552453e-01 6.237266324254853861e-03
3.405485140683430018e+03 3.964042403984908147e-01 5.598518280944773766e-03
3.408890625824114522e+03 3.880986063251046225e-01 4.989370127301126154e-03
3.412299516449939802e+03 3.795927858917658715e-01 4.507026500721346245e-03
3.415711815966390986e+03 3.713120936915281778e-01 4.157508987387479801e-03
3.419127527782358356e+03 3.633110643564472220e-01 3.893190394407095457e-03
3.422546655310141887e+03 3.564019269323064898e-01 3.690960471453397229e-03
3.425969201965453522e+03 3.507993689010557303e-01 3.571727026413611984e-03
3.429395171167419903e+03 3.465321324922766011e-01 3.560698790550757831e-03
3.432824566338588284e+03 3.434481531118153685e-01 3.676188814370485915e-03
3.436257390904928343e+03 3.412722137813126166e-01 3.902432738184880793e-03
3.439693648295834464e+03 3.391894626384984734e-01 4.151419490193737974e-03
3.443133341944131189e+03 3.382826785413026172e-01 4.641441597528475974e-03
3.446576475286076402e+03 3.395942989657003142e-01 4.832976981792456474e-03
3.450023051761363604e+03 3.411675190891174103e-01 4.709879649649311925e-03
3.453473074813126004e+03 3.426347130441330102e-01 4.258655564816579003e-03
3.456926547887940615e+03 3.439123985415405427e-01 3.624406367487097332e-03
3.460383474435829612e+03 3.443958938264121694e-01 3.039237394345144835e-03
3.463843857910266706e+03 3.432605042271540396e-01 2.899774391124173342e-03
3.467307701768178049e+03 3.401862178095548250e-01 2.990153550628890742e-03
3.470775009469947236e+03 3.371408797440856309e-01 3.009058390389909854e-03
3.474245784479418489e+03 3.340784913915656462e-01 3.076229674460181484e-03
3.477720030263898934e+03 3.296796961584361751e-01 3.243846460750083368e-03
3.481197750294164052e+03 3.242275094297878413e-01 3.563756091492531822e-03
3.484678948044459503e+03 3.179353772729129335e-01 3.855192454852689275e-03
3.488163626992504760e+03 3.113314133554554441e-01 3.856624717044277156e-03
3.491651790619498570e+03 3.055240415907365392e-01 3.850409116018321636e-03
3.495143442410119405e+03 2.991757311429177890e-01 3.537896719857977056e-03
3.498638585852530468e+03 2.913274711056560440e-01 1.518061813372343890e-03
3.502137224438384237e+03 2.878498234545902035e-01 1.161909956413869358e-03
3.505639361662823831e+03 2.866189278871763002e-01 1.294009527986420688e-03
3.509145001024487556e+03 2.867140144112447775e-01 1.495545186751453962e-03
3.512654146025513455e+03 2.878082936296713079e-01 1.644358309601804107e-03
3.516166800171540217e+03 2.903783089974127929e-01 1.729725838248705573e-03
3.519682966971712631e+03 2.944301971746623448e-01 1.641388160552255870e-03
3.523202649938685681e+03 2.995457575541541906e-01 1.630545938639410509e-03
3.526725852588625457e+03 3.057126380958346545e-01 1.862003126147004830e-03
3.530252578441215064e+03 3.116952341481730171e-01 1.699643513211449280e-03
3.533782831019657806e+03 3.192363873686466791e-01 1.672450625319047432e-03
3.537316613850678550e+03 3.265169094198157596e-01 1.697764715983601010e-03
3.540853930464530094e+03 3.329748046636108461e-01 1.661416932865118464e-03
3.544394784394995895e+03 3.386402407269904491e-01 1.499946710213465343e-03
3.547939179179392340e+03 3.434590971878488941e-01 1.336545357758734710e-03
3.551487118358572843e+03 3.473774679388870745e-01 1.312960788445434977e-03
3.555038605476932389e+03 3.495422852622009358e-01 1.624224939667414909e-03
3.558593644082410719e+03 3.508511001819000219e-01 1.808971623767097582e-03
3.562152237726494150e+03 3.520600527786216793e-01 1.935819082036379290e-03
3.565714389964221937e+03 3.526088265809600442e-01 2.113775851155309023e-03
3.569280104354187188e+03 3.528240616567954180e-01 2.072836194051253141e-03
3.572849384458542772e+03 3.526481622682766659e-01 2.035741693613509710e-03
3.576422233843002232e+03 3.530055051896094920e-01 1.986661977187986587e-03
3.579998656076846601e+03 3.541083309996581052e-01 1.863509587640858021e-03
3.583578654732924406e+03 3.560419876714981391e-01 1.787264027813066300e-03
3.587162233387658489e+03 3.585834993726980668e-01 1.593505959615796816e-03
3.590749395621047370e+03 3.624278621148001034e-01 1.538953409493719988e-03
3.594340145016669794e+03 3.673551675011956230e-01 1.489998812455491312e-03
3.597934485161687462e+03 3.734019615712698692e-01 1.472541593412951110e-03
3.601532419646850485e+03 3.807763284650155233e-01 1.512029552523423085e-03
3.605133952066498296e+03 3.900780292440281793e-01 1.551281223028873639e-03
3.608739086018566013e+03 3.997796927480532503e-01 1.555320260789874514e-03
3.612347825104585809e+03 4.107915655574830294e-01 1.415555937799215219e-03
3.615960172929691907e+03 4.226396979756352756e-01 1.239682913685117563e-03
3.619576133102622407e+03 4.351269768106987290e-01 1.089126386788438674e-03
3.623195709235726554e+03 4.476350718365466608e-01 9.653391830973114636e-04
3.626818904944963379e+03 4.593312203950448147e-01 9.471931755281017473e-04
3.630445723849909427e+03 4.705166110514391042e-01 9.325574941318009970e-04
3.634076169573760581e+03 4.811366228554144753e-01 8.873253971212714201e-04
3.637710245743335690e+03 4.915021309380474546e-01 8.794452454121178941e-04
3.641347955989080219e+03 5.016854047117436100e-01 8.832584809923837727e-04
3.644989303945070333e+03 5.113125056843728089e-01 8.538697140054476954e-04
3.648634293249016537e+03 5.205020472161634437e-01 8.035377117537161875e-04
3.652282927542266862e+03 5.292256968964023089e-01 8.897854761264271635e-04
3.655935210469810499e+03 5.369073166464732871e-01 8.888363856685402341e-04
3.659591145680281443e+03 5.432654677857911008e-01 8.913983948980765386e-04
3.663250736825963031e+03 5.482315815389465774e-01 1.073036263309440743e-03
3.666913987562790226e+03 5.529666185222966712e-01 1.184291719196342530e-03
3.670580901550354156e+03 5.575520748302319474e-01 1.200028019612624361e-03
3.674251482451905758e+03 5.613923502102988738e-01 1.214026701233656422e-03
3.677925733934358959e+03 5.650575368640098350e-01 1.286351519171312742e-03
3.681603659668294313e+03 5.685427141987896560e-01 1.139544021361920192e-03
3.685285263327964003e+03 5.724581403871437102e-01 1.082310978866126133e-03
3.688970548591293209e+03 5.769191635956805175e-01 1.108333126911114838e-03
3.692659519139885560e+03 5.817126751883420210e-01 1.192391444368485261e-03
3.696352178659026777e+03 5.862177378822613916e-01 1.241520442382495516e-03
3.700048530837686940e+03 5.913318184897558005e-01 1.297038577582927156e-03
3.703748579368525952e+03 5.962154149405869408e-01 1.295837266910509090e-03
3.707452327947895355e+03 6.011410623162574129e-01 1.288232695332914126e-03
3.711159780275844696e+03 6.061885762456142857e-01 1.280159056118896754e-03
3.714870940056121526e+03 6.113166595789728541e-01 1.329494585789198690e-03
3.718585810996179134e+03 6.167622139012364224e-01 1.314935344927218881e-03
3.722304396807176545e+03 6.220821230630914078e-01 1.168379815666299249e-03
