# starting wavelength: 3477.920
# ending wavelength: 9271.920
# wav flux eflux
3.481197750294164052e+03 3.098537094607886067e-01 3.696244321848722592e-03
3.484678948044459503e+03 3.289138624820435730e-01 2.961470061527498709e-03
3.488163626992504760e+03 3.468334728904096109e-01 2.464171334730402927e-03
3.491651790619498570e+03 3.646254823556824287e-01 1.927296330125143585e-03
3.495143442410119405e+03 3.821063436465100271e-01 1.595079265088959145e-03
3.498638585852530468e+03 3.995598405375740958e-01 1.299250080151175251e-03
3.502137224438384237e+03 4.168528300985394619e-01 1.073750537712098423e-03
3.505639361662823831e+03 4.339327965559865996e-01 8.900603466365647476e-04
3.509145001024487556e+03 4.506008101304815883e-01 7.521002443910623043e-04
3.512654146025513455e+03 4.667698086341874331e-01 6.693732073081950411e-04
3.516166800171540217e+03 4.824414996231041197e-01 5.914302243842464203e-04
3.519682966971712631e+03 4.976360597386685902e-01 5.314485484341865311e-04
3.523202649938685681e+03 5.122622083257259984e-01 4.902035235951642238e-04
3.526725852588625457e+03 5.261564746291502725e-01 5.033703184855780255e-04
3.530252578441215064e+03 5.392890728371035891e-01 6.084381642989495449e-04
3.533782831019657806e+03 5.520479693969957413e-01 6.414913947800994541e-04
3.537316613850678550e+03 5.646176704612109187e-01 6.204231622110693845e-04
3.540853930464530094e+03 5.768778057351044986e-01 6.027767267193655286e-04
3.544394784394995895e+03 5.886325353007604289e-01 5.917148771542002058e-04
3.547939179179392340e+03 5.998779710852705227e-01 5.996460126662964086e-04
3.551487118358572843e+03 6.106865842474671346e-01 5.954254880700521595e-04
3.555038605476932389e+03 6.211463513764691191e-01 6.297099215389417252e-04
3.558593644082410719e+03 6.312773706132760454e-01 7.488103382505469649e-04
3.562152237726494150e+03 6.407370511962279247e-01 8.175063239396517575e-04
3.565714389964221937e+03 6.496509262681063879e-01 8.711496237894808883e-04
3.569280104354187188e+03 6.578877596381312864e-01 8.732508397750623173e-04
3.572849384458542772e+03 6.652002456887067261e-01 8.642688559714651079e-04
3.576422233843002232e+03 6.720398045772406626e-01 8.553031711030841411e-04
3.579998656076846601e+03 6.784439468686765951e-01 8.344285323897091553e-04
3.583578654732924406e+03 6.841123216136988372e-01 8.229866264010290804e-04
3.587162233387658489e+03 6.892488465625545846e-01 8.189053419879569222e-04
3.590749395621047370e+03 6.937905935524857348e-01 8.494460778542487758e-04
3.594340145016669794e+03 6.976335145673407956e-01 9.599423468776520146e-04
3.597934485161687462e+03 7.010309265660129574e-01 1.048276421248969413e-03
3.601532419646850485e+03 7.042119731734787225e-01 1.072747848746415360e-03
3.605133952066498296e+03 7.069236376853973436e-01 1.109137452306848282e-03
3.608739086018566013e+03 7.093694027282578807e-01 9.606575387972409417e-04
3.612347825104585809e+03 7.118241175138285692e-01 8.133279074586754510e-04
3.615960172929691907e+03 7.146217068674887152e-01 7.997914666691982935e-04
3.619576133102622407e+03 7.172998789148223864e-01 7.624505969831079331e-04
3.623195709235726554e+03 7.202347891279945458e-01 8.194051030874494306e-04
3.626818904944963379e+03 7.233390813641908945e-01 9.135090208038574005e-04
3.630445723849909427e+03 7.264377577728104995e-01 9.360803190752053264e-04
3.634076169573760581e+03 7.297700553875873242e-01 9.799472637070760338e-04
3.637710245743335690e+03 7.329770647204320033e-01 9.438381560807036037e-04
3.641347955989080219e+03 7.363621174543412140e-01 8.650219480400977035e-04
3.644989303945070333e+03 7.396713949469330140e-01 7.589811727947409076e-04
3.648634293249016537e+03 7.428898011831779336e-01 7.501318001681174389e-04
3.652282927542266862e+03 7.459273805000172786e-01 8.143289459913993777e-04
3.655935210469810499e+03 7.489609057741620779e-01 8.340770912868582980e-04
3.659591145680281443e+03 7.522244442267778108e-01 8.349062055681586922e-04
3.663250736825963031e+03 7.554689542476459296e-01 8.485637397271174375e-04
3.666913987562790226e+03 7.585738371003826197e-01 7.951343332499071284e-04
3.670580901550354156e+03 7.616759800250423318e-01 7.056430184148606123e-04
3.674251482451905758e+03 7.650111229136162816e-01 6.991539659219801967e-04
3.677925733934358959e+03 7.684691869519932883e-01 7.108841434190150054e-04
