# starting wavelength: 3181.890
# ending wavelength: 9402.580
# wav flux eflux
3.184899983079348658e+03 4.357964060500892911e-01 3.632615220806542644e-01
3.188084883062429071e+03 5.462481745734321104e-01 2.815802870836289773e-01
3.191272967945492383e+03 6.617653838528988475e-01 2.366433371154625931e-01
3.194464240913438971e+03 7.360869391719315757e-01 1.876217607081521188e-01
3.197658705154353811e+03 7.656333781630304536e-01 1.469774903666924148e-01
3.200856363859509202e+03 7.692862560050884868e-01 1.173900937044535936e-01
3.204057220223369768e+03 7.540781877241848896e-01 9.799929163367265827e-02
3.207261277443593826e+03 7.342293822313263885e-01 8.263458083706735902e-02
3.210468538721038840e+03 7.139878865976982958e-01 7.252016803402638878e-02
3.213679007259760965e+03 6.952579116603266884e-01 6.504257708831764906e-02
3.216892686267021418e+03 6.765147645135058951e-01 5.910995845835572554e-02
3.220109578953289656e+03 6.468546711832652285e-01 5.332865325245617766e-02
3.223329688532243836e+03 6.122158603453127235e-01 4.894650771357828001e-02
3.226553018220777176e+03 5.807315671497716991e-01 4.565500348005969988e-02
3.229779571238999324e+03 5.453692008247237322e-01 4.298576881517270076e-02
3.233009350810239084e+03 5.106003780183943075e-01 4.170589693057753095e-02
3.236242360161050783e+03 4.807716541361179430e-01 4.023546387841391708e-02
3.239478602521212906e+03 4.480298813477900932e-01 3.891297364906583928e-02
3.242718081123734919e+03 4.189828413819962627e-01 3.780259232074544701e-02
3.245960799204859995e+03 3.847953590679630276e-01 3.674226349107393569e-02
3.249206760004065927e+03 3.598814832961485521e-01 3.665584517063007891e-02
3.252455966764071036e+03 3.496288876032028758e-01 3.623928064389446424e-02
3.255708422730835991e+03 3.538678360218472929e-01 2.963718145151191669e-02
3.258964131153567905e+03 3.494379221411139103e-01 2.872818551186487671e-02
3.262223095284722604e+03 3.434470050010253184e-01 2.942741271156734673e-02
3.265485318380008266e+03 3.438017570542237222e-01 2.910081112555748875e-02
3.268750803698389518e+03 3.430450844121243348e-01 2.875996795512634346e-02
3.272019554502088795e+03 3.401967411966389521e-01 2.759320759386331423e-02
3.275291574056592253e+03 3.370446481809166173e-01 2.654592908579266400e-02
3.278566865630649772e+03 3.376820945362939974e-01 2.625128885662985842e-02
3.281845432496281319e+03 3.422371451687076793e-01 2.622134345270812905e-02
3.285127277928778767e+03 3.426357542619117291e-01 2.597863261177572880e-02
3.288412405206708627e+03 3.467714796208626882e-01 2.595682005548263088e-02
3.291700817611916591e+03 3.689900328417113351e-01 2.499719555741953397e-02
3.294992518429529355e+03 3.960136125279036245e-01 2.330928145499867182e-02
3.298287510947960072e+03 4.264269547445488362e-01 2.195895661380853695e-02
3.301585798458909267e+03 4.573175807295964401e-01 1.906443196285066005e-02
3.304887384257369376e+03 4.771859203599743693e-01 1.898009312111813285e-02
3.308192271641627485e+03 4.991219866443546982e-01 1.915159836240249921e-02
3.311500463913270323e+03 5.093815868443475336e-01 1.810421991701344560e-02
3.314811964377184722e+03 5.151630501401216478e-01 1.778624982531170837e-02
3.318126776341563072e+03 5.172611142641209137e-01 1.767966874232423588e-02
3.321444903117905596e+03 5.172982203713925031e-01 1.760787763205656775e-02
3.324766348021024896e+03 5.195799660070147263e-01 1.772841524568166682e-02
3.328091114369046863e+03 5.184407291538213336e-01 1.710451737472219041e-02
3.331419205483417045e+03 5.196843028236843853e-01 1.651136633505409512e-02
3.334750624688901553e+03 5.144071054895291706e-01 1.629576042606980732e-02
3.338085375313591612e+03 4.978851375928750045e-01 1.597506540413813278e-02
3.341423460688906289e+03 4.795625695978340541e-01 1.610065766185083541e-02
3.344764884149596128e+03 4.638980729703683914e-01 1.591488018343107172e-02
3.348109649033746791e+03 4.373738168723238506e-01 1.659126045551098314e-02
3.351457758682781787e+03 4.085770371316181371e-01 1.825692128275208451e-02
3.354809216441465651e+03 3.748076691307704045e-01 1.922230137658003518e-02
3.358164025657908041e+03 3.507295176649981028e-01 1.957591465500597289e-02
3.361522189683567376e+03 3.251032356305726956e-01 1.921275034203509188e-02
3.364883711873251741e+03 3.039917072732558623e-01 1.886366465029045911e-02
3.368248595585126168e+03 2.833765966499894318e-01 1.856383992776106107e-02
3.371616844180712633e+03 2.615287636998903098e-01 1.701178430966914651e-02
3.374988461024894150e+03 2.449005785323037643e-01 1.635414799831171051e-02
3.378363449485920228e+03 2.380201226082084287e-01 1.653408789522379033e-02
3.381741812935407324e+03 2.443774069049783892e-01 1.658285506586045649e-02
3.385123554748343849e+03 2.531811523473356251e-01 1.666345953518895764e-02
3.388508678303093347e+03 2.592270669175535946e-01 1.626713710114060032e-02
3.391897186981397681e+03 2.626557077488448910e-01 1.572346454395380164e-02
3.395289084168380214e+03 2.633137665867911203e-01 1.569314928494431813e-02
3.398684373252549449e+03 2.619633661608956055e-01 1.543632402891867254e-02
3.402083057625803121e+03 2.576797265711578966e-01 1.572930558959514946e-02
3.405485140683430018e+03 2.574668492872860259e-01 1.586628359516487757e-02
3.408890625824114522e+03 2.586969715593302466e-01 1.594808215971560417e-02
3.412299516449939802e+03 2.611099918920512519e-01 1.587537228842993489e-02
3.415711815966390986e+03 2.645518568166843609e-01 1.583565719736870075e-02
3.419127527782358356e+03 2.699769764430111629e-01 1.572825093831552862e-02
3.422546655310141887e+03 2.758972497629290643e-01 1.628137406719608674e-02
3.425969201965453522e+03 2.746001565652964604e-01 1.504709403088111755e-02
3.429395171167419903e+03 2.720847899385453461e-01 1.445634377934683010e-02
3.432824566338588284e+03 2.747825480881518345e-01 1.355210987038775808e-02
3.436257390904928343e+03 2.843323913075215259e-01 1.324066461054298691e-02
3.439693648295834464e+03 2.940894520810382051e-01 1.184956046869830443e-02
3.443133341944131189e+03 3.171273907528563418e-01 1.209690222355712212e-02
3.446576475286076402e+03 3.426889525772225942e-01 1.230007172553073368e-02
3.450023051761363604e+03 3.763721938200777495e-01 1.343196532169765520e-02
3.453473074813126004e+03 4.099839252486068286e-01 1.249825743875504838e-02
3.456926547887940615e+03 4.408355811232961274e-01 1.445570583649394107e-02
3.460383474435829612e+03 4.681656211693637770e-01 1.608034618643297206e-02
3.463843857910266706e+03 4.920876297638874242e-01 1.693928405861506656e-02
3.467307701768178049e+03 5.121926350900235514e-01 1.476970626390014529e-02
3.470775009469947236e+03 5.209267911901473980e-01 1.276244044053333020e-02
3.474245784479418489e+03 5.146901901478990737e-01 1.333215103916839638e-02
3.477720030263898934e+03 5.016581958975090405e-01 1.367436366845089547e-02
3.481197750294164052e+03 4.806444489106441731e-01 1.387769199770093852e-02
3.484678948044459503e+03 4.564509077622388444e-01 1.439889486147478449e-02
3.488163626992504760e+03 4.227388157050140371e-01 1.623188612793971530e-02
3.491651790619498570e+03 3.820646738015441302e-01 1.958535804602522246e-02
3.495143442410119405e+03 3.373000180162384898e-01 2.108573343820262930e-02
3.498638585852530468e+03 2.942283593699413502e-01 2.037380208455774958e-02
3.502137224438384237e+03 2.561459810889372690e-01 1.907422597393656008e-02
3.505639361662823831e+03 2.153946084643635905e-01 1.421321765661925744e-02
3.509145001024487556e+03 1.901384911629381003e-01 1.312192010737870708e-02
3.512654146025513455e+03 1.744964749656111591e-01 1.362475701475673352e-02
3.516166800171540217e+03 1.716498144137731663e-01 1.492996615073521882e-02
3.519682966971712631e+03 1.750386499804110207e-01 1.605357524465283320e-02
3.523202649938685681e+03 1.854656270066699641e-01 1.476874799451806559e-02
3.526725852588625457e+03 1.983860977740032894e-01 1.305357552087731479e-02
3.530252578441215064e+03 2.127248479945663961e-01 1.250693286904196698e-02
3.533782831019657806e+03 2.278257154310683041e-01 1.020992359656642916e-02
3.537316613850678550e+03 2.432214943658093653e-01 9.631997305096529419e-03
3.540853930464530094e+03 2.494054139040116636e-01 9.250503561900495081e-03
3.544394784394995895e+03 2.473578027443110727e-01 9.127525387536385842e-03
3.547939179179392340e+03 2.404890539494194401e-01 9.495362964026100513e-03
3.551487118358572843e+03 2.254695268573881917e-01 1.054610516010874056e-02
3.555038605476932389e+03 2.020406620835144551e-01 1.092151701514136423e-02
3.558593644082410719e+03 1.808748873298210158e-01 1.209524354639987184e-02
3.562152237726494150e+03 1.580878325646730698e-01 1.256604972783429905e-02
3.565714389964221937e+03 1.308557149390493501e-01 1.294346341614252376e-02
3.569280104354187188e+03 1.099427378419289836e-01 1.231014011719233463e-02
3.572849384458542772e+03 9.937426283437583718e-02 1.136668210329383130e-02
3.576422233843002232e+03 1.038750103252696899e-01 1.182513870167708689e-02
3.579998656076846601e+03 1.171198623617484003e-01 1.250554935736431644e-02
3.583578654732924406e+03 1.308813014581023393e-01 1.221159052235199806e-02
3.587162233387658489e+03 1.494286713076654616e-01 1.181181360278146450e-02
3.590749395621047370e+03 1.783343678645485375e-01 1.218348912296857503e-02
3.594340145016669794e+03 2.166869124165690108e-01 1.304612842587760634e-02
3.597934485161687462e+03 2.603785036125866870e-01 1.338520562614193936e-02
3.601532419646850485e+03 3.076671593354031176e-01 1.209427582683242873e-02
3.605133952066498296e+03 3.553748733187697684e-01 1.374204344386122101e-02
3.608739086018566013e+03 3.888226853504495595e-01 1.319451856940045791e-02
