# starting wavelength: 3652.500
# ending wavelength: 7397.140
# wav flux eflux
3.655935210469810499e+03 1.053437119061501503e+00 4.480503036567952055e-03
3.659591145680281443e+03 1.057302978293544360e+00 3.199310298297187213e-03
3.663250736825963031e+03 1.058699531498020097e+00 2.375159401469342096e-03
3.666913987562790226e+03 1.058144785482054262e+00 1.813510263605367734e-03
3.670580901550354156e+03 1.056114683078989147e+00 1.421234680580353528e-03
3.674251482451905758e+03 1.052743878386812604e+00 1.351426486485403150e-03
3.677925733934358959e+03 1.048864146629000071e+00 1.172379892303315090e-03
3.681603659668294313e+03 1.044698523820835057e+00 9.388967894334406461e-04
3.685285263327964003e+03 1.040115388562134813e+00 7.774045077380992716e-04
3.688970548591293209e+03 1.035256075749440896e+00 6.622303021075258249e-04
3.692659519139885560e+03 1.030265375547355200e+00 5.735157994200939515e-04
3.696352178659026777e+03 1.025341683066270049e+00 5.124314199523167775e-04
3.700048530837686940e+03 1.020670100712803174e+00 4.926136263648310228e-04
3.703748579368525952e+03 1.016444749353335508e+00 5.578047864728601047e-04
3.707452327947895355e+03 1.012440643583815136e+00 5.622148851095081553e-04
3.711159780275844696e+03 1.008614714832852366e+00 5.362092022311362987e-04
3.714870940056121526e+03 1.005425476146928787e+00 5.904012890537927837e-04
3.718585810996179134e+03 1.002529641633546742e+00 6.094242900820755595e-04
3.722304396807176545e+03 9.998612143708335287e-01 6.108373443455396377e-04
3.726026701203984885e+03 9.977871256169350556e-01 5.776074705294842460e-04
3.729752727905190113e+03 9.960943832601693027e-01 5.537889660139384829e-04
3.733482480633096657e+03 9.948451951080440336e-01 6.045416759473944092e-04
3.737215963113731050e+03 9.942933341979307560e-01 6.670717592377313704e-04
3.740953179076846027e+03 9.942707012156031254e-01 7.386850944701252916e-04
3.744694132255923705e+03 9.946997242038211340e-01 8.566448507265715922e-04
3.748438826388181042e+03 9.960544665029077427e-01 8.644609732882933308e-04
3.752187265214570289e+03 9.982866826069255461e-01 8.254702303321007463e-04
3.755939452479786269e+03 1.001317480265559112e+00 7.438150685585196396e-04
3.759695391932267285e+03 1.005290106015913842e+00 7.306739406893658553e-04
3.763455087324201031e+03 1.010251555859449368e+00 7.342146749940552932e-04
3.767218542411526414e+03 1.016043492031573292e+00 7.822614263846551464e-04
3.770985760953939007e+03 1.022790954137434483e+00 9.062951042594838543e-04
3.774756746714894234e+03 1.029991643058993711e+00 1.020593056793903325e-03
3.778531503461610555e+03 1.037984195583687264e+00 1.147285513939331038e-03
3.782310034965073100e+03 1.046224937404416133e+00 1.222821222351038210e-03
3.786092345000039586e+03 1.054619770290936120e+00 1.198071209666407705e-03
3.789878437345040766e+03 1.063012764259563037e+00 1.147810855683070817e-03
3.793668315782387253e+03 1.071256384699567299e+00 1.061612198064123451e-03
3.797461984098170888e+03 1.079392196100563250e+00 1.005926439178394041e-03
3.801259446082270188e+03 1.087212504274815528e+00 9.097918038208001410e-04
3.805060705528353537e+03 1.094756706011297931e+00 7.791919702562728279e-04
3.808865766233883278e+03 1.101590319197951695e+00 7.503562391803680941e-04
3.812674632000118436e+03 1.107257463637134842e+00 8.216869696452261656e-04
3.816487306632119726e+03 1.112361376849688499e+00 7.890070642321241664e-04
3.820303793938753188e+03 1.116849769968631501e+00 7.179797523350434302e-04
3.824124097732693372e+03 1.120899436290150986e+00 6.666457994938569664e-04
3.827948221830427428e+03 1.124305845529624204e+00 6.345246569437945280e-04
3.831776170052258749e+03 1.127057135750800576e+00 5.683875018453972200e-04
3.835607946222312421e+03 1.129298063986410749e+00 5.643175658886952217e-04
3.839443554168536139e+03 1.131435504478484289e+00 5.257801414387445029e-04
3.843282997722705659e+03 1.133159243651066461e+00 5.092664285103967346e-04
3.847126280720429804e+03 1.134458757478549185e+00 5.166021004230664671e-04
3.850973407001151372e+03 1.135235121191906282e+00 5.377330465864187331e-04
3.854824380408153957e+03 1.135765643167790495e+00 5.541446563594584415e-04
3.858679204788563311e+03 1.135749404006248353e+00 6.534766049207681561e-04
3.862537883993353262e+03 1.135467722923767520e+00 6.240743197009242238e-04
3.866400421877347981e+03 1.135428662180531401e+00 6.145120410605864640e-04
3.870266822299226533e+03 1.135097708935220107e+00 5.728479971490099817e-04
3.874137089121526969e+03 1.134609916491694070e+00 5.260880333119833481e-04
3.878011226210649966e+03 1.134287649667208075e+00 5.161094339273290203e-04
3.881889237436861549e+03 1.134184964622562797e+00 6.147171442141395213e-04
3.885771126674299921e+03 1.134232438552927880e+00 6.958157270132609177e-04
3.889656897800975457e+03 1.134439176779457270e+00 6.304068640307849839e-04
3.893546554698777527e+03 1.134541322331023672e+00 5.883537716060776527e-04
3.897440101253477678e+03 1.134336202738889465e+00 5.389696534383276805e-04
3.901337541354732366e+03 1.133995533105837783e+00 4.914104900517419832e-04
3.905238878896088409e+03 1.133442275594179982e+00 4.832231342228179372e-04
3.909144117774985716e+03 1.132927291926911773e+00 4.703980199439096064e-04
3.913053261892762293e+03 1.132381003007135511e+00 4.574662354427995480e-04
3.916966315154656058e+03 1.131528358332823503e+00 5.272352550487278272e-04
3.920883281469812118e+03 1.130197986538114874e+00 6.653691862530855105e-04
3.924804164751283224e+03 1.129424129411442657e+00 8.575425414820156758e-04
3.928728968916035683e+03 1.129421214079021407e+00 9.974612086717494185e-04
3.932657697884953450e+03 1.130181688762404102e+00 9.920547470220354019e-04
3.936590355582839493e+03 1.132400041889443765e+00 8.681873834116646954e-04
3.940526945938423523e+03 1.136150466079204335e+00 8.072502813304847577e-04
3.944467472884363360e+03 1.141576562150822038e+00 1.023816824153123877e-03
3.948411940357249023e+03 1.147520680076353994e+00 1.076325937562455995e-03
3.952360352297607733e+03 1.154961228430305908e+00 1.237611322192681829e-03
3.956312712649906643e+03 1.162933738541961803e+00 1.249360144752131646e-03
3.960269025362557841e+03 1.171768215004171942e+00 1.234824922592002612e-03
3.964229294387921527e+03 1.180596335129465269e+00 1.046456565661495371e-03
3.968193523682310570e+03 1.188810978171702004e+00 1.014149955930229502e-03
3.972161717205994591e+03 1.196652056380149709e+00 9.887117253449999657e-04
3.976133878923201792e+03 1.203971005933134997e+00 9.404517125763476714e-04
3.980110012802126221e+03 1.210107609256242611e+00 9.413281903521024179e-04
3.984090122814929600e+03 1.214887558084704500e+00 9.325972080008301714e-04
3.988074212937745870e+03 1.218354699733249280e+00 9.514148962817169574e-04
3.992062287150684824e+03 1.220326137062084593e+00 8.485000802566207640e-04
3.996054349437837118e+03 1.221397868334998194e+00 9.333986926293674855e-04
4.000050403787276082e+03 1.221759975103946960e+00 8.081261420535110380e-04
4.004050454191064546e+03 1.220396167669110854e+00 6.715690241425427897e-04
4.008054504645257111e+03 1.216984137223713569e+00 1.008053631998801023e-03
4.012062559149903791e+03 1.212612285184405669e+00 1.071573909351062693e-03
4.016074621709055009e+03 1.207075071304613001e+00 1.033533945356031412e-03
4.020090696330765240e+03 1.200856535787314439e+00 9.736256794339682779e-04
4.024110787027097558e+03 1.193537026434216886e+00 9.809910930888240434e-04
4.028134897814125907e+03 1.186153380737848373e+00 1.009060696195527868e-03
4.032163032711941469e+03 1.178919658142930871e+00 1.072539480261021231e-03
4.036195195744654484e+03 1.171149447173002178e+00 1.031406853487703158e-03
