# starting wavelength: 3583.790
# ending wavelength: 8679.990
# wav flux eflux
3.587162233387658489e+03 7.387323606410329813e-01 6.922043720859208382e-03
3.590749395621047370e+03 7.391771171848368072e-01 8.137832529920445424e-03
3.594340145016669794e+03 7.428638000373983807e-01 6.308733753391260364e-03
3.597934485161687462e+03 7.476734097089683395e-01 4.991067310410083127e-03
3.601532419646850485e+03 7.531218648696791362e-01 4.302616363834685029e-03
3.605133952066498296e+03 7.576225883829031948e-01 3.386229973839303183e-03
3.608739086018566013e+03 7.618589246011774341e-01 2.711031685635900950e-03
3.612347825104585809e+03 7.657484185911559438e-01 2.205945430258544459e-03
3.615960172929691907e+03 7.695832176141497172e-01 1.839773023691685608e-03
3.619576133102622407e+03 7.733867761830887089e-01 1.559123388171099363e-03
3.623195709235726554e+03 7.770396550221766452e-01 1.332603048299572804e-03
3.626818904944963379e+03 7.806120323635186153e-01 1.194115378732092930e-03
3.630445723849909427e+03 7.840153186726793733e-01 1.100296293308115382e-03
3.634076169573760581e+03 7.874581447469655160e-01 1.143257830556687399e-03
3.637710245743335690e+03 7.905195279530570218e-01 1.191596215464217276e-03
3.641347955989080219e+03 7.929998086175378269e-01 1.252183453039538638e-03
3.644989303945070333e+03 7.946418620799832189e-01 1.306437124471613274e-03
3.648634293249016537e+03 7.952195261180632357e-01 1.349944422485126368e-03
3.652282927542266862e+03 7.947264571264412991e-01 1.446176417921731265e-03
3.655935210469810499e+03 7.929793709595109874e-01 1.511423454626688962e-03
3.659591145680281443e+03 7.897927628108974973e-01 1.490810859736545809e-03
3.663250736825963031e+03 7.849463457705835312e-01 1.397654306320653865e-03
3.666913987562790226e+03 7.785634236783496309e-01 1.311440842964330371e-03
3.670580901550354156e+03 7.706818500402693450e-01 1.270937935120747308e-03
3.674251482451905758e+03 7.612561370409032246e-01 1.325382576479402792e-03
3.677925733934358959e+03 7.509677593293039299e-01 1.347100872617292390e-03
3.681603659668294313e+03 7.387957755568517193e-01 1.490650022048502395e-03
3.685285263327964003e+03 7.255331267913900373e-01 1.606384501512072302e-03
3.688970548591293209e+03 7.111231307758685283e-01 1.694714850928731717e-03
3.692659519139885560e+03 6.955755073001870237e-01 1.706521397510413597e-03
3.696352178659026777e+03 6.793201651173591538e-01 1.590296683829487984e-03
3.700048530837686940e+03 6.618541826852483156e-01 1.165081070188156822e-03
3.703748579368525952e+03 6.454812405554722909e-01 9.723253038711632702e-04
3.707452327947895355e+03 6.291955087588226858e-01 8.022601092934220296e-04
3.711159780275844696e+03 6.135023563186401407e-01 7.719492996725509527e-04
3.714870940056121526e+03 5.985597581603562256e-01 8.133328875180358955e-04
3.718585810996179134e+03 5.840554633155073949e-01 9.099876634384229191e-04
