# starting wavelength: 3433.020
# ending wavelength: 7171.440
# wav flux eflux
3.436257390904928343e+03 1.181295729406366402e+00 2.175328068879560373e-02
3.439693648295834464e+03 1.187984270174830659e+00 1.790939131539726406e-02
3.443133341944131189e+03 1.188544384227794293e+00 1.495390285899295471e-02
3.446576475286076402e+03 1.186478499483035298e+00 1.225024728085811164e-02
3.450023051761363604e+03 1.182483710448710035e+00 1.150623755851169425e-02
3.453473074813126004e+03 1.179491548059454109e+00 9.488614354587488961e-03
3.456926547887940615e+03 1.176499192611653477e+00 7.751454679094090493e-03
3.460383474435829612e+03 1.172469130906390156e+00 6.906330733378789576e-03
3.463843857910266706e+03 1.167582546288747025e+00 5.770261705414361959e-03
3.467307701768178049e+03 1.161461063371622027e+00 5.136444858345539169e-03
3.470775009469947236e+03 1.154708816110401326e+00 4.670072891619152580e-03
3.474245784479418489e+03 1.148020403990395177e+00 4.277613549547293510e-03
3.477720030263898934e+03 1.141941127168139225e+00 3.950193443214572962e-03
3.481197750294164052e+03 1.136930479885553513e+00 3.728195073037131151e-03
3.484678948044459503e+03 1.131556216227862066e+00 3.538807527523827288e-03
3.488163626992504760e+03 1.127046685539973891e+00 3.379907647212149029e-03
3.491651790619498570e+03 1.123453591516975880e+00 3.252025307593855736e-03
3.495143442410119405e+03 1.120802438541405932e+00 3.161395592865027474e-03
3.498638585852530468e+03 1.118687374398760204e+00 3.149759087711154117e-03
3.502137224438384237e+03 1.118002965899918211e+00 3.189163624336825795e-03
3.505639361662823831e+03 1.117867142720440521e+00 3.167157418132903173e-03
3.509145001024487556e+03 1.118670839996304345e+00 3.188734485930784252e-03
3.512654146025513455e+03 1.119410124354034419e+00 3.147050763385006878e-03
3.516166800171540217e+03 1.120665555078035558e+00 3.156316473424207979e-03
3.519682966971712631e+03 1.123016049841015107e+00 3.524656346487794762e-03
3.523202649938685681e+03 1.126501238986615361e+00 3.500609073666369891e-03
3.526725852588625457e+03 1.129997725800085506e+00 3.428352543269598107e-03
3.530252578441215064e+03 1.133539599774724627e+00 3.279377469222921788e-03
3.533782831019657806e+03 1.136360785448295774e+00 3.187031545590653277e-03
3.537316613850678550e+03 1.139318244435706617e+00 3.062328155267819013e-03
3.540853930464530094e+03 1.143394053195661231e+00 2.870219512235499485e-03
3.544394784394995895e+03 1.145269028458542282e+00 3.061575687997835759e-03
3.547939179179392340e+03 1.147074113581138644e+00 3.147003086732372799e-03
