# starting wavelength: 3630.660
# ending wavelength: 9430.820
# wav flux eflux
3.634076169573760581e+03 1.174223712636464967e+00 8.950377851764997755e-03
3.637710245743335690e+03 1.175952394092465436e+00 6.536900717180727134e-03
3.641347955989080219e+03 1.177523857836908494e+00 5.223005775477319694e-03
3.644989303945070333e+03 1.179599029025255152e+00 4.358190890223817039e-03
3.648634293249016537e+03 1.182812345910797092e+00 3.490203196770294385e-03
3.652282927542266862e+03 1.186960797386983790e+00 2.797961009872429548e-03
3.655935210469810499e+03 1.191763495448649790e+00 2.302514654259726987e-03
3.659591145680281443e+03 1.197169628123297525e+00 1.970266915791582356e-03
3.663250736825963031e+03 1.203062032587569163e+00 1.720320859314792509e-03
3.666913987562790226e+03 1.208540278104337506e+00 1.714993749379687370e-03
3.670580901550354156e+03 1.213606455027338882e+00 1.797735949192629835e-03
3.674251482451905758e+03 1.218928593004710015e+00 1.647846548281854282e-03
3.677925733934358959e+03 1.224407278407190880e+00 1.518550372839183810e-03
3.681603659668294313e+03 1.230583314347050372e+00 1.605146207312027140e-03
3.685285263327964003e+03 1.237087208976134667e+00 1.997964534504861889e-03
3.688970548591293209e+03 1.242541548889133818e+00 2.139954377261815439e-03
3.692659519139885560e+03 1.246517098276683777e+00 2.108889808605143856e-03
3.696352178659026777e+03 1.249308817069503030e+00 2.062242358332307991e-03
3.700048530837686940e+03 1.250827411522808852e+00 2.007771520479146102e-03
3.703748579368525952e+03 1.252471974887052308e+00 1.843305194319143836e-03
3.707452327947895355e+03 1.251855986430389311e+00 1.841702323644903811e-03
3.711159780275844696e+03 1.249666379789657444e+00 1.924699161757544410e-03
3.714870940056121526e+03 1.246122671161693729e+00 2.094047779766527746e-03
3.718585810996179134e+03 1.241544945480244300e+00 2.203054609581736947e-03
3.722304396807176545e+03 1.235980381385485494e+00 2.232281663376937605e-03
3.726026701203984885e+03 1.229764722389090181e+00 2.273924647597574174e-03
3.729752727905190113e+03 1.222867730901010308e+00 2.272414556655758325e-03
3.733482480633096657e+03 1.215334856522661600e+00 2.234736320719733077e-03
3.737215963113731050e+03 1.207434058948618993e+00 2.261104273477085053e-03
3.740953179076846027e+03 1.198854825523630430e+00 2.266425278348396712e-03
3.744694132255923705e+03 1.190148573813548882e+00 2.240329562472739497e-03
3.748438826388181042e+03 1.181211683460605455e+00 2.181289762046556384e-03
3.752187265214570289e+03 1.171815952761545931e+00 2.031049026395896368e-03
3.755939452479786269e+03 1.162907292086303945e+00 1.943554025552867012e-03
3.759695391932267285e+03 1.155040606274178039e+00 1.938238986008731807e-03
3.763455087324201031e+03 1.147154182111354004e+00 1.954903626052124661e-03
3.767218542411526414e+03 1.140080776081563663e+00 1.961736239448871703e-03
3.770985760953939007e+03 1.133517853643740247e+00 1.966114028695589450e-03
3.774756746714894234e+03 1.127864761903497159e+00 1.929275741325942300e-03
3.778531503461610555e+03 1.122934874203598277e+00 1.870374873739393722e-03
3.782310034965073100e+03 1.118718570293922410e+00 1.835701577823026535e-03
3.786092345000039586e+03 1.115136483540250412e+00 1.797431187439473606e-03
3.789878437345040766e+03 1.111885756728445918e+00 1.704131327597384771e-03
3.793668315782387253e+03 1.108615076564519297e+00 1.692144682831832336e-03
3.797461984098170888e+03 1.105146433834889974e+00 1.697559740976148021e-03
3.801259446082270188e+03 1.100807786050637338e+00 1.464339281548016286e-03
3.805060705528353537e+03 1.096615099089891743e+00 1.289255512796707442e-03
3.808865766233883278e+03 1.093023292193756379e+00 1.295834308456563942e-03
3.812674632000118436e+03 1.090318080526348821e+00 1.190266831406529280e-03
3.816487306632119726e+03 1.088036462261200876e+00 1.049878307368718334e-03
3.820303793938753188e+03 1.085643615595566658e+00 1.100789161455189300e-03
3.824124097732693372e+03 1.083267785877253253e+00 1.108817055929298741e-03
3.827948221830427428e+03 1.081167666689202944e+00 1.201709295093127908e-03
3.831776170052258749e+03 1.078701292361924802e+00 1.167372561465321572e-03
3.835607946222312421e+03 1.075662005433206891e+00 1.170086779579168450e-03
3.839443554168536139e+03 1.072284615716173839e+00 1.139683930940005481e-03
3.843282997722705659e+03 1.068724289941334060e+00 1.106035967498008145e-03
3.847126280720429804e+03 1.064848619989443579e+00 1.169082914806137633e-03
3.850973407001151372e+03 1.060878581617786587e+00 1.287059765192826105e-03
3.854824380408153957e+03 1.057516822528084433e+00 1.331603327258117520e-03
3.858679204788563311e+03 1.053937352052429999e+00 1.430771825669829985e-03
3.862537883993353262e+03 1.050800229473963343e+00 1.440845131103641675e-03
3.866400421877347981e+03 1.047910354059735871e+00 1.421502216614677202e-03
3.870266822299226533e+03 1.045706096029625609e+00 1.516578233746062633e-03
3.874137089121526969e+03 1.043189664753753743e+00 1.612371415678306476e-03
3.878011226210649966e+03 1.040880634414490080e+00 1.630676781919181920e-03
3.881889237436861549e+03 1.038768173973988906e+00 1.579805661663407322e-03
