# starting wavelength: 3402.280
# ending wavelength: 7236.250
# wav flux eflux
3.405485140683430018e+03 -1.588614286792007502e-01 8.825963684674133225e-02
3.408890625824114522e+03 -1.176140148593196044e-01 7.598788948745006933e-02
3.412299516449939802e+03 -7.133046899545979203e-02 5.832175782134393222e-02
3.415711815966390986e+03 -3.274717991955072155e-02 4.653000667644927729e-02
3.419127527782358356e+03 8.723522641404538036e-03 3.715875871455023155e-02
3.422546655310141887e+03 4.486241449893411948e-02 3.028990477462093628e-02
3.425969201965453522e+03 7.550987125688297941e-02 2.475144350815569605e-02
3.429395171167419903e+03 1.027446874790005071e-01 2.103565390124449708e-02
3.432824566338588284e+03 1.278173629358612118e-01 1.842626980506087073e-02
3.436257390904928343e+03 1.526668535397796012e-01 1.718979037608748400e-02
3.439693648295834464e+03 1.691723763551040427e-01 1.563050000747343710e-02
3.443133341944131189e+03 1.832184375937546406e-01 1.437833204593033654e-02
3.446576475286076402e+03 1.912118115856096812e-01 1.348817092045144321e-02
3.450023051761363604e+03 1.942578112121560452e-01 1.292485989055181840e-02
3.453473074813126004e+03 1.987354427758904196e-01 1.247039501579286745e-02
3.456926547887940615e+03 1.983137761088052398e-01 1.201531724661705249e-02
3.460383474435829612e+03 1.895656628209734795e-01 1.270799526363628612e-02
3.463843857910266706e+03 1.818883648727255831e-01 1.276687734990441733e-02
3.467307701768178049e+03 1.748951480031986083e-01 1.310383953361689106e-02
3.470775009469947236e+03 1.634499063536706265e-01 1.341528018244560368e-02
3.474245784479418489e+03 1.529905790215792538e-01 1.342455426130145964e-02
3.477720030263898934e+03 1.376384935645167951e-01 1.356052613171860981e-02
3.481197750294164052e+03 1.230375202780887023e-01 1.329418056059219512e-02
3.484678948044459503e+03 1.137007840967619310e-01 1.336828403925301341e-02
3.488163626992504760e+03 1.081016113545739121e-01 1.529362120784991987e-02
3.491651790619498570e+03 9.683660325707915684e-02 1.539766234249720020e-02
3.495143442410119405e+03 8.942303897746808894e-02 1.561893485798974447e-02
3.498638585852530468e+03 8.093448500807463863e-02 1.534939176980762779e-02
3.502137224438384237e+03 7.261350258793132506e-02 1.475499976590371499e-02
3.505639361662823831e+03 6.965490427961362752e-02 1.464079737721782869e-02
3.509145001024487556e+03 5.875946897381677247e-02 1.634477641291915209e-02
3.512654146025513455e+03 5.731750335812896280e-02 1.651494456220534840e-02
3.516166800171540217e+03 4.894533645100107577e-02 1.879847062658125331e-02
3.519682966971712631e+03 4.027765476996562899e-02 1.791274821453473637e-02
3.523202649938685681e+03 5.093334344844170636e-02 1.794384848837972044e-02
3.526725852588625457e+03 6.874154219815439837e-02 1.833184404910828333e-02
3.530252578441215064e+03 8.819747536991161263e-02 1.855988824124579772e-02
3.533782831019657806e+03 1.091720155710896034e-01 1.883361770964639068e-02
3.537316613850678550e+03 1.346517044099936333e-01 1.952773141899005402e-02
3.540853930464530094e+03 1.583004921028208223e-01 1.990877016068150207e-02
3.544394784394995895e+03 1.796331184191899411e-01 2.060821451207205113e-02
3.547939179179392340e+03 2.091361232402373926e-01 2.119926664743245620e-02
3.551487118358572843e+03 2.396120884071276103e-01 2.149620625992608100e-02
3.555038605476932389e+03 2.661834416589209384e-01 2.043001661714117026e-02
3.558593644082410719e+03 2.893845679300854346e-01 1.969910406900319058e-02
3.562152237726494150e+03 3.066249638929510746e-01 1.901629667892408906e-02
3.565714389964221937e+03 3.139210736511775512e-01 1.907036521508422705e-02
3.569280104354187188e+03 3.214709503116712774e-01 1.797835571136143298e-02
3.572849384458542772e+03 3.149642971015871873e-01 1.940468132420280697e-02
3.576422233843002232e+03 3.010252077983278651e-01 1.911578400054158092e-02
3.579998656076846601e+03 2.870062333057566417e-01 1.872206880348122049e-02
3.583578654732924406e+03 2.652887853022786735e-01 1.774685125648837666e-02
3.587162233387658489e+03 2.398149418642232522e-01 1.586962849135608450e-02
3.590749395621047370e+03 2.135725318692752450e-01 1.343707165894309115e-02
3.594340145016669794e+03 1.964616634583967181e-01 1.445040666046039542e-02
3.597934485161687462e+03 1.776434081404393295e-01 1.411129798672550867e-02
3.601532419646850485e+03 1.544511162274466998e-01 1.727807483870855143e-02
3.605133952066498296e+03 1.426196760455784585e-01 1.893031117553203510e-02
3.608739086018566013e+03 1.376160062961759856e-01 2.007196698356578102e-02
3.612347825104585809e+03 1.398090052500425839e-01 2.019017243998092598e-02
3.615960172929691907e+03 1.544838477887764960e-01 1.964664324632900416e-02
3.619576133102622407e+03 1.794325160486394399e-01 1.956186560120602713e-02
3.623195709235726554e+03 2.023285036541252468e-01 1.782810046008230509e-02
3.626818904944963379e+03 2.426408956237985359e-01 1.848526529549866446e-02
3.630445723849909427e+03 2.956533389049812444e-01 2.087937606953363737e-02
3.634076169573760581e+03 3.525163325584614316e-01 2.319374382271865986e-02
3.637710245743335690e+03 4.113589358959466868e-01 2.417883945505108767e-02
3.641347955989080219e+03 4.666476970413537817e-01 2.382877567703993449e-02
3.644989303945070333e+03 5.152474576159897790e-01 2.271603822455111471e-02
3.648634293249016537e+03 5.602533384715009390e-01 2.060835094145299640e-02
3.652282927542266862e+03 5.978093769271731750e-01 1.836020115088374954e-02
3.655935210469810499e+03 6.168316194433886013e-01 1.867721298230181487e-02
3.659591145680281443e+03 6.287066141662955854e-01 1.940475708235961730e-02
3.663250736825963031e+03 6.266198829043543306e-01 1.953802693516473732e-02
3.666913987562790226e+03 6.007500873417922493e-01 1.963858293940979813e-02
3.670580901550354156e+03 5.590035176062528866e-01 1.489115250838884269e-02
3.674251482451905758e+03 5.169715617425476584e-01 1.279808634321516828e-02
3.677925733934358959e+03 4.775678906195089390e-01 1.165651574986490725e-02
3.681603659668294313e+03 4.431771514732991135e-01 1.123146597029414315e-02
3.685285263327964003e+03 4.221429650670222578e-01 1.056264039191838131e-02
3.688970548591293209e+03 4.006553533077001350e-01 9.293430705453038093e-03
3.692659519139885560e+03 3.772468409962242974e-01 9.119594962486795089e-03
3.696352178659026777e+03 3.598061510444973687e-01 9.188268902039983810e-03
3.700048530837686940e+03 3.444125180476743098e-01 9.649606599053383096e-03
3.703748579368525952e+03 3.353981428768716966e-01 1.111624059857771983e-02
3.707452327947895355e+03 3.288436750582870993e-01 1.375689168517345122e-02
3.711159780275844696e+03 3.235475249007383480e-01 1.359594511473430356e-02
3.714870940056121526e+03 3.080165668894147557e-01 1.310184068098106495e-02
3.718585810996179134e+03 2.903517614435356942e-01 1.110405886643932825e-02
3.722304396807176545e+03 2.625372624077129124e-01 1.176785366228065045e-02
