# starting wavelength: 3464.040
# ending wavelength: 7164.280
# wav flux eflux
3.467307701768178049e+03 3.343388719123663866e-01 5.928925982971477299e-02
3.470775009469947236e+03 3.267546332280013566e-01 4.434359943965088952e-02
3.474245784479418489e+03 3.099097312767910561e-01 3.978931852899530303e-02
3.477720030263898934e+03 2.970234724152294170e-01 3.102998261647517408e-02
3.481197750294164052e+03 2.853341672970353127e-01 2.691517341833891616e-02
3.484678948044459503e+03 2.800496633706610061e-01 2.303577905257771230e-02
3.488163626992504760e+03 2.809600384171940801e-01 2.042586807996012860e-02
3.491651790619498570e+03 2.879711988515980536e-01 1.840176946347549247e-02
3.495143442410119405e+03 2.975453563441902149e-01 1.538464435289415774e-02
3.498638585852530468e+03 3.107953081036403109e-01 1.387903131172114890e-02
3.502137224438384237e+03 3.243071981371498658e-01 1.253319928269905174e-02
3.505639361662823831e+03 3.353569495855685534e-01 1.137307486015699289e-02
3.509145001024487556e+03 3.439286386396231410e-01 1.053488891477582373e-02
3.512654146025513455e+03 3.499883897303610047e-01 9.931184061807648428e-03
3.516166800171540217e+03 3.530916808048370492e-01 9.560733004087395431e-03
3.519682966971712631e+03 3.514607124001263294e-01 9.945242186051113722e-03
3.523202649938685681e+03 3.488671888777901686e-01 1.013723525860225558e-02
3.526725852588625457e+03 3.447984343234777316e-01 1.048262638716025361e-02
3.530252578441215064e+03 3.446910411078784597e-01 1.071483106132578925e-02
3.533782831019657806e+03 3.395975957035157755e-01 1.119306096231737283e-02
3.537316613850678550e+03 3.342390287722027953e-01 1.118126023926798752e-02
3.540853930464530094e+03 3.257298601040223285e-01 1.073448689282683124e-02
3.544394784394995895e+03 3.180312225195416342e-01 1.035229440374495907e-02
3.547939179179392340e+03 3.084230616689401239e-01 1.024216421828246307e-02
3.551487118358572843e+03 3.000166021183388043e-01 9.795838357717445363e-03
3.555038605476932389e+03 2.918107830315989637e-01 9.651275834379937496e-03
3.558593644082410719e+03 2.820675208198445971e-01 9.391946536359897443e-03
3.562152237726494150e+03 2.734722919279271025e-01 9.201151063309046668e-03
3.565714389964221937e+03 2.698213053732564926e-01 9.366409222495486464e-03
3.569280104354187188e+03 2.729415848863716021e-01 9.652534109925477515e-03
3.572849384458542772e+03 2.819890118624721609e-01 9.475370055096420802e-03
3.576422233843002232e+03 2.953197522134436981e-01 9.198316250607123379e-03
3.579998656076846601e+03 3.123519271148381682e-01 9.072549503277030358e-03
3.583578654732924406e+03 3.286079066986422603e-01 9.108367546353517141e-03
3.587162233387658489e+03 3.519682161680395827e-01 9.342085798281669906e-03
3.590749395621047370e+03 3.793845285726505923e-01 1.016790833942145776e-02
3.594340145016669794e+03 4.073048678850894055e-01 1.100228550845135447e-02
3.597934485161687462e+03 4.366041494924019495e-01 1.181178076396316792e-02
3.601532419646850485e+03 4.639157620904620360e-01 1.279259587288495564e-02
3.605133952066498296e+03 4.917751346821953029e-01 1.348708222078709093e-02
3.608739086018566013e+03 5.130205619258070282e-01 1.373153305348213775e-02
3.612347825104585809e+03 5.362893725793794752e-01 1.345567731462939641e-02
3.615960172929691907e+03 5.551433465356448993e-01 1.240627703617919186e-02
3.619576133102622407e+03 5.726830771105275719e-01 1.031453945401912022e-02
3.623195709235726554e+03 5.799420875525671537e-01 9.377187255434109997e-03
