# starting wavelength: 3429.590
# ending wavelength: 7301.640
# wav flux eflux
3.432824566338588284e+03 8.211989321486098392e-01 6.450261758094439322e-03
3.436257390904928343e+03 8.307487605966359379e-01 5.487465055755117067e-03
3.439693648295834464e+03 8.373319995094605783e-01 5.382069184226219959e-03
3.443133341944131189e+03 8.438445223931939632e-01 4.182545217100602439e-03
3.446576475286076402e+03 8.498648326194304659e-01 3.278426216427140182e-03
3.450023051761363604e+03 8.550692283700723761e-01 2.759942487256060190e-03
3.453473074813126004e+03 8.603188982530307616e-01 2.245305741877550235e-03
3.456926547887940615e+03 8.651591954035626753e-01 1.836280437872188842e-03
3.460383474435829612e+03 8.696570154108446138e-01 1.562941899343519995e-03
3.463843857910266706e+03 8.737213527870490992e-01 1.369617342457337718e-03
3.467307701768178049e+03 8.775264025264291057e-01 1.214743563531246523e-03
3.470775009469947236e+03 8.810573469944389391e-01 1.101051637618594668e-03
3.474245784479418489e+03 8.843859378716250053e-01 1.017206548045319079e-03
3.477720030263898934e+03 8.874148003784620986e-01 9.810902706606425532e-04
3.481197750294164052e+03 8.900649009648715637e-01 1.058566140453438961e-03
3.484678948044459503e+03 8.928642831399784541e-01 1.105983084332801862e-03
3.488163626992504760e+03 8.961007305959746150e-01 1.095943259102971764e-03
3.491651790619498570e+03 9.000533442929664618e-01 1.074751007490649252e-03
3.495143442410119405e+03 9.041813519767509799e-01 1.062134461903978125e-03
3.498638585852530468e+03 9.085273887202480747e-01 1.086003409169609751e-03
3.502137224438384237e+03 9.132377192927360054e-01 1.083817874691543094e-03
3.505639361662823831e+03 9.181970614937495778e-01 1.125742874104150495e-03
3.509145001024487556e+03 9.235113645188360865e-01 1.317275196562204577e-03
3.512654146025513455e+03 9.288477889117418007e-01 1.457560969924404136e-03
3.516166800171540217e+03 9.341011484260695052e-01 1.503245410839624749e-03
3.519682966971712631e+03 9.393399491162970349e-01 1.523809116450151272e-03
3.523202649938685681e+03 9.445268764658082405e-01 1.456562390534541993e-03
3.526725852588625457e+03 9.494520972151152538e-01 1.357569738627506474e-03
3.530252578441215064e+03 9.539504152242552770e-01 1.358284271267338854e-03
3.533782831019657806e+03 9.584296003961606525e-01 1.336897707998421043e-03
3.537316613850678550e+03 9.630046849026726585e-01 1.332143120583441712e-03
3.540853930464530094e+03 9.666290532160426441e-01 1.414073198996048872e-03
