# starting wavelength: 3159.700
# ending wavelength: 8265.110
# wav flux eflux
3.162694593533074112e+03 2.383701518075668768e-01 1.794789565202545767e-03
3.165857288126608182e+03 2.301642670457128559e-01 1.442443442849642874e-03
3.169023145414736064e+03 2.235116036263090078e-01 1.687188965107899903e-03
3.172192168560151458e+03 2.174881989722023123e-01 1.286859551548202082e-03
3.175364360728712654e+03 2.121500150554123387e-01 1.025412288576425411e-03
3.178539725089442527e+03 2.074063976235684392e-01 8.795419831668080174e-04
3.181718264814533086e+03 2.030133785995080209e-01 7.087552322058821670e-04
3.184899983079348658e+03 1.991725187641057160e-01 6.733198670928731110e-04
3.188084883062429071e+03 1.956770798408727363e-01 5.591393965431867971e-04
3.191272967945492383e+03 1.927418527521078950e-01 5.022768109310642290e-04
3.194464240913438971e+03 1.904330322981545032e-01 4.630641112608594769e-04
3.197658705154353811e+03 1.887890416346855449e-01 4.845711908135515839e-04
3.200856363859509202e+03 1.875323526466175783e-01 4.366149607987046392e-04
3.204057220223369768e+03 1.867671189701032575e-01 4.042415771682305887e-04
3.207261277443593826e+03 1.864369989116556048e-01 3.825208498892432546e-04
3.210468538721038840e+03 1.865318857183995982e-01 3.768988267833576198e-04
3.213679007259760965e+03 1.870610677475179340e-01 4.140623516921540580e-04
3.216892686267021418e+03 1.878949019191902825e-01 4.779353788785421168e-04
3.220109578953289656e+03 1.889116816650379116e-01 5.505208017516770736e-04
3.223329688532243836e+03 1.900243364574412952e-01 5.862831327716803119e-04
3.226553018220777176e+03 1.911421765664880756e-01 5.901885879802647996e-04
3.229779571238999324e+03 1.922500865943146675e-01 5.672766164557848777e-04
3.233009350810239084e+03 1.931389423179893094e-01 5.302456330809709366e-04
3.236242360161050783e+03 1.939024110097424813e-01 5.169976481762524143e-04
3.239478602521212906e+03 1.946278022066143809e-01 5.087311449999047750e-04
3.242718081123734919e+03 1.951406744363217982e-01 5.660540893071070367e-04
3.245960799204859995e+03 1.954214371951172313e-01 6.784496748013865578e-04
3.249206760004065927e+03 1.956918881200928606e-01 7.600008470886313776e-04
3.252455966764071036e+03 1.963000332126288439e-01 7.784441227467453744e-04
3.255708422730835991e+03 1.965430932141275233e-01 8.121990513225012557e-04
3.258964131153567905e+03 1.968878425536148835e-01 7.805865565358736978e-04
3.262223095284722604e+03 1.973237333159030826e-01 7.274134703650918157e-04
3.265485318380008266e+03 1.978887710304307324e-01 6.458085929676432970e-04
3.268750803698389518e+03 1.987216029205588486e-01 5.789977966209714855e-04
3.272019554502088795e+03 1.997922885991421371e-01 5.214842707605719593e-04
3.275291574056592253e+03 2.010428864040122998e-01 4.731949241401377563e-04
3.278566865630649772e+03 2.028266431595443786e-01 4.727555914381806530e-04
3.281845432496281319e+03 2.049586134130609305e-01 4.796025992845245997e-04
3.285127277928778767e+03 2.074008736523232088e-01 4.860902176452098545e-04
3.288412405206708627e+03 2.102801842708678370e-01 4.672134426901584708e-04
3.291700817611916591e+03 2.134363725854630800e-01 4.625377312993024254e-04
3.294992518429529355e+03 2.167933528454147885e-01 4.521385419408009243e-04
3.298287510947960072e+03 2.203348860980419155e-01 4.291165039803448728e-04
3.301585798458909267e+03 2.239985192682100446e-01 4.377582120871608817e-04
3.304887384257369376e+03 2.277746478718072620e-01 4.066474093385070987e-04
3.308192271641627485e+03 2.317489721493020960e-01 3.901492833759324821e-04
3.311500463913270323e+03 2.356587731673081831e-01 4.128201472616779984e-04
3.314811964377184722e+03 2.393236643818720810e-01 4.028417333093156963e-04
3.318126776341563072e+03 2.426910488631181528e-01 4.267131825562728385e-04
3.321444903117905596e+03 2.458878001399895097e-01 4.602047537472507316e-04
3.324766348021024896e+03 2.489695160458692547e-01 4.853332408853351264e-04
3.328091114369046863e+03 2.517998205671082568e-01 4.720268694980582535e-04
3.331419205483417045e+03 2.541557336916101528e-01 4.489711207136224693e-04
3.334750624688901553e+03 2.561357459592087937e-01 4.863750943133011919e-04
3.338085375313591612e+03 2.579568524248458949e-01 5.053162142768060543e-04
3.341423460688906289e+03 2.594577168653783295e-01 5.725748249112809496e-04
3.344764884149596128e+03 2.606284454615301338e-01 6.463812104146831987e-04
3.348109649033746791e+03 2.617228914724640254e-01 6.949925249685803960e-04
3.351457758682781787e+03 2.627416205017679696e-01 7.390158076022007019e-04
3.354809216441465651e+03 2.638805777585278567e-01 6.841469731386031795e-04
3.358164025657908041e+03 2.648076640525089398e-01 5.949606679791036258e-04
3.361522189683567376e+03 2.660521511092348024e-01 4.949361863937775481e-04
3.364883711873251741e+03 2.676926818575094957e-01 4.127906416432307996e-04
3.368248595585126168e+03 2.697563535136640045e-01 4.058820764220992679e-04
3.371616844180712633e+03 2.721334190599639102e-01 4.153598150871904695e-04
3.374988461024894150e+03 2.748799800693816353e-01 4.371968313466229375e-04
3.378363449485920228e+03 2.780123647566956069e-01 4.427131750289390027e-04
