# starting wavelength: 4171.820
# ending wavelength: 8133.980
# wav flux eflux
4.175714478808017702e+03 2.087826572532616443e-01 2.900586105788764604e-03
4.179890193286827525e+03 2.102918308008887571e-01 2.349607645596842129e-03
4.184070083480115500e+03 2.109883676927727936e-01 1.783183006277275825e-03
4.188254153563597356e+03 2.112318687296021180e-01 1.467492947834776523e-03
4.192442407717161586e+03 2.112587583780482225e-01 1.379992256998735685e-03
4.196634850124880359e+03 2.116698296892081943e-01 1.121127900680557021e-03
4.200831484975006788e+03 2.123093200354541354e-01 9.305270784151443899e-04
4.205032316459983122e+03 2.132604751924394026e-01 7.459349697566358510e-04
4.209237348776444378e+03 2.143655811680268974e-01 6.300179655323833979e-04
4.213446586125221984e+03 2.157767391141940105e-01 7.120479889500241346e-04
4.217660032711349231e+03 2.175708133106192821e-01 8.167406303305512535e-04
4.221877692744061278e+03 2.194169885205952131e-01 7.666590433731484359e-04
4.226099570436806971e+03 2.209971021814567949e-01 6.959090025820056620e-04
4.230325670007245208e+03 2.222170406504039020e-01 6.802853589389279334e-04
4.234555995677254032e+03 2.232181493257616722e-01 6.769049270100834783e-04
4.238790551672932452e+03 2.241481362037105740e-01 6.547468743055924380e-04
4.243029342224606808e+03 2.250709453734093812e-01 6.446179161186196566e-04
4.247272371566832589e+03 2.257153029512272147e-01 6.318304185035103840e-04
4.251519643938400804e+03 2.262586504874219140e-01 6.297608266458696365e-04
4.255771163582340705e+03 2.267083852833199076e-01 6.259960733522157688e-04
4.260026934745924336e+03 2.269947395023528547e-01 6.262577314549138546e-04
4.264286961680671993e+03 2.269543711267729136e-01 6.566660329883082427e-04
4.268551248642354039e+03 2.266936821943799918e-01 6.373986516993172986e-04
4.272819799890998183e+03 2.263820427667444513e-01 5.990831198232544376e-04
4.277092619690890388e+03 2.260402363122595293e-01 5.765391994612111557e-04
4.281369712310583054e+03 2.256269867938834606e-01 5.770657732057457188e-04
4.285651082022895025e+03 2.250251609056592994e-01 5.901761040618860431e-04
4.289936733104918858e+03 2.244671692509489225e-01 5.995168385545120941e-04
4.294226669838025373e+03 2.239144024278781619e-01 6.088638858821882049e-04
4.298520896507864563e+03 2.232854066540555238e-01 6.084310715551110010e-04
4.302819417404373780e+03 2.226388483356082082e-01 6.621874830602603656e-04
4.307122236821779552e+03 2.219786753304578975e-01 7.143754570447575667e-04
4.311429359058603040e+03 2.213195511971591256e-01 7.989081247382772994e-04
4.315740788417662770e+03 2.208401669889482055e-01 8.587813432454886485e-04
4.320056529206081905e+03 2.207980844928325859e-01 8.586290863518732108e-04
4.324376585735290064e+03 2.209164751280468519e-01 8.876143318332326611e-04
4.328700962321026054e+03 2.211883473213351048e-01 8.905919281914503882e-04
4.333029663283348782e+03 2.215684750352557852e-01 9.145573137012322868e-04
4.337362692946633615e+03 2.220610246718244807e-01 9.615532980895874927e-04
4.341700055639581478e+03 2.223870596960370594e-01 1.021010661098745338e-03
4.346041755695222491e+03 2.229250271927612492e-01 1.080367559467320607e-03
4.350387797450919606e+03 2.235685200301048281e-01 1.128824134345127964e-03
4.354738185248371337e+03 2.244842118735582148e-01 1.043232875082359713e-03
4.359092923433621763e+03 2.253530999106056754e-01 8.791993718687105171e-04
4.363452016357056891e+03 2.257636067757292364e-01 8.042770158230427976e-04
4.367815468373414660e+03 2.257758682524488580e-01 7.655543709161354753e-04
4.372183283841789489e+03 2.253590275965817458e-01 7.757714605946611219e-04
4.376555467125633186e+03 2.247646268152134197e-01 7.812315088803430986e-04
4.380932022592760404e+03 2.240323686265774661e-01 8.170324138716486290e-04
4.385312954615354101e+03 2.228638699218465358e-01 8.332206801273139190e-04
4.389698267569970994e+03 2.215001472031255803e-01 8.663100098363799928e-04
4.394087965837542470e+03 2.200355648291730803e-01 8.452917391083166181e-04
4.398482053803381859e+03 2.186510605831862297e-01 6.933099478450229815e-04
4.402880535857186260e+03 2.177801933053133410e-01 5.395439898680406922e-04
4.407283416393044718e+03 2.177627461068639969e-01 4.758794675826961561e-04
4.411690699809440048e+03 2.185828328463507442e-01 4.615436943596698278e-04
4.416102390509250654e+03 2.204117749887057331e-01 4.624618333734608461e-04
4.420518492899761441e+03 2.234698331119369108e-01 4.702492441799643375e-04
4.424939011392662906e+03 2.273243983327362938e-01 5.235539444576475668e-04
4.429363950404056595e+03 2.322485393487799255e-01 5.365735843493729673e-04
4.433793314354462382e+03 2.384142954841351192e-01 4.986578318344894257e-04
4.438227107668818462e+03 2.457547816241208716e-01 4.327610735713541268e-04
4.442665334776488635e+03 2.543849377323798566e-01 5.239177617391362236e-04
4.447108000111265937e+03 2.640640407958171343e-01 5.269837228186215455e-04
4.451555108111379013e+03 2.750837023836807393e-01 6.393742189924740650e-04
4.456006663219492111e+03 2.872484430834378877e-01 6.949940820105890687e-04
4.460462669882713271e+03 2.995227639033439804e-01 6.863994129570012486e-04
4.464923132552597053e+03 3.121690114419362616e-01 6.060918921129807187e-04
4.469388055685150903e+03 3.249928666315136661e-01 5.257640044487048216e-04
4.473857443740837880e+03 3.379087014620244522e-01 4.573549061513212271e-04
4.478331301184580298e+03 3.507272681696962935e-01 4.524392181007577869e-04
4.482809632485766087e+03 3.632106608397782099e-01 5.132711969963583932e-04
4.487292442118253348e+03 3.757457539927224754e-01 5.035794613034341293e-04
4.491779734560373072e+03 3.880820989861531456e-01 5.825905392053789319e-04
4.496271514294934605e+03 4.002902325266635142e-01 5.965483818150796834e-04
4.500767785809231100e+03 4.128357827516602740e-01 4.809100932022644572e-04
4.505268553595042249e+03 4.256638116077017808e-01 3.990244882954994054e-04
4.509773822148638828e+03 4.388656492843438506e-01 4.158813314862629703e-04
4.514283595970789065e+03 4.524002678558267099e-01 4.430125108190720523e-04
4.518797879566761367e+03 4.661347884782165996e-01 4.203573145961688861e-04
4.523316677446328868e+03 4.801285264237444839e-01 4.031985839125116697e-04
4.527839994123776705e+03 4.944129940039826421e-01 4.096340825068151567e-04
4.532367834117902021e+03 5.084377266075197355e-01 4.786975474688562608e-04
4.536900201952022144e+03 5.223695086523284514e-01 4.621721219555862607e-04
4.541437102153975502e+03 5.366532328717333877e-01 4.970599815415017216e-04
4.545978539256130716e+03 5.508408944607982027e-01 6.467807593707652816e-04
4.550524517795388419e+03 5.646590847462461538e-01 7.641566497639660409e-04
4.555075042313184895e+03 5.777629835237054756e-01 7.559804933554745924e-04
4.559630117355500261e+03 5.896328351216607588e-01 7.372108512515904545e-04
4.564189747472856652e+03 6.004067332941501745e-01 7.557802223609428683e-04
4.568753937220330954e+03 6.098718982741730965e-01 7.354207773976232472e-04
4.573322691157552981e+03 6.180679805367693680e-01 6.904830478103109225e-04
4.577896013848711846e+03 6.246872005790691240e-01 6.717325332957255852e-04
4.582473909862562323e+03 6.294686124078511247e-01 6.722491377183603505e-04
4.587056383772426670e+03 6.323670255165191323e-01 6.166921940547224427e-04
4.591643440156200086e+03 6.336119452063005975e-01 6.104261160437771941e-04
4.596235083596357981e+03 6.339704280125431080e-01 5.706675135326634042e-04
4.600831318679955984e+03 6.335827567014181705e-01 5.764334368079621984e-04
4.605432149998637215e+03 6.324321743676176721e-01 5.657426792843984163e-04
4.610037582148637739e+03 6.304624468388957403e-01 6.273433917820356743e-04
4.614647619730787483e+03 6.278052719501804324e-01 7.000664347863237540e-04
4.619262267350520233e+03 6.248006980249622977e-01 6.877562691009812780e-04
4.623881529617872729e+03 6.214269957948753698e-01 5.931040898856040650e-04
4.628505411147491941e+03 6.179517882242907545e-01 6.051755910474158765e-04
4.633133916558640522e+03 6.144515260204490570e-01 7.695940708468344393e-04
4.637767050475200449e+03 6.106185711931949589e-01 8.268989736449329714e-04
4.642404817525677572e+03 6.059880894713169930e-01 7.002017508559374437e-04
4.647047222343205249e+03 6.003662150776748474e-01 5.757792031052973419e-04
4.651694269565549803e+03 5.934348142877124976e-01 5.530777410346356896e-04
4.656345963835116891e+03 5.852767478715835692e-01 5.636819095374885234e-04
4.661002309798953320e+03 5.761380119724508475e-01 6.037868109834825534e-04
