# starting wavelength: 3703.980
# ending wavelength: 7622.310
# wav flux eflux
3.707452327947895355e+03 4.081584988175301354e-01 2.925657746810104553e-03
3.711159780275844696e+03 4.093295615620929917e-01 2.175567847433289553e-03
3.714870940056121526e+03 4.089132334230773935e-01 1.975062366069142965e-03
3.718585810996179134e+03 4.077206101952431938e-01 1.719555592388802507e-03
3.722304396807176545e+03 4.061218056584198211e-01 1.780768016564165468e-03
3.726026701203984885e+03 4.051720571541525540e-01 1.450057942423625505e-03
3.729752727905190113e+03 4.047688200593099195e-01 1.177343889355534929e-03
3.733482480633096657e+03 4.050145011244191129e-01 9.592942034992140831e-04
3.737215963113731050e+03 4.059235153623019232e-01 7.846690473277687572e-04
3.740953179076846027e+03 4.075688683595485862e-01 6.685532256083386591e-04
3.744694132255923705e+03 4.102058737281097378e-01 6.257066055566952445e-04
3.748438826388181042e+03 4.138476966057124118e-01 5.730212775771748425e-04
3.752187265214570289e+03 4.185365736502169032e-01 5.269916194670710465e-04
3.755939452479786269e+03 4.241634362964929461e-01 4.935075354526071833e-04
3.759695391932267285e+03 4.309845430191563409e-01 4.669492125398370529e-04
3.763455087324201031e+03 4.388552072293778750e-01 5.143783124374558041e-04
3.767218542411526414e+03 4.480582659912806243e-01 5.858566162658292165e-04
3.770985760953939007e+03 4.586169646934785682e-01 7.414823130308015970e-04
3.774756746714894234e+03 4.714291573722082518e-01 7.607342251564013337e-04
3.778531503461610555e+03 4.855130424949386514e-01 8.734073887742785933e-04
3.782310034965073100e+03 5.013542066770189098e-01 9.916488149467831553e-04
3.786092345000039586e+03 5.191695987743103480e-01 1.028363380176487533e-03
3.789878437345040766e+03 5.391506417492089032e-01 9.814529061010013669e-04
3.793668315782387253e+03 5.610425887814813883e-01 8.882178521290012146e-04
3.797461984098170888e+03 5.851592291336734641e-01 8.254567562771545275e-04
3.801259446082270188e+03 6.114568916476939009e-01 7.696710241311686181e-04
3.805060705528353537e+03 6.398007683035679127e-01 7.390561113277183992e-04
3.808865766233883278e+03 6.704232878468291412e-01 8.662454029879854004e-04
3.812674632000118436e+03 7.026846049474033684e-01 8.899511625708078806e-04
3.816487306632119726e+03 7.365417313513855646e-01 9.145694564006594035e-04
3.820303793938753188e+03 7.722005338464211777e-01 9.037304057492730972e-04
3.824124097732693372e+03 8.093230347990171270e-01 8.748504551538274299e-04
3.827948221830427428e+03 8.477367433623234083e-01 8.091959236346920247e-04
3.831776170052258749e+03 8.874133090206175467e-01 7.381466922086111397e-04
3.835607946222312421e+03 9.277811498992450945e-01 8.129987169645403605e-04
3.839443554168536139e+03 9.687502503578379054e-01 1.075880067016340372e-03
3.843282997722705659e+03 1.009700398858954795e+00 1.283069109894380234e-03
3.847126280720429804e+03 1.050387514104182518e+00 1.480066257742616897e-03
3.850973407001151372e+03 1.090094152650179504e+00 1.533420759299639839e-03
3.854824380408153957e+03 1.128152747754250562e+00 1.468644639665172029e-03
3.858679204788563311e+03 1.164661827989028398e+00 1.423982324397739425e-03
3.862537883993353262e+03 1.199491239642034746e+00 1.396456174521362986e-03
3.866400421877347981e+03 1.232427030020960768e+00 1.384494360745315567e-03
3.870266822299226533e+03 1.263711768764730348e+00 1.369540785466673728e-03
3.874137089121526969e+03 1.292439201122936643e+00 1.353078490686591149e-03
3.878011226210649966e+03 1.318763374064686023e+00 1.362830185980055996e-03
3.881889237436861549e+03 1.342658538728173978e+00 1.382884780126809312e-03
3.885771126674299921e+03 1.364063421071232129e+00 1.422643234000497492e-03
3.889656897800975457e+03 1.382746841435735341e+00 1.469875768879379263e-03
3.893546554698777527e+03 1.399300822223427998e+00 1.492120396199216655e-03
3.897440101253477678e+03 1.412920112841733467e+00 1.452336231629747969e-03
3.901337541354732366e+03 1.424398937626358164e+00 1.396306875776237057e-03
3.905238878896088409e+03 1.433852817346852770e+00 1.224746181823231682e-03
3.909144117774985716e+03 1.441392540108069387e+00 1.089865153054578968e-03
3.913053261892762293e+03 1.447899566383699543e+00 1.064486587296382437e-03
3.916966315154656058e+03 1.453132697337691015e+00 1.071482283643924874e-03
3.920883281469812118e+03 1.457252402509796818e+00 1.064104090455136181e-03
3.924804164751283224e+03 1.459947296583928633e+00 1.007575757877505248e-03
3.928728968916035683e+03 1.461326424961269854e+00 9.715140042111651986e-04
3.932657697884953450e+03 1.461155631577462977e+00 1.021650926063384646e-03
3.936590355582839493e+03 1.459984274255677894e+00 1.050411736187705425e-03
3.940526945938423523e+03 1.457441213490085818e+00 9.941604051553318191e-04
3.944467472884363360e+03 1.453783692460665522e+00 9.416464998777923472e-04
3.948411940357249023e+03 1.449353400585318141e+00 1.141652481261003866e-03
3.952360352297607733e+03 1.444482416607866693e+00 1.335162721002248771e-03
3.956312712649906643e+03 1.438138086409388450e+00 1.294644826992343706e-03
3.960269025362557841e+03 1.430123899181178881e+00 1.040506934232572015e-03
3.964229294387921527e+03 1.419882094044879084e+00 1.236515962042768896e-03
3.968193523682310570e+03 1.408137854240226083e+00 1.289881098966588931e-03
3.972161717205994591e+03 1.395516437326569381e+00 1.329365682809005838e-03
3.976133878923201792e+03 1.382094307442535364e+00 1.387400882035315017e-03
3.980110012802126221e+03 1.367344984695813892e+00 1.427090357495192736e-03
3.984090122814929600e+03 1.351632625093381668e+00 1.418188125588576778e-03
3.988074212937745870e+03 1.335513962102292007e+00 1.474168936012209240e-03
3.992062287150684824e+03 1.319096371884870278e+00 1.560555828792924192e-03
3.996054349437837118e+03 1.301721610419172226e+00 1.573111410111569354e-03
4.000050403787276082e+03 1.283721485518910299e+00 1.578918760598752285e-03
4.004050454191064546e+03 1.265485226545268960e+00 1.614027121224150809e-03
4.008054504645257111e+03 1.246916500097601910e+00 1.607469196528219088e-03
4.012062559149903791e+03 1.228091696907726460e+00 1.569451709858364066e-03
4.016074621709055009e+03 1.209193113420926613e+00 1.571098665830127300e-03
4.020090696330765240e+03 1.190414118512777231e+00 1.392610030080589350e-03
4.024110787027097558e+03 1.171004478343711686e+00 1.492576723963139453e-03
4.028134897814125907e+03 1.150847654615026805e+00 1.460981544806245558e-03
4.032163032711941469e+03 1.131045723503744771e+00 1.222248879318011414e-03
4.036195195744654484e+03 1.111924939424948189e+00 1.003231126523868467e-03
4.040231390940400615e+03 1.093947241354618960e+00 8.576232008343297013e-04
4.044271622331342314e+03 1.078079666253262348e+00 8.404285522866153640e-04
4.048315893953675186e+03 1.064657349777938355e+00 8.365527866594052149e-04
