# starting wavelength: 3711.390
# ending wavelength: 7614.700
# wav flux eflux
3.714870940056121526e+03 3.618677843068647260e-01 1.164668436184108924e-02
3.718585810996179134e+03 3.695910626257900566e-01 1.247092637282518936e-02
3.722304396807176545e+03 3.770478527437223781e-01 1.092550334654088934e-02
3.726026701203984885e+03 3.859790247187557255e-01 8.796563094225360452e-03
3.729752727905190113e+03 3.960499337328685643e-01 7.028330172251220399e-03
3.733482480633096657e+03 4.053222793746900643e-01 5.753587429406433265e-03
3.737215963113731050e+03 4.133619227948622243e-01 4.703316973059872182e-03
3.740953179076846027e+03 4.203719441555437419e-01 3.990805243533284731e-03
3.744694132255923705e+03 4.260824115045597771e-01 3.488595545971811315e-03
3.748438826388181042e+03 4.308898540896550222e-01 3.092916392246364537e-03
3.752187265214570289e+03 4.339159551394806691e-01 2.883884785618313646e-03
3.755939452479786269e+03 4.358812285656247232e-01 2.708744074304977878e-03
3.759695391932267285e+03 4.367058189253276157e-01 2.620699731273130363e-03
3.763455087324201031e+03 4.366862094018396645e-01 2.592667410229227212e-03
3.767218542411526414e+03 4.353616596824448903e-01 2.868763444523050182e-03
3.770985760953939007e+03 4.343257123651287355e-01 2.989180157702302307e-03
3.774756746714894234e+03 4.348540757048596217e-01 3.064724059756671407e-03
3.778531503461610555e+03 4.345205171992173598e-01 3.147197610208865657e-03
3.782310034965073100e+03 4.345060023250190140e-01 3.198362395544185246e-03
3.786092345000039586e+03 4.359231258711496748e-01 3.074653419093251964e-03
3.789878437345040766e+03 4.386111727820196093e-01 3.024235713697046891e-03
3.793668315782387253e+03 4.411799990920026171e-01 2.893950449993317083e-03
3.797461984098170888e+03 4.455313488940912947e-01 2.931566809341546506e-03
3.801259446082270188e+03 4.509955514953507549e-01 3.054493745798025905e-03
3.805060705528353537e+03 4.578500486702987704e-01 3.255237260501283973e-03
3.808865766233883278e+03 4.658289565378708752e-01 3.432966940778709244e-03
3.812674632000118436e+03 4.746523782509147749e-01 3.480166789264649545e-03
3.816487306632119726e+03 4.843580268195788463e-01 3.292009083686883199e-03
3.820303793938753188e+03 4.945153863396076765e-01 3.089944533457269094e-03
3.824124097732693372e+03 5.051086859479696489e-01 3.237154993281970029e-03
3.827948221830427428e+03 5.168273998994167284e-01 3.364205949797619780e-03
3.831776170052258749e+03 5.284510823036858707e-01 3.728712094661532431e-03
3.835607946222312421e+03 5.411556397493842985e-01 3.637015610394202150e-03
3.839443554168536139e+03 5.542627986562630449e-01 3.338896188796444675e-03
3.843282997722705659e+03 5.692671083728358949e-01 3.438041571858571534e-03
3.847126280720429804e+03 5.850951333562647294e-01 3.657445466500404765e-03
3.850973407001151372e+03 6.016349675346207571e-01 3.956691630433383476e-03
3.854824380408153957e+03 6.165852893521829303e-01 4.093536842545926306e-03
3.858679204788563311e+03 6.322231945939255082e-01 4.262332818261334311e-03
3.862537883993353262e+03 6.462403617761831587e-01 4.253122419656083994e-03
3.866400421877347981e+03 6.606142344612969675e-01 4.247572224997523023e-03
3.870266822299226533e+03 6.764192229773430265e-01 4.280393102390604200e-03
3.874137089121526969e+03 6.911029662575606247e-01 3.998983753651025493e-03
3.878011226210649966e+03 7.033538245842553271e-01 3.931845427839520540e-03
3.881889237436861549e+03 7.145255721187756537e-01 3.970712091603916666e-03
3.885771126674299921e+03 7.249816627100867938e-01 3.994120920542894825e-03
3.889656897800975457e+03 7.334872743077710533e-01 4.166885278841911747e-03
3.893546554698777527e+03 7.410828002825063932e-01 4.177959389010359702e-03
3.897440101253477678e+03 7.467550120581426532e-01 4.154584169645795903e-03
3.901337541354732366e+03 7.512933316185608223e-01 3.952229685391747509e-03
3.905238878896088409e+03 7.558058665035649604e-01 3.468972219404585500e-03
3.909144117774985716e+03 7.610678014058143148e-01 3.722211884049533240e-03
3.913053261892762293e+03 7.671036588401525247e-01 4.154807622016328146e-03
3.916966315154656058e+03 7.734982254008835323e-01 4.607049888732461969e-03
3.920883281469812118e+03 7.795950721588690291e-01 4.551889733380196784e-03
3.924804164751283224e+03 7.847508358345288704e-01 4.025974665778997777e-03
3.928728968916035683e+03 7.883904909585375265e-01 3.920429097260421519e-03
3.932657697884953450e+03 7.935038635853512989e-01 3.810628226824264598e-03
3.936590355582839493e+03 7.948731919454719019e-01 4.509634554804581828e-03
3.940526945938423523e+03 7.966529145274124923e-01 4.693533028967211175e-03
3.944467472884363360e+03 7.997100091973735614e-01 4.591064562422095610e-03
3.948411940357249023e+03 8.021280374550812109e-01 4.341925225934291192e-03
3.952360352297607733e+03 8.069006372071692024e-01 4.267818218047515419e-03
3.956312712649906643e+03 8.127268394453188716e-01 4.260366394075117830e-03
3.960269025362557841e+03 8.196167823010253040e-01 4.242735178184926098e-03
3.964229294387921527e+03 8.280936007620721684e-01 4.244015397242034693e-03
3.968193523682310570e+03 8.374949783348555332e-01 4.223222484643730963e-03
3.972161717205994591e+03 8.482971473073804836e-01 4.247231405082855030e-03
3.976133878923201792e+03 8.626927450230801320e-01 4.254536401601533013e-03
3.980110012802126221e+03 8.802011762095353076e-01 4.159787221505708600e-03
3.984090122814929600e+03 8.980256612220193224e-01 4.082749150615675414e-03
3.988074212937745870e+03 9.146241062795753551e-01 4.094292055947052790e-03
3.992062287150684824e+03 9.317994304871722866e-01 4.085448243715890555e-03
3.996054349437837118e+03 9.476292383998456970e-01 4.112907905105224991e-03
4.000050403787276082e+03 9.639095538093471749e-01 3.968796210784224406e-03
4.004050454191064546e+03 9.792282102498918173e-01 3.902075324810916519e-03
4.008054504645257111e+03 9.952490623617032961e-01 4.741417245684132267e-03
4.012062559149903791e+03 1.008449230936547591e+00 4.761505468563673182e-03
4.016074621709055009e+03 1.021681141171701723e+00 4.701710216956903401e-03
4.020090696330765240e+03 1.031632848010939352e+00 3.823505933483610335e-03
4.024110787027097558e+03 1.037570830535634148e+00 3.790498127753894487e-03
4.028134897814125907e+03 1.035677163808492951e+00 4.746571232722561484e-03
4.032163032711941469e+03 1.032300247505366864e+00 4.690806658261848297e-03
4.036195195744654484e+03 1.027805763627359426e+00 4.478317703076390398e-03
4.040231390940400615e+03 1.023837689959288921e+00 4.452292020321617708e-03
4.044271622331342314e+03 1.018204335536410987e+00 4.417890036613364955e-03
4.048315893953675186e+03 1.012085008720364998e+00 4.414750641795354112e-03
