# starting wavelength: 3361.710
# ending wavelength: 7107.220
# wav flux eflux
3.364883711873251741e+03 5.726804964678620102e-01 6.159193730895417412e-02
3.368248595585126168e+03 5.835403962357872398e-01 4.714815295615781138e-02
3.371616844180712633e+03 5.872788146108102181e-01 3.589541403030920008e-02
3.374988461024894150e+03 5.855476664132103215e-01 3.128797179046997889e-02
3.378363449485920228e+03 5.861229694719335415e-01 2.649230221937254673e-02
3.381741812935407324e+03 5.911472143491937059e-01 2.120131651555285518e-02
3.385123554748343849e+03 5.974911918404147704e-01 1.728478013742480029e-02
3.388508678303093347e+03 6.031752681238504721e-01 1.536990652600381084e-02
3.391897186981397681e+03 6.088125788938590910e-01 1.285227097601504727e-02
3.395289084168380214e+03 6.142846948803016849e-01 1.122966659862746977e-02
3.398684373252549449e+03 6.190377323375068075e-01 1.024672355749786830e-02
3.402083057625803121e+03 6.269355220026843201e-01 9.295662116173114206e-03
3.405485140683430018e+03 6.365538488776244508e-01 8.617192439414774613e-03
3.408890625824114522e+03 6.450170309322283968e-01 8.112311446890252756e-03
3.412299516449939802e+03 6.567115802451098938e-01 7.714166833950539433e-03
3.415711815966390986e+03 6.694920978013784163e-01 7.433749865139996880e-03
3.419127527782358356e+03 6.825525503424157980e-01 7.192310590863219832e-03
3.422546655310141887e+03 6.971556267110645688e-01 7.295807632320750087e-03
3.425969201965453522e+03 7.125411966401502539e-01 8.323380863806790000e-03
3.429395171167419903e+03 7.238166140811503890e-01 8.527170456102921639e-03
3.432824566338588284e+03 7.371824951664769365e-01 8.563351106733394988e-03
3.436257390904928343e+03 7.484860434488099790e-01 8.263058522946896065e-03
3.439693648295834464e+03 7.610993620313277752e-01 8.255463583984738382e-03
3.443133341944131189e+03 7.690773694099940494e-01 8.035664522773844701e-03
3.446576475286076402e+03 7.751735921955497099e-01 7.803384818972199967e-03
3.450023051761363604e+03 7.739792447810458498e-01 7.773471550329042433e-03
3.453473074813126004e+03 7.703140622997796116e-01 7.670037932978564406e-03
3.456926547887940615e+03 7.620788637568745028e-01 8.038162228788690855e-03
3.460383474435829612e+03 7.485740601675556771e-01 9.112172100786079115e-03
3.463843857910266706e+03 7.321105672959409283e-01 1.003228435854725160e-02
3.467307701768178049e+03 7.202457655281371274e-01 1.033727022285123830e-02
3.470775009469947236e+03 7.042351612372538261e-01 1.073060350692146662e-02
3.474245784479418489e+03 6.897416844622815679e-01 1.080440950122031792e-02
3.477720030263898934e+03 6.738865242401215205e-01 1.053571952547903250e-02
3.481197750294164052e+03 6.564785378359782042e-01 9.662409514053907356e-03
3.484678948044459503e+03 6.359619552766356820e-01 7.413234157862520247e-03
3.488163626992504760e+03 6.229846886925437532e-01 7.003887435264511373e-03
3.491651790619498570e+03 6.154002836621662587e-01 7.933487368064821160e-03
3.495143442410119405e+03 6.124786157451707069e-01 8.829767457808394143e-03
3.498638585852530468e+03 6.077316090018712869e-01 8.352424867465018873e-03
3.502137224438384237e+03 6.030861138014553813e-01 8.048379491768899510e-03
3.505639361662823831e+03 6.003943314490559624e-01 8.083588069164704404e-03
3.509145001024487556e+03 5.980427177051973464e-01 7.992731391799930488e-03
3.512654146025513455e+03 5.979586409773007816e-01 7.682713510906481920e-03
3.516166800171540217e+03 5.984154837119437520e-01 7.727972429251455180e-03
3.519682966971712631e+03 6.032412263108234418e-01 7.580715274953232080e-03
3.523202649938685681e+03 6.039760847830649704e-01 7.617551633163670982e-03
3.526725852588625457e+03 6.055163564203045468e-01 8.065594690195894076e-03
3.530252578441215064e+03 6.083368585073467560e-01 7.840573484447936614e-03
3.533782831019657806e+03 6.115002112202773121e-01 7.523942631082312753e-03
3.537316613850678550e+03 6.192886973698459308e-01 7.224459165135880580e-03
