# starting wavelength: 3663.470
# ending wavelength: 7419.350
# wav flux eflux
3.666913987562790226e+03 8.565395770007939724e-01 1.031836192583738231e-02
3.670580901550354156e+03 8.369373422296182419e-01 1.061433490480357192e-02
3.674251482451905758e+03 8.148824208882565756e-01 9.298029416780876494e-03
3.677925733934358959e+03 7.938296719890667319e-01 7.477407452008609512e-03
3.681603659668294313e+03 7.745779562382855143e-01 6.063316265149928941e-03
3.685285263327964003e+03 7.583623285237071077e-01 4.742468004175074900e-03
3.688970548591293209e+03 7.437887632456863241e-01 3.917051761958467195e-03
3.692659519139885560e+03 7.296445807359437374e-01 3.137096810010134729e-03
3.696352178659026777e+03 7.164185249389375398e-01 2.596785693743291004e-03
3.700048530837686940e+03 7.036947952706932297e-01 2.385013448049082274e-03
3.703748579368525952e+03 6.909213396122142470e-01 2.433768323243447416e-03
3.707452327947895355e+03 6.787990583104505093e-01 2.194279119522413168e-03
3.711159780275844696e+03 6.673966059282121499e-01 1.999535903305588082e-03
3.714870940056121526e+03 6.564926353598745656e-01 1.900819035474096306e-03
3.718585810996179134e+03 6.462603344980173414e-01 1.862604531378287635e-03
3.722304396807176545e+03 6.374107922277476579e-01 1.767853731677747038e-03
3.726026701203984885e+03 6.298744211589732966e-01 1.687606115071618165e-03
3.729752727905190113e+03 6.235340756586049693e-01 1.632072216780244616e-03
3.733482480633096657e+03 6.179774828972555145e-01 1.668686632283313985e-03
3.737215963113731050e+03 6.135857882608681813e-01 1.656881688019983890e-03
3.740953179076846027e+03 6.102803032290203822e-01 1.663741859776770660e-03
3.744694132255923705e+03 6.078581090829296985e-01 1.669031764247535989e-03
3.748438826388181042e+03 6.065024518738202364e-01 1.806550472878538927e-03
3.752187265214570289e+03 6.060051184922277123e-01 1.854823267650451517e-03
3.755939452479786269e+03 6.067261418018355945e-01 1.894657926258188751e-03
3.759695391932267285e+03 6.079516136938408755e-01 1.846149224718009229e-03
3.763455087324201031e+03 6.096068173958781866e-01 1.838182658975837493e-03
3.767218542411526414e+03 6.123328027827735776e-01 1.819844785510354177e-03
3.770985760953939007e+03 6.160705929164271843e-01 1.790647001053962501e-03
3.774756746714894234e+03 6.206967525036248823e-01 1.672286720578540237e-03
3.778531503461610555e+03 6.256375303337542437e-01 1.665941791456362897e-03
3.782310034965073100e+03 6.309929357454527876e-01 1.901999683090932047e-03
3.786092345000039586e+03 6.360756904837323589e-01 2.387612715989344096e-03
3.789878437345040766e+03 6.421460145100753580e-01 2.359890555746755377e-03
3.793668315782387253e+03 6.489450016193871740e-01 1.972164646324652860e-03
3.797461984098170888e+03 6.577374176851286114e-01 1.651189307930912929e-03
3.801259446082270188e+03 6.684103084262195127e-01 1.621045466375377764e-03
3.805060705528353537e+03 6.803985283812920004e-01 1.714122325566279879e-03
3.808865766233883278e+03 6.929205068560317926e-01 1.760951167995086124e-03
3.812674632000118436e+03 7.074099887715855628e-01 1.925648409208260883e-03
3.816487306632119726e+03 7.230933279688978033e-01 2.369520861216686900e-03
3.820303793938753188e+03 7.396080005553038461e-01 2.690132164915327515e-03
3.824124097732693372e+03 7.571022786991480347e-01 2.599068092930001753e-03
3.827948221830427428e+03 7.728238455895597436e-01 2.485273254989201278e-03
3.831776170052258749e+03 7.885332457983778021e-01 2.286142631815200540e-03
3.835607946222312421e+03 8.036694780296350649e-01 2.357242957127667331e-03
3.839443554168536139e+03 8.179532749649103263e-01 2.603234115181694321e-03
3.843282997722705659e+03 8.324214885216558724e-01 2.616908188084486175e-03
3.847126280720429804e+03 8.467872927561322927e-01 2.716605201107478735e-03
3.850973407001151372e+03 8.604384631324288879e-01 2.708718285093701834e-03
3.854824380408153957e+03 8.728870148790153216e-01 2.665320509881132210e-03
3.858679204788563311e+03 8.839333109791923659e-01 2.584369352400160691e-03
3.862537883993353262e+03 8.949831618325103655e-01 2.509317908058855164e-03
3.866400421877347981e+03 9.060046537202568473e-01 2.581766947420444710e-03
3.870266822299226533e+03 9.158691628731113754e-01 2.584170036031466222e-03
3.874137089121526969e+03 9.251985930490096433e-01 2.584175712910383692e-03
3.878011226210649966e+03 9.336434690098704969e-01 2.584027080014516305e-03
3.881889237436861549e+03 9.421582988256618219e-01 2.546029087112410168e-03
3.885771126674299921e+03 9.504661649975741922e-01 2.390043524379702102e-03
3.889656897800975457e+03 9.578883900307285648e-01 2.157712008564855420e-03
3.893546554698777527e+03 9.635352163422234995e-01 2.243077624316548550e-03
3.897440101253477678e+03 9.672633373813408486e-01 2.327938045370055251e-03
3.901337541354732366e+03 9.707563228815658807e-01 2.272594446681650612e-03
3.905238878896088409e+03 9.731797803599275820e-01 2.123533242909824998e-03
3.909144117774985716e+03 9.749065960613738646e-01 2.090501072892613638e-03
3.913053261892762293e+03 9.761788759399286919e-01 2.217160247225259066e-03
3.916966315154656058e+03 9.763744743175590823e-01 2.296854551580265920e-03
