# starting wavelength: 3446.780
# ending wavelength: 9592.440
# wav flux eflux
3.450023051761363604e+03 1.570039081489520982e-01 6.795124257731863238e-03
3.453473074813126004e+03 1.573557166595248580e-01 5.137488913335957162e-03
3.456926547887940615e+03 1.569743780333680006e-01 3.866598603298321626e-03
3.460383474435829612e+03 1.566853801078474662e-01 2.907204557259929645e-03
3.463843857910266706e+03 1.565822197971203644e-01 2.246456061784959501e-03
3.467307701768178049e+03 1.565741184768016381e-01 1.800143863677027174e-03
3.470775009469947236e+03 1.564837560816246809e-01 1.448191641048815958e-03
3.474245784479418489e+03 1.563984342647348758e-01 1.187028592656813077e-03
3.477720030263898934e+03 1.565549154337806392e-01 1.048060452082764200e-03
3.481197750294164052e+03 1.571344925147592220e-01 9.989716307672459172e-04
3.484678948044459503e+03 1.581380769981448053e-01 9.463566090178272480e-04
3.488163626992504760e+03 1.593596763219582990e-01 8.491180728149710097e-04
3.491651790619498570e+03 1.606446836733518846e-01 7.652388759466208007e-04
3.495143442410119405e+03 1.620579834124787066e-01 7.064561660518954870e-04
3.498638585852530468e+03 1.635479381243004904e-01 6.614588849451215986e-04
3.502137224438384237e+03 1.651124275972201405e-01 6.268548758999660953e-04
3.505639361662823831e+03 1.667292923206188104e-01 6.001254667038239884e-04
3.509145001024487556e+03 1.683619913924306599e-01 5.797917406998829041e-04
3.512654146025513455e+03 1.701028092990136409e-01 5.653379025947286246e-04
3.516166800171540217e+03 1.720285518527230884e-01 5.483857954964089544e-04
3.519682966971712631e+03 1.738454722276894515e-01 5.370497157278078049e-04
3.523202649938685681e+03 1.756340811548319780e-01 5.244362565078958477e-04
3.526725852588625457e+03 1.771754431297586085e-01 5.246959268580096572e-04
3.530252578441215064e+03 1.783013301740382084e-01 5.359595496964568873e-04
3.533782831019657806e+03 1.793144667426577465e-01 5.072888681085692408e-04
3.537316613850678550e+03 1.804472240082925782e-01 5.377610490749902637e-04
3.540853930464530094e+03 1.815966365884874312e-01 5.990162084578915316e-04
3.544394784394995895e+03 1.825398722462374390e-01 6.270875585339059964e-04
3.547939179179392340e+03 1.832058357580955976e-01 5.757090490011453586e-04
3.551487118358572843e+03 1.834576446119126625e-01 5.728220038437685773e-04
3.555038605476932389e+03 1.833898704020096582e-01 5.916037102638960991e-04
3.558593644082410719e+03 1.832393659445433198e-01 6.087585460477621703e-04
3.562152237726494150e+03 1.828284390151337369e-01 6.253244380199023773e-04
3.565714389964221937e+03 1.822834630776600795e-01 6.491619694614964194e-04
3.569280104354187188e+03 1.817168446887701128e-01 6.648761996367340190e-04
3.572849384458542772e+03 1.811292600804129127e-01 6.856200316134767681e-04
3.576422233843002232e+03 1.805950565197150526e-01 7.148046576992103966e-04
3.579998656076846601e+03 1.802803418070738350e-01 7.414465145155246838e-04
3.583578654732924406e+03 1.801146390404315956e-01 7.663896221638552900e-04
3.587162233387658489e+03 1.798051270191725060e-01 7.933558348709952900e-04
3.590749395621047370e+03 1.797334740235025652e-01 7.671795217263793244e-04
3.594340145016669794e+03 1.799291308600783901e-01 6.898536245255734375e-04
3.597934485161687462e+03 1.806985943780265447e-01 5.870281331958945989e-04
3.601532419646850485e+03 1.822025157397720307e-01 5.307734601734006956e-04
3.605133952066498296e+03 1.845018678357808750e-01 5.612064424363970554e-04
3.608739086018566013e+03 1.874695780820883617e-01 6.270780400107256241e-04
3.612347825104585809e+03 1.909018645307029860e-01 6.884066612779896370e-04
3.615960172929691907e+03 1.946804935448279705e-01 7.638734182184962751e-04
3.619576133102622407e+03 1.984949329096701853e-01 7.884443646330887125e-04
3.623195709235726554e+03 2.030127138516278351e-01 8.846977763853245639e-04
3.626818904944963379e+03 2.076994293074789777e-01 9.589007111340495937e-04
3.630445723849909427e+03 2.123830614315811716e-01 9.788922727054119415e-04
3.634076169573760581e+03 2.170141868562805720e-01 9.650728987180608870e-04
3.637710245743335690e+03 2.215021303973238320e-01 8.572704666418601727e-04
3.641347955989080219e+03 2.256261777921037270e-01 7.189032793558130163e-04
3.644989303945070333e+03 2.294369572340493324e-01 6.438447024053585649e-04
3.648634293249016537e+03 2.322495481220248348e-01 6.661769133847793636e-04
3.652282927542266862e+03 2.345583631722149565e-01 6.814911764929685667e-04
