# starting wavelength: 3733.710
# ending wavelength: 7316.250
# wav flux eflux
3.737215963113731050e+03 7.334689309746049712e-01 3.800939619215503579e-02
3.740953179076846027e+03 7.131311386650420747e-01 2.847301980105438474e-02
3.744694132255923705e+03 6.824742729294162036e-01 2.483467874335646558e-02
3.748438826388181042e+03 6.487664949516125379e-01 2.221316316645291153e-02
3.752187265214570289e+03 6.181008544472639255e-01 1.811204578568980164e-02
3.755939452479786269e+03 5.909710505664793612e-01 1.457801026684451065e-02
3.759695391932267285e+03 5.670987526060430328e-01 1.320035098846844730e-02
3.763455087324201031e+03 5.480137639758967394e-01 1.079359383251012050e-02
3.767218542411526414e+03 5.345069563265825163e-01 1.026473597163516695e-02
3.770985760953939007e+03 5.258352796668196438e-01 9.602511066106851970e-03
3.774756746714894234e+03 5.211095012106237157e-01 9.034916414590664357e-03
3.778531503461610555e+03 5.202367731243171534e-01 8.860893811297267109e-03
3.782310034965073100e+03 5.198770549128354235e-01 8.302716896284301901e-03
3.786092345000039586e+03 5.199512038549526372e-01 7.783175154148104687e-03
3.789878437345040766e+03 5.198181135417490051e-01 7.352164931571215575e-03
3.793668315782387253e+03 5.202127596287172695e-01 7.007765184635023417e-03
3.797461984098170888e+03 5.202972031087075289e-01 6.766492363689785572e-03
3.801259446082270188e+03 5.214715294091347708e-01 6.753301555986119739e-03
3.805060705528353537e+03 5.232102145702588469e-01 6.605549363697407750e-03
3.808865766233883278e+03 5.243559239742676681e-01 6.729820212473834606e-03
3.812674632000118436e+03 5.266330693137296626e-01 6.669326333133397330e-03
3.816487306632119726e+03 5.289326749680554052e-01 6.665950653918225471e-03
3.820303793938753188e+03 5.282278709336384326e-01 6.578921082652481808e-03
3.824124097732693372e+03 5.260675513042932794e-01 6.900095856438324959e-03
3.827948221830427428e+03 5.232005319518977515e-01 6.612886162353761622e-03
3.831776170052258749e+03 5.230112035839239448e-01 6.583385873686011316e-03
3.835607946222312421e+03 5.182970250664717948e-01 6.251676778125983200e-03
3.839443554168536139e+03 5.179857822799251998e-01 7.589875326018439942e-03
3.843282997722705659e+03 5.173189940136763143e-01 8.844258073843366125e-03
3.847126280720429804e+03 5.149509995816240471e-01 9.521298910995646195e-03
3.850973407001151372e+03 5.118862766024689925e-01 8.872626785726436816e-03
3.854824380408153957e+03 5.034981688990546322e-01 8.365453749406712158e-03
3.858679204788563311e+03 4.931833564294435535e-01 8.145521439968441205e-03
3.862537883993353262e+03 4.799928861183098694e-01 8.771666575056848505e-03
3.866400421877347981e+03 4.637733873195427070e-01 1.023417616842130402e-02
3.870266822299226533e+03 4.474131616602313177e-01 1.109176272543560722e-02
3.874137089121526969e+03 4.354509196746580990e-01 1.122001453629503827e-02
3.878011226210649966e+03 4.229362034172396978e-01 1.142517355577371031e-02
3.881889237436861549e+03 4.103245243968761669e-01 1.138240926621895792e-02
3.885771126674299921e+03 3.960374939148981199e-01 9.307794620072237790e-03
3.889656897800975457e+03 3.903546008447269511e-01 8.592291976549149002e-03
3.893546554698777527e+03 3.901359209037960074e-01 8.007956777091099904e-03
3.897440101253477678e+03 3.967877742796460661e-01 8.309605855122347354e-03
3.901337541354732366e+03 4.097241124538963386e-01 9.225795992199647272e-03
3.905238878896088409e+03 4.287951222681363195e-01 1.020234010885757991e-02
3.909144117774985716e+03 4.468973412116868937e-01 1.040760575387202763e-02
3.913053261892762293e+03 4.729491671457015101e-01 1.063838378474056025e-02
3.916966315154656058e+03 5.004683526862503395e-01 1.013983372464439398e-02
3.920883281469812118e+03 5.313456863593291057e-01 8.504147539498824182e-03
3.924804164751283224e+03 5.559191399444944892e-01 8.570064190493666481e-03
3.928728968916035683e+03 5.827637894282053921e-01 8.142683195382954126e-03
3.932657697884953450e+03 6.075248170590262786e-01 8.393677602662442949e-03
3.936590355582839493e+03 6.286767638702775995e-01 9.200162255707456521e-03
3.940526945938423523e+03 6.486526555425573548e-01 8.442925413019070763e-03
3.944467472884363360e+03 6.663376159324957415e-01 6.323437138324722664e-03
3.948411940357249023e+03 6.858748738014931456e-01 5.437460332278949010e-03
3.952360352297607733e+03 7.072176799734402053e-01 5.767218629694121669e-03
3.956312712649906643e+03 7.286392890825379443e-01 6.351137831130297152e-03
3.960269025362557841e+03 7.478971861833390022e-01 6.182790993653949560e-03
3.964229294387921527e+03 7.646918136521227982e-01 6.185572212031900143e-03
3.968193523682310570e+03 7.777399453650959416e-01 7.529933704536801234e-03
3.972161717205994591e+03 7.938276265534857101e-01 7.580256492280520661e-03
3.976133878923201792e+03 8.158679459025582892e-01 1.014600720556233654e-02
3.980110012802126221e+03 8.286495050911085736e-01 1.056232023330478526e-02
3.984090122814929600e+03 8.431965496464003396e-01 1.110570927614536706e-02
3.988074212937745870e+03 8.533098657851532209e-01 1.107663659061565095e-02
3.992062287150684824e+03 8.562750785593152836e-01 1.125924259788585284e-02
3.996054349437837118e+03 8.490130722830411258e-01 1.146525797082343333e-02
4.000050403787276082e+03 8.386474268558207212e-01 1.154964193879307044e-02
4.004050454191064546e+03 8.266191725191970319e-01 1.153987676246531410e-02
4.008054504645257111e+03 8.100474417946792460e-01 1.217792965403217617e-02
4.012062559149903791e+03 7.933374829291136576e-01 1.299079577610767408e-02
4.016074621709055009e+03 7.822862020925294146e-01 1.357656530353317306e-02
4.020090696330765240e+03 7.692928539628774987e-01 1.404209361033469279e-02
4.024110787027097558e+03 7.599093307075540649e-01 1.378584716636487711e-02
4.028134897814125907e+03 7.542275556134612202e-01 1.268234328359381727e-02
4.032163032711941469e+03 7.607705244646434384e-01 1.185913934073011891e-02
4.036195195744654484e+03 7.760282941732845607e-01 1.201084899149358967e-02
4.040231390940400615e+03 8.029035938993270838e-01 1.321194096915545048e-02
